Platoon_Trip_ID,Trucks_in_Platoon,Inter_Vehicle_Spacing_m,Highway_Speed_kmh,Aerodynamic_Drag_Reduction_pct,Diesel_Fuel_Savings_pct,Platooning_Status
SCANIA-PLT-1315,3,30.6,77.3,20.1,10.4,Standard Extended Following
SCANIA-PLT-1316,3,33.8,88.3,18.5,10.4,Standard Extended Following
SCANIA-PLT-1317,3,28.5,80.1,19.6,11.4,Standard Extended Following
SCANIA-PLT-1318,2,12.1,94.8,25.5,13.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1319,2,39.8,82.3,12.3,6.1,Standard Extended Following
SCANIA-PLT-1320,4,11.4,85.7,34.2,18.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1321,2,34.2,92.8,14.8,7.5,Standard Extended Following
SCANIA-PLT-1322,2,43.1,81.1,12.0,5.4,Standard Extended Following
SCANIA-PLT-1323,3,26.0,93.6,23.1,13.5,Standard Extended Following
SCANIA-PLT-1324,2,33.8,75.2,13.3,7.7,Standard Extended Following
SCANIA-PLT-1325,3,12.9,92.5,30.7,16.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1326,3,43.9,90.8,13.3,7.5,Standard Extended Following
SCANIA-PLT-1327,4,8.2,84.1,32.9,18.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1328,2,18.8,82.4,20.9,11.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1329,3,15.2,93.0,28.6,15.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1330,4,21.8,90.9,29.9,15.8,Standard Extended Following
SCANIA-PLT-1331,2,17.9,93.6,21.5,12.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1332,3,33.2,87.1,23.2,11.9,Standard Extended Following
SCANIA-PLT-1333,2,30.0,91.1,16.8,9.5,Standard Extended Following
SCANIA-PLT-1334,4,43.0,80.9,19.7,10.7,Standard Extended Following
SCANIA-PLT-1335,2,39.2,94.8,13.7,7.1,Standard Extended Following
SCANIA-PLT-1336,2,22.0,75.8,16.3,9.4,Standard Extended Following
SCANIA-PLT-1337,2,39.2,76.3,10.9,6.2,Standard Extended Following
SCANIA-PLT-1338,3,35.9,88.0,16.9,8.3,Standard Extended Following
SCANIA-PLT-1339,4,36.3,93.7,25.3,12.9,Standard Extended Following
SCANIA-PLT-1340,4,19.1,77.1,29.9,15.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1341,3,42.8,75.6,15.0,7.5,Standard Extended Following
SCANIA-PLT-1342,2,32.6,85.5,14.9,7.9,Standard Extended Following
SCANIA-PLT-1343,4,15.4,91.8,31.3,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1344,2,20.8,79.5,16.4,10.7,Standard Extended Following
SCANIA-PLT-1345,4,25.4,93.7,26.2,13.9,Standard Extended Following
SCANIA-PLT-1346,2,31.1,87.5,12.2,7.7,Standard Extended Following
SCANIA-PLT-1347,2,25.2,81.8,19.9,11.0,Standard Extended Following
SCANIA-PLT-1348,2,34.2,81.9,13.2,7.3,Standard Extended Following
SCANIA-PLT-1349,3,17.0,89.6,28.5,14.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1350,2,10.7,77.7,24.2,12.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1351,3,32.0,89.4,18.3,9.6,Standard Extended Following
SCANIA-PLT-1352,3,17.0,87.6,28.1,14.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1353,3,34.9,82.2,20.1,10.8,Standard Extended Following
SCANIA-PLT-1354,2,30.0,93.4,17.2,8.5,Standard Extended Following
SCANIA-PLT-1355,4,19.1,86.7,28.8,16.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1356,2,15.5,90.6,24.4,13.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1357,4,11.4,88.3,32.9,17.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1358,3,21.6,91.7,23.5,13.3,Standard Extended Following
SCANIA-PLT-1359,2,20.4,76.5,21.0,13.0,Standard Extended Following
SCANIA-PLT-1360,4,32.0,92.9,29.9,15.4,Standard Extended Following
SCANIA-PLT-1361,3,35.2,94.9,18.9,10.2,Standard Extended Following
SCANIA-PLT-1362,4,43.7,86.8,21.9,10.9,Standard Extended Following
SCANIA-PLT-1363,4,15.9,86.9,32.1,16.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1364,4,40.1,93.9,21.4,10.8,Standard Extended Following
SCANIA-PLT-1365,2,44.7,89.6,10.8,4.9,Standard Extended Following
SCANIA-PLT-1366,2,8.4,82.5,28.3,14.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1367,4,17.3,92.3,29.5,17.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1368,4,27.1,92.6,28.6,15.7,Standard Extended Following
SCANIA-PLT-1369,2,18.1,85.0,24.6,12.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1370,2,11.7,93.3,27.0,14.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1371,2,18.5,76.6,21.9,12.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1372,2,25.4,79.6,19.6,10.8,Standard Extended Following
SCANIA-PLT-1373,3,24.7,78.0,25.0,14.2,Standard Extended Following
SCANIA-PLT-1374,4,39.0,79.9,21.3,11.6,Standard Extended Following
SCANIA-PLT-1375,2,18.1,81.9,24.2,12.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1376,3,35.4,91.3,20.0,10.6,Standard Extended Following
SCANIA-PLT-1377,3,13.3,91.4,26.3,15.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1378,3,34.5,85.6,18.9,9.6,Standard Extended Following
SCANIA-PLT-1379,3,22.8,85.8,25.1,13.6,Standard Extended Following
SCANIA-PLT-1380,3,28.1,90.0,23.7,12.2,Standard Extended Following
SCANIA-PLT-1381,4,19.7,92.3,26.3,14.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1382,2,26.0,78.1,21.7,10.7,Standard Extended Following
SCANIA-PLT-1383,2,18.2,75.6,20.2,11.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1384,4,29.1,89.7,27.2,14.8,Standard Extended Following
SCANIA-PLT-1385,3,19.9,77.9,24.5,14.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1386,2,37.4,91.3,17.1,8.0,Standard Extended Following
SCANIA-PLT-1387,2,31.2,82.8,18.9,9.3,Standard Extended Following
SCANIA-PLT-1388,4,14.1,86.1,32.5,17.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1389,2,21.8,76.4,20.0,11.1,Standard Extended Following
SCANIA-PLT-1390,4,15.8,89.7,31.2,17.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1391,4,43.5,84.6,17.0,9.1,Standard Extended Following
SCANIA-PLT-1392,2,19.2,85.0,21.6,12.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1393,2,39.1,77.8,13.0,6.5,Standard Extended Following
SCANIA-PLT-1394,2,23.9,88.7,17.9,9.2,Standard Extended Following
SCANIA-PLT-1395,2,42.1,79.6,10.8,6.9,Standard Extended Following
SCANIA-PLT-1396,4,15.0,81.9,31.5,17.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1397,3,32.4,76.6,19.2,10.8,Standard Extended Following
SCANIA-PLT-1398,3,17.1,93.3,27.1,14.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1399,2,14.4,94.4,24.6,12.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1400,2,24.5,92.3,20.4,11.3,Standard Extended Following
SCANIA-PLT-1401,3,43.8,94.9,15.3,8.7,Standard Extended Following
SCANIA-PLT-1402,3,43.2,86.7,18.9,9.2,Standard Extended Following
SCANIA-PLT-1403,2,35.7,92.0,11.4,7.0,Standard Extended Following
SCANIA-PLT-1404,3,30.2,77.9,19.4,11.0,Standard Extended Following
SCANIA-PLT-1405,3,11.6,94.9,29.8,15.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1406,3,10.0,80.1,29.8,16.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1407,3,43.0,80.8,16.7,9.0,Standard Extended Following
SCANIA-PLT-1408,4,39.6,80.8,20.7,11.2,Standard Extended Following
SCANIA-PLT-1409,2,33.6,92.4,15.6,8.8,Standard Extended Following
SCANIA-PLT-1410,2,13.5,86.0,26.3,14.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1411,2,28.3,90.0,20.9,10.2,Standard Extended Following
SCANIA-PLT-1412,3,33.3,77.2,21.3,11.4,Standard Extended Following
SCANIA-PLT-1413,2,26.4,87.0,20.6,11.5,Standard Extended Following
SCANIA-PLT-1414,2,32.3,86.0,14.2,8.3,Standard Extended Following
SCANIA-PLT-1415,2,36.3,86.1,16.7,8.5,Standard Extended Following
SCANIA-PLT-1416,2,36.8,81.4,13.2,7.9,Standard Extended Following
SCANIA-PLT-1417,2,29.8,81.2,17.5,10.0,Standard Extended Following
SCANIA-PLT-1418,3,28.4,84.5,23.2,12.5,Standard Extended Following
SCANIA-PLT-1419,2,43.1,93.4,12.1,6.1,Standard Extended Following
SCANIA-PLT-1420,2,16.9,88.8,22.5,12.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1421,3,41.4,83.0,15.8,7.9,Standard Extended Following
SCANIA-PLT-1422,2,41.4,92.8,11.0,6.2,Standard Extended Following
SCANIA-PLT-1423,3,26.0,94.7,23.1,12.5,Standard Extended Following
SCANIA-PLT-1424,2,44.8,89.0,10.7,5.2,Standard Extended Following
SCANIA-PLT-1425,4,12.8,79.4,34.3,18.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1426,2,35.2,89.7,14.9,8.0,Standard Extended Following
SCANIA-PLT-1427,3,15.4,84.5,29.3,16.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1428,3,42.1,78.0,15.3,8.3,Standard Extended Following
SCANIA-PLT-1429,3,17.8,86.1,29.7,15.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1430,3,44.5,76.9,15.5,8.3,Standard Extended Following
SCANIA-PLT-1431,2,26.8,81.5,21.6,11.4,Standard Extended Following
SCANIA-PLT-1432,2,18.5,76.5,23.9,13.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1433,4,11.6,75.9,31.8,18.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1434,2,17.0,90.4,21.9,11.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1435,4,30.7,89.0,22.9,13.6,Standard Extended Following
SCANIA-PLT-1436,3,19.8,79.4,24.7,14.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1437,2,29.6,80.6,13.6,8.2,Standard Extended Following
SCANIA-PLT-1438,2,20.4,75.4,23.8,11.5,Standard Extended Following
SCANIA-PLT-1439,4,15.2,79.7,33.7,17.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1440,3,24.9,81.2,20.7,11.7,Standard Extended Following
SCANIA-PLT-1441,3,10.2,94.1,29.6,16.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1442,4,41.0,84.0,21.5,10.8,Standard Extended Following
SCANIA-PLT-1443,3,17.4,77.8,26.3,13.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1444,2,33.8,77.6,13.8,7.8,Standard Extended Following
SCANIA-PLT-1445,4,13.3,79.3,30.2,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1446,3,41.2,94.1,18.0,9.7,Standard Extended Following
SCANIA-PLT-1447,4,17.8,86.8,29.8,15.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1448,2,18.3,79.9,23.3,12.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1449,2,29.2,75.4,19.2,9.3,Standard Extended Following
SCANIA-PLT-1450,2,9.0,94.8,24.2,13.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1451,2,15.0,83.4,24.6,12.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1452,2,30.3,81.4,15.1,8.6,Standard Extended Following
SCANIA-PLT-1453,2,45.0,94.8,9.3,4.8,Standard Extended Following
SCANIA-PLT-1454,2,41.9,85.3,15.8,7.2,Standard Extended Following
SCANIA-PLT-1455,3,36.5,88.2,20.7,11.0,Standard Extended Following
SCANIA-PLT-1456,2,39.3,81.8,12.2,6.9,Standard Extended Following
SCANIA-PLT-1457,3,37.5,94.6,15.5,8.5,Standard Extended Following
SCANIA-PLT-1458,2,40.6,84.2,11.3,6.9,Standard Extended Following
SCANIA-PLT-1459,2,15.7,79.5,23.8,13.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1460,2,18.5,84.9,26.4,13.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1461,2,33.9,86.7,14.8,8.2,Standard Extended Following
SCANIA-PLT-1462,3,23.7,90.9,21.0,11.5,Standard Extended Following
SCANIA-PLT-1463,4,15.0,75.3,31.4,16.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1464,3,41.8,75.4,14.2,8.0,Standard Extended Following
SCANIA-PLT-1465,3,27.5,88.4,23.7,13.2,Standard Extended Following
SCANIA-PLT-1466,3,28.2,86.6,20.6,11.6,Standard Extended Following
SCANIA-PLT-1467,2,23.8,76.3,17.4,10.6,Standard Extended Following
SCANIA-PLT-1468,2,39.7,77.6,8.4,4.8,Standard Extended Following
SCANIA-PLT-1469,4,30.7,80.6,23.5,12.9,Standard Extended Following
SCANIA-PLT-1470,2,16.4,78.0,21.4,11.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1471,3,42.7,89.7,15.3,7.8,Standard Extended Following
SCANIA-PLT-1472,4,27.5,92.1,27.9,14.1,Standard Extended Following
SCANIA-PLT-1473,2,17.1,75.4,23.5,12.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1474,3,34.3,84.3,19.0,9.7,Standard Extended Following
SCANIA-PLT-1475,2,33.5,77.7,18.2,9.0,Standard Extended Following
SCANIA-PLT-1476,2,13.0,83.6,22.8,12.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1477,2,11.4,91.2,23.6,12.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1478,2,28.9,93.9,17.2,9.3,Standard Extended Following
SCANIA-PLT-1479,3,38.5,83.6,16.5,8.0,Standard Extended Following
SCANIA-PLT-1480,4,44.7,79.4,16.2,8.8,Standard Extended Following
SCANIA-PLT-1481,2,43.6,76.0,12.5,6.1,Standard Extended Following
SCANIA-PLT-1482,4,39.4,77.3,21.7,12.3,Standard Extended Following
SCANIA-PLT-1483,4,44.8,85.8,19.1,10.0,Standard Extended Following
SCANIA-PLT-1484,4,40.3,85.3,20.3,12.4,Standard Extended Following
SCANIA-PLT-1485,4,39.5,78.6,20.4,10.4,Standard Extended Following
SCANIA-PLT-1486,2,43.4,76.9,7.5,4.7,Standard Extended Following
SCANIA-PLT-1487,2,11.9,78.7,23.4,13.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1488,3,43.5,83.0,12.4,6.7,Standard Extended Following
SCANIA-PLT-1489,3,34.9,76.4,18.6,10.1,Standard Extended Following
SCANIA-PLT-1490,2,43.3,77.2,13.8,5.9,Standard Extended Following
SCANIA-PLT-1491,3,9.4,76.6,30.1,16.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1492,2,33.4,82.5,14.5,7.8,Standard Extended Following
SCANIA-PLT-1493,2,26.3,84.5,19.0,10.6,Standard Extended Following
SCANIA-PLT-1494,3,28.8,84.7,20.7,11.3,Standard Extended Following
SCANIA-PLT-1495,2,38.4,85.5,15.2,8.3,Standard Extended Following
SCANIA-PLT-1496,4,10.5,91.1,34.9,18.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1497,2,22.7,82.3,24.6,11.7,Standard Extended Following
SCANIA-PLT-1498,3,12.7,82.9,29.8,16.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1499,2,26.4,88.8,17.7,10.2,Standard Extended Following
SCANIA-PLT-1500,2,11.1,91.0,25.2,13.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1501,2,34.0,89.7,16.5,8.8,Standard Extended Following
SCANIA-PLT-1502,2,33.8,81.3,13.9,8.0,Standard Extended Following
SCANIA-PLT-1503,4,40.8,86.8,23.5,12.8,Standard Extended Following
SCANIA-PLT-1504,3,18.6,87.3,26.1,13.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1505,2,21.8,82.2,20.7,10.4,Standard Extended Following
SCANIA-PLT-1506,2,39.8,93.7,14.3,7.7,Standard Extended Following
SCANIA-PLT-1507,4,37.5,84.4,21.0,11.0,Standard Extended Following
SCANIA-PLT-1508,2,18.9,79.8,21.2,10.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1509,2,40.3,83.6,12.1,6.4,Standard Extended Following
SCANIA-PLT-1510,3,38.0,83.1,17.2,9.6,Standard Extended Following
SCANIA-PLT-1511,2,43.0,80.6,9.8,6.4,Standard Extended Following
SCANIA-PLT-1512,3,18.6,90.9,27.0,14.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1513,2,25.0,83.1,15.3,8.6,Standard Extended Following
SCANIA-PLT-1514,2,26.9,83.1,18.5,9.4,Standard Extended Following
SCANIA-PLT-1515,3,23.3,90.0,18.1,10.7,Standard Extended Following
SCANIA-PLT-1516,2,18.1,91.6,22.2,11.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1517,3,8.9,94.7,28.2,15.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1518,2,22.9,93.5,18.7,9.8,Standard Extended Following
SCANIA-PLT-1519,3,34.5,85.4,19.0,10.6,Standard Extended Following
SCANIA-PLT-1520,3,20.5,94.7,26.1,13.3,Standard Extended Following
SCANIA-PLT-1521,3,22.4,91.8,25.0,13.8,Standard Extended Following
SCANIA-PLT-1522,3,12.5,77.7,27.2,15.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1523,3,20.5,87.2,23.9,13.2,Standard Extended Following
SCANIA-PLT-1524,3,36.3,91.2,16.7,9.8,Standard Extended Following
SCANIA-PLT-1525,2,23.0,87.0,19.3,11.4,Standard Extended Following
SCANIA-PLT-1526,3,12.3,90.4,27.1,14.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1527,3,21.2,89.5,22.8,13.1,Standard Extended Following
SCANIA-PLT-1528,3,36.7,78.5,22.0,10.3,Standard Extended Following
SCANIA-PLT-1529,3,40.2,93.5,17.3,7.9,Standard Extended Following
SCANIA-PLT-1530,3,39.3,83.5,16.9,8.8,Standard Extended Following
SCANIA-PLT-1531,4,15.1,90.1,34.4,17.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1532,2,41.6,94.6,7.8,5.0,Standard Extended Following
SCANIA-PLT-1533,3,29.3,80.8,23.9,12.8,Standard Extended Following
SCANIA-PLT-1534,2,30.3,85.2,15.7,9.0,Standard Extended Following
SCANIA-PLT-1535,2,44.1,91.5,13.3,6.7,Standard Extended Following
SCANIA-PLT-1536,2,18.6,84.7,23.0,12.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1537,2,18.0,84.5,19.5,10.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1538,3,8.8,93.1,30.9,16.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1539,2,21.6,75.4,20.6,10.9,Standard Extended Following
SCANIA-PLT-1540,3,20.5,79.9,25.3,13.6,Standard Extended Following
SCANIA-PLT-1541,3,32.3,91.0,16.3,9.3,Standard Extended Following
SCANIA-PLT-1542,2,13.9,83.2,26.4,14.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1543,3,29.1,81.6,20.8,11.4,Standard Extended Following
SCANIA-PLT-1544,2,18.3,89.6,19.7,11.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1545,2,37.9,79.1,15.9,7.3,Standard Extended Following
SCANIA-PLT-1546,2,43.4,84.0,11.4,5.8,Standard Extended Following
SCANIA-PLT-1547,2,21.9,93.6,19.1,11.6,Standard Extended Following
SCANIA-PLT-1548,2,28.2,86.5,17.6,9.3,Standard Extended Following
SCANIA-PLT-1549,3,24.2,79.7,24.3,12.9,Standard Extended Following
SCANIA-PLT-1550,3,31.3,82.6,20.5,10.4,Standard Extended Following
SCANIA-PLT-1551,2,14.5,91.3,27.5,14.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1552,2,27.6,76.7,16.8,8.5,Standard Extended Following
SCANIA-PLT-1553,4,13.9,82.9,30.4,17.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1554,2,10.4,89.5,26.5,14.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1555,2,42.2,79.1,11.7,6.1,Standard Extended Following
SCANIA-PLT-1556,2,38.5,80.4,12.9,7.0,Standard Extended Following
SCANIA-PLT-1557,4,26.7,81.7,23.7,12.9,Standard Extended Following
SCANIA-PLT-1558,4,24.2,78.9,26.9,14.4,Standard Extended Following
SCANIA-PLT-1559,3,25.4,88.6,24.3,12.7,Standard Extended Following
SCANIA-PLT-1560,2,33.0,92.0,17.4,9.4,Standard Extended Following
SCANIA-PLT-1561,2,25.0,94.5,19.9,10.8,Standard Extended Following
SCANIA-PLT-1562,3,13.7,78.2,27.3,14.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1563,3,26.1,84.7,22.2,11.7,Standard Extended Following
SCANIA-PLT-1564,2,31.9,76.0,15.0,9.0,Standard Extended Following
SCANIA-PLT-1565,2,44.7,84.9,10.5,5.3,Standard Extended Following
SCANIA-PLT-1566,2,41.1,80.3,10.2,6.0,Standard Extended Following
SCANIA-PLT-1567,3,20.5,80.6,23.6,13.5,Standard Extended Following
SCANIA-PLT-1568,3,39.2,85.1,18.3,9.8,Standard Extended Following
SCANIA-PLT-1569,2,42.9,75.7,10.2,6.0,Standard Extended Following
SCANIA-PLT-1570,2,27.2,81.1,16.7,9.7,Standard Extended Following
SCANIA-PLT-1571,2,10.3,90.2,24.2,12.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1572,3,29.2,78.0,21.6,11.7,Standard Extended Following
SCANIA-PLT-1573,4,37.7,82.4,22.8,11.8,Standard Extended Following
SCANIA-PLT-1574,3,40.7,93.5,18.4,9.5,Standard Extended Following
SCANIA-PLT-1575,3,36.3,86.0,19.4,11.0,Standard Extended Following
SCANIA-PLT-1576,2,37.4,89.0,14.1,7.8,Standard Extended Following
SCANIA-PLT-1577,4,39.1,90.6,19.1,11.1,Standard Extended Following
SCANIA-PLT-1578,3,27.3,95.0,21.6,11.8,Standard Extended Following
SCANIA-PLT-1579,3,22.2,92.8,24.8,12.9,Standard Extended Following
SCANIA-PLT-1580,2,14.4,86.3,20.9,11.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1581,2,25.8,84.0,18.3,9.4,Standard Extended Following
SCANIA-PLT-1582,2,36.8,94.4,16.3,7.6,Standard Extended Following
SCANIA-PLT-1583,2,32.0,91.6,18.0,9.4,Standard Extended Following
SCANIA-PLT-1584,2,27.1,78.0,15.2,8.3,Standard Extended Following
SCANIA-PLT-1585,2,24.5,86.1,23.3,12.1,Standard Extended Following
SCANIA-PLT-1586,2,8.1,80.2,30.3,15.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1587,2,24.6,93.1,13.5,9.4,Standard Extended Following
SCANIA-PLT-1588,2,21.6,93.5,17.5,9.2,Standard Extended Following
SCANIA-PLT-1589,4,15.3,78.2,29.1,16.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1590,2,29.9,85.6,15.3,7.6,Standard Extended Following
SCANIA-PLT-1591,2,28.7,77.7,17.3,9.1,Standard Extended Following
SCANIA-PLT-1592,2,8.1,86.3,25.2,13.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1593,2,18.9,76.3,22.2,11.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1594,3,37.4,87.5,16.1,9.8,Standard Extended Following
SCANIA-PLT-1595,3,21.9,75.6,25.6,14.6,Standard Extended Following
SCANIA-PLT-1596,3,20.9,89.2,21.9,12.4,Standard Extended Following
SCANIA-PLT-1597,2,19.2,92.6,21.4,11.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1598,3,8.7,79.1,30.7,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1599,2,10.5,81.4,25.9,13.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1600,2,28.2,86.0,17.0,8.5,Standard Extended Following
SCANIA-PLT-1601,2,29.9,89.7,19.9,8.6,Standard Extended Following
SCANIA-PLT-1602,2,12.9,87.6,23.8,13.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1603,4,18.1,90.3,31.2,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1604,2,40.4,89.8,14.5,7.6,Standard Extended Following
SCANIA-PLT-1605,3,15.5,79.6,28.3,15.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1606,3,10.7,75.1,27.3,16.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1607,2,19.0,91.7,18.1,10.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1608,3,15.3,78.8,27.4,14.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1609,2,39.5,81.1,11.7,6.7,Standard Extended Following
SCANIA-PLT-1610,2,18.5,80.3,22.9,12.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1611,3,31.8,82.0,20.1,11.7,Standard Extended Following
SCANIA-PLT-1612,2,24.4,91.2,19.5,10.7,Standard Extended Following
SCANIA-PLT-1613,3,20.6,80.4,25.5,13.8,Standard Extended Following
SCANIA-PLT-1614,3,24.3,86.1,24.8,13.8,Standard Extended Following
SCANIA-PLT-1615,3,15.9,82.0,27.3,15.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1616,4,32.9,83.4,23.4,12.3,Standard Extended Following
SCANIA-PLT-1617,3,25.6,78.0,23.4,12.5,Standard Extended Following
SCANIA-PLT-1618,2,14.2,80.6,22.9,12.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1619,3,35.5,80.5,16.6,9.4,Standard Extended Following
SCANIA-PLT-1620,3,40.4,78.7,16.3,9.7,Standard Extended Following
SCANIA-PLT-1621,2,33.5,83.9,17.4,9.1,Standard Extended Following
SCANIA-PLT-1622,2,41.6,85.0,14.1,7.6,Standard Extended Following
SCANIA-PLT-1623,2,22.3,79.7,18.1,10.7,Standard Extended Following
SCANIA-PLT-1624,2,39.0,94.6,15.4,7.3,Standard Extended Following
SCANIA-PLT-1625,2,13.1,90.9,26.4,13.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1626,2,41.8,78.7,11.4,5.8,Standard Extended Following
SCANIA-PLT-1627,2,17.1,78.6,21.4,11.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1628,2,27.8,80.4,16.7,10.2,Standard Extended Following
SCANIA-PLT-1629,2,32.2,94.4,14.8,7.4,Standard Extended Following
SCANIA-PLT-1630,2,33.6,77.9,16.5,8.8,Standard Extended Following
SCANIA-PLT-1631,4,23.3,84.0,27.6,14.8,Standard Extended Following
