Thermal_Run_ID,Ambient_Temp_C,Refrigerant_Discharge_Bar,Condenser_Subcooling_K,Heating_Coefficient_COP,Cabin_Heat_Range_Penalty_pct,Heat_Pump_State
DENSO-HP-1650,11.1,29.9,6.9,3.49,11.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1651,-2.3,23.3,7.8,3.42,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1652,7.0,27.5,5.8,3.31,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1653,-4.2,20.8,3.8,2.58,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1654,13.8,29.8,7.0,3.8,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1655,4.7,26.1,6.2,3.3,11.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1656,-3.0,22.0,6.2,3.25,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1657,13.9,29.8,9.6,3.8,9.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1658,11.8,27.2,7.2,3.8,7.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1659,-11.8,16.8,9.1,3.61,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1660,10.0,27.8,7.9,3.8,10.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1661,-4.8,22.3,5.4,2.96,15.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1662,7.1,26.0,7.6,3.69,9.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1663,6.8,26.6,9.0,3.8,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1664,-4.8,19.1,3.6,2.22,19.6,Standard PTC Resistive Assist
DENSO-HP-1665,3.0,26.1,8.9,3.8,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1666,0.5,22.0,9.0,3.54,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1667,3.4,25.0,8.8,3.74,8.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1668,9.1,29.1,3.9,3.07,13.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1669,-6.9,19.5,5.2,2.39,17.5,Standard PTC Resistive Assist
DENSO-HP-1670,-8.9,19.2,6.3,2.98,15.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1671,13.5,28.8,9.7,3.8,12.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1672,-17.4,16.8,3.6,1.98,20.2,Standard PTC Resistive Assist
DENSO-HP-1673,8.2,24.3,7.7,3.66,12.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1674,9.8,27.1,6.8,3.8,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1675,-15.7,17.0,4.3,2.21,20.9,Standard PTC Resistive Assist
DENSO-HP-1676,-16.0,16.2,8.4,3.14,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1677,6.7,25.6,8.8,3.8,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1678,-5.0,21.9,5.4,2.76,15.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1679,-5.4,19.1,6.7,3.31,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1680,-17.1,13.6,4.8,2.12,19.8,Standard PTC Resistive Assist
DENSO-HP-1681,5.2,24.1,8.8,3.8,8.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1682,-4.6,22.3,7.3,3.2,11.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1683,3.8,24.6,7.4,3.8,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1684,-4.5,19.4,9.3,3.61,12.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1685,-15.6,16.1,5.0,2.38,17.4,Standard PTC Resistive Assist
DENSO-HP-1686,1.3,23.7,3.6,2.45,17.4,Standard PTC Resistive Assist
DENSO-HP-1687,-7.7,18.4,6.1,3.03,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1688,5.9,26.1,5.8,3.29,14.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1689,-6.6,20.1,6.7,3.34,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1690,-16.6,14.6,4.3,2.3,17.7,Standard PTC Resistive Assist
DENSO-HP-1691,7.5,26.4,9.1,3.8,11.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1692,5.7,26.0,4.2,2.86,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1693,2.8,24.6,6.9,3.31,12.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1694,13.8,28.5,6.0,3.5,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1695,10.4,28.6,6.2,3.62,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1696,11.9,29.5,4.1,3.07,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1697,-0.5,22.5,5.0,3.07,14.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1698,10.9,28.5,7.0,3.59,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1699,-9.8,18.9,6.4,2.55,17.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1700,3.7,25.4,10.0,3.8,9.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1701,9.2,25.5,7.3,3.68,11.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1702,-9.7,19.5,7.7,3.27,12.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1703,-10.9,18.4,7.6,3.28,11.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1704,-1.1,21.4,7.1,3.41,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1705,7.0,25.9,5.2,3.18,15.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1706,-17.9,14.4,5.0,2.4,18.2,Standard PTC Resistive Assist
DENSO-HP-1707,-13.9,17.5,6.9,3.03,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1708,-3.3,21.5,9.1,3.72,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1709,-2.8,22.5,4.4,2.88,14.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1710,-3.9,21.5,9.1,3.79,9.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1711,-17.2,15.5,5.0,2.46,16.9,Standard PTC Resistive Assist
DENSO-HP-1712,8.5,28.6,6.6,3.55,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1713,2.6,23.9,3.5,2.63,16.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1714,2.0,22.2,7.9,3.8,10.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1715,1.9,23.1,4.7,2.76,15.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1716,-12.6,18.1,9.3,3.65,10.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1717,-2.9,21.3,6.1,3.3,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1718,-17.6,14.8,7.1,2.67,19.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1719,-15.8,17.3,7.6,3.01,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1720,-0.5,22.1,7.7,3.49,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1721,-8.9,18.0,3.6,2.2,18.9,Standard PTC Resistive Assist
DENSO-HP-1722,-12.5,16.0,4.2,2.19,18.5,Standard PTC Resistive Assist
DENSO-HP-1723,-11.2,16.5,6.0,2.85,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1724,-5.1,18.6,6.9,3.22,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1725,3.5,26.7,6.4,3.06,13.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1726,4.7,23.8,7.7,3.61,9.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1727,-4.4,19.9,6.9,3.4,11.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1728,-2.1,23.0,7.4,3.14,14.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1729,13.5,29.5,9.8,3.8,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1730,-12.3,17.6,8.3,3.27,12.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1731,7.1,25.2,5.3,3.18,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1732,9.6,28.9,5.4,3.41,13.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1733,5.7,24.2,9.0,3.8,9.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1734,-6.0,21.1,6.5,3.06,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1735,-14.1,15.9,5.7,2.53,16.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1736,-10.8,17.7,8.1,3.21,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1737,-3.2,21.7,8.5,3.16,16.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1738,-1.0,23.3,6.9,3.15,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1739,12.6,27.8,6.0,3.38,11.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1740,11.3,28.5,8.6,3.8,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1741,-1.1,24.6,6.4,3.17,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1742,-7.1,16.2,3.8,2.37,18.6,Standard PTC Resistive Assist
DENSO-HP-1743,8.6,26.0,9.0,3.8,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1744,1.3,22.9,5.5,2.85,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1745,-17.6,16.1,7.7,3.07,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1746,-9.2,20.7,8.2,3.41,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1747,14.7,28.9,5.4,3.55,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1748,-10.8,17.3,8.3,3.39,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1749,-12.8,18.1,7.5,3.12,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1750,-16.8,16.2,8.4,3.19,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1751,-6.8,18.4,9.1,3.51,13.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1752,6.4,26.3,10.0,3.8,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1753,14.4,27.6,6.6,3.58,11.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1754,0.8,24.2,5.5,3.28,13.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1755,11.5,27.2,9.2,3.8,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1756,-14.9,15.0,9.5,3.43,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1757,-2.9,20.6,6.6,2.94,14.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1758,5.5,24.7,7.6,3.71,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1759,10.0,26.6,5.0,3.04,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1760,-17.7,13.9,8.8,3.21,11.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1761,5.9,26.7,9.9,3.8,9.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1762,-11.8,16.3,8.8,3.34,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1763,7.3,25.8,4.6,3.06,12.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1764,5.1,23.1,3.7,2.58,17.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1765,-4.7,21.9,9.0,3.66,8.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1766,-3.3,21.5,7.0,3.22,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1767,-6.3,19.9,7.6,3.33,11.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1768,-16.4,14.4,7.0,2.84,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1769,8.1,28.6,4.9,3.19,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1770,-16.1,15.6,6.8,3.02,13.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1771,-3.4,23.3,8.1,3.53,12.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1772,7.0,26.5,7.3,3.53,11.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1773,10.6,29.6,4.5,3.07,14.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1774,8.2,26.4,7.9,3.8,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1775,10.0,29.4,5.6,3.44,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1776,10.5,28.6,4.5,3.1,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1777,-12.0,17.5,9.7,3.45,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1778,-12.6,17.4,8.9,3.67,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1779,-3.3,18.8,5.2,2.87,14.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1780,-11.2,17.8,6.9,3.25,12.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1781,-8.8,19.7,4.8,2.75,18.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1782,0.8,24.9,6.9,3.17,12.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1783,-0.5,21.3,5.8,3.14,15.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1784,10.5,26.9,5.6,3.38,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1785,-10.9,16.9,4.2,2.44,15.4,Standard PTC Resistive Assist
DENSO-HP-1786,-2.3,18.6,4.1,2.94,12.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1787,9.9,26.6,5.2,3.27,13.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1788,-1.9,20.8,7.3,3.56,8.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1789,3.3,25.6,4.9,3.01,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1790,-5.6,20.1,4.4,2.48,18.1,Standard PTC Resistive Assist
DENSO-HP-1791,13.0,29.0,5.8,3.55,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1792,1.9,23.6,3.8,2.64,15.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1793,-3.8,21.2,7.5,3.12,15.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1794,7.7,26.4,9.8,3.8,8.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1795,5.0,25.6,9.4,3.8,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1796,-3.8,21.4,9.2,3.69,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1797,-3.7,21.3,6.4,3.27,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1798,-12.9,16.5,9.7,3.67,12.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1799,1.8,25.1,3.6,2.67,15.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1800,9.0,27.3,9.8,3.8,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1801,7.0,27.7,5.6,3.13,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1802,-9.2,18.5,7.6,3.25,11.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1803,-3.3,21.8,4.5,2.5,16.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1804,12.4,29.5,3.8,3.07,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1805,-12.6,16.4,4.0,2.36,18.4,Standard PTC Resistive Assist
DENSO-HP-1806,8.3,26.7,3.6,2.93,14.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1807,7.9,26.5,8.9,3.8,11.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1808,-14.1,17.9,3.6,2.12,19.5,Standard PTC Resistive Assist
DENSO-HP-1809,8.4,26.7,7.3,3.7,9.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1810,-13.5,17.6,6.0,2.78,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1811,2.7,22.2,8.4,3.8,9.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1812,-4.0,22.6,9.3,3.76,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1813,14.4,28.7,7.9,3.8,9.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1814,14.8,27.3,5.1,3.32,12.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1815,-10.1,20.1,9.9,3.62,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1816,-8.0,20.3,5.4,2.84,16.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1817,-12.3,17.3,5.0,2.76,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1818,11.7,30.1,7.8,3.8,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1819,3.0,24.6,5.2,3.04,14.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1820,-9.8,19.4,9.7,3.55,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1821,-5.5,19.2,4.4,2.41,20.5,Standard PTC Resistive Assist
DENSO-HP-1822,10.6,26.2,4.0,2.72,18.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1823,-10.7,17.2,9.1,3.48,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1824,6.7,26.2,8.7,3.8,9.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1825,-1.2,23.7,4.3,2.75,15.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1826,1.2,23.9,8.4,3.77,8.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1827,12.6,28.6,6.7,3.62,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1828,2.5,23.5,4.3,2.77,16.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1829,-9.1,19.0,4.4,2.5,15.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1830,-5.7,18.6,9.1,3.66,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1831,12.8,29.4,9.5,3.8,9.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1832,2.6,23.8,6.3,3.38,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1833,-8.9,18.3,5.6,2.69,17.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1834,8.7,27.6,5.4,3.31,14.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1835,0.9,24.6,5.8,3.15,13.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1836,0.1,22.8,6.7,3.3,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1837,1.7,23.7,6.8,3.28,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1838,6.7,24.5,9.2,3.8,7.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1839,-8.3,18.3,10.0,3.8,11.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1840,2.7,22.2,9.0,3.8,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1841,-2.7,22.1,9.6,3.75,8.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1842,8.0,24.6,7.4,3.8,8.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1843,-11.2,16.4,5.4,2.71,15.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1844,10.1,29.2,9.2,3.8,8.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1845,-11.3,17.7,5.3,2.62,18.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1846,12.3,29.4,9.9,3.8,8.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1847,-12.0,16.9,9.3,3.65,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1848,-9.4,20.8,6.8,2.88,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1849,-9.4,19.9,7.6,3.28,12.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1850,-2.5,22.6,6.0,2.84,15.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1851,-8.2,19.7,5.4,2.78,16.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1852,2.4,23.8,8.8,3.64,12.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1853,3.3,23.0,3.6,2.63,17.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1854,-14.8,16.8,7.0,2.98,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1855,-12.5,17.2,5.1,2.76,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1856,-2.3,25.4,7.5,3.39,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1857,-1.9,20.7,4.5,2.8,16.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1858,-5.5,20.5,9.9,3.77,12.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1859,6.7,27.1,7.6,3.7,8.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1860,14.2,26.9,3.9,3.06,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1861,14.1,29.8,8.0,3.8,9.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1862,5.1,24.3,4.0,2.81,17.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1863,-4.5,21.2,6.8,3.23,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1864,11.9,27.7,6.7,3.68,11.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1865,-13.3,16.9,5.5,2.58,17.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1866,1.0,25.6,8.9,3.66,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1867,-1.6,20.0,3.9,2.56,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1868,-15.2,18.0,9.7,3.43,12.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1869,-10.6,19.4,8.6,3.3,12.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1870,3.1,25.0,9.5,3.8,8.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1871,-2.6,21.5,3.8,2.59,16.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1872,-14.8,15.5,8.5,3.14,11.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1873,-4.2,21.7,9.6,3.67,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1874,10.7,30.4,4.5,3.18,14.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1875,1.0,23.1,5.8,3.17,13.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1876,3.4,25.0,9.8,3.8,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1877,7.5,28.1,9.2,3.8,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1878,-11.0,18.1,8.3,3.1,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1879,-5.8,21.1,7.8,3.2,14.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1880,6.2,26.1,7.3,3.51,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1881,-0.9,21.3,9.2,3.8,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1882,11.7,26.0,7.3,3.8,11.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1883,4.7,23.8,3.8,2.94,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1884,13.9,29.9,7.1,3.8,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1885,-15.0,17.5,9.5,3.28,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1886,12.7,29.5,6.1,3.75,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1887,4.6,26.7,8.5,3.8,9.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1888,14.1,28.6,5.9,3.7,9.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1889,13.9,30.6,9.1,3.8,9.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1890,-14.5,17.2,9.9,3.47,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1891,6.1,27.2,9.2,3.8,9.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1892,11.6,28.0,7.9,3.74,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1893,6.2,26.8,7.4,3.43,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1894,-15.0,17.2,8.2,3.43,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1895,-8.5,19.2,5.7,2.73,17.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1896,-4.9,22.4,9.5,3.35,12.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1897,-8.2,18.8,6.8,2.97,13.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1898,-15.9,15.6,7.5,3.05,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1899,0.5,20.0,6.1,3.21,13.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1900,14.8,31.0,5.9,3.54,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1901,12.8,27.1,8.8,3.8,9.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1902,-5.5,21.3,9.4,3.64,11.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1903,-17.9,15.9,6.1,2.66,15.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1904,7.5,27.3,5.1,3.08,14.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1905,4.3,26.1,9.2,3.8,9.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1906,9.8,28.9,4.8,3.1,15.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1907,-6.5,19.1,9.7,3.59,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1908,-17.6,14.9,8.5,3.3,12.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1909,-16.6,16.4,9.5,3.48,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1910,-1.8,21.7,7.8,3.64,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1911,-6.0,19.5,5.0,2.67,17.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1912,-1.2,21.9,5.3,2.76,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1913,-13.8,16.6,7.3,2.83,16.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1914,-1.4,19.7,8.6,3.63,11.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1915,-9.0,20.1,5.0,2.53,19.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1916,-0.5,24.2,3.5,2.63,15.8,High-Efficiency Subcooling (COP >2.5)
