Monocoque_Scan_ID,Ultrasonic_Probe_Freq_MHz,Acoustic_Attenuation_dB_mm,Resin_Void_Content_pct,Chassis_Torsional_Rigidity_kNm_deg,Composite_Quality
PAGANI-UTOPIA-1603,7.6,1.47,1.1,50.3,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1604,4.2,0.47,0.41,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1605,9.0,0.59,0.53,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1606,4.1,0.7,0.51,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1607,4.4,0.86,0.47,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1608,6.1,0.48,0.4,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1609,6.7,0.72,0.5,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1610,6.1,0.48,0.34,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1611,10.7,0.62,0.28,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1612,3.8,0.48,0.24,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1613,4.6,0.63,0.38,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1614,11.9,0.8,0.6,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1615,10.4,0.7,0.42,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1616,5.7,0.97,0.51,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1617,6.7,0.77,0.42,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1618,5.8,0.74,0.57,50.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1619,4.7,0.55,0.3,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1620,8.4,0.55,0.31,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1621,4.6,0.62,0.29,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1622,6.8,0.57,0.38,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1623,7.4,0.92,0.67,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1624,10.4,0.49,0.46,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1625,8.2,0.67,0.36,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1626,4.7,0.49,0.07,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1627,9.5,0.49,0.38,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1628,7.0,0.64,0.5,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1629,7.8,0.48,0.28,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1630,5.8,0.59,0.48,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1631,9.1,0.46,0.27,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1632,10.3,0.46,0.42,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1633,8.8,1.2,0.86,52.9,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1634,9.6,0.91,0.51,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1635,12.0,0.53,0.39,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1636,7.8,0.74,0.45,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1637,6.3,0.66,0.39,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1638,8.6,0.78,0.55,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1639,11.3,1.09,0.68,50.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1640,5.0,0.7,0.45,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1641,10.9,0.69,0.54,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1642,8.5,0.49,0.26,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1643,11.0,0.58,0.27,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1644,5.9,0.57,0.44,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1645,9.1,0.52,0.31,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1646,5.7,0.46,0.49,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1647,11.8,0.61,0.36,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1648,11.4,0.48,0.38,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1649,6.3,0.52,0.45,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1650,4.7,0.66,0.45,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1651,11.6,0.46,0.29,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1652,9.1,0.45,0.2,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1653,9.9,0.59,0.48,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1654,7.9,0.47,0.26,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1655,5.4,0.57,0.37,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1656,6.1,1.11,0.84,50.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1657,5.3,0.83,0.54,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1658,9.9,0.91,0.59,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1659,4.9,0.6,0.33,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1660,7.0,0.72,0.44,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1661,4.6,0.97,0.7,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1662,10.7,0.5,0.47,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1663,6.0,0.47,0.29,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1664,8.9,1.32,0.93,49.3,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1665,4.5,0.52,0.42,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1666,7.8,0.55,0.38,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1667,11.8,0.76,0.59,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1668,6.2,0.71,0.49,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1669,4.0,0.57,0.43,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1670,7.9,0.62,0.28,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1671,8.0,0.79,0.51,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1672,5.6,1.57,1.01,49.5,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1673,10.9,0.67,0.46,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1674,11.7,0.46,0.31,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1675,9.5,0.69,0.34,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1676,11.5,0.6,0.27,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1677,9.7,0.86,0.64,49.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1678,10.5,1.01,0.74,50.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1679,7.0,0.66,0.36,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1680,5.5,0.49,0.44,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1681,11.4,0.59,0.48,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1682,3.6,0.69,0.3,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1683,4.5,0.48,0.28,54.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1684,9.3,0.64,0.38,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1685,4.9,0.7,0.4,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1686,10.4,0.56,0.41,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1687,4.7,0.57,0.32,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1688,8.7,0.45,0.26,53.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1689,6.0,0.46,0.27,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1690,6.7,0.84,0.42,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1691,6.5,1.04,0.72,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1692,4.3,0.52,0.11,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1693,5.6,0.7,0.51,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1694,8.0,0.48,0.2,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1695,11.0,0.66,0.46,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1696,6.3,0.46,0.27,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1697,7.9,0.48,0.31,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1698,7.1,0.48,0.14,54.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1699,9.2,1.35,0.88,49.3,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1700,8.1,0.96,0.74,50.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1701,11.0,0.54,0.36,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1702,9.1,0.54,0.34,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1703,5.7,0.48,0.25,54.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1704,6.4,0.57,0.36,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1705,11.5,1.42,0.92,48.7,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1706,5.2,0.67,0.26,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1707,11.3,0.64,0.31,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1708,6.4,0.95,0.5,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1709,6.8,0.54,0.3,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1710,8.8,0.54,0.37,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1711,5.8,0.45,0.18,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1712,8.2,1.12,0.94,48.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1713,9.0,1.38,0.7,50.6,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1714,7.3,0.46,0.18,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1715,8.7,0.54,0.44,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1716,3.5,0.6,0.31,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1717,10.6,0.96,0.6,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1718,5.2,0.61,0.38,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1719,5.2,0.48,0.17,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1720,3.9,0.46,0.17,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1721,5.6,0.74,0.44,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1722,6.7,0.6,0.5,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1723,7.9,0.5,0.32,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1724,8.7,0.5,0.26,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1725,9.0,0.61,0.44,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1726,6.5,0.74,0.44,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1727,9.9,0.68,0.3,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1728,4.9,0.55,0.36,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1729,5.8,0.46,0.29,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1730,7.9,0.64,0.47,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1731,8.2,0.52,0.38,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1732,4.1,0.52,0.35,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1733,6.1,0.5,0.35,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1734,3.8,0.49,0.46,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1735,6.0,0.74,0.44,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1736,11.7,0.51,0.39,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1737,8.2,0.52,0.37,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1738,6.7,0.78,0.51,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1739,4.8,0.55,0.45,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1740,6.9,0.56,0.31,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1741,9.2,0.61,0.41,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1742,10.7,0.53,0.22,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1743,8.5,0.48,0.38,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1744,10.3,0.54,0.27,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1745,4.9,0.66,0.34,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1746,8.2,0.56,0.34,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1747,9.9,0.85,0.55,50.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1748,7.7,0.58,0.43,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1749,6.3,0.71,0.54,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1750,8.9,0.61,0.48,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1751,6.7,0.96,0.57,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1752,11.3,0.73,0.54,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1753,4.5,0.45,0.27,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1754,3.7,0.78,0.38,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1755,9.5,1.52,1.3,47.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1756,6.6,0.47,0.29,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1757,9.4,0.96,0.55,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1758,5.1,0.78,0.55,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1759,6.8,0.54,0.19,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1760,3.7,0.72,0.35,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1761,6.2,0.93,0.63,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1762,5.9,0.54,0.38,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1763,11.6,0.45,0.21,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1764,7.8,0.48,0.32,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1765,4.8,0.65,0.4,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1766,8.4,0.53,0.27,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1767,9.9,0.69,0.41,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1768,5.0,0.45,0.1,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1769,7.2,0.8,0.57,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1770,8.2,1.02,0.62,50.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1771,6.9,0.52,0.37,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1772,7.1,0.92,0.54,50.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1773,10.0,0.77,0.59,49.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1774,6.6,0.46,0.36,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1775,11.3,0.55,0.34,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1776,11.9,0.68,0.56,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1777,5.8,0.52,0.28,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1778,11.3,0.6,0.35,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1779,11.4,0.5,0.34,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1780,12.0,0.58,0.52,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1781,3.9,0.59,0.43,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1782,10.7,0.67,0.53,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1783,3.8,0.72,0.37,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1784,4.8,0.52,0.38,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1785,6.8,0.93,0.54,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1786,10.6,0.52,0.29,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1787,11.2,0.51,0.35,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1788,8.0,0.5,0.33,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1789,6.9,0.66,0.65,50.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1790,5.3,0.59,0.43,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1791,11.1,0.47,0.25,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1792,11.8,0.62,0.41,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1793,7.6,1.26,0.89,49.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1794,4.0,0.46,0.39,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1795,4.8,0.75,0.6,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1796,11.2,1.03,0.66,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1797,9.9,0.75,0.51,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1798,8.7,0.52,0.3,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1799,7.7,0.78,0.44,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1800,6.4,0.54,0.27,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1801,9.3,0.64,0.36,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1802,3.6,0.47,0.49,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1803,10.3,0.48,0.45,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1804,8.9,0.56,0.38,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1805,7.7,0.69,0.54,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1806,11.2,0.7,0.31,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1807,8.5,0.52,0.33,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1808,4.8,0.52,0.33,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1809,4.4,0.63,0.39,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1810,7.5,1.19,0.78,50.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1811,8.0,0.47,0.23,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1812,8.3,0.7,0.48,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1813,5.9,0.48,0.34,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1814,5.5,0.51,0.23,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1815,7.5,0.65,0.33,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1816,9.6,0.6,0.57,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1817,5.6,0.66,0.34,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1818,4.6,0.65,0.48,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1819,10.7,0.61,0.42,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1820,11.9,0.59,0.36,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1821,9.3,0.47,0.23,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1822,5.5,0.54,0.28,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1823,9.7,0.79,0.37,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1824,11.7,0.51,0.4,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1825,6.0,0.5,0.35,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1826,11.0,0.76,0.52,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1827,8.2,0.52,0.19,54.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1828,10.7,0.64,0.32,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1829,7.7,0.67,0.51,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1830,3.8,1.38,0.83,50.3,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1831,9.6,0.56,0.26,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1832,5.0,0.75,0.57,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1833,8.8,0.72,0.46,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1834,7.3,0.81,0.6,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1835,8.3,0.59,0.34,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1836,8.2,0.76,0.42,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1837,5.2,0.51,0.36,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1838,8.2,1.09,0.75,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1839,5.0,1.23,0.87,50.3,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1840,6.8,0.51,0.25,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1841,11.1,0.69,0.46,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1842,7.6,0.56,0.45,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1843,9.5,0.51,0.27,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1844,4.4,0.74,0.45,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
