Trip_ID,Hard_Braking_Count,Acceleration_Smoothness,Cornering_Force_G,Average_Speed_kmh,Cluster,Driver_Category
TRIP-10382,1,1.37,0.196,48.8,2,High-Risk (Aggressive)
TRIP-10383,1,1.42,0.189,49.2,2,High-Risk (Aggressive)
TRIP-10384,1,1.66,0.33,54.7,2,High-Risk (Aggressive)
TRIP-10385,2,2.29,0.243,66.3,0,Eco-Friendly (Safe)
TRIP-10386,9,4.56,0.419,78.5,1,Standard Commuter
TRIP-10387,2,2.23,0.37,60.1,0,Eco-Friendly (Safe)
TRIP-10388,5,5.27,0.651,110.3,1,Standard Commuter
TRIP-10389,1,1.33,0.159,44.3,2,High-Risk (Aggressive)
TRIP-10390,2,2.99,0.356,65.8,0,Eco-Friendly (Safe)
TRIP-10391,6,3.46,0.891,87.8,1,Standard Commuter
TRIP-10392,5,1.76,0.422,70.0,0,Eco-Friendly (Safe)
TRIP-10393,9,4.17,0.524,81.5,1,Standard Commuter
TRIP-10394,0,1.53,0.226,48.9,2,High-Risk (Aggressive)
TRIP-10395,0,1.56,0.129,44.7,2,High-Risk (Aggressive)
TRIP-10396,2,1.64,0.099,55.6,2,High-Risk (Aggressive)
TRIP-10397,1,2.64,0.375,59.7,0,Eco-Friendly (Safe)
TRIP-10398,0,0.97,0.203,58.6,2,High-Risk (Aggressive)
TRIP-10399,0,3.09,0.444,72.0,0,Eco-Friendly (Safe)
TRIP-10400,1,1.89,0.28,59.8,2,High-Risk (Aggressive)
TRIP-10401,5,1.9,0.326,58.6,0,Eco-Friendly (Safe)
TRIP-10402,6,5.9,0.552,79.4,1,Standard Commuter
TRIP-10403,4,1.87,0.299,64.5,0,Eco-Friendly (Safe)
TRIP-10404,2,1.77,0.313,75.7,0,Eco-Friendly (Safe)
TRIP-10405,1,1.22,0.178,56.1,2,High-Risk (Aggressive)
TRIP-10406,13,3.85,0.602,88.7,1,Standard Commuter
TRIP-10407,3,4.79,0.651,109.8,1,Standard Commuter
TRIP-10408,1,1.06,0.12,56.7,2,High-Risk (Aggressive)
TRIP-10409,1,1.36,0.206,44.7,2,High-Risk (Aggressive)
TRIP-10410,3,2.61,0.379,74.8,0,Eco-Friendly (Safe)
TRIP-10411,2,1.8,0.341,67.1,0,Eco-Friendly (Safe)
TRIP-10412,1,1.53,0.163,53.4,2,High-Risk (Aggressive)
TRIP-10413,0,0.67,0.188,51.1,2,High-Risk (Aggressive)
TRIP-10414,2,0.2,0.243,52.0,2,High-Risk (Aggressive)
TRIP-10415,2,1.93,0.279,78.0,0,Eco-Friendly (Safe)
TRIP-10416,4,3.04,0.391,70.9,0,Eco-Friendly (Safe)
TRIP-10417,4,5.31,0.368,81.7,1,Standard Commuter
TRIP-10418,1,2.11,0.306,37.6,2,High-Risk (Aggressive)
TRIP-10419,0,0.8,0.09,44.3,2,High-Risk (Aggressive)
TRIP-10420,0,2.4,0.275,63.3,0,Eco-Friendly (Safe)
TRIP-10421,1,2.39,0.287,82.7,0,Eco-Friendly (Safe)
TRIP-10422,2,1.15,0.139,52.0,2,High-Risk (Aggressive)
TRIP-10423,0,0.73,0.256,58.0,2,High-Risk (Aggressive)
TRIP-10424,2,1.75,0.332,61.9,0,Eco-Friendly (Safe)
TRIP-10425,3,1.69,0.293,69.8,0,Eco-Friendly (Safe)
TRIP-10426,9,5.68,0.394,77.3,1,Standard Commuter
TRIP-10427,1,0.87,0.191,74.1,2,High-Risk (Aggressive)
TRIP-10428,0,0.96,0.172,54.3,2,High-Risk (Aggressive)
TRIP-10429,0,2.46,0.442,75.0,0,Eco-Friendly (Safe)
TRIP-10430,1,0.71,0.171,59.1,2,High-Risk (Aggressive)
TRIP-10431,0,1.17,0.195,50.6,2,High-Risk (Aggressive)
TRIP-10432,8,5.02,0.584,79.6,1,Standard Commuter
TRIP-10433,9,4.74,0.63,111.4,1,Standard Commuter
TRIP-10434,6,4.87,0.525,83.9,1,Standard Commuter
TRIP-10435,1,1.12,0.255,59.6,2,High-Risk (Aggressive)
TRIP-10436,7,5.7,0.692,100.5,1,Standard Commuter
TRIP-10437,5,2.68,0.428,79.9,0,Eco-Friendly (Safe)
TRIP-10438,14,5.31,0.687,96.6,1,Standard Commuter
TRIP-10439,8,6.33,0.724,47.8,1,Standard Commuter
TRIP-10440,3,2.13,0.212,81.2,0,Eco-Friendly (Safe)
TRIP-10441,1,1.43,0.244,55.4,2,High-Risk (Aggressive)
TRIP-10442,2,2.16,0.319,75.2,0,Eco-Friendly (Safe)
TRIP-10443,5,2.43,0.329,66.8,0,Eco-Friendly (Safe)
TRIP-10444,3,2.55,0.301,64.0,0,Eco-Friendly (Safe)
TRIP-10445,1,2.41,0.358,81.8,0,Eco-Friendly (Safe)
TRIP-10446,0,2.29,0.445,49.4,0,Eco-Friendly (Safe)
TRIP-10447,1,2.03,0.381,57.2,0,Eco-Friendly (Safe)
TRIP-10448,1,1.14,0.165,47.6,2,High-Risk (Aggressive)
TRIP-10449,10,4.71,0.703,103.8,1,Standard Commuter
TRIP-10450,0,1.33,0.159,50.1,2,High-Risk (Aggressive)
TRIP-10451,0,1.14,0.134,53.3,2,High-Risk (Aggressive)
TRIP-10452,8,3.85,0.624,98.0,1,Standard Commuter
TRIP-10453,1,0.75,0.163,63.1,2,High-Risk (Aggressive)
TRIP-10454,1,1.35,0.143,54.0,2,High-Risk (Aggressive)
TRIP-10455,5,4.51,0.262,96.8,1,Standard Commuter
TRIP-10456,2,2.99,0.31,64.3,0,Eco-Friendly (Safe)
TRIP-10457,3,1.95,0.269,69.6,0,Eco-Friendly (Safe)
TRIP-10458,0,0.99,0.209,38.8,2,High-Risk (Aggressive)
TRIP-10459,0,1.08,0.173,54.4,2,High-Risk (Aggressive)
TRIP-10460,1,2.02,0.272,58.5,2,High-Risk (Aggressive)
TRIP-10461,2,1.06,0.261,81.8,0,Eco-Friendly (Safe)
TRIP-10462,1,1.33,0.163,52.5,2,High-Risk (Aggressive)
TRIP-10463,6,2.78,0.313,62.0,0,Eco-Friendly (Safe)
TRIP-10464,6,2.32,0.362,65.6,0,Eco-Friendly (Safe)
TRIP-10465,2,2.75,0.431,59.6,0,Eco-Friendly (Safe)
TRIP-10466,7,2.08,0.342,76.0,0,Eco-Friendly (Safe)
TRIP-10467,2,2.63,0.384,62.2,0,Eco-Friendly (Safe)
TRIP-10468,2,1.32,0.183,57.2,2,High-Risk (Aggressive)
TRIP-10469,2,1.93,0.286,83.9,0,Eco-Friendly (Safe)
TRIP-10470,0,0.98,0.217,57.0,2,High-Risk (Aggressive)
TRIP-10471,2,1.21,0.133,72.6,2,High-Risk (Aggressive)
TRIP-10472,5,5.06,0.591,98.3,1,Standard Commuter
TRIP-10473,2,2.13,0.423,77.7,0,Eco-Friendly (Safe)
TRIP-10474,5,2.32,0.361,75.0,0,Eco-Friendly (Safe)
TRIP-10475,2,2.33,0.292,68.2,0,Eco-Friendly (Safe)
TRIP-10476,11,5.09,0.909,81.1,1,Standard Commuter
TRIP-10477,1,2.24,0.264,90.7,0,Eco-Friendly (Safe)
TRIP-10478,1,2.02,0.287,77.3,0,Eco-Friendly (Safe)
TRIP-10479,1,1.66,0.448,62.2,0,Eco-Friendly (Safe)
TRIP-10480,2,1.99,0.324,76.3,0,Eco-Friendly (Safe)
TRIP-10481,0,1.25,0.186,49.2,2,High-Risk (Aggressive)
TRIP-10482,3,2.0,0.262,62.5,0,Eco-Friendly (Safe)
TRIP-10483,2,2.6,0.322,64.6,0,Eco-Friendly (Safe)
TRIP-10484,0,1.47,0.127,55.3,2,High-Risk (Aggressive)
TRIP-10485,4,2.52,0.282,50.3,0,Eco-Friendly (Safe)
TRIP-10486,16,4.32,0.608,96.4,1,Standard Commuter
TRIP-10487,3,1.01,0.206,55.3,2,High-Risk (Aggressive)
TRIP-10488,2,2.47,0.348,58.5,0,Eco-Friendly (Safe)
TRIP-10489,4,2.67,0.404,58.5,0,Eco-Friendly (Safe)
TRIP-10490,4,3.85,0.622,95.0,1,Standard Commuter
TRIP-10491,2,0.77,0.134,37.5,2,High-Risk (Aggressive)
TRIP-10492,0,0.54,0.148,55.0,2,High-Risk (Aggressive)
TRIP-10493,2,1.94,0.318,57.5,0,Eco-Friendly (Safe)
TRIP-10494,5,6.92,0.692,69.3,1,Standard Commuter
TRIP-10495,0,1.17,0.216,65.3,2,High-Risk (Aggressive)
TRIP-10496,3,1.93,0.371,57.4,0,Eco-Friendly (Safe)
TRIP-10497,0,1.2,0.138,48.2,2,High-Risk (Aggressive)
TRIP-10498,0,0.51,0.195,49.8,2,High-Risk (Aggressive)
TRIP-10499,1,1.09,0.151,55.4,2,High-Risk (Aggressive)
TRIP-10500,4,4.51,0.498,87.3,1,Standard Commuter
TRIP-10501,1,1.5,0.171,57.2,2,High-Risk (Aggressive)
TRIP-10502,2,2.94,0.253,85.8,0,Eco-Friendly (Safe)
TRIP-10503,2,0.53,0.148,36.3,2,High-Risk (Aggressive)
TRIP-10504,7,4.51,0.621,76.1,1,Standard Commuter
TRIP-10505,4,2.29,0.313,84.0,0,Eco-Friendly (Safe)
TRIP-10506,3,2.07,0.33,50.1,0,Eco-Friendly (Safe)
TRIP-10507,8,4.42,0.652,89.6,1,Standard Commuter
TRIP-10508,7,5.42,0.52,89.9,1,Standard Commuter
TRIP-10509,1,2.17,0.256,72.3,0,Eco-Friendly (Safe)
TRIP-10510,0,3.29,0.254,69.1,0,Eco-Friendly (Safe)
TRIP-10511,0,1.55,0.164,60.7,2,High-Risk (Aggressive)
TRIP-10512,0,2.35,0.259,74.4,0,Eco-Friendly (Safe)
TRIP-10513,1,2.96,0.269,64.3,0,Eco-Friendly (Safe)
TRIP-10514,3,2.13,0.324,79.4,0,Eco-Friendly (Safe)
TRIP-10515,0,0.58,0.105,55.2,2,High-Risk (Aggressive)
TRIP-10516,2,2.53,0.321,73.3,0,Eco-Friendly (Safe)
TRIP-10517,2,0.95,0.112,49.0,2,High-Risk (Aggressive)
TRIP-10518,0,0.89,0.211,49.3,2,High-Risk (Aggressive)
TRIP-10519,4,2.14,0.419,75.4,0,Eco-Friendly (Safe)
TRIP-10520,2,3.3,0.362,86.6,0,Eco-Friendly (Safe)
TRIP-10521,3,2.73,0.38,60.5,0,Eco-Friendly (Safe)
TRIP-10522,2,2.78,0.356,65.5,0,Eco-Friendly (Safe)
TRIP-10523,1,1.28,0.211,63.6,2,High-Risk (Aggressive)
TRIP-10524,0,1.66,0.188,61.0,2,High-Risk (Aggressive)
TRIP-10525,2,2.99,0.309,85.2,0,Eco-Friendly (Safe)
TRIP-10526,1,0.9,0.204,62.0,2,High-Risk (Aggressive)
TRIP-10527,2,1.16,0.251,48.0,2,High-Risk (Aggressive)
TRIP-10528,4,2.8,0.225,58.6,0,Eco-Friendly (Safe)
TRIP-10529,5,3.13,0.424,72.2,0,Eco-Friendly (Safe)
TRIP-10530,10,3.94,0.637,71.3,1,Standard Commuter
TRIP-10531,0,1.75,0.178,55.8,2,High-Risk (Aggressive)
TRIP-10532,1,1.03,0.118,46.5,2,High-Risk (Aggressive)
TRIP-10533,1,1.41,0.213,60.2,2,High-Risk (Aggressive)
TRIP-10534,3,2.2,0.338,61.2,0,Eco-Friendly (Safe)
TRIP-10535,3,2.44,0.33,74.5,0,Eco-Friendly (Safe)
TRIP-10536,1,3.39,0.256,54.6,0,Eco-Friendly (Safe)
TRIP-10537,2,2.38,0.281,62.9,0,Eco-Friendly (Safe)
TRIP-10538,1,1.0,0.175,59.9,2,High-Risk (Aggressive)
TRIP-10539,4,5.93,0.541,102.2,1,Standard Commuter
TRIP-10540,1,0.82,0.177,63.9,2,High-Risk (Aggressive)
TRIP-10541,2,2.13,0.314,64.5,0,Eco-Friendly (Safe)
TRIP-10542,4,5.03,0.415,65.6,0,Eco-Friendly (Safe)
TRIP-10543,4,3.01,0.367,77.1,0,Eco-Friendly (Safe)
TRIP-10544,3,3.03,0.291,73.5,0,Eco-Friendly (Safe)
TRIP-10545,2,2.03,0.442,58.2,0,Eco-Friendly (Safe)
TRIP-10546,0,1.08,0.185,74.1,2,High-Risk (Aggressive)
TRIP-10547,1,1.17,0.163,61.6,2,High-Risk (Aggressive)
TRIP-10548,1,2.46,0.313,53.8,0,Eco-Friendly (Safe)
TRIP-10549,1,3.2,0.252,52.9,0,Eco-Friendly (Safe)
TRIP-10550,5,4.68,0.828,62.2,1,Standard Commuter
TRIP-10551,2,2.8,0.353,42.6,0,Eco-Friendly (Safe)
TRIP-10552,1,0.98,0.177,46.4,2,High-Risk (Aggressive)
TRIP-10553,2,1.89,0.276,70.3,0,Eco-Friendly (Safe)
TRIP-10554,8,4.02,0.489,107.1,1,Standard Commuter
TRIP-10555,0,1.49,0.18,49.1,2,High-Risk (Aggressive)
TRIP-10556,5,2.77,0.384,75.0,0,Eco-Friendly (Safe)
TRIP-10557,1,3.33,0.376,69.6,0,Eco-Friendly (Safe)
TRIP-10558,2,2.37,0.361,65.5,0,Eco-Friendly (Safe)
TRIP-10559,1,2.41,0.342,69.1,0,Eco-Friendly (Safe)
TRIP-10560,0,1.47,0.217,53.3,2,High-Risk (Aggressive)
TRIP-10561,2,1.96,0.236,54.1,2,High-Risk (Aggressive)
TRIP-10562,1,1.44,0.263,32.1,2,High-Risk (Aggressive)
TRIP-10563,9,6.02,0.624,97.2,1,Standard Commuter
TRIP-10564,4,4.01,0.249,70.7,0,Eco-Friendly (Safe)
TRIP-10565,1,2.76,0.3,77.2,0,Eco-Friendly (Safe)
TRIP-10566,2,2.87,0.587,129.2,1,Standard Commuter
TRIP-10567,0,1.77,0.167,43.0,2,High-Risk (Aggressive)
TRIP-10568,2,0.92,0.402,53.1,2,High-Risk (Aggressive)
TRIP-10569,4,2.79,0.322,59.2,0,Eco-Friendly (Safe)
TRIP-10570,1,1.24,0.098,50.2,2,High-Risk (Aggressive)
TRIP-10571,8,2.67,0.692,61.2,1,Standard Commuter
TRIP-10572,1,1.82,0.266,67.0,0,Eco-Friendly (Safe)
TRIP-10573,2,2.52,0.396,58.3,0,Eco-Friendly (Safe)
TRIP-10574,8,2.67,0.256,82.9,0,Eco-Friendly (Safe)
TRIP-10575,2,1.37,0.19,46.2,2,High-Risk (Aggressive)
TRIP-10576,2,2.52,0.206,73.7,0,Eco-Friendly (Safe)
TRIP-10577,3,2.59,0.325,57.3,0,Eco-Friendly (Safe)
TRIP-10578,0,2.53,0.212,93.6,0,Eco-Friendly (Safe)
TRIP-10579,0,1.35,0.172,63.2,2,High-Risk (Aggressive)
TRIP-10580,2,2.82,0.31,66.0,0,Eco-Friendly (Safe)
TRIP-10581,0,1.87,0.22,69.6,2,High-Risk (Aggressive)
TRIP-10582,4,1.48,0.136,59.8,2,High-Risk (Aggressive)
TRIP-10583,0,1.07,0.172,54.7,2,High-Risk (Aggressive)
TRIP-10584,4,1.6,0.301,62.5,0,Eco-Friendly (Safe)
TRIP-10585,1,1.36,0.162,58.6,2,High-Risk (Aggressive)
TRIP-10586,11,4.23,0.475,93.4,1,Standard Commuter
TRIP-10587,1,1.26,0.215,66.4,2,High-Risk (Aggressive)
TRIP-10588,0,1.55,0.324,70.6,0,Eco-Friendly (Safe)
TRIP-10589,5,4.82,0.621,90.2,1,Standard Commuter
TRIP-10590,1,1.71,0.223,62.7,2,High-Risk (Aggressive)
TRIP-10591,3,2.57,0.229,55.6,0,Eco-Friendly (Safe)
TRIP-10592,5,2.89,0.331,72.3,0,Eco-Friendly (Safe)
TRIP-10593,3,4.29,0.462,76.6,0,Eco-Friendly (Safe)
TRIP-10594,6,4.01,0.742,73.8,1,Standard Commuter
TRIP-10595,3,1.15,0.134,54.0,2,High-Risk (Aggressive)
TRIP-10596,2,2.64,0.317,52.9,0,Eco-Friendly (Safe)
TRIP-10597,0,1.01,0.238,61.8,2,High-Risk (Aggressive)
TRIP-10598,1,0.35,0.191,47.3,2,High-Risk (Aggressive)
TRIP-10599,1,1.81,0.194,54.5,2,High-Risk (Aggressive)
TRIP-10600,3,2.29,0.345,62.2,0,Eco-Friendly (Safe)
TRIP-10601,10,3.39,0.565,90.9,1,Standard Commuter
TRIP-10602,1,1.13,0.231,59.3,2,High-Risk (Aggressive)
TRIP-10603,2,2.94,0.329,59.0,0,Eco-Friendly (Safe)
TRIP-10604,3,2.89,0.251,69.7,0,Eco-Friendly (Safe)
TRIP-10605,1,2.67,0.326,60.2,0,Eco-Friendly (Safe)
TRIP-10606,0,1.05,0.224,75.9,2,High-Risk (Aggressive)
TRIP-10607,1,0.88,0.062,53.9,2,High-Risk (Aggressive)
TRIP-10608,6,2.18,0.391,76.4,0,Eco-Friendly (Safe)
TRIP-10609,3,2.55,0.418,61.2,0,Eco-Friendly (Safe)
TRIP-10610,1,1.54,0.363,69.6,0,Eco-Friendly (Safe)
TRIP-10611,4,2.32,0.305,50.0,0,Eco-Friendly (Safe)
TRIP-10612,5,4.47,0.626,105.7,1,Standard Commuter
TRIP-10613,0,1.93,0.34,67.0,0,Eco-Friendly (Safe)
TRIP-10614,7,4.55,0.395,91.6,1,Standard Commuter
TRIP-10615,6,1.88,0.361,42.4,0,Eco-Friendly (Safe)
TRIP-10616,1,0.79,0.144,48.0,2,High-Risk (Aggressive)
TRIP-10617,3,2.44,0.388,51.8,0,Eco-Friendly (Safe)
TRIP-10618,2,1.91,0.36,51.2,0,Eco-Friendly (Safe)
TRIP-10619,2,2.71,0.402,53.9,0,Eco-Friendly (Safe)
TRIP-10620,1,0.79,0.2,64.3,2,High-Risk (Aggressive)
TRIP-10621,5,5.05,0.602,75.4,1,Standard Commuter
TRIP-10622,2,0.87,0.17,57.2,2,High-Risk (Aggressive)
TRIP-10623,0,1.43,0.19,60.3,2,High-Risk (Aggressive)
TRIP-10624,3,3.93,0.518,83.6,1,Standard Commuter
TRIP-10625,0,1.3,0.167,58.3,2,High-Risk (Aggressive)
TRIP-10626,9,3.8,0.631,86.2,1,Standard Commuter
TRIP-10627,3,4.74,0.472,102.7,1,Standard Commuter
TRIP-10628,0,0.61,0.156,55.3,2,High-Risk (Aggressive)
TRIP-10629,2,2.52,0.341,75.0,0,Eco-Friendly (Safe)
TRIP-10630,3,1.97,0.317,77.1,0,Eco-Friendly (Safe)
TRIP-10631,1,0.39,0.185,40.7,2,High-Risk (Aggressive)
TRIP-10632,1,2.38,0.347,80.1,0,Eco-Friendly (Safe)
TRIP-10633,5,6.08,0.764,60.7,1,Standard Commuter
TRIP-10634,3,2.02,0.293,87.1,0,Eco-Friendly (Safe)
TRIP-10635,2,1.54,0.371,71.0,0,Eco-Friendly (Safe)
TRIP-10636,2,2.22,0.356,71.8,0,Eco-Friendly (Safe)
TRIP-10637,1,0.78,0.138,56.5,2,High-Risk (Aggressive)
TRIP-10638,4,2.94,0.36,68.8,0,Eco-Friendly (Safe)
TRIP-10639,2,1.25,0.196,51.4,2,High-Risk (Aggressive)
TRIP-10640,6,2.25,0.305,71.7,0,Eco-Friendly (Safe)
TRIP-10641,2,1.73,0.29,62.0,0,Eco-Friendly (Safe)
TRIP-10642,0,1.4,0.246,52.1,2,High-Risk (Aggressive)
TRIP-10643,9,4.33,0.747,85.2,1,Standard Commuter
TRIP-10644,1,1.7,0.213,70.9,2,High-Risk (Aggressive)
TRIP-10645,1,1.71,0.332,65.0,0,Eco-Friendly (Safe)
TRIP-10646,0,2.41,0.363,69.9,0,Eco-Friendly (Safe)
TRIP-10647,0,1.37,0.123,39.1,2,High-Risk (Aggressive)
TRIP-10648,8,4.39,0.436,90.8,1,Standard Commuter
TRIP-10649,0,1.44,0.208,53.6,2,High-Risk (Aggressive)
TRIP-10650,2,1.23,0.136,48.6,2,High-Risk (Aggressive)
TRIP-10651,13,3.87,0.582,115.2,1,Standard Commuter
TRIP-10652,2,2.25,0.277,58.9,0,Eco-Friendly (Safe)
TRIP-10653,4,4.32,0.469,78.3,1,Standard Commuter
TRIP-10654,1,1.12,0.156,60.3,2,High-Risk (Aggressive)
TRIP-10655,14,5.38,0.445,76.7,1,Standard Commuter
TRIP-10656,2,3.02,0.31,72.2,0,Eco-Friendly (Safe)
TRIP-10657,4,2.59,0.427,72.2,0,Eco-Friendly (Safe)
TRIP-10658,0,1.25,0.118,59.7,2,High-Risk (Aggressive)
TRIP-10659,5,5.1,0.442,70.3,1,Standard Commuter
TRIP-10660,1,1.49,0.193,39.1,2,High-Risk (Aggressive)
TRIP-10661,4,2.27,0.264,44.2,2,High-Risk (Aggressive)
TRIP-10662,0,0.77,0.204,56.9,2,High-Risk (Aggressive)
TRIP-10663,1,1.01,0.149,47.4,2,High-Risk (Aggressive)
TRIP-10664,7,3.41,0.731,99.2,1,Standard Commuter
TRIP-10665,2,1.44,0.294,79.8,0,Eco-Friendly (Safe)
TRIP-10666,1,2.49,0.238,63.4,0,Eco-Friendly (Safe)
TRIP-10667,2,1.54,0.166,45.6,2,High-Risk (Aggressive)
TRIP-10668,2,2.84,0.317,68.8,0,Eco-Friendly (Safe)
TRIP-10669,2,2.06,0.382,75.9,0,Eco-Friendly (Safe)
TRIP-10670,0,1.43,0.15,74.0,2,High-Risk (Aggressive)
TRIP-10671,4,3.0,0.415,71.3,0,Eco-Friendly (Safe)
TRIP-10672,2,1.51,0.198,58.0,2,High-Risk (Aggressive)
TRIP-10673,2,1.57,0.421,79.3,0,Eco-Friendly (Safe)
TRIP-10674,0,1.15,0.219,48.0,2,High-Risk (Aggressive)
TRIP-10675,1,1.21,0.179,40.0,2,High-Risk (Aggressive)
TRIP-10676,11,3.1,0.463,101.2,1,Standard Commuter
TRIP-10677,3,1.91,0.365,70.3,0,Eco-Friendly (Safe)
TRIP-10678,0,1.18,0.157,71.3,2,High-Risk (Aggressive)
TRIP-10679,5,4.48,0.486,77.3,1,Standard Commuter
TRIP-10680,1,1.02,0.148,48.3,2,High-Risk (Aggressive)
TRIP-10681,3,1.07,0.302,61.7,2,High-Risk (Aggressive)
TRIP-10682,12,4.85,0.421,72.2,1,Standard Commuter
TRIP-10683,0,1.24,0.2,43.5,2,High-Risk (Aggressive)
TRIP-10684,5,3.18,0.34,79.1,0,Eco-Friendly (Safe)
TRIP-10685,10,3.78,0.475,106.5,1,Standard Commuter
TRIP-10686,5,4.66,0.401,86.5,1,Standard Commuter
TRIP-10687,1,1.16,0.185,67.9,2,High-Risk (Aggressive)
TRIP-10688,0,1.18,0.201,61.8,2,High-Risk (Aggressive)
TRIP-10689,5,3.01,0.423,81.7,0,Eco-Friendly (Safe)
TRIP-10690,1,1.38,0.181,58.4,2,High-Risk (Aggressive)
TRIP-10691,3,0.98,0.138,58.8,2,High-Risk (Aggressive)
TRIP-10692,0,1.3,0.077,62.1,2,High-Risk (Aggressive)
TRIP-10693,0,1.14,0.13,52.6,2,High-Risk (Aggressive)
TRIP-10694,9,4.9,0.627,76.5,1,Standard Commuter
TRIP-10695,0,1.31,0.237,61.6,2,High-Risk (Aggressive)
TRIP-10696,2,1.09,0.167,60.2,2,High-Risk (Aggressive)
TRIP-10697,1,2.71,0.345,70.5,0,Eco-Friendly (Safe)
TRIP-10698,2,2.53,0.307,79.2,0,Eco-Friendly (Safe)
TRIP-10699,0,1.52,0.163,57.2,2,High-Risk (Aggressive)
TRIP-10700,0,1.14,0.224,64.9,2,High-Risk (Aggressive)
TRIP-10701,1,1.22,0.213,61.1,2,High-Risk (Aggressive)
TRIP-10702,1,2.7,0.33,80.7,0,Eco-Friendly (Safe)
TRIP-10703,3,2.41,0.226,64.5,0,Eco-Friendly (Safe)
TRIP-10704,1,1.31,0.161,60.7,2,High-Risk (Aggressive)
TRIP-10705,2,2.29,0.3,72.5,0,Eco-Friendly (Safe)
TRIP-10706,2,2.08,0.306,74.5,0,Eco-Friendly (Safe)
TRIP-10707,0,1.72,0.227,48.1,2,High-Risk (Aggressive)
TRIP-10708,0,1.21,0.215,41.1,2,High-Risk (Aggressive)
TRIP-10709,1,0.83,0.176,46.1,2,High-Risk (Aggressive)
TRIP-10710,0,1.17,0.191,55.4,2,High-Risk (Aggressive)
TRIP-10711,2,2.39,0.455,67.6,0,Eco-Friendly (Safe)
TRIP-10712,2,1.54,0.212,54.6,2,High-Risk (Aggressive)
TRIP-10713,1,1.94,0.147,51.6,2,High-Risk (Aggressive)
TRIP-10714,0,1.39,0.206,55.3,2,High-Risk (Aggressive)
TRIP-10715,0,1.25,0.167,58.5,2,High-Risk (Aggressive)
TRIP-10716,0,2.69,0.365,79.4,0,Eco-Friendly (Safe)
TRIP-10717,6,3.08,0.368,103.7,1,Standard Commuter
TRIP-10718,4,2.26,0.406,76.2,0,Eco-Friendly (Safe)
TRIP-10719,0,2.37,0.355,75.6,0,Eco-Friendly (Safe)
TRIP-10720,3,1.14,0.194,57.9,2,High-Risk (Aggressive)
TRIP-10721,1,2.25,0.334,66.7,0,Eco-Friendly (Safe)
TRIP-10722,0,1.26,0.188,54.8,2,High-Risk (Aggressive)
TRIP-10723,6,4.34,0.583,98.0,1,Standard Commuter
TRIP-10724,2,1.05,0.137,50.0,2,High-Risk (Aggressive)
TRIP-10725,1,0.65,0.151,63.2,2,High-Risk (Aggressive)
TRIP-10726,2,1.3,0.204,51.8,2,High-Risk (Aggressive)
TRIP-10727,2,2.35,0.331,57.9,0,Eco-Friendly (Safe)
TRIP-10728,6,2.77,0.717,96.7,1,Standard Commuter
TRIP-10729,5,5.43,0.578,81.3,1,Standard Commuter
TRIP-10730,2,2.68,0.382,81.2,0,Eco-Friendly (Safe)
TRIP-10731,2,0.75,0.165,57.2,2,High-Risk (Aggressive)
TRIP-10732,0,1.08,0.272,55.3,2,High-Risk (Aggressive)
TRIP-10733,6,2.47,0.34,76.7,0,Eco-Friendly (Safe)
TRIP-10734,0,0.79,0.232,48.7,2,High-Risk (Aggressive)
TRIP-10735,0,1.17,0.257,64.6,2,High-Risk (Aggressive)
TRIP-10736,8,5.45,0.572,86.6,1,Standard Commuter
TRIP-10737,2,2.13,0.318,71.3,0,Eco-Friendly (Safe)
TRIP-10738,4,5.55,0.606,97.0,1,Standard Commuter
TRIP-10739,3,1.26,0.172,64.7,2,High-Risk (Aggressive)
TRIP-10740,1,1.14,0.144,49.7,2,High-Risk (Aggressive)
TRIP-10741,7,5.64,0.699,90.4,1,Standard Commuter
TRIP-10742,2,2.73,0.168,72.2,0,Eco-Friendly (Safe)
TRIP-10743,2,3.16,0.34,87.5,0,Eco-Friendly (Safe)
TRIP-10744,2,0.9,0.153,62.8,2,High-Risk (Aggressive)
TRIP-10745,2,3.61,0.278,55.9,0,Eco-Friendly (Safe)
TRIP-10746,7,5.9,0.571,83.4,1,Standard Commuter
TRIP-10747,9,6.94,0.48,82.6,1,Standard Commuter
TRIP-10748,4,2.53,0.38,63.0,0,Eco-Friendly (Safe)
TRIP-10749,1,1.69,0.164,62.9,2,High-Risk (Aggressive)
TRIP-10750,2,2.49,0.402,50.9,0,Eco-Friendly (Safe)
TRIP-10751,2,1.79,0.346,89.3,0,Eco-Friendly (Safe)
TRIP-10752,5,5.85,0.519,112.4,1,Standard Commuter
TRIP-10753,5,3.81,0.576,73.3,1,Standard Commuter
TRIP-10754,2,1.06,0.209,58.4,2,High-Risk (Aggressive)
TRIP-10755,0,2.55,0.304,62.7,0,Eco-Friendly (Safe)
TRIP-10756,2,1.11,0.134,72.2,2,High-Risk (Aggressive)
TRIP-10757,0,1.01,0.163,53.3,2,High-Risk (Aggressive)
TRIP-10758,7,4.04,0.455,70.9,1,Standard Commuter
TRIP-10759,5,4.79,0.363,75.8,1,Standard Commuter
TRIP-10760,0,2.86,0.299,76.6,0,Eco-Friendly (Safe)
TRIP-10761,0,0.84,0.139,56.4,2,High-Risk (Aggressive)
TRIP-10762,4,1.68,0.456,64.8,0,Eco-Friendly (Safe)
