Sensor_Read_ID,Vehicle_Speed_kmh,Road_Water_Depth_mm,Tread_Depth_mm,Wet_Braking_Distance_m,Hydroplaning_Risk
CONTI-TIRE-3333,90.9,3.0,2.9,83.0,High Hydroplaning Risk
CONTI-TIRE-3334,126.0,7.6,2.0,201.0,High Hydroplaning Risk
CONTI-TIRE-3335,85.6,5.9,2.1,86.5,High Hydroplaning Risk
CONTI-TIRE-3336,118.3,2.7,2.0,142.0,High Hydroplaning Risk
CONTI-TIRE-3337,81.0,3.9,3.5,66.8,Safe Wet Grip Margin
CONTI-TIRE-3338,108.8,7.8,2.5,146.3,High Hydroplaning Risk
CONTI-TIRE-3339,139.8,1.0,4.3,155.7,Safe Wet Grip Margin
CONTI-TIRE-3340,63.8,5.1,7.6,32.8,Safe Wet Grip Margin
CONTI-TIRE-3341,63.6,0.9,5.2,32.0,Safe Wet Grip Margin
CONTI-TIRE-3342,125.8,6.5,4.0,171.2,High Hydroplaning Risk
CONTI-TIRE-3343,60.5,6.7,1.9,45.0,High Hydroplaning Risk
CONTI-TIRE-3344,79.7,3.1,2.4,64.8,Safe Wet Grip Margin
CONTI-TIRE-3345,53.6,5.5,7.1,24.4,Safe Wet Grip Margin
CONTI-TIRE-3346,85.7,7.9,4.5,82.4,High Hydroplaning Risk
CONTI-TIRE-3347,109.0,6.9,3.7,133.4,High Hydroplaning Risk
CONTI-TIRE-3348,121.0,7.3,5.4,150.2,High Hydroplaning Risk
CONTI-TIRE-3349,111.1,8.3,1.9,158.4,High Hydroplaning Risk
CONTI-TIRE-3350,125.4,2.3,6.8,111.2,Safe Wet Grip Margin
CONTI-TIRE-3351,117.3,0.6,2.7,118.0,Safe Wet Grip Margin
CONTI-TIRE-3352,64.3,8.7,6.4,47.3,Safe Wet Grip Margin
CONTI-TIRE-3353,100.3,2.7,2.8,99.6,High Hydroplaning Risk
CONTI-TIRE-3354,68.1,3.8,3.9,44.9,Safe Wet Grip Margin
CONTI-TIRE-3355,118.0,1.8,2.7,128.4,High Hydroplaning Risk
CONTI-TIRE-3356,93.2,7.5,4.1,96.1,High Hydroplaning Risk
CONTI-TIRE-3357,50.7,8.4,5.8,25.2,Safe Wet Grip Margin
CONTI-TIRE-3358,132.3,8.5,5.6,185.7,High Hydroplaning Risk
CONTI-TIRE-3359,50.8,0.7,1.7,25.1,Safe Wet Grip Margin
CONTI-TIRE-3360,110.9,4.8,6.7,99.3,High Hydroplaning Risk
CONTI-TIRE-3361,83.8,0.9,3.5,56.5,Safe Wet Grip Margin
CONTI-TIRE-3362,97.9,7.5,1.8,121.0,High Hydroplaning Risk
CONTI-TIRE-3363,120.3,1.8,6.2,100.7,Safe Wet Grip Margin
CONTI-TIRE-3364,112.9,6.6,2.6,149.7,High Hydroplaning Risk
CONTI-TIRE-3365,113.7,2.0,3.5,113.4,Safe Wet Grip Margin
CONTI-TIRE-3366,65.7,6.1,4.1,50.2,Safe Wet Grip Margin
CONTI-TIRE-3367,125.8,2.9,3.9,141.2,High Hydroplaning Risk
CONTI-TIRE-3368,60.9,3.8,7.5,27.6,Safe Wet Grip Margin
CONTI-TIRE-3369,79.8,7.1,6.7,59.3,Safe Wet Grip Margin
CONTI-TIRE-3370,81.3,1.5,7.3,38.0,Safe Wet Grip Margin
CONTI-TIRE-3371,82.4,1.9,3.9,56.3,Safe Wet Grip Margin
CONTI-TIRE-3372,63.4,7.1,7.4,39.3,Safe Wet Grip Margin
CONTI-TIRE-3373,84.7,1.1,5.2,51.2,Safe Wet Grip Margin
CONTI-TIRE-3374,51.7,2.1,4.3,21.3,Safe Wet Grip Margin
CONTI-TIRE-3375,93.3,8.1,5.3,95.4,High Hydroplaning Risk
CONTI-TIRE-3376,53.2,7.9,3.3,31.6,Safe Wet Grip Margin
CONTI-TIRE-3377,71.7,1.3,7.4,35.2,Safe Wet Grip Margin
CONTI-TIRE-3378,101.8,2.1,6.6,73.7,Safe Wet Grip Margin
CONTI-TIRE-3379,64.8,8.9,7.9,39.8,Safe Wet Grip Margin
CONTI-TIRE-3380,100.8,7.6,5.2,106.0,High Hydroplaning Risk
CONTI-TIRE-3381,68.0,8.2,7.1,47.7,Safe Wet Grip Margin
CONTI-TIRE-3382,86.6,8.0,6.0,74.4,High Hydroplaning Risk
CONTI-TIRE-3383,99.2,5.5,2.2,110.6,High Hydroplaning Risk
CONTI-TIRE-3384,128.3,1.2,7.4,98.9,Safe Wet Grip Margin
CONTI-TIRE-3385,94.1,2.3,6.4,65.6,Safe Wet Grip Margin
CONTI-TIRE-3386,125.3,2.6,6.0,121.2,Safe Wet Grip Margin
CONTI-TIRE-3387,94.4,5.2,5.9,77.9,Safe Wet Grip Margin
CONTI-TIRE-3388,100.6,2.1,3.3,91.9,Safe Wet Grip Margin
CONTI-TIRE-3389,85.7,6.0,4.7,75.1,High Hydroplaning Risk
CONTI-TIRE-3390,79.8,8.3,7.7,59.5,Safe Wet Grip Margin
CONTI-TIRE-3391,90.7,1.6,7.1,51.7,Safe Wet Grip Margin
CONTI-TIRE-3392,55.8,5.6,3.3,33.7,Safe Wet Grip Margin
CONTI-TIRE-3393,67.5,4.8,4.4,42.5,Safe Wet Grip Margin
CONTI-TIRE-3394,97.2,1.0,7.6,54.5,Safe Wet Grip Margin
CONTI-TIRE-3395,95.7,3.9,5.9,73.7,Safe Wet Grip Margin
CONTI-TIRE-3396,107.8,5.3,5.2,110.4,High Hydroplaning Risk
CONTI-TIRE-3397,87.7,1.1,7.3,45.1,Safe Wet Grip Margin
CONTI-TIRE-3398,63.0,4.5,4.3,42.9,Safe Wet Grip Margin
CONTI-TIRE-3399,133.0,8.1,3.8,206.4,High Hydroplaning Risk
CONTI-TIRE-3400,67.1,8.3,4.8,51.4,Safe Wet Grip Margin
CONTI-TIRE-3401,139.1,6.1,6.2,177.1,High Hydroplaning Risk
CONTI-TIRE-3402,72.2,8.9,6.9,55.7,Safe Wet Grip Margin
CONTI-TIRE-3403,62.8,3.9,5.6,36.4,Safe Wet Grip Margin
CONTI-TIRE-3404,86.7,4.3,5.4,65.6,Safe Wet Grip Margin
CONTI-TIRE-3405,61.6,2.8,6.9,28.0,Safe Wet Grip Margin
CONTI-TIRE-3406,80.7,8.3,3.5,82.0,High Hydroplaning Risk
CONTI-TIRE-3407,73.2,1.3,7.4,36.9,Safe Wet Grip Margin
CONTI-TIRE-3408,122.0,3.9,7.8,108.3,Safe Wet Grip Margin
CONTI-TIRE-3409,138.3,8.6,6.6,195.4,High Hydroplaning Risk
CONTI-TIRE-3410,71.0,3.5,2.4,48.3,Safe Wet Grip Margin
CONTI-TIRE-3411,135.3,7.0,5.9,177.8,High Hydroplaning Risk
CONTI-TIRE-3412,121.1,6.2,4.8,147.3,High Hydroplaning Risk
CONTI-TIRE-3413,130.3,8.8,5.4,185.4,High Hydroplaning Risk
CONTI-TIRE-3414,53.8,3.4,3.3,25.9,Safe Wet Grip Margin
CONTI-TIRE-3415,58.0,7.4,6.5,35.2,Safe Wet Grip Margin
CONTI-TIRE-3416,100.3,8.5,1.9,131.9,High Hydroplaning Risk
CONTI-TIRE-3417,123.4,7.9,4.9,169.5,High Hydroplaning Risk
CONTI-TIRE-3418,83.4,8.2,4.9,79.0,High Hydroplaning Risk
CONTI-TIRE-3419,61.2,7.6,6.7,33.8,Safe Wet Grip Margin
CONTI-TIRE-3420,120.3,2.3,8.0,94.5,Safe Wet Grip Margin
CONTI-TIRE-3421,69.2,3.6,3.8,45.9,Safe Wet Grip Margin
CONTI-TIRE-3422,81.7,1.6,4.6,54.1,Safe Wet Grip Margin
CONTI-TIRE-3423,68.5,4.5,3.2,52.8,Safe Wet Grip Margin
CONTI-TIRE-3424,88.3,4.5,6.4,64.6,Safe Wet Grip Margin
CONTI-TIRE-3425,65.3,3.6,2.0,43.2,Safe Wet Grip Margin
CONTI-TIRE-3426,52.7,7.6,3.2,36.1,Safe Wet Grip Margin
CONTI-TIRE-3427,111.3,1.4,2.2,117.7,High Hydroplaning Risk
CONTI-TIRE-3428,130.2,3.4,7.5,119.7,Safe Wet Grip Margin
CONTI-TIRE-3429,125.0,1.3,2.9,134.8,High Hydroplaning Risk
CONTI-TIRE-3430,111.5,8.2,3.8,145.2,High Hydroplaning Risk
CONTI-TIRE-3431,126.9,6.9,2.2,195.1,High Hydroplaning Risk
CONTI-TIRE-3432,69.6,6.9,5.0,54.4,Safe Wet Grip Margin
CONTI-TIRE-3433,136.0,4.4,2.2,195.7,High Hydroplaning Risk
CONTI-TIRE-3434,121.6,8.6,6.6,146.5,High Hydroplaning Risk
CONTI-TIRE-3435,56.7,6.1,7.6,26.5,Safe Wet Grip Margin
CONTI-TIRE-3436,126.5,7.9,5.1,171.6,High Hydroplaning Risk
CONTI-TIRE-3437,136.6,0.5,6.3,117.4,Safe Wet Grip Margin
CONTI-TIRE-3438,123.0,7.2,5.1,155.2,High Hydroplaning Risk
CONTI-TIRE-3439,111.1,7.9,7.3,114.9,High Hydroplaning Risk
CONTI-TIRE-3440,52.0,0.5,4.1,21.4,Safe Wet Grip Margin
CONTI-TIRE-3441,73.5,8.8,2.0,72.8,High Hydroplaning Risk
CONTI-TIRE-3442,125.6,8.5,2.1,205.3,High Hydroplaning Risk
CONTI-TIRE-3443,73.8,3.9,5.2,46.6,Safe Wet Grip Margin
CONTI-TIRE-3444,120.1,8.0,4.3,163.0,High Hydroplaning Risk
CONTI-TIRE-3445,76.0,0.6,3.6,46.5,Safe Wet Grip Margin
CONTI-TIRE-3446,84.0,8.7,5.6,75.7,High Hydroplaning Risk
CONTI-TIRE-3447,119.4,7.2,5.2,146.1,High Hydroplaning Risk
CONTI-TIRE-3448,91.5,1.6,3.3,73.7,Safe Wet Grip Margin
CONTI-TIRE-3449,53.7,0.7,4.6,21.6,Safe Wet Grip Margin
CONTI-TIRE-3450,93.5,6.2,7.5,71.3,Safe Wet Grip Margin
CONTI-TIRE-3451,81.8,4.5,5.1,58.6,Safe Wet Grip Margin
CONTI-TIRE-3452,68.2,2.9,5.9,37.2,Safe Wet Grip Margin
CONTI-TIRE-3453,110.9,2.9,4.7,107.1,Safe Wet Grip Margin
CONTI-TIRE-3454,120.7,8.6,7.0,142.5,High Hydroplaning Risk
CONTI-TIRE-3455,72.4,4.4,5.2,46.1,Safe Wet Grip Margin
CONTI-TIRE-3456,113.3,2.6,3.3,118.8,High Hydroplaning Risk
CONTI-TIRE-3457,136.8,0.8,3.5,156.5,Safe Wet Grip Margin
CONTI-TIRE-3458,102.5,4.6,2.3,115.8,High Hydroplaning Risk
CONTI-TIRE-3459,52.0,3.4,4.2,25.9,Safe Wet Grip Margin
CONTI-TIRE-3460,66.0,0.8,6.6,25.7,Safe Wet Grip Margin
CONTI-TIRE-3461,80.1,7.2,2.8,75.6,High Hydroplaning Risk
CONTI-TIRE-3462,81.8,1.0,2.5,59.2,Safe Wet Grip Margin
CONTI-TIRE-3463,55.9,4.5,6.8,24.6,Safe Wet Grip Margin
CONTI-TIRE-3464,108.5,1.2,5.0,86.1,Safe Wet Grip Margin
CONTI-TIRE-3465,58.4,2.2,7.9,21.4,Safe Wet Grip Margin
CONTI-TIRE-3466,133.5,7.5,6.0,178.9,High Hydroplaning Risk
CONTI-TIRE-3467,71.9,7.3,2.8,59.8,High Hydroplaning Risk
CONTI-TIRE-3468,75.9,3.8,7.1,47.6,Safe Wet Grip Margin
CONTI-TIRE-3469,136.9,6.6,4.0,206.4,High Hydroplaning Risk
CONTI-TIRE-3470,84.2,3.3,5.2,62.5,Safe Wet Grip Margin
CONTI-TIRE-3471,112.0,6.0,3.6,135.6,High Hydroplaning Risk
CONTI-TIRE-3472,119.7,5.2,2.3,158.3,High Hydroplaning Risk
CONTI-TIRE-3473,100.6,6.9,5.2,102.4,High Hydroplaning Risk
CONTI-TIRE-3474,100.7,8.6,3.6,121.4,High Hydroplaning Risk
CONTI-TIRE-3475,102.3,3.1,7.6,70.8,Safe Wet Grip Margin
CONTI-TIRE-3476,70.5,1.5,2.4,43.5,Safe Wet Grip Margin
CONTI-TIRE-3477,136.1,4.6,5.6,161.7,High Hydroplaning Risk
CONTI-TIRE-3478,121.1,4.3,8.0,104.3,Safe Wet Grip Margin
CONTI-TIRE-3479,51.6,5.6,7.7,18.8,Safe Wet Grip Margin
CONTI-TIRE-3480,111.0,3.1,5.1,102.5,Safe Wet Grip Margin
CONTI-TIRE-3481,126.7,5.0,5.0,147.4,High Hydroplaning Risk
CONTI-TIRE-3482,77.5,3.3,3.8,55.1,Safe Wet Grip Margin
CONTI-TIRE-3483,59.0,1.2,5.6,25.1,Safe Wet Grip Margin
CONTI-TIRE-3484,132.4,4.5,4.8,161.2,High Hydroplaning Risk
CONTI-TIRE-3485,114.0,6.4,3.4,146.1,High Hydroplaning Risk
CONTI-TIRE-3486,77.9,9.0,6.2,66.8,Safe Wet Grip Margin
CONTI-TIRE-3487,115.5,0.7,2.1,120.5,Safe Wet Grip Margin
CONTI-TIRE-3488,70.0,1.7,7.4,29.3,Safe Wet Grip Margin
CONTI-TIRE-3489,55.0,8.9,3.5,33.9,Safe Wet Grip Margin
CONTI-TIRE-3490,81.4,3.7,7.2,48.0,Safe Wet Grip Margin
CONTI-TIRE-3491,120.7,5.0,1.7,164.1,High Hydroplaning Risk
CONTI-TIRE-3492,60.9,1.3,7.2,21.0,Safe Wet Grip Margin
CONTI-TIRE-3493,138.3,4.5,3.4,195.4,High Hydroplaning Risk
CONTI-TIRE-3494,89.3,2.5,3.1,72.5,Safe Wet Grip Margin
CONTI-TIRE-3495,92.2,0.8,4.8,64.5,Safe Wet Grip Margin
CONTI-TIRE-3496,122.3,8.7,7.4,145.1,High Hydroplaning Risk
CONTI-TIRE-3497,64.6,4.5,2.0,47.3,High Hydroplaning Risk
CONTI-TIRE-3498,135.6,5.0,7.7,140.7,High Hydroplaning Risk
CONTI-TIRE-3499,120.9,4.2,2.6,152.5,High Hydroplaning Risk
CONTI-TIRE-3500,138.1,5.4,7.5,154.5,High Hydroplaning Risk
CONTI-TIRE-3501,61.2,1.9,1.9,38.6,Safe Wet Grip Margin
CONTI-TIRE-3502,123.0,6.2,2.0,180.5,High Hydroplaning Risk
CONTI-TIRE-3503,99.0,4.8,1.9,111.2,High Hydroplaning Risk
CONTI-TIRE-3504,138.2,2.0,2.6,179.1,High Hydroplaning Risk
CONTI-TIRE-3505,119.2,2.3,5.3,113.2,Safe Wet Grip Margin
CONTI-TIRE-3506,111.2,7.4,6.6,125.1,High Hydroplaning Risk
CONTI-TIRE-3507,52.2,5.5,3.5,30.9,Safe Wet Grip Margin
CONTI-TIRE-3508,56.7,1.5,5.1,25.6,Safe Wet Grip Margin
CONTI-TIRE-3509,139.4,5.1,3.0,208.6,High Hydroplaning Risk
CONTI-TIRE-3510,132.2,0.9,7.9,93.7,Safe Wet Grip Margin
CONTI-TIRE-3511,112.3,3.6,5.7,104.4,Safe Wet Grip Margin
CONTI-TIRE-3512,130.6,5.3,4.9,161.6,High Hydroplaning Risk
CONTI-TIRE-3513,76.5,8.8,7.4,56.7,Safe Wet Grip Margin
CONTI-TIRE-3514,110.0,5.3,3.7,126.3,High Hydroplaning Risk
CONTI-TIRE-3515,107.5,7.0,5.6,115.1,High Hydroplaning Risk
CONTI-TIRE-3516,77.9,4.6,5.1,53.1,Safe Wet Grip Margin
CONTI-TIRE-3517,113.2,0.5,2.4,112.4,Safe Wet Grip Margin
CONTI-TIRE-3518,110.8,7.5,5.5,128.2,High Hydroplaning Risk
CONTI-TIRE-3519,133.4,5.8,4.9,174.2,High Hydroplaning Risk
CONTI-TIRE-3520,70.1,3.6,4.6,42.8,Safe Wet Grip Margin
CONTI-TIRE-3521,85.1,3.6,6.0,61.1,Safe Wet Grip Margin
CONTI-TIRE-3522,95.2,5.3,2.6,100.7,High Hydroplaning Risk
CONTI-TIRE-3523,75.9,6.4,5.9,50.7,Safe Wet Grip Margin
CONTI-TIRE-3524,106.6,1.9,3.9,95.4,Safe Wet Grip Margin
CONTI-TIRE-3525,56.5,7.5,2.5,40.2,High Hydroplaning Risk
CONTI-TIRE-3526,53.4,1.5,2.4,27.0,Safe Wet Grip Margin
CONTI-TIRE-3527,72.4,7.3,7.5,43.8,Safe Wet Grip Margin
CONTI-TIRE-3528,92.5,3.7,4.1,79.4,Safe Wet Grip Margin
CONTI-TIRE-3529,115.2,8.2,2.5,163.9,High Hydroplaning Risk
CONTI-TIRE-3530,83.6,7.2,1.7,86.6,High Hydroplaning Risk
CONTI-TIRE-3531,58.9,4.4,6.1,31.9,Safe Wet Grip Margin
CONTI-TIRE-3532,71.0,5.7,7.7,41.4,Safe Wet Grip Margin
CONTI-TIRE-3533,72.4,0.5,2.3,47.5,Safe Wet Grip Margin
CONTI-TIRE-3534,85.2,7.0,1.8,90.1,High Hydroplaning Risk
CONTI-TIRE-3535,86.1,5.5,4.3,71.9,High Hydroplaning Risk
CONTI-TIRE-3536,93.3,5.9,4.3,88.8,High Hydroplaning Risk
CONTI-TIRE-3537,79.8,5.7,2.5,70.9,High Hydroplaning Risk
CONTI-TIRE-3538,71.0,2.6,5.8,35.5,Safe Wet Grip Margin
CONTI-TIRE-3539,60.7,1.9,6.0,29.0,Safe Wet Grip Margin
CONTI-TIRE-3540,127.5,9.0,7.2,162.1,High Hydroplaning Risk
CONTI-TIRE-3541,119.1,3.9,4.9,125.7,High Hydroplaning Risk
CONTI-TIRE-3542,91.7,0.6,4.9,58.7,Safe Wet Grip Margin
CONTI-TIRE-3543,119.7,5.2,6.3,124.0,High Hydroplaning Risk
CONTI-TIRE-3544,121.7,3.5,7.2,107.8,Safe Wet Grip Margin
CONTI-TIRE-3545,62.1,2.8,7.8,26.4,Safe Wet Grip Margin
CONTI-TIRE-3546,123.6,3.4,5.2,128.6,High Hydroplaning Risk
CONTI-TIRE-3547,126.5,2.9,5.7,127.2,High Hydroplaning Risk
CONTI-TIRE-3548,102.8,0.6,7.0,63.1,Safe Wet Grip Margin
CONTI-TIRE-3549,89.7,6.6,1.7,99.3,High Hydroplaning Risk
CONTI-TIRE-3550,92.3,2.8,4.9,69.5,Safe Wet Grip Margin
CONTI-TIRE-3551,105.9,6.9,3.7,124.9,High Hydroplaning Risk
CONTI-TIRE-3552,121.8,6.2,5.5,143.4,High Hydroplaning Risk
CONTI-TIRE-3553,114.1,6.9,7.9,108.7,High Hydroplaning Risk
CONTI-TIRE-3554,135.9,6.5,6.3,171.4,High Hydroplaning Risk
CONTI-TIRE-3555,87.9,4.0,7.8,54.0,Safe Wet Grip Margin
CONTI-TIRE-3556,112.8,2.4,5.0,100.2,Safe Wet Grip Margin
CONTI-TIRE-3557,58.2,6.8,2.9,36.4,Safe Wet Grip Margin
CONTI-TIRE-3558,107.5,3.0,6.7,85.9,Safe Wet Grip Margin
CONTI-TIRE-3559,67.3,2.0,6.5,28.8,Safe Wet Grip Margin
CONTI-TIRE-3560,79.6,0.8,3.7,50.3,Safe Wet Grip Margin
CONTI-TIRE-3561,53.1,0.8,7.2,15.3,Safe Wet Grip Margin
CONTI-TIRE-3562,78.2,1.0,2.9,55.5,Safe Wet Grip Margin
CONTI-TIRE-3563,126.4,3.7,1.8,170.2,High Hydroplaning Risk
CONTI-TIRE-3564,129.7,8.1,2.5,214.1,High Hydroplaning Risk
CONTI-TIRE-3565,80.6,0.5,7.6,37.4,Safe Wet Grip Margin
CONTI-TIRE-3566,103.8,7.2,5.0,115.6,High Hydroplaning Risk
CONTI-TIRE-3567,108.0,6.0,2.2,131.4,High Hydroplaning Risk
CONTI-TIRE-3568,72.8,5.4,4.4,50.7,Safe Wet Grip Margin
CONTI-TIRE-3569,121.3,3.8,6.4,113.1,High Hydroplaning Risk
CONTI-TIRE-3570,72.8,3.1,6.8,37.3,Safe Wet Grip Margin
CONTI-TIRE-3571,60.0,4.4,2.4,40.2,Safe Wet Grip Margin
CONTI-TIRE-3572,54.1,6.9,2.8,35.8,Safe Wet Grip Margin
CONTI-TIRE-3573,54.8,8.0,6.0,30.5,Safe Wet Grip Margin
CONTI-TIRE-3574,137.1,6.3,6.2,172.2,High Hydroplaning Risk
CONTI-TIRE-3575,115.3,3.0,2.5,133.5,High Hydroplaning Risk
CONTI-TIRE-3576,102.4,0.7,1.8,95.3,Safe Wet Grip Margin
CONTI-TIRE-3577,94.4,2.1,2.2,84.9,High Hydroplaning Risk
CONTI-TIRE-3578,81.2,2.0,2.5,61.4,Safe Wet Grip Margin
CONTI-TIRE-3579,137.0,7.2,2.7,226.2,High Hydroplaning Risk
CONTI-TIRE-3580,57.3,1.2,4.6,26.5,Safe Wet Grip Margin
CONTI-TIRE-3581,102.2,5.4,5.6,95.6,High Hydroplaning Risk
CONTI-TIRE-3582,76.3,2.9,6.4,48.5,Safe Wet Grip Margin
CONTI-TIRE-3583,113.0,2.4,5.4,98.7,Safe Wet Grip Margin
CONTI-TIRE-3584,120.6,6.1,4.5,147.0,High Hydroplaning Risk
CONTI-TIRE-3585,89.7,2.6,6.9,54.4,Safe Wet Grip Margin
CONTI-TIRE-3586,93.9,2.5,3.3,78.7,Safe Wet Grip Margin
CONTI-TIRE-3587,60.8,1.7,2.2,33.2,Safe Wet Grip Margin
CONTI-TIRE-3588,118.1,2.9,4.2,127.5,High Hydroplaning Risk
CONTI-TIRE-3589,92.5,6.2,3.5,94.0,High Hydroplaning Risk
CONTI-TIRE-3590,134.5,2.2,3.7,157.0,High Hydroplaning Risk
CONTI-TIRE-3591,135.1,1.4,3.3,159.2,High Hydroplaning Risk
CONTI-TIRE-3592,61.8,0.6,1.7,35.8,Safe Wet Grip Margin
CONTI-TIRE-3593,134.9,1.5,5.6,130.8,Safe Wet Grip Margin
CONTI-TIRE-3594,71.5,2.4,5.3,40.5,Safe Wet Grip Margin
CONTI-TIRE-3595,53.6,7.5,2.2,35.4,High Hydroplaning Risk
CONTI-TIRE-3596,128.0,7.5,4.9,172.5,High Hydroplaning Risk
CONTI-TIRE-3597,55.4,2.1,3.4,28.1,Safe Wet Grip Margin
CONTI-TIRE-3598,119.6,0.6,6.1,96.4,Safe Wet Grip Margin
CONTI-TIRE-3599,98.3,7.7,4.5,105.8,High Hydroplaning Risk
CONTI-TIRE-3600,68.8,7.0,3.9,50.9,Safe Wet Grip Margin
CONTI-TIRE-3601,129.1,3.7,2.9,166.7,High Hydroplaning Risk
CONTI-TIRE-3602,119.1,7.8,3.7,162.4,High Hydroplaning Risk
CONTI-TIRE-3603,125.3,6.2,6.1,144.1,High Hydroplaning Risk
CONTI-TIRE-3604,95.4,8.2,2.8,109.9,High Hydroplaning Risk
CONTI-TIRE-3605,119.0,0.6,6.0,95.5,Safe Wet Grip Margin
CONTI-TIRE-3606,77.3,1.6,7.0,36.2,Safe Wet Grip Margin
CONTI-TIRE-3607,108.8,5.6,5.4,110.1,High Hydroplaning Risk
CONTI-TIRE-3608,63.4,2.1,2.8,37.4,Safe Wet Grip Margin
CONTI-TIRE-3609,84.7,7.1,7.9,62.7,Safe Wet Grip Margin
CONTI-TIRE-3610,139.5,2.4,1.7,198.9,High Hydroplaning Risk
CONTI-TIRE-3611,70.4,4.6,2.3,51.5,High Hydroplaning Risk
CONTI-TIRE-3612,114.2,8.3,7.7,122.0,High Hydroplaning Risk
CONTI-TIRE-3613,72.2,0.7,7.9,28.2,Safe Wet Grip Margin
CONTI-TIRE-3614,122.1,6.8,5.7,146.2,High Hydroplaning Risk
CONTI-TIRE-3615,89.0,3.2,4.3,71.7,Safe Wet Grip Margin
CONTI-TIRE-3616,88.7,3.3,5.3,61.8,Safe Wet Grip Margin
CONTI-TIRE-3617,137.0,0.9,4.0,150.7,Safe Wet Grip Margin
CONTI-TIRE-3618,78.8,3.4,3.6,58.3,Safe Wet Grip Margin
CONTI-TIRE-3619,77.3,7.9,1.7,80.7,High Hydroplaning Risk
CONTI-TIRE-3620,71.3,6.6,2.5,59.3,High Hydroplaning Risk
CONTI-TIRE-3621,133.9,8.3,2.0,228.7,High Hydroplaning Risk
CONTI-TIRE-3622,70.5,4.6,2.7,54.0,High Hydroplaning Risk
CONTI-TIRE-3623,95.4,2.8,6.7,68.0,Safe Wet Grip Margin
CONTI-TIRE-3624,74.8,4.4,7.5,41.8,Safe Wet Grip Margin
CONTI-TIRE-3625,94.0,3.5,5.9,73.0,Safe Wet Grip Margin
CONTI-TIRE-3626,63.3,5.6,1.8,43.8,High Hydroplaning Risk
CONTI-TIRE-3627,62.2,0.8,3.4,30.5,Safe Wet Grip Margin
CONTI-TIRE-3628,122.2,8.8,6.2,154.7,High Hydroplaning Risk
CONTI-TIRE-3629,102.6,2.5,3.9,88.9,Safe Wet Grip Margin
CONTI-TIRE-3630,108.9,3.4,6.8,88.2,Safe Wet Grip Margin
CONTI-TIRE-3631,58.9,2.9,1.7,41.0,Safe Wet Grip Margin
CONTI-TIRE-3632,107.1,4.5,1.8,128.3,High Hydroplaning Risk
CONTI-TIRE-3633,116.1,7.0,5.6,136.3,High Hydroplaning Risk
CONTI-TIRE-3634,87.9,5.0,2.3,86.2,High Hydroplaning Risk
CONTI-TIRE-3635,107.2,5.8,1.9,134.6,High Hydroplaning Risk
CONTI-TIRE-3636,110.9,8.6,3.4,150.1,High Hydroplaning Risk
CONTI-TIRE-3637,139.2,5.8,3.7,203.0,High Hydroplaning Risk
CONTI-TIRE-3638,132.8,2.1,3.6,154.8,High Hydroplaning Risk
CONTI-TIRE-3639,110.7,6.7,6.3,115.8,High Hydroplaning Risk
CONTI-TIRE-3640,137.8,8.5,3.2,228.7,High Hydroplaning Risk
CONTI-TIRE-3641,78.5,1.6,5.8,44.6,Safe Wet Grip Margin
CONTI-TIRE-3642,56.4,2.6,7.6,21.0,Safe Wet Grip Margin
CONTI-TIRE-3643,95.0,5.4,6.0,82.1,Safe Wet Grip Margin
CONTI-TIRE-3644,108.0,7.6,3.7,131.9,High Hydroplaning Risk
CONTI-TIRE-3645,111.0,3.6,7.8,82.9,Safe Wet Grip Margin
CONTI-TIRE-3646,109.2,1.6,3.3,101.8,Safe Wet Grip Margin
CONTI-TIRE-3647,133.4,2.3,4.9,144.7,High Hydroplaning Risk
CONTI-TIRE-3648,69.5,8.0,3.5,58.5,High Hydroplaning Risk
CONTI-TIRE-3649,122.0,7.6,6.6,145.7,High Hydroplaning Risk
CONTI-TIRE-3650,117.2,8.0,5.6,143.2,High Hydroplaning Risk
CONTI-TIRE-3651,74.0,1.4,2.0,52.3,Safe Wet Grip Margin
CONTI-TIRE-3652,58.9,7.7,5.3,33.6,Safe Wet Grip Margin
CONTI-TIRE-3653,81.9,3.4,2.8,64.2,Safe Wet Grip Margin
CONTI-TIRE-3654,78.0,7.6,6.4,57.7,Safe Wet Grip Margin
CONTI-TIRE-3655,58.7,6.7,5.0,36.4,Safe Wet Grip Margin
CONTI-TIRE-3656,103.7,4.7,4.7,102.1,High Hydroplaning Risk
CONTI-TIRE-3657,99.5,1.7,2.1,92.7,High Hydroplaning Risk
CONTI-TIRE-3658,111.1,6.9,2.8,144.3,High Hydroplaning Risk
CONTI-TIRE-3659,136.1,7.0,3.0,216.4,High Hydroplaning Risk
CONTI-TIRE-3660,136.7,2.2,4.1,159.6,High Hydroplaning Risk
CONTI-TIRE-3661,50.4,7.3,7.4,21.1,Safe Wet Grip Margin
CONTI-TIRE-3662,117.6,7.1,7.5,119.3,High Hydroplaning Risk
CONTI-TIRE-3663,139.6,4.5,6.4,158.6,High Hydroplaning Risk
CONTI-TIRE-3664,81.1,8.7,4.6,75.4,High Hydroplaning Risk
CONTI-TIRE-3665,126.1,1.9,6.0,116.4,Safe Wet Grip Margin
CONTI-TIRE-3666,134.4,3.0,4.6,156.9,High Hydroplaning Risk
CONTI-TIRE-3667,138.0,7.4,3.4,221.9,High Hydroplaning Risk
