V2G_Event_ID,Utility_Voltage_V,Power_Export_kW,Total_Harmonic_Distortion_pct,Phase_Angle_Jitter_deg,Grid_Synchronization
FORD-PRO-1668,223.2,3.58,1.42,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1669,235.2,6.83,2.59,1.34,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1670,229.1,8.93,2.69,0.7,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1671,231.1,9.15,3.41,0.44,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1672,238.2,3.53,1.58,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1673,241.5,5.66,2.47,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1674,246.3,3.12,2.07,0.36,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1675,235.9,3.6,2.03,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1676,233.8,3.04,1.82,0.26,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1677,230.3,4.24,2.16,0.74,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1678,225.4,3.64,2.36,0.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1679,222.2,5.86,2.14,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1680,225.1,6.37,2.35,0.35,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1681,228.6,6.22,2.32,0.66,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1682,242.5,4.4,2.44,0.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1683,237.7,7.72,2.86,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1684,224.4,5.03,2.15,0.12,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1685,223.1,6.81,2.63,1.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1686,239.9,2.6,0.87,0.92,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1687,239.7,3.56,1.21,0.66,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1688,236.9,6.02,2.2,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1689,240.5,7.7,2.84,0.17,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1690,229.6,3.06,2.31,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1691,233.0,6.83,2.71,0.86,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1692,234.7,3.92,1.97,0.53,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1693,237.5,5.83,2.27,0.5,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1694,238.8,4.6,1.89,0.5,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1695,232.3,9.38,2.38,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1696,228.5,7.66,2.91,1.96,Harmonic Filter Compensation Active
FORD-PRO-1697,240.4,8.33,2.73,0.17,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1698,232.5,3.11,1.54,0.83,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1699,234.0,8.38,3.38,1.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1700,239.8,7.68,2.88,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1701,232.0,6.64,2.54,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1702,240.1,6.47,2.71,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1703,221.1,3.48,2.49,0.81,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1704,229.0,5.03,2.57,0.49,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1705,239.5,2.61,1.48,0.4,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1706,226.1,2.72,1.0,0.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1707,221.1,8.17,2.51,0.79,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1708,222.6,2.93,1.61,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1709,221.1,2.77,1.73,0.88,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1710,223.9,2.82,1.79,1.96,Harmonic Filter Compensation Active
FORD-PRO-1711,238.0,6.08,2.62,0.36,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1712,245.6,7.16,2.61,0.71,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1713,230.9,2.45,1.58,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1714,242.7,5.02,2.2,0.24,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1715,238.5,9.11,3.18,0.11,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1716,234.5,5.9,2.53,0.21,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1717,240.7,8.56,3.16,1.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1718,235.2,5.64,2.16,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1719,241.2,6.41,2.47,0.75,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1720,235.6,3.65,1.55,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1721,244.0,7.52,2.22,0.24,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1722,227.3,8.37,2.31,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1723,239.0,6.03,2.24,0.17,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1724,237.4,8.57,2.33,0.48,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1725,247.0,4.46,2.43,0.54,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1726,222.7,3.74,1.52,1.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1727,227.5,5.26,1.83,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1728,244.1,6.64,1.71,0.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1729,223.2,6.18,2.37,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1730,234.0,2.83,2.02,0.82,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1731,247.0,5.26,2.27,0.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1732,247.8,3.0,1.44,0.12,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1733,238.8,6.24,2.79,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1734,234.8,6.83,2.0,0.22,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1735,244.9,5.42,2.55,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1736,242.5,7.19,2.32,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1737,239.0,2.92,1.17,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1738,220.7,5.18,2.32,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1739,230.0,7.73,2.43,1.56,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1740,225.1,9.07,2.92,0.43,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1741,220.9,7.58,2.39,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1742,235.5,4.92,2.46,0.67,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1743,230.4,7.81,2.58,1.19,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1744,238.7,5.34,2.38,0.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1745,225.6,9.56,3.73,2.31,Harmonic Filter Compensation Active
FORD-PRO-1746,242.1,6.62,2.21,0.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1747,245.5,2.88,1.29,0.87,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1748,244.1,4.36,2.05,0.73,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1749,247.0,2.98,1.68,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1750,247.2,2.42,1.28,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1751,243.2,4.94,1.63,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1752,232.9,4.02,1.49,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1753,234.5,5.73,2.35,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1754,246.2,2.47,2.08,0.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1755,243.7,8.31,2.12,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1756,229.9,4.91,2.12,0.02,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1757,221.5,6.49,2.48,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1758,227.1,4.12,1.99,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1759,238.6,8.42,2.46,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1760,238.7,2.43,1.84,2.08,Harmonic Filter Compensation Active
FORD-PRO-1761,247.7,4.51,2.78,0.38,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1762,240.1,7.61,2.64,0.82,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1763,241.0,5.91,1.86,0.49,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1764,244.6,9.34,3.2,1.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1765,220.9,7.14,3.62,0.65,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1766,229.3,3.5,1.8,1.0,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1767,221.1,8.64,2.69,0.94,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1768,228.5,2.99,1.87,0.26,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1769,236.7,8.4,2.81,0.62,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1770,226.5,5.98,1.85,0.83,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1771,245.5,6.65,2.44,0.86,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1772,228.6,2.89,2.1,0.0,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1773,226.5,3.55,1.9,0.6,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1774,220.7,9.25,2.54,1.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1775,221.6,9.36,3.06,0.59,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1776,230.5,2.61,1.9,0.21,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1777,223.9,6.64,2.75,0.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1778,227.5,6.92,2.73,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1779,230.6,5.57,2.53,0.77,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1780,237.2,7.96,2.41,0.65,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1781,230.4,3.2,1.87,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1782,243.1,3.96,2.41,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1783,243.3,5.11,2.02,0.7,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1784,239.1,4.78,1.63,0.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1785,231.5,8.23,3.02,0.32,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1786,240.1,6.81,2.11,0.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1787,224.2,5.42,1.42,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1788,238.9,7.51,2.4,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1789,222.0,8.66,2.69,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1790,242.9,6.0,2.49,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1791,226.6,7.83,2.8,0.73,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1792,232.2,4.1,1.57,0.96,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1793,239.9,3.16,1.73,0.94,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1794,232.7,9.43,2.46,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1795,232.6,9.05,3.38,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1796,237.1,4.0,2.18,1.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1797,222.9,7.76,2.17,0.81,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1798,223.6,4.68,1.71,0.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1799,221.7,7.18,2.15,0.38,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1800,221.2,5.94,2.2,1.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1801,226.6,7.52,3.26,0.44,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1802,236.0,9.02,3.17,1.59,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1803,221.8,8.26,2.99,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1804,225.5,4.98,1.89,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1805,224.7,2.89,1.63,0.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1806,247.2,9.48,3.08,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1807,242.6,8.62,2.73,0.74,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1808,234.6,5.79,2.82,0.96,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1809,233.4,9.15,2.79,0.22,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1810,224.9,4.63,2.38,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1811,229.7,2.41,1.76,0.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1812,234.5,8.91,2.48,1.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1813,231.8,7.93,2.67,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1814,232.8,8.05,2.82,0.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1815,228.7,9.45,2.96,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1816,239.7,4.43,1.89,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1817,235.5,7.39,2.88,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1818,224.5,9.48,2.86,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1819,238.3,7.7,2.63,1.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1820,233.3,7.18,2.44,1.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1821,236.2,4.13,1.72,0.35,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1822,242.4,7.75,2.73,1.38,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1823,227.7,8.18,2.58,0.73,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1824,243.2,5.0,2.06,0.54,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1825,220.9,7.79,2.95,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1826,225.0,5.57,2.51,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1827,229.9,3.27,1.51,0.24,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1828,230.0,6.09,2.19,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1829,221.5,2.65,1.8,0.53,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1830,222.2,9.14,2.74,0.24,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1831,223.2,8.18,2.92,0.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1832,230.0,6.08,2.08,0.89,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1833,241.3,2.91,1.48,1.54,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1834,235.0,2.53,2.17,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1835,237.3,6.49,1.64,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1836,238.4,2.8,1.83,0.34,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1837,238.0,3.54,1.95,1.78,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1838,220.3,9.15,2.4,0.53,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1839,227.5,8.1,3.07,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1840,226.7,2.51,1.64,0.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1841,232.4,8.72,2.84,1.66,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1842,245.1,9.59,2.61,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1843,229.3,6.64,2.7,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1844,242.6,6.66,2.12,1.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1845,243.5,7.25,2.54,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1846,246.2,4.58,1.83,0.98,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1847,220.9,9.17,2.92,1.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1848,239.4,3.97,2.14,0.0,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1849,222.3,5.05,1.75,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1850,231.9,9.41,3.24,0.96,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1851,232.1,6.81,2.69,1.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1852,242.7,8.49,2.55,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1853,227.6,4.55,2.5,0.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1854,229.1,7.71,2.16,0.79,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1855,247.0,4.19,2.34,0.71,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1856,235.3,7.99,2.98,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1857,238.0,9.02,2.77,1.83,Harmonic Filter Compensation Active
FORD-PRO-1858,246.1,7.37,2.11,1.14,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1859,242.6,5.45,2.15,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1860,243.0,9.35,2.98,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1861,243.1,9.58,3.03,0.68,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1862,242.1,8.12,2.27,0.38,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1863,226.4,9.18,2.62,0.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1864,238.5,5.75,2.0,0.17,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1865,229.5,7.97,2.92,1.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1866,242.5,4.86,2.11,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1867,243.8,4.19,2.55,1.44,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1868,228.8,8.23,2.71,0.34,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1869,242.8,9.22,2.52,1.65,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1870,225.6,8.12,2.96,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1871,247.8,4.6,1.97,0.23,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1872,242.4,5.92,2.24,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1873,239.9,6.61,2.37,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1874,247.8,3.37,1.56,0.43,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1875,224.1,7.71,2.99,0.84,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1876,247.1,3.5,1.57,0.02,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1877,235.5,6.77,2.75,0.73,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1878,223.3,6.25,1.99,0.19,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1879,241.0,8.8,3.34,0.98,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1880,240.1,4.61,2.62,0.35,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1881,234.8,6.42,1.72,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1882,225.1,8.86,2.82,0.69,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1883,223.8,7.92,2.61,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1884,232.0,6.48,2.12,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1885,235.4,2.81,1.45,1.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1886,237.4,5.63,2.13,1.21,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1887,236.2,6.51,2.68,1.02,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1888,224.7,3.02,1.84,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1889,232.7,9.14,3.68,1.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1890,240.0,4.34,1.6,0.68,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1891,242.3,5.95,2.42,0.87,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1892,220.8,8.65,2.57,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1893,239.4,7.82,3.05,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1894,247.2,6.84,2.77,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1895,223.9,4.07,2.23,0.77,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1896,231.5,9.03,2.78,0.48,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1897,245.8,7.77,3.09,0.49,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1898,228.7,8.69,3.24,0.4,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1899,233.6,7.98,2.82,0.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1900,242.5,4.5,2.2,0.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1901,220.3,8.28,2.96,0.78,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1902,226.3,3.85,2.0,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1903,224.0,8.91,2.92,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1904,225.1,7.13,2.28,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1905,231.7,2.67,1.42,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1906,226.4,8.96,2.67,1.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1907,220.6,9.03,3.08,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1908,241.6,8.28,2.8,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1909,243.4,3.01,1.44,0.14,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1910,236.1,7.57,2.8,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1911,236.8,7.41,2.32,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1912,240.2,6.99,2.41,0.11,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1913,220.0,7.4,2.33,1.23,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1914,241.1,8.07,2.53,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1915,221.9,2.57,1.76,1.12,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1916,221.9,7.91,2.72,0.93,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1917,232.9,3.01,1.58,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1918,244.6,7.0,2.3,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1919,232.2,5.33,1.88,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1920,236.6,8.04,2.82,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1921,230.0,5.53,1.57,1.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1922,246.1,6.9,2.24,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1923,231.7,8.34,2.74,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1924,235.4,3.43,1.83,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1925,238.8,7.54,2.85,0.9,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1926,237.8,9.57,2.52,0.88,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1927,244.3,5.56,1.91,0.86,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1928,244.7,9.32,2.28,0.32,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1929,223.9,4.61,1.55,0.22,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1930,220.7,2.48,1.51,0.83,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1931,222.5,9.15,3.13,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1932,241.1,4.54,2.47,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1933,221.1,4.54,1.92,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1934,225.9,3.31,1.92,0.17,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1935,234.0,4.31,2.04,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1936,236.6,7.59,2.67,0.26,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1937,242.8,5.72,2.61,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1938,245.6,9.53,2.73,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1939,235.5,4.55,1.59,0.7,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1940,220.2,5.24,2.18,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1941,221.4,4.21,1.88,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1942,248.0,3.48,1.8,0.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1943,231.4,4.85,2.17,0.43,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1944,229.4,8.6,2.72,0.66,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1945,237.7,9.42,2.57,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1946,235.6,4.63,2.4,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1947,224.3,4.86,2.26,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1948,241.6,9.57,2.71,0.44,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1949,220.3,4.77,2.08,0.43,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1950,244.5,9.26,2.8,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1951,236.5,3.68,1.87,0.6,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1952,245.5,9.47,2.76,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1953,245.8,5.27,2.48,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1954,227.1,7.68,2.51,0.91,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1955,244.1,4.42,2.05,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1956,243.1,7.44,2.33,0.9,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1957,220.8,3.2,1.99,0.48,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1958,244.7,3.46,2.09,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1959,224.9,8.77,2.74,0.78,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1960,234.1,3.13,1.51,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1961,225.2,9.56,2.96,0.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1962,242.4,5.34,1.9,1.52,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1963,230.1,3.13,1.63,1.24,Clean Utility Grid Sync (<3% THD)
