Road_Event_ID,Pothole_Obstacle_Depth_mm,Vehicle_Speed_kmh,Camera_Lookahead_Time_ms,Damper_Pre_Softening_Force_N,Cabin_Vertical_Impact_G,Ride_Isolation_Score_pct,Suspension_Action
GENESIS-G90-1666,95.0,101.4,533,1200,0.377,91.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1667,23.8,55.6,970,3276,0.22,94.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1668,16.0,101.4,532,3413,0.119,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1669,6.5,92.4,584,3687,0.204,94.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1670,7.8,79.3,681,3527,0.148,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1671,28.4,43.9,1229,2934,0.215,93.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1672,30.1,100.0,540,3095,0.229,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1673,8.1,57.3,943,3539,0.105,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1674,27.8,108.2,499,3182,0.181,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1675,17.0,38.5,1402,3479,0.159,93.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1676,95.0,76.9,702,1200,0.348,92.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1677,26.6,43.1,1254,3117,0.195,97.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1678,15.5,71.6,755,3463,0.177,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1679,95.0,86.6,624,1327,0.388,92.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1680,5.9,35.3,1531,3836,0.142,98.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1681,71.5,40.4,1336,1734,0.29,96.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1682,20.3,44.1,1225,3215,0.153,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1683,10.5,89.9,600,3301,0.136,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1684,40.2,107.8,501,2720,0.273,94.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1685,21.0,36.0,1500,3339,0.175,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1686,20.8,90.8,595,3283,0.197,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1687,20.0,76.1,710,3181,0.15,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1688,5.0,88.3,612,3595,0.13,98.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1689,25.7,108.7,497,3091,0.167,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1690,10.2,79.9,676,3535,0.171,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1691,8.0,88.6,609,3677,0.156,94.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1692,22.5,80.1,674,3427,0.184,93.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1693,51.6,92.3,585,2400,0.274,95.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1694,37.8,97.8,552,2779,0.219,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1695,33.0,75.0,720,2743,0.236,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1696,22.2,31.8,1697,3130,0.202,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1697,25.3,100.8,536,3181,0.214,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1698,8.2,75.6,714,3332,0.127,98.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1699,21.7,78.5,688,3094,0.171,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1700,28.0,33.5,1612,3088,0.265,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1701,5.0,73.0,740,3693,0.147,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1702,71.8,60.8,888,1816,0.336,92.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1703,12.4,47.0,1149,3430,0.118,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1704,5.0,74.6,723,3748,0.144,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1705,21.8,64.6,836,3241,0.232,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1706,58.1,30.2,1788,2121,0.305,94.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1707,22.0,86.8,622,3144,0.228,94.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1708,41.0,60.4,895,2509,0.224,94.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1709,13.9,80.4,672,3336,0.188,98.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1710,5.0,64.3,840,3673,0.142,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1711,14.1,86.9,622,3433,0.149,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1712,6.4,86.9,622,3665,0.141,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1713,29.2,81.6,662,2830,0.213,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1714,7.8,67.2,804,3430,0.161,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1715,5.0,84.4,640,3723,0.104,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1716,5.8,71.9,751,3600,0.141,96.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1717,19.9,51.5,1048,3405,0.177,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1718,9.3,46.3,1166,3396,0.092,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1719,67.5,76.4,707,1952,0.299,93.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1720,17.7,86.1,627,3031,0.155,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1721,24.7,90.3,598,3146,0.195,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1722,95.0,31.6,1708,1200,0.376,92.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1723,15.2,32.5,1664,3454,0.172,97.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1724,5.0,77.6,696,3713,0.164,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1725,68.6,81.9,659,2000,0.324,95.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1726,21.7,92.3,585,3194,0.182,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1727,10.8,107.3,503,3427,0.153,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1728,9.4,37.1,1457,3558,0.184,92.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1729,7.4,65.1,830,3763,0.186,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1730,5.7,70.8,763,3626,0.119,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1731,28.9,50.1,1079,3094,0.176,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1732,5.0,102.3,528,3657,0.114,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1733,30.1,37.1,1456,2827,0.156,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1734,31.3,60.1,898,3081,0.199,94.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1735,57.6,38.9,1388,2261,0.314,90.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1736,11.9,53.0,1019,3389,0.105,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1737,21.0,30.8,1751,3183,0.206,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1738,5.0,61.3,881,3638,0.127,97.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1739,20.7,105.5,512,3211,0.163,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1740,9.8,78.5,688,3554,0.164,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1741,29.2,54.3,994,3234,0.223,95.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1742,15.1,48.3,1118,3354,0.169,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1743,8.1,102.2,528,3553,0.153,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1744,5.0,109.9,491,3668,0.125,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1745,43.5,98.6,547,2557,0.257,93.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1746,14.6,98.7,547,3292,0.133,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1747,20.1,81.4,663,2966,0.203,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1748,9.7,90.5,596,3486,0.097,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1749,13.8,102.3,528,3334,0.115,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1750,30.6,105.4,513,3166,0.187,98.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1751,95.0,66.7,809,1359,0.455,91.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1752,5.0,77.0,701,3717,0.15,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1753,18.1,61.4,879,3234,0.147,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1754,38.6,47.0,1148,2724,0.273,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1755,74.1,76.1,709,1604,0.361,92.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1756,41.1,108.0,500,2606,0.252,94.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1757,14.9,44.7,1209,3239,0.159,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1758,19.7,42.8,1263,3274,0.209,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1759,6.2,37.4,1442,3812,0.17,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1760,14.2,43.6,1240,3469,0.192,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1761,23.3,73.5,735,3146,0.203,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1762,43.6,73.8,732,2474,0.235,94.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1763,9.8,59.7,905,3461,0.145,97.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1764,87.9,81.4,664,1469,0.368,91.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1765,37.8,106.3,508,2943,0.243,93.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1766,35.7,85.2,633,2977,0.264,93.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1767,5.0,63.7,848,3717,0.111,98.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1768,94.7,34.1,1582,1200,0.397,94.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1769,15.7,66.0,819,3495,0.128,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1770,5.0,56.0,965,3472,0.11,97.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1771,30.3,46.9,1151,2925,0.243,92.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1772,9.9,107.0,505,3536,0.114,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1773,9.1,81.1,666,3722,0.149,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1774,26.4,44.2,1223,2796,0.194,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1775,5.0,61.7,875,3521,0.191,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1776,35.1,106.6,506,2550,0.243,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1777,6.9,66.4,813,3548,0.188,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1778,15.8,86.1,627,3373,0.101,97.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1779,20.0,89.6,603,3256,0.213,94.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1780,8.2,105.4,512,3508,0.136,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1781,58.8,99.8,541,2003,0.269,94.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1782,35.6,61.8,874,2761,0.249,94.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1783,59.1,94.9,569,2037,0.262,93.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1784,5.0,48.5,1113,3679,0.222,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1785,50.2,61.7,875,2353,0.316,92.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1786,16.8,69.5,777,3395,0.18,95.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1787,36.9,39.8,1358,2697,0.28,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1788,23.5,89.9,601,3065,0.207,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1789,42.3,45.7,1180,2482,0.191,96.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1790,7.2,51.6,1046,3502,0.14,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1791,6.3,87.9,614,3594,0.165,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1792,40.3,93.5,577,2638,0.211,94.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1793,5.0,108.0,500,3822,0.141,97.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1794,50.7,36.9,1465,2283,0.288,94.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1795,5.0,30.6,1765,3548,0.129,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1796,5.0,81.5,662,3684,0.157,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1797,62.7,42.6,1268,1949,0.299,94.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1798,20.0,83.0,650,3194,0.173,93.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1799,22.1,107.9,500,3233,0.137,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1800,17.7,56.0,965,3149,0.158,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1801,19.1,51.1,1056,3387,0.194,97.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1802,10.0,100.9,535,3548,0.176,93.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1803,22.3,88.3,611,2918,0.233,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1804,95.0,82.8,652,1200,0.392,91.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1805,10.1,105.6,511,3254,0.143,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1806,6.4,77.5,697,3573,0.124,98.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1807,5.0,93.3,579,3591,0.136,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1808,46.7,103.9,520,2532,0.244,95.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1809,29.1,69.2,781,3045,0.203,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1810,55.7,33.7,1601,2156,0.289,93.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1811,10.2,98.4,549,3498,0.199,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1812,5.8,58.3,925,3811,0.159,97.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1813,74.5,43.8,1234,1601,0.374,91.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1814,52.6,51.2,1056,2497,0.285,91.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1815,19.4,92.8,582,3256,0.214,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1816,55.4,68.5,789,2082,0.315,94.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1817,12.6,74.1,729,3328,0.205,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1818,5.0,61.7,876,3443,0.119,98.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1819,48.8,53.8,1004,2354,0.263,94.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1820,21.7,106.4,508,3047,0.185,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1821,83.4,98.4,549,1479,0.324,93.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1822,5.0,74.8,722,3814,0.129,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1823,51.3,45.3,1193,2399,0.3,95.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1824,45.6,72.1,749,2631,0.234,94.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1825,5.2,87.5,617,3592,0.145,95.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1826,16.8,44.7,1207,3405,0.172,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1827,23.1,99.6,542,3093,0.189,94.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1828,5.0,78.0,692,3736,0.166,98.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1829,46.7,75.9,712,2582,0.277,94.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1830,13.2,41.2,1312,3540,0.119,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1831,19.8,102.5,527,3090,0.162,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1832,18.0,84.7,637,3237,0.134,94.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1833,8.4,42.8,1260,3548,0.13,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1834,11.1,109.0,495,3386,0.155,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1835,5.0,97.4,555,3524,0.122,92.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1836,95.0,85.8,629,1206,0.421,91.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1837,34.6,69.7,774,3007,0.196,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1838,19.9,62.5,864,3234,0.187,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1839,19.7,71.3,758,3243,0.172,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1840,95.0,91.9,588,1200,0.421,91.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1841,55.1,57.5,940,2352,0.305,91.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1842,25.1,75.5,715,3078,0.232,98.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1843,40.7,47.9,1127,2688,0.271,93.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1844,51.7,46.0,1175,2393,0.274,94.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1845,74.0,58.2,928,1552,0.304,91.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1846,10.9,71.8,752,3637,0.16,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1847,5.0,49.7,1086,3822,0.121,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1848,7.9,98.6,548,3533,0.189,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1849,28.6,84.8,636,3006,0.238,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1850,39.7,94.5,572,2763,0.21,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1851,60.4,87.7,616,2038,0.304,93.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1852,5.0,51.8,1043,3863,0.083,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1853,13.3,38.9,1390,3349,0.134,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1854,39.5,59.3,911,2593,0.226,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1855,82.1,101.9,530,1470,0.335,91.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1856,51.6,70.1,770,2237,0.227,95.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1857,73.9,37.8,1430,1682,0.34,91.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1858,5.0,85.5,632,3526,0.111,97.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1859,5.1,70.0,772,3845,0.094,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1860,29.8,46.3,1167,3100,0.208,94.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1861,5.0,61.8,874,3660,0.093,99.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1862,43.6,43.4,1245,2540,0.196,95.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1863,11.1,47.0,1150,3490,0.101,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1864,5.0,47.1,1146,3741,0.161,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1865,23.1,82.1,657,3169,0.175,94.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1866,95.0,98.2,550,1289,0.347,92.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1867,95.0,52.2,1034,1200,0.395,91.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1868,27.3,68.3,791,3094,0.173,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1869,14.5,41.6,1299,3493,0.176,95.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1870,39.6,98.3,549,2579,0.266,94.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1871,23.2,48.1,1122,2837,0.208,94.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1872,5.0,42.8,1263,3672,0.155,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1873,20.2,56.3,959,3306,0.177,97.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1874,5.0,70.5,766,3714,0.108,98.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1875,8.8,99.2,544,3566,0.134,98.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1876,25.4,63.3,853,2909,0.181,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1877,13.2,94.6,571,3320,0.179,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1878,5.0,99.2,545,3634,0.118,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1879,23.6,74.5,725,3069,0.184,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1880,36.2,38.1,1419,2807,0.201,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1881,5.0,97.7,552,3629,0.091,97.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1882,5.0,68.1,793,3647,0.133,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1883,6.1,71.6,754,3558,0.112,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1884,44.7,108.3,498,2424,0.233,93.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1885,11.4,48.7,1108,3188,0.154,97.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1886,25.4,81.9,659,3195,0.177,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1887,32.0,56.2,961,2879,0.203,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1888,5.0,81.0,667,3814,0.157,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1889,17.6,85.6,631,3500,0.184,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1890,27.0,89.4,604,3110,0.182,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1891,10.1,52.0,1038,3425,0.199,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1892,6.9,32.4,1667,3796,0.089,98.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1893,30.2,47.0,1148,2972,0.207,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1894,56.8,44.2,1221,2308,0.3,93.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1895,8.3,104.8,515,3708,0.144,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1896,9.9,72.9,740,3815,0.153,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1897,8.7,81.3,664,3338,0.145,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1898,32.6,93.8,576,2653,0.213,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1899,37.7,46.4,1164,2773,0.265,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1900,35.0,33.1,1630,2864,0.191,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1901,13.5,101.8,530,3352,0.144,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1902,23.7,93.2,580,2979,0.218,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1903,8.2,52.3,1032,3649,0.178,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1904,5.0,92.9,581,3498,0.181,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1905,7.7,61.4,880,3716,0.133,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1906,5.0,61.0,885,3582,0.098,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1907,16.3,90.8,595,3122,0.188,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1908,11.4,71.6,754,3513,0.134,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1909,15.5,55.3,976,3266,0.199,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1910,24.4,89.6,603,3059,0.148,97.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1911,5.0,60.4,895,3732,0.102,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1912,5.5,94.3,573,3583,0.149,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1913,17.7,79.6,678,3393,0.131,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1914,5.0,74.7,723,3563,0.095,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1915,20.7,61.9,872,3229,0.145,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1916,39.2,91.5,590,2549,0.179,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1917,25.1,74.8,722,3086,0.194,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1918,58.1,52.7,1025,2249,0.312,93.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1919,5.0,34.2,1580,3463,0.098,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1920,7.0,47.5,1138,3829,0.159,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1921,39.2,108.9,496,2609,0.258,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1922,8.6,43.7,1235,3509,0.164,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1923,5.7,99.6,542,3406,0.112,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1924,29.4,42.1,1283,2944,0.277,97.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1925,5.7,79.5,679,3685,0.092,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1926,35.5,51.4,1051,2930,0.227,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1927,5.0,94.3,573,3573,0.146,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1928,17.8,90.2,599,3279,0.214,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1929,6.8,92.7,582,3707,0.161,97.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1930,14.6,89.7,602,3696,0.192,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1931,6.1,82.4,655,3551,0.117,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1932,6.7,106.7,506,3692,0.169,95.7,Nominal Magic Carpet Luxury Ride
