Fleet_ID,Truck_Model,Cargo_Weight_kg,Wind_Resistance_Cd,Tire_Pressure_PSI,Hill_Elevation_m,Average_Speed_MPH,Fuel_Economy_MPG
TRUCK-5323,AeroTruck V6,8630,0.654,100.1,83.5,53.7,6.15
TRUCK-5324,UrbanDelivery 4x2,12428,0.422,121.7,191.0,75.3,6.51
TRUCK-5325,AeroTruck V6,15729,0.578,104.5,773.1,52.8,4.92
TRUCK-5326,UrbanDelivery 4x2,11208,0.548,106.6,566.3,70.4,5.71
TRUCK-5327,EcoVan 2500,2931,0.652,106.6,105.9,59.1,7.85
TRUCK-5328,TransHaul Heavy 8,11373,0.422,101.4,59.2,59.2,7.01
TRUCK-5329,TransHaul Heavy 8,14541,0.649,90.0,939.7,77.5,4.5
TRUCK-5330,EcoVan 2500,17525,0.697,103.2,189.1,71.8,4.5
TRUCK-5331,TransHaul Heavy 8,3182,0.613,102.5,8.7,65.4,7.31
TRUCK-5332,UrbanDelivery 4x2,4931,0.69,100.9,89.5,60.9,7.44
TRUCK-5333,UrbanDelivery 4x2,6370,0.489,106.7,1502.6,57.7,7.44
TRUCK-5334,UrbanDelivery 4x2,3998,0.688,107.5,364.2,64.1,6.78
TRUCK-5335,UrbanDelivery 4x2,12630,0.396,106.9,634.0,56.9,6.31
TRUCK-5336,AeroTruck V6,8157,0.529,101.6,715.6,63.7,6.58
TRUCK-5337,UrbanDelivery 4x2,6551,0.677,123.1,94.2,54.4,8.65
TRUCK-5338,AeroTruck V6,8892,0.383,106.5,122.3,66.4,7.29
TRUCK-5339,AeroTruck V6,16629,0.62,96.7,279.5,57.7,4.5
TRUCK-5340,EcoVan 2500,2684,0.366,103.5,91.5,64.9,8.36
TRUCK-5341,AeroTruck V6,15977,0.487,121.7,224.1,52.0,7.06
TRUCK-5342,AeroTruck V6,3850,0.637,110.6,535.5,54.3,7.76
TRUCK-5343,TransHaul Heavy 8,8893,0.47,90.9,593.0,65.3,5.54
TRUCK-5344,UrbanDelivery 4x2,7948,0.565,112.0,15.9,40.4,7.03
TRUCK-5345,EcoVan 2500,4877,0.567,99.3,16.9,60.6,8.11
TRUCK-5346,TransHaul Heavy 8,14694,0.566,110.7,197.2,61.9,6.2
TRUCK-5347,EcoVan 2500,13429,0.482,112.3,178.6,71.0,5.26
TRUCK-5348,UrbanDelivery 4x2,14142,0.603,122.1,21.7,61.8,6.25
TRUCK-5349,TransHaul Heavy 8,9568,0.715,95.7,616.5,54.3,5.2
TRUCK-5350,TransHaul Heavy 8,14484,0.478,101.8,279.9,61.4,5.49
TRUCK-5351,AeroTruck V6,17953,0.614,110.2,1280.8,65.2,4.5
TRUCK-5352,EcoVan 2500,12372,0.569,95.3,320.9,77.5,4.6
TRUCK-5353,AeroTruck V6,8480,0.579,97.5,240.2,59.8,6.51
TRUCK-5354,EcoVan 2500,2694,0.571,108.4,122.2,48.7,8.71
TRUCK-5355,TransHaul Heavy 8,7551,0.586,101.6,208.5,63.8,6.87
TRUCK-5356,AeroTruck V6,10708,0.443,120.7,4.1,65.6,8.1
TRUCK-5357,TransHaul Heavy 8,11868,0.388,102.7,110.7,67.4,6.65
TRUCK-5358,AeroTruck V6,13537,0.623,106.9,402.6,53.8,5.79
TRUCK-5359,UrbanDelivery 4x2,7079,0.359,101.8,646.0,57.5,8.1
TRUCK-5360,UrbanDelivery 4x2,8339,0.669,89.2,773.0,50.4,4.94
TRUCK-5361,UrbanDelivery 4x2,11096,0.513,107.4,312.5,72.6,6.12
TRUCK-5362,TransHaul Heavy 8,14238,0.602,108.8,252.4,71.2,4.73
TRUCK-5363,UrbanDelivery 4x2,2478,0.418,118.9,25.8,51.0,10.21
TRUCK-5364,UrbanDelivery 4x2,16672,0.492,106.5,488.2,58.9,5.64
TRUCK-5365,TransHaul Heavy 8,2448,0.383,105.9,575.9,55.9,8.71
TRUCK-5366,UrbanDelivery 4x2,3097,0.687,96.6,141.7,68.4,6.77
TRUCK-5367,UrbanDelivery 4x2,3894,0.57,103.2,101.6,53.8,7.47
TRUCK-5368,EcoVan 2500,12230,0.499,128.4,119.9,58.5,8.03
TRUCK-5369,UrbanDelivery 4x2,10746,0.548,104.5,194.8,53.0,6.64
TRUCK-5370,TransHaul Heavy 8,6217,0.689,100.4,126.6,61.2,6.12
TRUCK-5371,EcoVan 2500,3826,0.425,103.4,228.4,56.4,8.76
TRUCK-5372,UrbanDelivery 4x2,17260,0.539,107.8,171.1,65.9,4.81
TRUCK-5373,TransHaul Heavy 8,13335,0.483,95.1,156.2,65.7,5.67
TRUCK-5374,EcoVan 2500,10308,0.406,97.2,70.2,61.8,6.45
TRUCK-5375,TransHaul Heavy 8,11608,0.554,97.7,431.3,62.4,5.73
TRUCK-5376,UrbanDelivery 4x2,15265,0.527,107.5,23.2,60.1,6.31
TRUCK-5377,TransHaul Heavy 8,15433,0.465,92.3,524.1,61.1,4.58
TRUCK-5378,UrbanDelivery 4x2,3548,0.432,109.8,294.2,69.3,8.35
TRUCK-5379,AeroTruck V6,3149,0.388,122.2,383.8,55.5,10.2
TRUCK-5380,EcoVan 2500,15472,0.423,104.5,958.9,62.6,5.94
TRUCK-5381,UrbanDelivery 4x2,15022,0.505,88.4,48.6,67.8,4.64
TRUCK-5382,EcoVan 2500,3083,0.584,111.0,163.5,51.7,8.2
TRUCK-5383,AeroTruck V6,9780,0.648,108.5,407.2,55.8,5.88
TRUCK-5384,EcoVan 2500,8596,0.407,86.7,494.1,56.2,6.17
TRUCK-5385,EcoVan 2500,13713,0.653,100.0,1193.7,56.1,4.66
TRUCK-5386,AeroTruck V6,12274,0.383,104.1,191.6,66.0,6.44
TRUCK-5387,EcoVan 2500,7221,0.713,113.4,180.2,56.2,7.56
TRUCK-5388,UrbanDelivery 4x2,16386,0.588,104.2,194.2,61.3,5.05
TRUCK-5389,UrbanDelivery 4x2,17424,0.52,116.5,91.8,75.1,4.5
TRUCK-5390,TransHaul Heavy 8,5503,0.444,107.8,156.7,68.7,8.59
TRUCK-5391,AeroTruck V6,16679,0.686,106.4,332.4,54.7,4.5
TRUCK-5392,EcoVan 2500,14141,0.719,115.6,261.6,59.6,5.88
TRUCK-5393,EcoVan 2500,14035,0.648,99.8,222.4,59.7,5.93
TRUCK-5394,EcoVan 2500,17560,0.632,94.0,38.8,64.0,4.5
TRUCK-5395,UrbanDelivery 4x2,5268,0.392,96.2,342.6,55.2,7.55
TRUCK-5396,AeroTruck V6,14486,0.681,106.2,563.7,58.1,5.25
TRUCK-5397,UrbanDelivery 4x2,15086,0.58,103.1,10.7,57.5,5.73
TRUCK-5398,AeroTruck V6,17753,0.713,108.2,424.4,65.8,4.5
TRUCK-5399,AeroTruck V6,11475,0.534,98.8,64.4,64.9,6.65
TRUCK-5400,EcoVan 2500,7769,0.425,102.6,13.7,59.9,7.15
TRUCK-5401,UrbanDelivery 4x2,12371,0.61,106.4,7.7,68.2,5.61
TRUCK-5402,EcoVan 2500,9345,0.42,102.1,134.2,63.3,7.89
TRUCK-5403,AeroTruck V6,9338,0.567,119.3,392.6,60.7,7.21
TRUCK-5404,UrbanDelivery 4x2,17153,0.681,99.6,359.2,73.2,4.5
TRUCK-5405,AeroTruck V6,4573,0.441,105.5,363.4,62.6,8.11
TRUCK-5406,UrbanDelivery 4x2,13338,0.695,97.8,214.7,60.4,5.58
TRUCK-5407,TransHaul Heavy 8,12921,0.393,109.6,1054.0,60.2,6.75
TRUCK-5408,EcoVan 2500,11465,0.622,93.2,106.2,67.6,5.05
TRUCK-5409,UrbanDelivery 4x2,13479,0.481,122.9,280.1,71.0,7.06
TRUCK-5410,TransHaul Heavy 8,10880,0.627,101.1,412.1,74.6,4.69
TRUCK-5411,UrbanDelivery 4x2,15608,0.717,121.0,42.3,67.1,5.73
TRUCK-5412,TransHaul Heavy 8,17113,0.521,117.6,283.4,56.9,6.26
TRUCK-5413,UrbanDelivery 4x2,17379,0.448,105.9,9.5,66.2,5.25
TRUCK-5414,AeroTruck V6,9346,0.444,109.6,548.8,61.8,6.96
TRUCK-5415,UrbanDelivery 4x2,5218,0.44,111.4,199.3,65.9,7.96
TRUCK-5416,TransHaul Heavy 8,16566,0.632,103.2,286.4,71.5,4.5
TRUCK-5417,TransHaul Heavy 8,12684,0.688,102.8,142.0,70.1,5.24
TRUCK-5418,AeroTruck V6,15062,0.55,103.4,14.3,65.8,5.19
TRUCK-5419,UrbanDelivery 4x2,6483,0.384,119.6,54.0,71.9,7.86
TRUCK-5420,AeroTruck V6,9057,0.36,110.3,214.4,72.3,7.09
TRUCK-5421,EcoVan 2500,11591,0.534,100.4,229.8,70.6,5.94
TRUCK-5422,AeroTruck V6,10398,0.363,122.1,44.9,51.1,8.4
TRUCK-5423,UrbanDelivery 4x2,8022,0.526,91.5,129.2,60.8,6.89
TRUCK-5424,EcoVan 2500,7179,0.535,99.0,45.8,63.6,7.34
TRUCK-5425,EcoVan 2500,3266,0.666,109.1,15.9,63.9,7.89
TRUCK-5426,UrbanDelivery 4x2,8252,0.47,97.3,430.2,39.4,6.71
TRUCK-5427,AeroTruck V6,10154,0.419,101.2,448.2,63.7,6.43
TRUCK-5428,AeroTruck V6,5285,0.662,104.2,304.5,50.4,6.8
TRUCK-5429,UrbanDelivery 4x2,7215,0.567,97.0,160.8,58.6,7.26
TRUCK-5430,UrbanDelivery 4x2,11311,0.459,100.5,22.2,59.6,6.02
TRUCK-5431,TransHaul Heavy 8,2499,0.691,101.9,849.8,76.8,5.76
TRUCK-5432,EcoVan 2500,13171,0.495,112.2,5.9,67.9,6.4
TRUCK-5433,EcoVan 2500,12765,0.677,108.9,907.7,63.5,5.58
TRUCK-5434,AeroTruck V6,12808,0.353,108.4,983.1,64.4,5.96
TRUCK-5435,TransHaul Heavy 8,12794,0.532,99.9,198.7,61.6,5.66
TRUCK-5436,EcoVan 2500,12389,0.375,90.7,94.7,57.1,6.48
TRUCK-5437,AeroTruck V6,10632,0.558,108.4,654.2,66.4,6.2
TRUCK-5438,EcoVan 2500,12679,0.483,93.6,1996.4,66.5,4.5
TRUCK-5439,AeroTruck V6,11936,0.556,97.0,41.5,62.7,5.26
TRUCK-5440,TransHaul Heavy 8,15280,0.545,112.0,307.4,58.1,5.49
TRUCK-5441,UrbanDelivery 4x2,10986,0.64,104.3,34.2,64.2,5.92
TRUCK-5442,AeroTruck V6,5332,0.354,115.3,96.1,72.3,7.76
TRUCK-5443,UrbanDelivery 4x2,13840,0.494,99.2,283.4,49.1,5.82
TRUCK-5444,UrbanDelivery 4x2,9874,0.591,108.8,168.0,51.0,6.91
TRUCK-5445,AeroTruck V6,9123,0.64,106.1,164.1,60.9,6.31
TRUCK-5446,TransHaul Heavy 8,8104,0.466,93.5,406.7,55.3,6.84
TRUCK-5447,UrbanDelivery 4x2,10575,0.65,98.4,1181.7,64.1,4.5
TRUCK-5448,AeroTruck V6,14916,0.636,100.0,284.5,70.8,4.5
TRUCK-5449,EcoVan 2500,5256,0.395,104.1,293.2,61.9,8.08
TRUCK-5450,TransHaul Heavy 8,4688,0.702,101.7,301.3,52.4,7.4
TRUCK-5451,EcoVan 2500,3956,0.677,114.0,86.9,74.8,6.96
TRUCK-5452,EcoVan 2500,9035,0.401,120.6,308.6,67.5,7.99
TRUCK-5453,AeroTruck V6,5555,0.537,116.3,326.1,57.1,8.24
TRUCK-5454,UrbanDelivery 4x2,16780,0.426,109.0,448.7,66.7,5.65
TRUCK-5455,TransHaul Heavy 8,15010,0.588,94.8,22.9,60.0,4.92
TRUCK-5456,TransHaul Heavy 8,9372,0.453,103.7,181.0,64.6,7.41
TRUCK-5457,AeroTruck V6,17010,0.44,105.2,53.0,64.4,5.74
TRUCK-5458,UrbanDelivery 4x2,4116,0.569,91.4,44.0,69.5,6.59
TRUCK-5459,UrbanDelivery 4x2,10378,0.46,108.0,114.4,59.8,7.11
TRUCK-5460,EcoVan 2500,12579,0.36,103.3,230.3,72.9,5.53
TRUCK-5461,TransHaul Heavy 8,3730,0.678,106.0,504.9,56.1,7.76
TRUCK-5462,TransHaul Heavy 8,13772,0.438,106.6,575.0,69.6,5.5
TRUCK-5463,UrbanDelivery 4x2,13955,0.372,108.7,187.1,64.9,5.96
TRUCK-5464,UrbanDelivery 4x2,6479,0.474,99.3,255.2,60.4,7.09
TRUCK-5465,TransHaul Heavy 8,7367,0.622,106.1,71.5,67.3,7.07
TRUCK-5466,TransHaul Heavy 8,4384,0.455,107.3,922.0,48.5,7.57
TRUCK-5467,TransHaul Heavy 8,3990,0.427,105.6,27.2,62.5,8.64
TRUCK-5468,TransHaul Heavy 8,2518,0.509,100.6,140.4,59.8,8.56
TRUCK-5469,UrbanDelivery 4x2,3784,0.391,101.1,60.6,62.8,7.91
TRUCK-5470,EcoVan 2500,17793,0.618,109.4,998.2,49.3,4.5
TRUCK-5471,TransHaul Heavy 8,2267,0.415,104.4,317.7,71.0,8.82
TRUCK-5472,UrbanDelivery 4x2,17552,0.61,98.2,194.5,59.7,5.27
TRUCK-5473,EcoVan 2500,16991,0.541,109.6,234.1,62.9,4.96
TRUCK-5474,AeroTruck V6,8994,0.578,101.8,720.0,58.0,6.28
TRUCK-5475,UrbanDelivery 4x2,16318,0.64,96.4,1194.2,61.3,4.5
TRUCK-5476,AeroTruck V6,11109,0.634,121.1,458.8,51.9,7.25
TRUCK-5477,EcoVan 2500,10567,0.696,120.8,20.6,63.9,6.65
TRUCK-5478,UrbanDelivery 4x2,2730,0.643,110.6,224.5,73.8,7.54
TRUCK-5479,EcoVan 2500,3523,0.363,102.8,530.8,63.6,8.47
TRUCK-5480,TransHaul Heavy 8,17804,0.675,109.4,113.0,55.7,5.34
TRUCK-5481,EcoVan 2500,8232,0.441,115.6,954.3,70.4,7.47
TRUCK-5482,EcoVan 2500,7444,0.578,112.0,308.5,53.3,7.54
TRUCK-5483,AeroTruck V6,2298,0.671,104.8,567.3,67.8,6.94
TRUCK-5484,AeroTruck V6,15400,0.379,98.8,28.7,59.7,6.34
TRUCK-5485,AeroTruck V6,12716,0.369,125.8,552.4,55.7,8.12
TRUCK-5486,AeroTruck V6,10891,0.605,88.7,65.6,69.0,4.84
TRUCK-5487,AeroTruck V6,17330,0.628,103.8,430.8,46.1,4.5
TRUCK-5488,TransHaul Heavy 8,7737,0.383,105.8,71.3,70.2,7.24
TRUCK-5489,EcoVan 2500,14218,0.575,102.9,33.5,67.2,5.51
TRUCK-5490,UrbanDelivery 4x2,4375,0.631,110.5,12.7,67.0,7.22
TRUCK-5491,TransHaul Heavy 8,7678,0.521,115.8,41.8,61.8,7.24
TRUCK-5492,UrbanDelivery 4x2,16331,0.653,97.8,499.0,45.3,4.5
TRUCK-5493,TransHaul Heavy 8,7033,0.506,99.2,51.3,64.4,6.94
TRUCK-5494,UrbanDelivery 4x2,4557,0.566,107.1,112.5,58.9,8.81
TRUCK-5495,EcoVan 2500,5029,0.51,113.7,403.9,50.8,8.98
TRUCK-5496,UrbanDelivery 4x2,2737,0.393,103.9,65.1,65.8,8.82
TRUCK-5497,EcoVan 2500,10479,0.356,113.6,31.5,71.2,7.56
TRUCK-5498,AeroTruck V6,15997,0.698,114.9,353.0,59.2,5.6
TRUCK-5499,AeroTruck V6,7567,0.367,99.5,93.4,67.5,7.52
TRUCK-5500,TransHaul Heavy 8,9964,0.425,102.5,97.8,71.4,6.27
TRUCK-5501,AeroTruck V6,3901,0.643,110.3,495.2,66.8,8.09
TRUCK-5502,UrbanDelivery 4x2,10961,0.504,100.8,202.1,60.5,6.39
TRUCK-5503,UrbanDelivery 4x2,16537,0.469,115.0,43.5,55.9,6.19
TRUCK-5504,TransHaul Heavy 8,17318,0.49,101.1,708.5,68.6,4.5
TRUCK-5505,AeroTruck V6,2930,0.511,97.2,726.4,61.5,7.52
TRUCK-5506,AeroTruck V6,16011,0.437,106.0,445.8,61.9,6.1
TRUCK-5507,EcoVan 2500,14917,0.364,94.0,138.5,59.4,5.94
TRUCK-5508,UrbanDelivery 4x2,7137,0.458,112.1,56.9,64.7,8.58
TRUCK-5509,AeroTruck V6,16255,0.675,104.3,320.0,73.6,4.5
TRUCK-5510,EcoVan 2500,16534,0.712,106.0,134.9,69.5,4.58
TRUCK-5511,EcoVan 2500,17451,0.691,99.9,59.7,66.4,4.5
TRUCK-5512,UrbanDelivery 4x2,11180,0.485,95.1,810.6,63.4,6.23
TRUCK-5513,AeroTruck V6,14171,0.649,113.9,1539.9,68.3,4.5
TRUCK-5514,AeroTruck V6,10080,0.711,101.0,60.6,70.5,5.22
TRUCK-5515,AeroTruck V6,7694,0.405,96.4,742.5,74.3,5.85
TRUCK-5516,EcoVan 2500,9745,0.468,99.5,233.6,59.3,6.74
TRUCK-5517,AeroTruck V6,17344,0.45,117.3,92.4,64.1,6.39
TRUCK-5518,TransHaul Heavy 8,6617,0.56,91.4,447.1,67.3,6.02
TRUCK-5519,EcoVan 2500,8418,0.651,115.0,431.0,80.2,4.83
TRUCK-5520,UrbanDelivery 4x2,4866,0.672,109.3,268.3,68.6,7.57
TRUCK-5521,UrbanDelivery 4x2,15170,0.654,105.3,222.0,65.7,4.79
TRUCK-5522,EcoVan 2500,2160,0.594,111.1,300.2,64.3,7.54
TRUCK-5523,EcoVan 2500,16777,0.399,82.6,36.1,69.2,4.5
TRUCK-5524,TransHaul Heavy 8,16105,0.717,104.1,202.0,58.1,4.5
TRUCK-5525,UrbanDelivery 4x2,3218,0.468,113.0,738.1,61.6,8.17
TRUCK-5526,TransHaul Heavy 8,5086,0.391,114.6,928.2,63.8,7.87
TRUCK-5527,AeroTruck V6,5103,0.467,106.7,118.7,62.5,8.05
TRUCK-5528,AeroTruck V6,3738,0.645,109.9,615.2,70.1,6.57
TRUCK-5529,TransHaul Heavy 8,14484,0.548,105.6,731.5,59.6,5.06
TRUCK-5530,UrbanDelivery 4x2,2947,0.436,99.3,169.1,69.8,7.91
TRUCK-5531,AeroTruck V6,16078,0.651,97.6,173.9,64.3,4.5
TRUCK-5532,AeroTruck V6,8873,0.544,106.7,752.4,50.8,6.39
TRUCK-5533,TransHaul Heavy 8,14086,0.526,107.4,931.2,70.3,4.5
TRUCK-5534,UrbanDelivery 4x2,8478,0.424,108.5,154.7,68.2,7.28
TRUCK-5535,AeroTruck V6,12567,0.656,104.5,32.0,60.0,6.21
TRUCK-5536,UrbanDelivery 4x2,7060,0.386,96.2,249.7,55.0,7.78
TRUCK-5537,TransHaul Heavy 8,7171,0.657,110.7,65.8,62.3,7.42
TRUCK-5538,EcoVan 2500,3789,0.508,117.2,112.0,62.3,9.57
TRUCK-5539,UrbanDelivery 4x2,5543,0.537,118.2,650.6,74.8,6.63
TRUCK-5540,AeroTruck V6,7524,0.51,119.0,457.6,58.5,7.05
TRUCK-5541,EcoVan 2500,13841,0.468,106.0,1272.5,65.2,4.91
TRUCK-5542,TransHaul Heavy 8,11828,0.672,115.5,253.8,67.5,5.62
TRUCK-5543,EcoVan 2500,16401,0.58,105.0,300.3,65.7,5.08
TRUCK-5544,EcoVan 2500,5712,0.384,109.6,52.9,59.1,8.45
TRUCK-5545,EcoVan 2500,13701,0.674,109.7,346.6,60.2,5.22
TRUCK-5546,TransHaul Heavy 8,5095,0.681,103.3,59.8,55.6,7.16
TRUCK-5547,AeroTruck V6,9087,0.398,93.7,145.6,59.3,7.15
TRUCK-5548,TransHaul Heavy 8,3540,0.633,99.0,479.1,64.0,7.82
TRUCK-5549,UrbanDelivery 4x2,3084,0.548,101.5,550.5,54.7,7.7
TRUCK-5550,TransHaul Heavy 8,4436,0.375,107.3,79.7,49.1,9.29
TRUCK-5551,EcoVan 2500,10195,0.527,112.7,262.2,66.2,6.43
TRUCK-5552,UrbanDelivery 4x2,11589,0.544,104.9,32.1,68.0,6.89
TRUCK-5553,UrbanDelivery 4x2,9613,0.576,107.5,754.8,72.4,5.81
TRUCK-5554,TransHaul Heavy 8,9843,0.401,104.6,563.0,45.3,6.92
TRUCK-5555,UrbanDelivery 4x2,15017,0.574,100.2,194.8,73.5,4.5
TRUCK-5556,UrbanDelivery 4x2,6007,0.352,105.2,616.6,45.7,7.42
TRUCK-5557,EcoVan 2500,11268,0.615,105.1,431.8,66.0,5.45
TRUCK-5558,AeroTruck V6,14054,0.687,104.9,153.8,45.8,4.88
TRUCK-5559,TransHaul Heavy 8,6386,0.587,104.5,109.7,63.3,6.95
TRUCK-5560,UrbanDelivery 4x2,6855,0.387,92.4,61.4,56.4,7.67
TRUCK-5561,AeroTruck V6,12563,0.54,115.7,204.1,48.8,6.35
TRUCK-5562,TransHaul Heavy 8,8393,0.658,103.4,230.9,73.6,5.25
TRUCK-5563,TransHaul Heavy 8,12518,0.574,108.4,487.9,68.9,5.26
TRUCK-5564,UrbanDelivery 4x2,4119,0.635,117.7,25.8,58.7,8.31
TRUCK-5565,EcoVan 2500,13591,0.637,98.8,14.8,57.7,5.54
TRUCK-5566,EcoVan 2500,15516,0.587,105.2,329.3,64.5,4.85
TRUCK-5567,UrbanDelivery 4x2,6809,0.6,91.7,20.2,72.0,5.91
TRUCK-5568,AeroTruck V6,12409,0.355,106.5,215.6,56.0,6.9
TRUCK-5569,AeroTruck V6,7323,0.713,103.3,808.4,61.7,6.25
TRUCK-5570,AeroTruck V6,5902,0.604,102.9,34.7,64.1,6.95
TRUCK-5571,TransHaul Heavy 8,16643,0.494,93.5,762.0,62.8,4.5
TRUCK-5572,EcoVan 2500,4367,0.672,117.0,46.4,54.0,8.0
TRUCK-5573,UrbanDelivery 4x2,3053,0.478,99.9,159.8,63.0,7.97
TRUCK-5574,AeroTruck V6,10581,0.539,105.2,505.7,75.1,5.06
TRUCK-5575,EcoVan 2500,15106,0.517,109.1,48.4,67.2,6.15
TRUCK-5576,UrbanDelivery 4x2,10249,0.374,100.3,1.4,60.3,6.9
TRUCK-5577,EcoVan 2500,5473,0.483,116.1,20.1,60.5,8.82
TRUCK-5578,TransHaul Heavy 8,9189,0.405,100.0,538.5,59.8,6.79
TRUCK-5579,EcoVan 2500,7351,0.479,102.1,253.0,64.5,6.77
TRUCK-5580,TransHaul Heavy 8,10340,0.639,104.6,9.4,65.8,5.77
TRUCK-5581,UrbanDelivery 4x2,9964,0.567,100.1,1940.7,55.2,5.15
TRUCK-5582,UrbanDelivery 4x2,14454,0.442,98.5,215.1,50.7,6.49
TRUCK-5583,TransHaul Heavy 8,14975,0.692,99.8,130.2,64.6,5.07
TRUCK-5584,UrbanDelivery 4x2,15935,0.519,92.2,415.1,61.0,4.53
TRUCK-5585,EcoVan 2500,11720,0.62,102.0,54.9,73.0,5.4
TRUCK-5586,AeroTruck V6,14094,0.719,119.3,1332.3,61.1,4.61
TRUCK-5587,AeroTruck V6,15222,0.65,106.2,308.7,61.5,4.5
TRUCK-5588,AeroTruck V6,6138,0.365,114.4,591.9,63.0,8.37
TRUCK-5589,TransHaul Heavy 8,11146,0.595,90.8,482.2,64.9,5.17
TRUCK-5590,AeroTruck V6,17624,0.489,106.9,165.2,74.4,5.05
TRUCK-5591,UrbanDelivery 4x2,16197,0.379,84.3,74.2,53.9,5.73
TRUCK-5592,EcoVan 2500,3651,0.406,110.0,22.8,63.4,9.01
TRUCK-5593,AeroTruck V6,15852,0.669,98.8,141.5,59.7,4.5
TRUCK-5594,EcoVan 2500,6748,0.51,106.7,274.6,61.1,7.24
TRUCK-5595,AeroTruck V6,2504,0.385,96.2,110.1,67.5,8.34
TRUCK-5596,AeroTruck V6,10873,0.394,94.9,533.1,57.5,6.74
TRUCK-5597,AeroTruck V6,16859,0.566,110.6,654.5,52.9,4.59
TRUCK-5598,EcoVan 2500,4102,0.633,111.0,441.8,49.4,7.9
TRUCK-5599,EcoVan 2500,7677,0.62,88.9,78.0,60.9,6.47
TRUCK-5600,TransHaul Heavy 8,14442,0.65,113.3,1108.1,60.2,5.02
TRUCK-5601,EcoVan 2500,17762,0.441,104.4,17.2,65.4,5.46
TRUCK-5602,TransHaul Heavy 8,12251,0.568,95.0,452.8,62.9,5.39
TRUCK-5603,TransHaul Heavy 8,10301,0.645,105.3,289.4,55.3,6.7
TRUCK-5604,EcoVan 2500,14288,0.659,110.3,343.5,52.9,4.63
TRUCK-5605,UrbanDelivery 4x2,11592,0.528,94.2,215.1,75.6,4.81
TRUCK-5606,TransHaul Heavy 8,13761,0.689,103.6,560.4,46.1,4.57
TRUCK-5607,EcoVan 2500,11789,0.528,93.3,358.4,83.7,4.5
TRUCK-5608,UrbanDelivery 4x2,12601,0.459,96.9,120.8,72.8,5.37
TRUCK-5609,TransHaul Heavy 8,16475,0.53,106.8,1384.5,62.3,4.5
TRUCK-5610,UrbanDelivery 4x2,6282,0.532,103.8,146.2,68.0,7.24
TRUCK-5611,UrbanDelivery 4x2,12374,0.601,102.3,224.0,53.1,5.31
TRUCK-5612,UrbanDelivery 4x2,16147,0.556,109.3,205.1,61.0,5.07
TRUCK-5613,AeroTruck V6,12020,0.61,98.9,146.6,60.1,6.08
TRUCK-5614,AeroTruck V6,14798,0.394,101.5,29.9,53.0,6.27
TRUCK-5615,UrbanDelivery 4x2,13431,0.407,99.8,362.6,64.6,6.05
TRUCK-5616,EcoVan 2500,15616,0.654,96.4,27.5,52.0,4.5
TRUCK-5617,AeroTruck V6,9299,0.551,109.7,89.2,65.0,7.16
TRUCK-5618,UrbanDelivery 4x2,15219,0.509,106.1,124.5,74.0,5.54
TRUCK-5619,AeroTruck V6,12076,0.677,106.6,76.1,61.3,5.1
TRUCK-5620,UrbanDelivery 4x2,2336,0.512,95.9,138.9,68.5,7.56
TRUCK-5621,EcoVan 2500,9502,0.51,103.2,70.8,57.3,6.66
TRUCK-5622,AeroTruck V6,9943,0.403,108.0,130.6,67.3,7.34
TRUCK-5623,UrbanDelivery 4x2,4333,0.687,111.7,520.6,62.2,8.39
TRUCK-5624,AeroTruck V6,13725,0.518,100.3,50.7,54.9,5.7
TRUCK-5625,TransHaul Heavy 8,17348,0.358,108.0,777.1,55.8,5.75
TRUCK-5626,UrbanDelivery 4x2,3325,0.691,98.5,255.1,60.1,6.65
TRUCK-5627,UrbanDelivery 4x2,13324,0.437,105.9,247.2,67.0,6.3
TRUCK-5628,EcoVan 2500,7382,0.435,117.4,72.5,69.4,7.63
TRUCK-5629,TransHaul Heavy 8,15714,0.649,100.2,854.0,61.1,4.5
TRUCK-5630,AeroTruck V6,8401,0.672,102.7,382.3,72.1,5.04
TRUCK-5631,TransHaul Heavy 8,15326,0.408,89.4,77.7,66.0,4.57
TRUCK-5632,UrbanDelivery 4x2,4485,0.548,102.4,137.0,58.5,7.99
TRUCK-5633,EcoVan 2500,8844,0.701,105.8,86.4,66.4,6.4
TRUCK-5634,EcoVan 2500,14061,0.563,114.9,152.3,59.7,6.21
TRUCK-5635,UrbanDelivery 4x2,8247,0.615,87.2,301.2,62.9,5.69
TRUCK-5636,TransHaul Heavy 8,12412,0.576,103.3,554.6,71.6,4.76
TRUCK-5637,TransHaul Heavy 8,8970,0.454,102.8,242.9,64.0,6.78
TRUCK-5638,EcoVan 2500,15431,0.458,102.1,579.5,48.2,5.39
TRUCK-5639,EcoVan 2500,14314,0.57,110.5,152.7,63.0,5.46
TRUCK-5640,UrbanDelivery 4x2,9969,0.61,116.8,22.4,61.8,7.38
TRUCK-5641,TransHaul Heavy 8,5885,0.538,104.6,539.2,62.1,8.15
TRUCK-5642,EcoVan 2500,15935,0.411,102.8,27.3,70.6,5.42
TRUCK-5643,EcoVan 2500,15490,0.574,112.9,305.4,70.1,4.5
TRUCK-5644,AeroTruck V6,13429,0.368,106.4,16.1,65.4,6.98
TRUCK-5645,UrbanDelivery 4x2,4945,0.669,96.6,363.9,72.9,5.92
TRUCK-5646,TransHaul Heavy 8,10406,0.43,115.2,541.9,71.1,6.61
