RDE_Trip_ID,Exhaust_Gas_Temp_C,AdBlue_Dosing_mg_s,SCR_Catalyst_Efficiency_pct,Tailpipe_NOx_mg_km,Euro7_Status
STLA-RDE-4316,196.1,35.2,74.5,52.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4317,167.1,71.9,23.3,127.3,Emissions Exceedance Flag
STLA-RDE-4318,335.6,66.6,92.5,16.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4319,171.1,82.7,16.4,132.6,Emissions Exceedance Flag
STLA-RDE-4320,150.1,69.6,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4321,206.1,36.2,77.0,43.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4322,266.0,67.3,80.8,40.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4323,369.0,30.7,97.8,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4324,425.6,40.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4325,171.1,57.7,41.6,106.2,Emissions Exceedance Flag
STLA-RDE-4326,143.2,28.8,57.8,78.0,Emissions Exceedance Flag
STLA-RDE-4327,682.5,76.3,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4328,141.9,39.2,41.4,98.0,Emissions Exceedance Flag
STLA-RDE-4329,201.7,81.3,45.3,115.9,Emissions Exceedance Flag
STLA-RDE-4330,544.2,21.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4331,140.1,15.5,76.3,48.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4332,205.4,53.5,65.7,57.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4333,142.7,60.5,10.7,162.0,Emissions Exceedance Flag
STLA-RDE-4334,148.0,31.2,57.0,78.7,Emissions Exceedance Flag
STLA-RDE-4335,302.4,45.2,92.1,16.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4336,177.3,36.8,65.7,64.0,Emissions Exceedance Flag
STLA-RDE-4337,494.6,31.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4338,163.8,44.7,50.2,92.4,Emissions Exceedance Flag
STLA-RDE-4339,400.5,76.5,96.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4340,203.7,50.4,67.0,59.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4341,162.2,50.0,43.0,116.7,Emissions Exceedance Flag
STLA-RDE-4342,146.3,66.4,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4343,145.5,22.4,68.1,62.1,Emissions Exceedance Flag
STLA-RDE-4344,272.6,59.5,84.4,32.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4345,171.0,30.7,68.8,59.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4346,154.9,55.9,29.8,130.7,Emissions Exceedance Flag
STLA-RDE-4347,190.5,71.0,44.5,104.8,Emissions Exceedance Flag
STLA-RDE-4348,209.1,60.9,62.9,80.3,Emissions Exceedance Flag
STLA-RDE-4349,153.2,74.0,10.0,162.5,Emissions Exceedance Flag
STLA-RDE-4350,161.1,56.1,35.1,125.8,Emissions Exceedance Flag
STLA-RDE-4351,149.8,13.8,81.4,37.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4352,248.9,70.4,74.8,47.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4353,160.6,19.3,77.5,45.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4354,143.5,29.4,57.0,82.1,Emissions Exceedance Flag
STLA-RDE-4355,338.8,37.4,96.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4356,254.3,65.5,78.1,44.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4357,140.2,51.0,22.0,157.7,Emissions Exceedance Flag
STLA-RDE-4358,453.5,21.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4359,311.9,34.2,94.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4360,170.4,67.5,31.0,147.0,Emissions Exceedance Flag
STLA-RDE-4361,294.7,36.5,92.9,16.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4362,198.6,13.7,90.4,18.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4363,189.7,55.3,56.4,82.9,Emissions Exceedance Flag
STLA-RDE-4364,280.0,49.8,88.2,22.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4365,338.0,14.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4366,248.2,71.3,74.2,43.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4367,197.8,12.9,90.9,16.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4368,338.9,75.0,91.9,14.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4369,667.0,57.4,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4370,365.4,84.7,93.6,12.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4371,231.5,60.8,72.5,43.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4372,225.1,54.3,73.2,50.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4373,207.3,75.4,52.9,73.7,Emissions Exceedance Flag
STLA-RDE-4374,694.7,10.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4375,228.5,70.0,67.1,56.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4376,481.3,38.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4377,554.6,52.4,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4378,335.6,60.6,93.2,13.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4379,218.4,58.9,68.3,59.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4380,199.7,29.2,79.8,34.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4381,213.2,57.4,66.8,59.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4382,171.8,18.4,81.5,28.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4383,146.6,36.6,48.7,100.0,Emissions Exceedance Flag
STLA-RDE-4384,257.2,82.5,73.5,51.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4385,267.8,81.5,77.3,41.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4386,179.4,27.6,75.0,38.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4387,604.6,13.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4388,185.7,79.5,33.8,135.1,Emissions Exceedance Flag
STLA-RDE-4389,187.3,47.0,61.7,71.0,Emissions Exceedance Flag
STLA-RDE-4390,142.8,78.8,10.0,154.1,Emissions Exceedance Flag
STLA-RDE-4391,385.2,32.3,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4392,186.6,85.0,30.1,127.7,Emissions Exceedance Flag
STLA-RDE-4393,239.5,76.3,69.0,56.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4394,315.0,56.6,91.6,16.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4395,232.6,28.8,87.2,18.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4396,145.3,46.5,33.7,119.6,Emissions Exceedance Flag
STLA-RDE-4397,347.6,15.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4398,412.4,57.2,97.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4399,213.1,41.2,76.2,50.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4400,208.8,69.1,57.7,78.4,Emissions Exceedance Flag
STLA-RDE-4401,180.4,44.5,60.3,66.2,Emissions Exceedance Flag
STLA-RDE-4402,242.1,55.3,78.3,47.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4403,390.5,69.8,96.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4404,211.1,73.4,56.4,85.8,Emissions Exceedance Flag
STLA-RDE-4405,191.7,75.1,42.2,127.7,Emissions Exceedance Flag
STLA-RDE-4406,174.6,23.0,77.8,42.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4407,301.3,59.5,89.4,22.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4408,235.9,47.4,79.8,38.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4409,141.6,39.9,40.2,106.1,Emissions Exceedance Flag
STLA-RDE-4410,185.1,26.7,77.6,44.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4411,528.1,36.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4412,533.8,59.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4413,163.0,30.6,65.5,69.1,Emissions Exceedance Flag
STLA-RDE-4414,197.6,67.0,52.3,85.5,Emissions Exceedance Flag
STLA-RDE-4415,247.3,28.8,89.4,23.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4416,268.5,34.6,90.4,19.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4417,161.2,20.5,76.3,45.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4418,186.7,61.8,49.2,104.9,Emissions Exceedance Flag
STLA-RDE-4419,262.1,73.8,77.8,36.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4420,229.8,29.4,86.4,24.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4421,368.3,67.2,95.1,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4422,225.3,81.7,59.9,65.6,Emissions Exceedance Flag
STLA-RDE-4423,519.5,40.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4424,174.6,19.0,81.7,35.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4425,196.4,69.3,49.9,98.6,Emissions Exceedance Flag
STLA-RDE-4426,160.0,14.3,83.2,34.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4427,299.3,23.3,95.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4428,176.5,71.6,32.5,128.0,Emissions Exceedance Flag
STLA-RDE-4429,321.4,73.8,89.9,21.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4430,145.3,33.0,52.8,102.9,Emissions Exceedance Flag
STLA-RDE-4431,382.4,56.4,96.6,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4432,163.7,13.9,84.5,28.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4433,147.9,19.1,73.7,49.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4434,230.6,52.6,75.9,46.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4435,176.2,13.3,87.4,26.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4436,181.0,79.5,29.5,129.6,Emissions Exceedance Flag
STLA-RDE-4437,162.6,66.7,24.4,139.2,Emissions Exceedance Flag
STLA-RDE-4438,250.4,30.6,89.2,24.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4439,146.3,50.0,29.6,139.0,Emissions Exceedance Flag
STLA-RDE-4440,233.5,46.8,79.4,33.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4441,270.9,10.2,97.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4442,182.6,39.8,65.4,63.8,Emissions Exceedance Flag
STLA-RDE-4443,388.5,78.9,95.6,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4444,193.9,82.4,38.5,133.9,Emissions Exceedance Flag
STLA-RDE-4445,147.2,54.1,24.7,143.4,Emissions Exceedance Flag
STLA-RDE-4446,173.5,81.9,19.8,155.9,Emissions Exceedance Flag
STLA-RDE-4447,250.4,48.0,83.1,30.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4448,207.9,14.2,91.2,17.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4449,147.0,30.9,57.0,75.1,Emissions Exceedance Flag
STLA-RDE-4450,1010.5,64.3,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4451,212.7,23.9,86.1,23.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4452,384.9,17.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4453,332.1,10.5,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4454,575.9,83.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4455,486.4,32.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4456,305.6,10.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4457,188.2,25.4,79.6,36.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4458,278.2,23.4,94.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4459,240.5,77.2,69.0,66.3,Emissions Exceedance Flag
STLA-RDE-4460,217.6,61.8,66.4,64.1,Emissions Exceedance Flag
STLA-RDE-4461,377.3,76.0,95.1,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4462,177.2,39.5,63.2,72.3,Emissions Exceedance Flag
STLA-RDE-4463,215.2,58.6,67.1,62.2,Emissions Exceedance Flag
STLA-RDE-4464,185.7,42.8,64.4,61.6,Emissions Exceedance Flag
STLA-RDE-4465,311.8,54.5,91.6,17.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4466,563.1,62.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4467,145.2,48.5,30.6,163.7,Emissions Exceedance Flag
STLA-RDE-4468,332.3,68.7,91.9,15.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4469,211.3,56.7,66.5,67.2,Emissions Exceedance Flag
STLA-RDE-4470,162.0,20.9,76.1,46.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4471,247.8,41.7,84.8,28.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4472,152.1,39.2,48.9,95.3,Emissions Exceedance Flag
STLA-RDE-4473,370.9,40.3,97.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4474,185.8,14.7,87.8,24.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4475,284.4,58.2,87.0,25.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4476,145.9,17.7,75.0,52.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4477,388.8,40.0,97.8,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4478,267.3,29.7,91.7,16.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4479,266.9,49.6,86.0,28.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4480,150.4,52.9,29.5,117.0,Emissions Exceedance Flag
STLA-RDE-4481,223.9,12.7,93.7,14.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4482,199.4,33.5,76.8,44.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4483,147.5,36.3,49.7,98.6,Emissions Exceedance Flag
STLA-RDE-4484,312.1,55.1,91.5,16.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4485,292.9,71.2,85.8,28.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4486,228.5,63.4,70.2,63.0,Emissions Exceedance Flag
STLA-RDE-4487,332.8,61.3,92.8,15.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4488,272.7,83.2,78.3,39.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4489,189.6,16.2,87.2,23.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4490,199.4,84.0,41.8,111.2,Emissions Exceedance Flag
STLA-RDE-4491,212.9,27.7,83.9,26.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4492,241.8,77.7,69.4,62.0,Emissions Exceedance Flag
STLA-RDE-4493,232.9,21.6,90.4,18.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4494,410.6,43.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4495,225.2,70.3,65.5,63.7,Emissions Exceedance Flag
STLA-RDE-4496,353.0,50.5,95.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4497,242.6,24.6,90.4,16.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4498,149.7,39.4,46.9,99.0,Emissions Exceedance Flag
STLA-RDE-4499,331.1,19.1,97.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4500,147.7,44.7,38.1,102.7,Emissions Exceedance Flag
STLA-RDE-4501,213.4,80.1,53.9,87.6,Emissions Exceedance Flag
STLA-RDE-4502,208.2,57.7,64.4,64.3,Emissions Exceedance Flag
STLA-RDE-4503,222.9,21.4,89.1,23.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4504,237.1,12.5,94.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4505,142.3,39.6,41.2,121.8,Emissions Exceedance Flag
STLA-RDE-4506,353.8,76.2,93.3,12.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4507,443.0,36.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4508,252.3,66.7,77.1,40.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4509,147.3,57.7,19.8,128.8,Emissions Exceedance Flag
STLA-RDE-4510,520.7,61.5,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4511,186.5,70.4,42.0,108.0,Emissions Exceedance Flag
STLA-RDE-4512,191.9,17.7,86.4,26.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4513,295.5,30.0,94.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4514,179.3,26.5,75.9,45.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4515,206.8,62.0,61.0,71.3,Emissions Exceedance Flag
STLA-RDE-4516,230.1,70.1,67.7,61.4,Emissions Exceedance Flag
STLA-RDE-4517,165.3,19.2,79.0,35.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4518,292.5,46.8,90.6,17.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4519,205.3,80.5,48.4,95.7,Emissions Exceedance Flag
STLA-RDE-4520,223.5,27.4,86.2,26.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4521,221.8,79.7,59.0,76.2,Emissions Exceedance Flag
STLA-RDE-4522,160.0,78.6,10.0,178.4,Emissions Exceedance Flag
STLA-RDE-4523,204.3,22.0,85.7,24.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4524,195.2,50.8,62.7,72.0,Emissions Exceedance Flag
STLA-RDE-4525,142.9,81.4,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4526,200.0,15.1,89.6,19.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4527,506.4,81.3,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4528,171.0,37.1,62.4,73.0,Emissions Exceedance Flag
STLA-RDE-4529,141.2,59.6,10.1,177.2,Emissions Exceedance Flag
STLA-RDE-4530,188.2,75.3,39.4,116.0,Emissions Exceedance Flag
STLA-RDE-4531,157.6,61.5,25.5,121.0,Emissions Exceedance Flag
STLA-RDE-4532,193.7,57.2,57.2,79.4,Emissions Exceedance Flag
STLA-RDE-4533,142.0,55.3,17.5,162.5,Emissions Exceedance Flag
STLA-RDE-4534,262.3,73.6,77.9,40.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4535,203.6,83.7,45.1,92.8,Emissions Exceedance Flag
STLA-RDE-4536,166.7,14.6,84.4,33.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4537,329.7,25.2,96.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4538,197.2,84.4,39.7,116.9,Emissions Exceedance Flag
STLA-RDE-4539,195.9,33.6,75.6,48.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4540,208.6,68.7,57.9,71.7,Emissions Exceedance Flag
STLA-RDE-4541,180.6,30.6,72.7,51.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4542,263.2,59.6,82.3,31.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4543,181.6,20.4,82.0,30.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4544,152.4,11.7,84.8,31.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4545,393.4,37.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4546,171.0,39.4,60.1,61.6,Emissions Exceedance Flag
STLA-RDE-4547,287.6,78.9,83.1,34.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4548,241.1,76.2,69.7,54.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4549,237.3,68.1,71.5,45.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4550,278.7,11.9,97.1,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4551,176.4,20.7,80.4,37.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4552,161.3,35.3,59.3,68.1,Emissions Exceedance Flag
STLA-RDE-4553,524.0,33.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4554,161.4,49.0,43.5,104.6,Emissions Exceedance Flag
STLA-RDE-4555,198.8,59.4,58.4,74.4,Emissions Exceedance Flag
STLA-RDE-4556,312.7,24.2,96.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4557,171.7,33.0,66.8,67.2,Emissions Exceedance Flag
STLA-RDE-4558,159.5,38.4,54.6,75.0,Emissions Exceedance Flag
STLA-RDE-4559,236.6,46.6,80.3,34.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4560,341.3,27.1,97.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4561,190.2,26.9,78.9,35.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4562,142.6,45.6,32.5,140.4,Emissions Exceedance Flag
STLA-RDE-4563,382.8,67.3,96.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4564,186.9,31.6,74.1,50.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4565,154.4,67.0,15.3,165.4,Emissions Exceedance Flag
STLA-RDE-4566,237.3,43.6,81.7,40.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4567,216.5,29.9,83.5,29.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4568,183.6,32.1,72.5,56.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4569,213.0,48.2,72.1,45.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4570,169.2,54.0,44.0,114.5,Emissions Exceedance Flag
STLA-RDE-4571,261.9,15.5,95.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4572,362.3,70.3,94.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4573,226.1,30.4,85.2,31.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4574,141.8,17.0,74.5,50.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4575,253.1,82.4,72.1,53.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4576,186.5,10.4,91.4,16.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4577,298.9,39.1,92.8,13.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4578,148.6,48.2,34.3,124.7,Emissions Exceedance Flag
STLA-RDE-4579,282.4,42.4,90.3,17.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4580,180.7,73.2,34.9,133.0,Emissions Exceedance Flag
STLA-RDE-4581,154.7,59.9,24.5,145.2,Emissions Exceedance Flag
STLA-RDE-4582,154.9,46.5,41.6,118.2,Emissions Exceedance Flag
STLA-RDE-4583,180.5,42.2,62.3,76.0,Emissions Exceedance Flag
STLA-RDE-4584,236.2,80.7,65.7,62.0,Emissions Exceedance Flag
STLA-RDE-4585,165.5,60.8,33.7,140.5,Emissions Exceedance Flag
STLA-RDE-4586,233.2,31.6,86.0,28.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4587,153.5,33.3,57.4,80.1,Emissions Exceedance Flag
STLA-RDE-4588,219.6,47.6,74.8,47.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4589,142.2,33.1,50.7,81.9,Emissions Exceedance Flag
STLA-RDE-4590,142.8,72.9,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4591,238.1,18.7,92.2,13.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4592,147.0,36.8,48.6,103.6,Emissions Exceedance Flag
STLA-RDE-4593,219.4,49.5,73.7,46.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4594,378.5,81.2,94.8,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4595,213.2,64.4,62.8,55.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4596,249.6,36.0,87.2,23.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4597,149.1,55.6,24.6,136.5,Emissions Exceedance Flag
STLA-RDE-4598,154.7,34.5,56.5,79.6,Emissions Exceedance Flag
STLA-RDE-4599,490.6,82.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4600,307.4,22.3,96.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4601,271.7,50.7,86.6,23.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4602,322.9,71.3,90.5,15.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4603,281.9,63.2,85.4,30.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4604,169.9,13.7,85.9,23.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4605,157.5,22.0,73.3,49.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4606,195.4,77.5,43.2,98.8,Emissions Exceedance Flag
STLA-RDE-4607,205.8,42.8,72.7,40.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4608,177.8,41.0,62.1,70.6,Emissions Exceedance Flag
STLA-RDE-4609,182.2,14.1,87.7,21.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4610,440.1,23.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4611,162.8,52.9,40.2,109.3,Emissions Exceedance Flag
STLA-RDE-4612,142.2,81.6,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4613,191.8,30.2,76.8,46.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4614,618.8,66.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4615,148.5,14.9,79.7,32.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4616,233.8,59.2,74.0,48.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4617,206.5,40.1,74.7,44.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4618,254.2,37.6,87.5,23.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4619,214.7,15.3,91.4,18.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4620,159.6,18.7,77.9,34.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4621,344.5,36.1,96.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4622,409.6,22.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4623,228.8,83.3,60.9,83.9,Emissions Exceedance Flag
STLA-RDE-4624,168.2,50.2,47.2,99.0,Emissions Exceedance Flag
STLA-RDE-4625,154.4,12.7,84.0,28.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4626,202.1,81.7,45.3,88.6,Emissions Exceedance Flag
STLA-RDE-4627,226.3,62.1,69.9,49.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4628,198.1,11.9,91.6,18.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4629,333.9,25.1,97.1,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4630,229.8,29.2,86.5,23.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4631,288.6,41.6,91.2,17.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4632,338.0,39.2,95.7,12.0,Euro 7 Compliant (<60mg/km)
