Chassis_Telemetry_ID,Lateral_Acceleration_G,Hydraulic_Circuit_Pressure_Bar,Vehicle_Body_Roll_deg,Straightaway_Compliance_pct,PCC_Active_State
MCLAREN-750S-1654,0.93,68.7,1.38,80.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1655,0.64,54.8,1.56,83.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1656,0.76,63.2,1.28,81.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1657,1.11,80.0,0.95,74.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1658,0.59,56.3,1.63,86.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1659,0.67,57.8,1.47,85.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1660,0.53,55.6,1.52,85.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1661,1.08,67.7,1.24,77.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1662,0.73,57.4,1.54,82.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1663,0.4,41.7,1.88,90.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1664,0.25,32.8,2.17,93.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1665,1.26,80.9,1.05,72.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1666,0.95,72.5,1.05,79.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1667,0.23,30.5,2.1,93.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1668,1.16,84.7,1.0,77.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1669,0.51,46.8,1.86,86.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1670,1.17,80.3,1.07,74.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1671,1.1,77.4,1.11,78.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1672,1.37,92.9,0.92,71.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1673,0.25,37.1,2.0,95.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1674,0.99,74.0,1.16,77.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1675,1.35,89.9,0.72,71.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1676,1.33,89.9,0.77,71.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1677,1.3,87.1,0.89,70.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1678,1.1,77.4,1.28,76.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1679,1.18,80.1,0.83,74.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1680,1.46,96.7,0.69,69.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1681,0.33,36.6,1.78,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1682,0.33,44.5,1.89,86.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1683,0.68,59.7,1.48,78.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1684,0.61,58.7,1.45,84.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1685,0.48,48.1,1.53,86.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1686,0.88,69.2,1.33,76.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1687,1.06,74.4,1.23,76.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1688,0.35,42.3,1.96,91.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1689,1.31,93.0,0.79,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1690,1.44,93.6,0.71,73.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1691,0.39,43.1,1.81,91.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1692,0.22,35.0,2.11,90.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1693,0.42,50.0,1.69,90.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1694,0.71,56.2,1.65,85.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1695,0.21,35.7,2.01,92.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1696,0.15,35.5,2.0,92.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1697,0.81,62.1,1.4,84.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1698,0.91,68.6,1.13,80.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1699,1.3,89.4,1.04,72.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1700,1.06,74.7,1.28,76.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1701,0.21,38.3,1.93,90.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1702,0.24,31.6,2.2,92.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1703,0.92,71.9,1.24,80.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1704,0.11,34.3,1.95,94.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1705,0.24,41.0,1.77,93.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1706,0.27,37.9,2.07,89.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1707,1.45,90.7,0.72,68.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1708,0.42,46.9,1.71,85.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1709,1.04,71.9,1.28,78.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1710,0.14,28.6,2.23,96.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1711,1.43,95.7,0.54,71.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1712,0.2,30.9,2.05,95.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1713,1.1,81.3,1.11,79.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1714,0.6,59.3,1.48,84.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1715,0.33,44.4,1.85,90.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1716,0.17,34.4,2.15,94.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1717,1.46,95.1,0.73,70.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1718,0.24,40.9,1.88,89.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1719,0.74,60.6,1.44,83.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1720,0.66,54.9,1.58,82.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1721,0.95,69.5,1.15,77.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1722,0.11,31.2,1.88,93.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1723,0.71,58.4,1.46,87.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1724,1.14,80.3,1.24,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1725,0.77,61.4,1.35,84.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1726,1.39,92.9,0.84,70.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1727,1.01,70.8,1.3,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1728,0.75,65.2,1.43,82.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1729,0.73,53.7,1.62,83.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1730,0.88,64.5,1.46,78.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1731,0.12,32.5,1.96,96.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1732,1.48,89.5,0.78,71.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1733,0.13,30.1,2.22,95.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1734,0.43,47.2,1.72,88.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1735,0.65,59.5,1.56,85.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1736,0.23,34.9,2.13,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1737,1.3,92.3,0.72,71.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1738,0.56,55.3,1.43,89.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1739,1.5,100.6,0.66,68.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1740,0.44,45.8,1.8,83.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1741,1.49,91.1,0.84,68.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1742,1.24,81.4,1.08,72.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1743,0.82,59.2,1.5,77.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1744,0.54,54.5,1.54,88.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1745,0.98,73.8,1.24,80.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1746,1.49,94.0,0.57,71.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1747,0.99,69.2,1.31,77.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1748,1.31,87.1,0.81,72.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1749,1.25,84.4,1.02,75.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1750,0.14,31.1,2.13,96.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1751,0.11,35.1,1.94,93.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1752,0.4,45.9,1.93,88.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1753,0.85,64.6,1.36,81.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1754,0.79,61.2,1.4,79.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1755,0.94,70.9,1.16,77.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1756,0.79,60.8,1.38,81.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1757,0.45,46.6,1.66,88.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1758,0.18,31.8,2.03,93.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1759,0.69,60.3,1.66,82.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1760,0.66,56.1,1.51,85.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1761,0.47,50.0,1.59,88.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1762,0.23,37.8,1.94,90.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1763,0.54,52.2,1.82,87.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1764,1.46,96.7,0.66,73.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1765,0.78,63.4,1.36,82.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1766,1.36,85.8,1.01,72.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1767,1.14,80.1,1.07,76.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1768,0.87,65.6,1.34,82.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1769,0.41,49.8,1.73,86.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1770,0.45,45.0,1.7,86.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1771,0.79,59.7,1.48,80.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1772,1.42,95.7,0.71,69.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1773,0.41,47.5,1.65,87.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1774,0.56,48.7,1.88,84.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1775,0.24,35.6,2.12,90.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1776,1.39,93.9,0.8,67.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1777,0.84,67.9,1.51,80.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1778,1.27,82.1,0.94,73.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1779,0.26,38.0,2.03,92.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1780,1.15,79.3,1.06,75.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1781,0.68,58.3,1.48,86.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1782,0.84,66.6,1.4,81.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1783,0.75,58.4,1.54,80.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1784,0.54,49.8,1.51,88.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1785,0.55,51.0,1.59,86.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1786,1.14,79.0,1.04,76.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1787,0.74,59.1,1.48,82.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1788,1.13,82.3,0.99,78.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1789,0.8,68.4,1.3,79.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1790,0.86,69.6,1.17,81.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1791,0.75,54.7,1.63,81.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1792,0.31,43.3,1.72,91.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1793,0.44,47.8,1.92,89.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1794,0.17,35.9,1.99,93.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1795,0.88,66.5,1.26,78.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1796,1.22,83.6,0.89,73.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1797,0.41,50.0,1.6,88.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1798,0.21,39.0,2.12,92.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1799,0.92,71.4,1.21,80.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1800,1.08,77.3,1.05,74.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1801,1.47,97.6,0.65,72.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1802,0.58,52.2,1.54,87.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1803,0.91,67.9,1.2,82.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1804,0.55,52.6,1.69,85.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1805,1.35,85.9,0.99,70.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1806,1.27,83.9,0.87,74.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1807,0.22,39.5,2.06,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1808,0.31,39.6,2.1,90.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1809,1.37,90.1,0.85,73.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1810,0.72,63.6,1.52,82.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1811,1.27,89.0,0.88,72.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1812,0.86,71.4,1.24,77.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1813,1.35,83.1,0.94,75.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1814,0.8,62.8,1.48,82.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1815,1.08,75.3,0.99,78.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1816,0.45,45.0,1.77,91.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1817,1.08,76.2,1.08,76.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1818,0.89,66.1,1.2,80.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1819,0.17,29.9,2.04,91.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1820,0.4,46.7,1.62,87.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1821,0.17,32.3,2.03,94.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1822,1.3,93.9,0.64,73.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1823,1.0,69.0,1.29,78.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1824,0.25,31.4,2.05,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1825,1.07,79.1,1.2,78.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1826,0.27,31.5,2.03,90.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1827,0.75,61.5,1.5,80.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1828,0.61,54.7,1.84,86.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1829,0.16,34.5,2.13,92.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1830,0.89,65.6,1.38,77.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1831,1.27,89.8,0.89,73.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1832,0.71,61.0,1.31,84.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1833,0.37,42.7,1.92,86.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1834,0.41,47.9,1.85,86.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1835,0.47,43.6,1.98,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1836,0.42,46.1,1.64,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1837,0.18,33.1,2.09,95.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1838,0.86,69.9,1.27,76.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1839,0.18,30.7,1.95,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1840,0.62,57.4,1.52,83.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1841,0.74,59.9,1.47,80.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1842,0.19,26.7,2.09,89.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1843,0.99,70.5,1.32,75.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1844,1.05,74.6,1.12,76.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1845,0.75,59.3,1.57,80.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1846,0.86,64.9,1.39,77.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1847,1.2,82.4,1.12,72.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1848,1.17,78.7,0.86,71.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1849,1.05,70.7,1.15,78.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1850,0.61,54.0,1.57,83.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1851,0.84,68.0,1.08,80.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1852,0.72,60.9,1.55,84.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1853,0.57,55.4,1.52,85.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1854,0.93,67.3,1.25,81.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1855,0.72,65.3,1.43,86.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1856,1.01,74.1,1.26,80.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1857,0.84,64.6,1.29,80.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1858,1.16,84.5,0.62,72.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1859,0.71,56.5,1.45,81.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1860,1.48,98.3,0.48,69.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1861,0.26,40.5,1.89,89.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1862,0.45,48.5,1.88,88.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1863,0.85,65.4,1.41,83.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1864,1.3,87.5,0.92,72.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1865,1.28,91.1,0.79,72.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1866,0.41,38.6,1.96,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1867,1.19,83.2,1.13,74.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1868,0.96,74.6,1.07,79.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1869,1.38,92.1,0.66,70.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1870,0.6,55.9,1.52,83.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1871,0.72,58.9,1.67,77.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1872,1.23,83.8,1.01,70.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1873,1.23,86.2,0.89,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1874,0.11,30.2,2.01,91.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1875,0.2,36.1,1.98,93.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1876,1.07,80.1,1.11,77.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1877,0.54,51.4,1.54,87.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1878,0.89,63.2,1.39,79.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1879,0.26,38.3,1.85,92.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1880,0.96,69.7,1.31,79.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1881,1.34,85.4,0.89,73.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1882,0.14,34.1,1.95,92.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1883,1.12,78.2,0.96,77.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1884,1.32,91.9,0.84,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1885,0.37,50.0,1.67,88.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1886,1.12,76.0,1.06,75.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1887,0.54,49.0,1.74,88.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1888,0.32,38.2,1.9,87.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1889,0.34,39.0,1.96,88.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1890,0.98,69.5,1.27,77.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1891,0.91,67.2,1.33,79.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1892,1.46,95.8,0.64,67.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1893,0.96,68.4,1.27,81.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1894,0.34,37.9,1.79,90.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1895,1.39,90.6,0.77,69.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1896,0.69,55.5,1.5,82.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1897,1.13,82.7,0.79,76.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1898,1.12,77.6,1.16,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1899,0.76,63.2,1.4,84.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1900,1.06,78.6,1.2,73.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1901,1.32,90.1,0.77,70.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1902,1.21,82.5,0.91,77.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1903,0.35,39.0,1.89,89.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1904,0.81,63.3,1.48,80.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1905,0.27,36.7,2.1,90.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1906,1.47,92.9,0.72,66.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1907,0.99,73.5,1.06,78.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1908,0.79,63.5,1.51,83.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1909,0.39,44.8,1.8,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1910,0.97,73.9,1.25,80.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1911,0.15,34.2,1.98,93.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1912,0.39,42.5,2.03,87.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1913,0.35,39.2,1.92,88.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1914,0.74,62.9,1.49,84.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1915,0.54,50.1,1.77,86.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1916,0.84,67.9,1.32,82.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1917,1.06,79.3,0.87,77.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1918,1.43,91.1,0.76,74.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1919,0.2,38.1,1.76,92.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1920,0.75,58.2,1.56,80.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1921,0.82,61.0,1.37,78.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1922,0.27,37.9,1.76,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1923,1.36,93.5,1.0,72.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1924,0.27,39.0,1.96,91.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1925,0.7,63.7,1.31,85.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1926,1.15,81.4,0.99,75.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1927,0.16,32.6,2.26,96.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1928,1.09,84.2,0.88,79.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1929,0.7,62.0,1.38,86.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1930,0.22,31.5,2.18,91.1,Comfort Mode Plush Cross-Linked Compliance
