Test_Run_ID,Vehicle_Speed_kmh,Engine_Speed_RPM,Cabin_Noise_dB,Engine_Mount_Vibe_G,Harshness_Status
BMW-NVH-1364,139.4,3358,71.7,0.174,Luxury Quiet Standard
BMW-NVH-1365,43.9,994,61.9,0.102,Luxury Quiet Standard
BMW-NVH-1366,176.3,4169,85.0,0.248,Unwanted Boom / Hum
BMW-NVH-1367,91.8,2205,68.8,0.175,Luxury Quiet Standard
BMW-NVH-1368,148.2,3481,81.8,0.234,Unwanted Boom / Hum
BMW-NVH-1369,175.1,4205,76.6,0.214,Luxury Quiet Standard
BMW-NVH-1370,169.3,4046,78.2,0.3,Unwanted Boom / Hum
BMW-NVH-1371,152.4,3635,73.2,0.217,Luxury Quiet Standard
BMW-NVH-1372,168.2,3920,80.3,0.248,Unwanted Boom / Hum
BMW-NVH-1373,136.7,3456,72.3,0.158,Luxury Quiet Standard
BMW-NVH-1374,115.2,2701,69.2,0.216,Luxury Quiet Standard
BMW-NVH-1375,155.8,3790,73.7,0.219,Luxury Quiet Standard
BMW-NVH-1376,123.9,3040,68.8,0.222,Luxury Quiet Standard
BMW-NVH-1377,42.2,1101,58.4,0.112,Luxury Quiet Standard
BMW-NVH-1378,147.1,3546,72.5,0.191,Luxury Quiet Standard
BMW-NVH-1379,83.6,1882,63.2,0.116,Luxury Quiet Standard
BMW-NVH-1380,148.5,3509,70.9,0.205,Luxury Quiet Standard
BMW-NVH-1381,116.7,2782,70.0,0.181,Luxury Quiet Standard
BMW-NVH-1382,147.5,3516,76.9,0.24,Unwanted Boom / Hum
BMW-NVH-1383,151.2,3696,74.4,0.187,Luxury Quiet Standard
BMW-NVH-1384,79.7,1974,64.2,0.11,Luxury Quiet Standard
BMW-NVH-1385,175.2,4272,84.7,0.296,Unwanted Boom / Hum
BMW-NVH-1386,165.1,3931,82.2,0.292,Unwanted Boom / Hum
BMW-NVH-1387,153.8,3760,81.8,0.262,Unwanted Boom / Hum
BMW-NVH-1388,93.1,2354,65.5,0.12,Luxury Quiet Standard
BMW-NVH-1389,43.4,1006,57.7,0.108,Luxury Quiet Standard
BMW-NVH-1390,127.9,3211,70.8,0.189,Luxury Quiet Standard
BMW-NVH-1391,77.0,1828,61.1,0.186,Luxury Quiet Standard
BMW-NVH-1392,103.4,2599,67.4,0.177,Luxury Quiet Standard
BMW-NVH-1393,148.2,3531,77.3,0.227,Unwanted Boom / Hum
BMW-NVH-1394,85.3,1936,63.3,0.131,Luxury Quiet Standard
BMW-NVH-1395,172.5,4267,82.5,0.286,Unwanted Boom / Hum
BMW-NVH-1396,70.5,1709,58.8,0.154,Luxury Quiet Standard
BMW-NVH-1397,48.8,1252,58.0,0.096,Luxury Quiet Standard
BMW-NVH-1398,139.7,3277,79.0,0.223,Unwanted Boom / Hum
BMW-NVH-1399,47.4,1134,60.1,0.118,Luxury Quiet Standard
BMW-NVH-1400,169.9,4145,79.2,0.227,Unwanted Boom / Hum
BMW-NVH-1401,34.0,826,54.3,0.103,Luxury Quiet Standard
BMW-NVH-1402,96.7,2456,63.0,0.12,Luxury Quiet Standard
BMW-NVH-1403,128.9,2985,69.5,0.263,Luxury Quiet Standard
BMW-NVH-1404,43.5,989,56.8,0.152,Luxury Quiet Standard
BMW-NVH-1405,39.1,868,57.9,0.112,Luxury Quiet Standard
BMW-NVH-1406,170.9,4088,81.3,0.247,Unwanted Boom / Hum
BMW-NVH-1407,170.5,4048,76.9,0.26,Unwanted Boom / Hum
BMW-NVH-1408,171.1,4232,77.9,0.193,Luxury Quiet Standard
BMW-NVH-1409,51.5,1255,58.8,0.128,Luxury Quiet Standard
BMW-NVH-1410,113.3,2802,70.0,0.176,Luxury Quiet Standard
BMW-NVH-1411,53.3,1250,60.6,0.196,Luxury Quiet Standard
BMW-NVH-1412,93.6,2338,64.1,0.124,Luxury Quiet Standard
BMW-NVH-1413,149.7,3503,78.7,0.234,Unwanted Boom / Hum
BMW-NVH-1414,59.4,1441,58.2,0.117,Luxury Quiet Standard
BMW-NVH-1415,107.8,2550,66.8,0.157,Luxury Quiet Standard
BMW-NVH-1416,54.2,1281,57.2,0.129,Luxury Quiet Standard
BMW-NVH-1417,30.6,776,59.0,0.153,Luxury Quiet Standard
BMW-NVH-1418,121.0,2863,71.1,0.135,Luxury Quiet Standard
BMW-NVH-1419,174.6,4107,81.3,0.256,Unwanted Boom / Hum
BMW-NVH-1420,156.9,3702,81.3,0.243,Unwanted Boom / Hum
BMW-NVH-1421,129.9,3115,70.9,0.182,Luxury Quiet Standard
BMW-NVH-1422,143.3,3426,71.9,0.182,Luxury Quiet Standard
BMW-NVH-1423,39.5,847,59.1,0.124,Luxury Quiet Standard
BMW-NVH-1424,100.5,2385,65.1,0.22,Luxury Quiet Standard
BMW-NVH-1425,77.5,1746,63.0,0.128,Luxury Quiet Standard
BMW-NVH-1426,57.1,1219,60.3,0.153,Luxury Quiet Standard
BMW-NVH-1427,107.0,2430,62.9,0.157,Luxury Quiet Standard
BMW-NVH-1428,76.8,1777,59.6,0.171,Luxury Quiet Standard
BMW-NVH-1429,146.7,3640,72.4,0.216,Luxury Quiet Standard
BMW-NVH-1430,69.7,1748,61.4,0.158,Luxury Quiet Standard
BMW-NVH-1431,168.1,3978,75.7,0.212,Luxury Quiet Standard
BMW-NVH-1432,140.6,3368,71.1,0.179,Luxury Quiet Standard
BMW-NVH-1433,30.4,798,56.3,0.095,Luxury Quiet Standard
BMW-NVH-1434,174.5,4256,76.1,0.178,Luxury Quiet Standard
BMW-NVH-1435,130.1,3230,70.3,0.212,Luxury Quiet Standard
BMW-NVH-1436,45.5,1187,55.0,0.168,Luxury Quiet Standard
BMW-NVH-1437,155.2,3753,77.7,0.229,Unwanted Boom / Hum
BMW-NVH-1438,79.0,1895,64.6,0.194,Luxury Quiet Standard
BMW-NVH-1439,136.6,3329,69.7,0.185,Luxury Quiet Standard
BMW-NVH-1440,108.6,2653,67.7,0.26,Luxury Quiet Standard
BMW-NVH-1441,33.5,843,56.7,0.122,Luxury Quiet Standard
BMW-NVH-1442,35.3,838,58.9,0.074,Luxury Quiet Standard
BMW-NVH-1443,134.6,3158,73.8,0.183,Luxury Quiet Standard
BMW-NVH-1444,74.6,1852,60.9,0.144,Luxury Quiet Standard
BMW-NVH-1445,76.6,1739,60.7,0.163,Luxury Quiet Standard
BMW-NVH-1446,54.2,1245,57.3,0.185,Luxury Quiet Standard
BMW-NVH-1447,179.6,4259,83.9,0.235,Unwanted Boom / Hum
BMW-NVH-1448,66.8,1505,58.2,0.092,Luxury Quiet Standard
BMW-NVH-1449,178.0,4104,75.8,0.216,Luxury Quiet Standard
BMW-NVH-1450,75.7,1918,63.1,0.157,Luxury Quiet Standard
BMW-NVH-1451,69.0,1598,61.4,0.152,Luxury Quiet Standard
BMW-NVH-1452,93.4,2252,66.9,0.123,Luxury Quiet Standard
BMW-NVH-1453,108.4,2586,69.9,0.226,Luxury Quiet Standard
BMW-NVH-1454,85.5,1973,63.0,0.138,Luxury Quiet Standard
BMW-NVH-1455,61.9,1481,62.3,0.132,Luxury Quiet Standard
BMW-NVH-1456,49.1,1060,55.3,0.126,Luxury Quiet Standard
BMW-NVH-1457,67.3,1500,60.7,0.151,Luxury Quiet Standard
BMW-NVH-1458,105.8,2472,68.8,0.173,Luxury Quiet Standard
BMW-NVH-1459,39.3,925,56.0,0.142,Luxury Quiet Standard
BMW-NVH-1460,75.1,1850,60.2,0.183,Luxury Quiet Standard
BMW-NVH-1461,126.0,3072,69.6,0.2,Luxury Quiet Standard
BMW-NVH-1462,111.3,2720,64.5,0.191,Luxury Quiet Standard
BMW-NVH-1463,100.5,2384,64.8,0.21,Luxury Quiet Standard
BMW-NVH-1464,109.2,2586,64.0,0.187,Luxury Quiet Standard
BMW-NVH-1465,141.7,3306,72.6,0.189,Luxury Quiet Standard
BMW-NVH-1466,88.1,2125,68.8,0.129,Luxury Quiet Standard
BMW-NVH-1467,131.4,3163,72.7,0.203,Luxury Quiet Standard
BMW-NVH-1468,159.8,3800,72.2,0.219,Luxury Quiet Standard
BMW-NVH-1469,121.0,2945,73.9,0.143,Luxury Quiet Standard
BMW-NVH-1470,138.7,3359,76.6,0.227,Unwanted Boom / Hum
BMW-NVH-1471,35.0,791,59.4,0.106,Luxury Quiet Standard
BMW-NVH-1472,97.5,2402,65.8,0.159,Luxury Quiet Standard
BMW-NVH-1473,85.8,1990,63.7,0.156,Luxury Quiet Standard
BMW-NVH-1474,52.2,1188,59.5,0.138,Luxury Quiet Standard
BMW-NVH-1475,106.7,2614,65.0,0.16,Luxury Quiet Standard
BMW-NVH-1476,31.5,695,54.2,0.103,Luxury Quiet Standard
BMW-NVH-1477,157.7,3751,73.8,0.177,Luxury Quiet Standard
BMW-NVH-1478,113.5,2776,68.8,0.206,Luxury Quiet Standard
BMW-NVH-1479,88.0,2169,63.3,0.136,Luxury Quiet Standard
BMW-NVH-1480,126.8,3095,66.9,0.17,Luxury Quiet Standard
BMW-NVH-1481,144.4,3538,80.8,0.263,Unwanted Boom / Hum
BMW-NVH-1482,67.3,1680,62.4,0.152,Luxury Quiet Standard
BMW-NVH-1483,90.6,2175,66.9,0.19,Luxury Quiet Standard
BMW-NVH-1484,56.9,1455,61.2,0.128,Luxury Quiet Standard
BMW-NVH-1485,129.1,2961,69.3,0.2,Luxury Quiet Standard
BMW-NVH-1486,179.9,4425,86.8,0.242,Unwanted Boom / Hum
BMW-NVH-1487,34.9,911,54.4,0.077,Luxury Quiet Standard
BMW-NVH-1488,50.7,1054,60.2,0.13,Luxury Quiet Standard
BMW-NVH-1489,61.5,1430,62.6,0.11,Luxury Quiet Standard
BMW-NVH-1490,36.6,842,57.1,0.13,Luxury Quiet Standard
BMW-NVH-1491,76.7,1797,62.2,0.147,Luxury Quiet Standard
BMW-NVH-1492,52.2,1253,59.4,0.073,Luxury Quiet Standard
BMW-NVH-1493,103.3,2335,67.9,0.181,Luxury Quiet Standard
BMW-NVH-1494,87.3,2020,64.1,0.193,Luxury Quiet Standard
BMW-NVH-1495,109.0,2589,67.6,0.122,Luxury Quiet Standard
BMW-NVH-1496,40.2,961,57.7,0.123,Luxury Quiet Standard
BMW-NVH-1497,81.2,1936,63.7,0.158,Luxury Quiet Standard
BMW-NVH-1498,127.8,2840,66.2,0.21,Luxury Quiet Standard
BMW-NVH-1499,122.2,2994,69.3,0.133,Luxury Quiet Standard
BMW-NVH-1500,63.0,1581,63.3,0.112,Luxury Quiet Standard
BMW-NVH-1501,81.2,1901,65.6,0.151,Luxury Quiet Standard
BMW-NVH-1502,69.5,1733,64.0,0.167,Luxury Quiet Standard
BMW-NVH-1503,33.1,815,53.5,0.102,Luxury Quiet Standard
BMW-NVH-1504,48.5,1369,60.1,0.15,Luxury Quiet Standard
BMW-NVH-1505,101.5,2529,67.4,0.168,Luxury Quiet Standard
BMW-NVH-1506,102.6,2496,65.3,0.159,Luxury Quiet Standard
BMW-NVH-1507,103.6,2448,66.9,0.144,Luxury Quiet Standard
BMW-NVH-1508,178.9,4180,78.5,0.195,Luxury Quiet Standard
BMW-NVH-1509,119.8,2854,71.2,0.205,Luxury Quiet Standard
BMW-NVH-1510,75.8,1832,62.9,0.214,Luxury Quiet Standard
BMW-NVH-1511,158.0,3796,78.8,0.256,Unwanted Boom / Hum
BMW-NVH-1512,142.0,3427,74.6,0.249,Unwanted Boom / Hum
BMW-NVH-1513,74.2,1774,60.3,0.126,Luxury Quiet Standard
BMW-NVH-1514,156.1,3831,72.1,0.203,Luxury Quiet Standard
BMW-NVH-1515,69.7,1572,62.2,0.09,Luxury Quiet Standard
BMW-NVH-1516,102.6,2463,65.1,0.118,Luxury Quiet Standard
BMW-NVH-1517,112.3,2700,64.6,0.17,Luxury Quiet Standard
BMW-NVH-1518,81.9,1958,64.1,0.125,Luxury Quiet Standard
BMW-NVH-1519,117.8,2862,67.7,0.211,Luxury Quiet Standard
BMW-NVH-1520,114.8,2762,68.4,0.166,Luxury Quiet Standard
BMW-NVH-1521,85.5,1925,64.5,0.09,Luxury Quiet Standard
BMW-NVH-1522,125.3,2989,72.0,0.171,Luxury Quiet Standard
BMW-NVH-1523,156.4,3806,71.1,0.215,Luxury Quiet Standard
BMW-NVH-1524,125.9,2950,69.9,0.18,Luxury Quiet Standard
BMW-NVH-1525,94.8,2306,63.0,0.159,Luxury Quiet Standard
BMW-NVH-1526,148.5,3551,79.5,0.24,Unwanted Boom / Hum
BMW-NVH-1527,46.9,1065,55.4,0.122,Luxury Quiet Standard
BMW-NVH-1528,73.4,1639,64.2,0.108,Luxury Quiet Standard
BMW-NVH-1529,178.1,4172,82.4,0.234,Unwanted Boom / Hum
BMW-NVH-1530,73.7,1752,61.5,0.141,Luxury Quiet Standard
BMW-NVH-1531,111.0,2592,65.6,0.158,Luxury Quiet Standard
BMW-NVH-1532,97.9,2439,69.6,0.217,Luxury Quiet Standard
BMW-NVH-1533,42.1,1085,56.2,0.185,Luxury Quiet Standard
BMW-NVH-1534,112.0,2767,67.4,0.184,Luxury Quiet Standard
BMW-NVH-1535,143.4,3459,73.3,0.193,Luxury Quiet Standard
BMW-NVH-1536,142.9,3351,74.3,0.179,Luxury Quiet Standard
BMW-NVH-1537,138.2,3322,78.7,0.24,Unwanted Boom / Hum
BMW-NVH-1538,85.1,1837,61.0,0.164,Luxury Quiet Standard
BMW-NVH-1539,62.4,1528,58.7,0.124,Luxury Quiet Standard
BMW-NVH-1540,96.3,2392,70.4,0.162,Luxury Quiet Standard
BMW-NVH-1541,122.8,2915,67.3,0.184,Luxury Quiet Standard
BMW-NVH-1542,121.2,2896,68.9,0.18,Luxury Quiet Standard
BMW-NVH-1543,95.5,2188,66.3,0.135,Luxury Quiet Standard
BMW-NVH-1544,147.5,3590,77.9,0.229,Unwanted Boom / Hum
BMW-NVH-1545,150.9,3738,81.7,0.236,Unwanted Boom / Hum
BMW-NVH-1546,119.9,2892,69.2,0.162,Luxury Quiet Standard
BMW-NVH-1547,62.7,1483,61.8,0.169,Luxury Quiet Standard
BMW-NVH-1548,55.8,1322,61.9,0.096,Luxury Quiet Standard
BMW-NVH-1549,125.5,3212,68.3,0.191,Luxury Quiet Standard
BMW-NVH-1550,90.1,2087,63.2,0.141,Luxury Quiet Standard
BMW-NVH-1551,152.2,3689,71.6,0.198,Luxury Quiet Standard
BMW-NVH-1552,58.3,1438,59.8,0.147,Luxury Quiet Standard
BMW-NVH-1553,130.1,3243,68.1,0.208,Luxury Quiet Standard
BMW-NVH-1554,101.3,2427,66.4,0.177,Luxury Quiet Standard
BMW-NVH-1555,146.8,3321,72.2,0.219,Luxury Quiet Standard
BMW-NVH-1556,111.7,2636,67.4,0.199,Luxury Quiet Standard
BMW-NVH-1557,91.9,2193,64.0,0.218,Luxury Quiet Standard
BMW-NVH-1558,158.7,3845,78.9,0.265,Unwanted Boom / Hum
BMW-NVH-1559,33.3,811,57.8,0.151,Luxury Quiet Standard
BMW-NVH-1560,174.2,4145,82.2,0.285,Unwanted Boom / Hum
BMW-NVH-1561,175.9,4085,83.1,0.245,Unwanted Boom / Hum
BMW-NVH-1562,64.8,1528,59.2,0.143,Luxury Quiet Standard
BMW-NVH-1563,91.6,2168,63.5,0.152,Luxury Quiet Standard
BMW-NVH-1564,96.4,2395,67.4,0.111,Luxury Quiet Standard
BMW-NVH-1565,92.6,2352,68.5,0.184,Luxury Quiet Standard
BMW-NVH-1566,58.2,1448,62.2,0.149,Luxury Quiet Standard
BMW-NVH-1567,127.5,3009,70.3,0.269,Luxury Quiet Standard
BMW-NVH-1568,79.1,2023,64.6,0.147,Luxury Quiet Standard
BMW-NVH-1569,139.6,3332,72.4,0.172,Luxury Quiet Standard
BMW-NVH-1570,140.2,3394,76.7,0.244,Unwanted Boom / Hum
BMW-NVH-1571,175.7,4256,84.1,0.315,Unwanted Boom / Hum
BMW-NVH-1572,168.3,3977,73.9,0.207,Luxury Quiet Standard
BMW-NVH-1573,53.3,1304,63.3,0.087,Luxury Quiet Standard
BMW-NVH-1574,125.8,2973,67.3,0.185,Luxury Quiet Standard
BMW-NVH-1575,156.0,3804,74.1,0.204,Luxury Quiet Standard
BMW-NVH-1576,37.1,806,58.2,0.049,Luxury Quiet Standard
BMW-NVH-1577,36.8,873,55.0,0.064,Luxury Quiet Standard
BMW-NVH-1578,46.1,1121,57.1,0.149,Luxury Quiet Standard
BMW-NVH-1579,154.4,3599,80.1,0.257,Unwanted Boom / Hum
BMW-NVH-1580,88.2,2173,62.3,0.246,Luxury Quiet Standard
BMW-NVH-1581,93.7,2293,62.1,0.126,Luxury Quiet Standard
BMW-NVH-1582,78.1,1900,65.1,0.131,Luxury Quiet Standard
BMW-NVH-1583,162.7,3936,77.8,0.214,Luxury Quiet Standard
BMW-NVH-1584,52.4,1156,62.0,0.08,Luxury Quiet Standard
BMW-NVH-1585,169.8,4101,79.5,0.188,Luxury Quiet Standard
BMW-NVH-1586,91.2,2178,62.5,0.11,Luxury Quiet Standard
BMW-NVH-1587,128.7,2985,70.5,0.21,Luxury Quiet Standard
BMW-NVH-1588,119.4,2817,70.6,0.226,Luxury Quiet Standard
BMW-NVH-1589,67.4,1680,62.5,0.126,Luxury Quiet Standard
BMW-NVH-1590,148.5,3446,71.1,0.186,Luxury Quiet Standard
BMW-NVH-1591,149.4,3610,79.3,0.235,Unwanted Boom / Hum
BMW-NVH-1592,62.3,1401,60.1,0.114,Luxury Quiet Standard
BMW-NVH-1593,131.0,3211,69.5,0.169,Luxury Quiet Standard
BMW-NVH-1594,70.6,1663,59.7,0.125,Luxury Quiet Standard
BMW-NVH-1595,84.8,1863,64.8,0.181,Luxury Quiet Standard
BMW-NVH-1596,42.2,920,57.8,0.102,Luxury Quiet Standard
BMW-NVH-1597,32.6,888,54.8,0.143,Luxury Quiet Standard
BMW-NVH-1598,166.4,4038,78.6,0.247,Unwanted Boom / Hum
BMW-NVH-1599,145.0,3458,70.8,0.191,Luxury Quiet Standard
BMW-NVH-1600,142.5,3324,80.1,0.231,Unwanted Boom / Hum
BMW-NVH-1601,40.6,897,56.9,0.107,Luxury Quiet Standard
BMW-NVH-1602,68.0,1622,61.0,0.111,Luxury Quiet Standard
BMW-NVH-1603,63.3,1404,59.6,0.073,Luxury Quiet Standard
BMW-NVH-1604,50.8,1278,61.6,0.144,Luxury Quiet Standard
BMW-NVH-1605,106.1,2550,66.2,0.172,Luxury Quiet Standard
BMW-NVH-1606,119.5,2944,72.4,0.196,Luxury Quiet Standard
BMW-NVH-1607,125.4,3047,70.6,0.166,Luxury Quiet Standard
BMW-NVH-1608,50.1,1224,58.3,0.143,Luxury Quiet Standard
BMW-NVH-1609,175.8,4156,82.9,0.23,Unwanted Boom / Hum
BMW-NVH-1610,161.1,3978,74.4,0.173,Luxury Quiet Standard
BMW-NVH-1611,93.6,2088,65.5,0.169,Luxury Quiet Standard
BMW-NVH-1612,115.2,2759,67.4,0.21,Luxury Quiet Standard
BMW-NVH-1613,97.2,2306,66.5,0.166,Luxury Quiet Standard
BMW-NVH-1614,136.3,3134,71.3,0.212,Luxury Quiet Standard
BMW-NVH-1615,101.0,2429,64.8,0.168,Luxury Quiet Standard
BMW-NVH-1616,123.9,2808,71.9,0.177,Luxury Quiet Standard
BMW-NVH-1617,50.9,1386,59.9,0.112,Luxury Quiet Standard
BMW-NVH-1618,132.6,3108,71.0,0.178,Luxury Quiet Standard
BMW-NVH-1619,171.6,4070,83.3,0.256,Unwanted Boom / Hum
BMW-NVH-1620,79.3,1825,64.5,0.154,Luxury Quiet Standard
BMW-NVH-1621,57.6,1455,61.3,0.113,Luxury Quiet Standard
BMW-NVH-1622,139.4,3320,75.0,0.276,Unwanted Boom / Hum
BMW-NVH-1623,99.0,2368,66.2,0.185,Luxury Quiet Standard
BMW-NVH-1624,115.9,2818,66.5,0.153,Luxury Quiet Standard
BMW-NVH-1625,100.9,2477,67.6,0.189,Luxury Quiet Standard
BMW-NVH-1626,54.6,1319,58.9,0.118,Luxury Quiet Standard
BMW-NVH-1627,144.2,3369,70.9,0.179,Luxury Quiet Standard
BMW-NVH-1628,81.1,1964,62.1,0.146,Luxury Quiet Standard
BMW-NVH-1629,162.4,3844,83.5,0.282,Unwanted Boom / Hum
BMW-NVH-1630,61.9,1627,62.3,0.117,Luxury Quiet Standard
BMW-NVH-1631,172.0,4230,79.3,0.22,Luxury Quiet Standard
BMW-NVH-1632,74.5,1807,66.0,0.131,Luxury Quiet Standard
BMW-NVH-1633,44.7,943,60.0,0.136,Luxury Quiet Standard
BMW-NVH-1634,70.9,1629,61.3,0.154,Luxury Quiet Standard
BMW-NVH-1635,149.0,3502,71.8,0.175,Luxury Quiet Standard
BMW-NVH-1636,119.2,2994,70.5,0.212,Luxury Quiet Standard
BMW-NVH-1637,147.4,3583,72.3,0.219,Luxury Quiet Standard
BMW-NVH-1638,158.4,3732,74.8,0.218,Luxury Quiet Standard
BMW-NVH-1639,128.5,3092,68.3,0.17,Luxury Quiet Standard
BMW-NVH-1640,38.9,955,59.5,0.155,Luxury Quiet Standard
BMW-NVH-1641,75.1,1835,64.3,0.178,Luxury Quiet Standard
BMW-NVH-1642,30.7,785,54.9,0.129,Luxury Quiet Standard
BMW-NVH-1643,132.4,3156,72.5,0.22,Luxury Quiet Standard
BMW-NVH-1644,174.0,4143,82.8,0.231,Unwanted Boom / Hum
BMW-NVH-1645,157.9,3750,79.8,0.225,Unwanted Boom / Hum
BMW-NVH-1646,58.3,1320,61.9,0.084,Luxury Quiet Standard
BMW-NVH-1647,79.7,1962,66.0,0.167,Luxury Quiet Standard
BMW-NVH-1648,158.6,3782,81.9,0.273,Unwanted Boom / Hum
BMW-NVH-1649,157.0,3763,74.4,0.217,Luxury Quiet Standard
BMW-NVH-1650,144.6,3593,74.6,0.196,Luxury Quiet Standard
BMW-NVH-1651,40.1,984,58.2,0.139,Luxury Quiet Standard
BMW-NVH-1652,39.6,812,59.0,0.079,Luxury Quiet Standard
BMW-NVH-1653,135.3,3263,72.1,0.167,Luxury Quiet Standard
BMW-NVH-1654,88.0,2132,63.1,0.163,Luxury Quiet Standard
BMW-NVH-1655,47.3,1056,58.5,0.08,Luxury Quiet Standard
BMW-NVH-1656,167.7,3924,80.7,0.229,Unwanted Boom / Hum
BMW-NVH-1657,106.0,2624,64.9,0.141,Luxury Quiet Standard
BMW-NVH-1658,105.0,2482,66.0,0.213,Luxury Quiet Standard
BMW-NVH-1659,110.2,2885,68.2,0.223,Luxury Quiet Standard
BMW-NVH-1660,163.3,3859,82.0,0.223,Unwanted Boom / Hum
BMW-NVH-1661,53.9,1153,56.2,0.096,Luxury Quiet Standard
BMW-NVH-1662,86.6,2037,63.7,0.131,Luxury Quiet Standard
BMW-NVH-1663,42.3,950,57.0,0.144,Luxury Quiet Standard
BMW-NVH-1664,155.4,3734,75.8,0.2,Luxury Quiet Standard
BMW-NVH-1665,144.0,3439,72.7,0.175,Luxury Quiet Standard
BMW-NVH-1666,31.1,696,58.3,0.099,Luxury Quiet Standard
BMW-NVH-1667,89.0,2181,66.2,0.144,Luxury Quiet Standard
BMW-NVH-1668,171.0,4054,78.1,0.215,Luxury Quiet Standard
BMW-NVH-1669,58.0,1474,62.7,0.12,Luxury Quiet Standard
BMW-NVH-1670,113.5,2650,70.9,0.173,Luxury Quiet Standard
BMW-NVH-1671,114.3,2764,67.9,0.198,Luxury Quiet Standard
BMW-NVH-1672,46.1,988,56.0,0.134,Luxury Quiet Standard
BMW-NVH-1673,158.2,3645,71.8,0.189,Luxury Quiet Standard
BMW-NVH-1674,161.7,3808,75.5,0.189,Luxury Quiet Standard
BMW-NVH-1675,126.8,2883,68.4,0.21,Luxury Quiet Standard
BMW-NVH-1676,174.3,4152,82.7,0.251,Unwanted Boom / Hum
BMW-NVH-1677,47.4,1014,58.3,0.138,Luxury Quiet Standard
BMW-NVH-1678,175.9,4139,75.6,0.181,Luxury Quiet Standard
BMW-NVH-1679,123.2,3040,68.6,0.231,Luxury Quiet Standard
BMW-NVH-1680,155.2,3795,76.5,0.186,Luxury Quiet Standard
BMW-NVH-1681,65.4,1559,63.2,0.125,Luxury Quiet Standard
BMW-NVH-1682,95.6,2219,66.0,0.115,Luxury Quiet Standard
BMW-NVH-1683,56.5,1348,57.6,0.147,Luxury Quiet Standard
BMW-NVH-1684,54.8,1391,59.3,0.157,Luxury Quiet Standard
BMW-NVH-1685,56.3,1350,59.0,0.081,Luxury Quiet Standard
BMW-NVH-1686,165.2,4009,72.0,0.206,Luxury Quiet Standard
BMW-NVH-1687,72.2,1617,62.2,0.162,Luxury Quiet Standard
BMW-NVH-1688,172.2,4062,81.2,0.233,Unwanted Boom / Hum
BMW-NVH-1689,49.1,1171,57.1,0.104,Luxury Quiet Standard
BMW-NVH-1690,141.4,3387,71.9,0.211,Luxury Quiet Standard
BMW-NVH-1691,135.1,3168,71.2,0.229,Luxury Quiet Standard
BMW-NVH-1692,125.9,2976,70.0,0.13,Luxury Quiet Standard
BMW-NVH-1693,42.0,1171,56.9,0.093,Luxury Quiet Standard
BMW-NVH-1694,77.9,1988,63.0,0.181,Luxury Quiet Standard
BMW-NVH-1695,48.7,1081,57.9,0.107,Luxury Quiet Standard
BMW-NVH-1696,153.4,3750,81.6,0.241,Unwanted Boom / Hum
BMW-NVH-1697,144.2,3528,74.2,0.199,Luxury Quiet Standard
BMW-NVH-1698,34.7,788,57.9,0.076,Luxury Quiet Standard
BMW-NVH-1699,58.0,1440,60.4,0.124,Luxury Quiet Standard
BMW-NVH-1700,166.8,4143,84.7,0.262,Unwanted Boom / Hum
BMW-NVH-1701,121.7,2959,66.6,0.169,Luxury Quiet Standard
BMW-NVH-1702,126.9,2930,69.9,0.178,Luxury Quiet Standard
BMW-NVH-1703,64.8,1631,61.9,0.117,Luxury Quiet Standard
BMW-NVH-1704,116.9,2876,67.2,0.191,Luxury Quiet Standard
BMW-NVH-1705,80.2,1946,62.5,0.217,Luxury Quiet Standard
BMW-NVH-1706,80.4,2003,66.9,0.192,Luxury Quiet Standard
BMW-NVH-1707,167.5,3990,82.1,0.259,Unwanted Boom / Hum
BMW-NVH-1708,66.9,1496,59.5,0.139,Luxury Quiet Standard
BMW-NVH-1709,42.9,1118,62.0,0.083,Luxury Quiet Standard
BMW-NVH-1710,66.5,1398,61.9,0.112,Luxury Quiet Standard
BMW-NVH-1711,148.0,3556,71.6,0.194,Luxury Quiet Standard
BMW-NVH-1712,122.0,2872,70.7,0.247,Luxury Quiet Standard
BMW-NVH-1713,77.8,1854,65.5,0.192,Luxury Quiet Standard
BMW-NVH-1714,156.5,3820,82.9,0.228,Unwanted Boom / Hum
BMW-NVH-1715,79.6,1836,61.5,0.156,Luxury Quiet Standard
BMW-NVH-1716,74.3,1769,64.0,0.152,Luxury Quiet Standard
BMW-NVH-1717,43.0,1102,55.8,0.118,Luxury Quiet Standard
BMW-NVH-1718,142.4,3392,73.1,0.218,Luxury Quiet Standard
BMW-NVH-1719,172.4,4157,78.6,0.223,Unwanted Boom / Hum
BMW-NVH-1720,49.6,1218,59.0,0.107,Luxury Quiet Standard
BMW-NVH-1721,59.0,1451,62.0,0.113,Luxury Quiet Standard
BMW-NVH-1722,50.8,1124,59.7,0.145,Luxury Quiet Standard
BMW-NVH-1723,161.2,3950,81.6,0.228,Unwanted Boom / Hum
BMW-NVH-1724,109.3,2579,67.9,0.191,Luxury Quiet Standard
BMW-NVH-1725,78.6,1850,64.8,0.148,Luxury Quiet Standard
BMW-NVH-1726,65.9,1583,61.2,0.155,Luxury Quiet Standard
BMW-NVH-1727,136.7,3309,70.0,0.201,Luxury Quiet Standard
BMW-NVH-1728,37.6,711,56.6,0.142,Luxury Quiet Standard
BMW-NVH-1729,36.8,910,54.6,0.114,Luxury Quiet Standard
