Stamping_Stroke_ID,Press_Tonnage_kN,Stroke_Rate_SPM,Die_Temperature_C,Peak_Impact_Shock_G,Harmonic_Wear_Ratio,Panel_Quality
TOYOTA-PR-1768,1852.8,14.0,56.8,7.16,1.45,Perfect Stamping Quality
TOYOTA-PR-1769,2386.8,20.8,63.0,8.31,1.32,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1770,1129.8,25.3,51.0,6.56,1.31,Perfect Stamping Quality
TOYOTA-PR-1771,2298.6,19.2,58.4,8.37,1.17,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1772,1643.3,14.7,51.9,6.75,1.27,Perfect Stamping Quality
TOYOTA-PR-1773,1845.7,14.4,60.5,7.51,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1774,983.5,15.8,49.6,6.09,1.0,Perfect Stamping Quality
TOYOTA-PR-1775,920.2,23.6,46.9,5.76,1.36,Perfect Stamping Quality
TOYOTA-PR-1776,1363.7,15.7,51.3,7.05,1.41,Perfect Stamping Quality
TOYOTA-PR-1777,1299.0,18.4,52.4,6.07,1.28,Perfect Stamping Quality
TOYOTA-PR-1778,1712.2,17.0,48.0,7.55,1.4,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1779,2189.1,28.7,51.6,7.57,1.57,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1780,1608.1,29.7,53.9,7.18,1.42,Perfect Stamping Quality
TOYOTA-PR-1781,1841.2,31.7,55.0,7.49,1.37,Perfect Stamping Quality
TOYOTA-PR-1782,2026.4,17.2,56.0,7.59,1.28,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1783,1150.4,31.5,43.4,6.71,1.33,Perfect Stamping Quality
TOYOTA-PR-1784,1717.4,22.2,53.3,7.48,1.42,Perfect Stamping Quality
TOYOTA-PR-1785,2333.0,30.9,57.7,7.96,1.25,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1786,1174.0,23.7,49.3,6.24,1.27,Perfect Stamping Quality
TOYOTA-PR-1787,2259.9,16.9,58.7,8.72,1.17,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1788,2199.5,20.3,56.3,7.88,1.49,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1789,1265.0,31.0,51.6,6.33,1.46,Perfect Stamping Quality
TOYOTA-PR-1790,1573.1,27.1,51.5,6.56,1.53,Perfect Stamping Quality
TOYOTA-PR-1791,1197.7,15.3,45.3,6.12,1.14,Perfect Stamping Quality
TOYOTA-PR-1792,2046.3,31.5,58.6,7.28,1.41,Perfect Stamping Quality
TOYOTA-PR-1793,1847.0,27.1,57.2,7.35,1.33,Perfect Stamping Quality
TOYOTA-PR-1794,1229.9,21.4,49.5,6.01,1.43,Perfect Stamping Quality
TOYOTA-PR-1795,1548.4,27.6,53.7,6.3,1.34,Perfect Stamping Quality
TOYOTA-PR-1796,1093.4,31.4,44.0,6.47,1.26,Perfect Stamping Quality
TOYOTA-PR-1797,1178.1,16.7,47.3,6.38,1.25,Perfect Stamping Quality
TOYOTA-PR-1798,2141.7,19.4,55.7,7.54,1.54,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1799,1443.8,25.5,55.5,6.44,1.41,Perfect Stamping Quality
TOYOTA-PR-1800,1548.5,27.1,50.0,6.76,1.46,Perfect Stamping Quality
TOYOTA-PR-1801,2260.0,18.7,60.4,7.72,1.3,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1802,1816.0,28.9,54.6,7.51,1.24,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1803,1503.8,25.7,54.5,6.15,1.28,Perfect Stamping Quality
TOYOTA-PR-1804,1431.4,27.7,55.4,5.78,1.37,Perfect Stamping Quality
TOYOTA-PR-1805,1810.6,23.9,54.1,6.69,1.24,Perfect Stamping Quality
TOYOTA-PR-1806,2050.0,29.2,57.6,7.06,1.39,Perfect Stamping Quality
TOYOTA-PR-1807,889.7,31.8,45.4,6.04,1.07,Perfect Stamping Quality
TOYOTA-PR-1808,911.5,31.9,41.2,6.03,1.24,Perfect Stamping Quality
TOYOTA-PR-1809,1750.5,29.7,54.8,7.41,1.35,Perfect Stamping Quality
TOYOTA-PR-1810,1143.7,26.2,51.6,5.81,1.52,Perfect Stamping Quality
TOYOTA-PR-1811,855.0,26.6,48.6,5.09,1.33,Perfect Stamping Quality
TOYOTA-PR-1812,2280.8,16.9,61.8,8.1,1.4,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1813,1868.1,16.7,50.8,7.12,1.48,Perfect Stamping Quality
TOYOTA-PR-1814,2099.0,19.1,57.4,7.46,1.53,Perfect Stamping Quality
TOYOTA-PR-1815,1119.0,19.8,49.9,6.61,1.04,Perfect Stamping Quality
TOYOTA-PR-1816,2323.6,21.9,54.9,7.78,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1817,1599.8,28.1,53.6,6.73,1.29,Perfect Stamping Quality
TOYOTA-PR-1818,1086.0,20.4,47.9,6.81,1.34,Perfect Stamping Quality
TOYOTA-PR-1819,1096.4,14.4,45.1,6.22,1.29,Perfect Stamping Quality
TOYOTA-PR-1820,1951.0,20.3,53.7,7.87,0.89,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1821,1870.6,24.1,56.6,8.0,1.45,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1822,1875.9,30.3,52.1,7.05,1.3,Perfect Stamping Quality
TOYOTA-PR-1823,2016.7,26.4,61.8,7.83,1.44,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1824,1538.3,25.0,52.5,6.73,1.29,Perfect Stamping Quality
TOYOTA-PR-1825,1257.7,30.7,50.3,6.18,1.67,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1826,1801.8,30.2,54.8,7.49,1.3,Perfect Stamping Quality
TOYOTA-PR-1827,1786.8,23.3,52.2,6.78,1.31,Perfect Stamping Quality
TOYOTA-PR-1828,1730.1,25.2,56.4,6.39,1.11,Perfect Stamping Quality
TOYOTA-PR-1829,1251.3,30.0,44.4,6.71,1.34,Perfect Stamping Quality
TOYOTA-PR-1830,829.8,30.9,42.4,5.51,1.41,Perfect Stamping Quality
TOYOTA-PR-1831,1373.3,14.9,47.6,7.11,1.51,Perfect Stamping Quality
TOYOTA-PR-1832,2250.3,15.2,58.4,7.65,1.65,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1833,2051.8,15.1,58.9,8.32,1.17,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1834,2355.4,18.0,56.0,7.41,1.28,Perfect Stamping Quality
TOYOTA-PR-1835,997.0,23.8,44.6,5.9,1.07,Perfect Stamping Quality
TOYOTA-PR-1836,2263.8,24.8,60.2,7.34,1.56,Perfect Stamping Quality
TOYOTA-PR-1837,1762.1,22.8,53.5,6.54,1.41,Perfect Stamping Quality
TOYOTA-PR-1838,1844.7,24.2,51.0,6.81,1.4,Perfect Stamping Quality
TOYOTA-PR-1839,1502.7,23.4,48.7,5.9,1.17,Perfect Stamping Quality
TOYOTA-PR-1840,2253.6,14.3,54.6,7.48,1.48,Perfect Stamping Quality
TOYOTA-PR-1841,1690.9,27.7,49.8,6.68,1.41,Perfect Stamping Quality
TOYOTA-PR-1842,1116.8,20.6,52.8,6.01,1.1,Perfect Stamping Quality
TOYOTA-PR-1843,1698.6,15.5,53.1,6.78,1.22,Perfect Stamping Quality
TOYOTA-PR-1844,1910.3,16.3,53.9,7.09,1.43,Perfect Stamping Quality
TOYOTA-PR-1845,1139.2,25.5,53.3,5.55,1.21,Perfect Stamping Quality
TOYOTA-PR-1846,1612.3,29.0,62.0,6.45,1.44,Perfect Stamping Quality
TOYOTA-PR-1847,2244.2,31.0,54.5,8.26,1.37,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1848,1272.9,19.4,46.0,6.03,1.4,Perfect Stamping Quality
TOYOTA-PR-1849,2326.2,26.6,56.1,7.24,1.28,Perfect Stamping Quality
TOYOTA-PR-1850,1636.3,24.7,53.1,6.56,1.28,Perfect Stamping Quality
TOYOTA-PR-1851,2048.9,29.6,57.6,7.57,1.46,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1852,1405.8,15.7,50.9,6.71,1.53,Perfect Stamping Quality
TOYOTA-PR-1853,2143.5,23.8,57.0,6.61,1.17,Perfect Stamping Quality
TOYOTA-PR-1854,1766.0,19.1,51.4,7.12,1.21,Perfect Stamping Quality
TOYOTA-PR-1855,1299.5,20.5,47.5,5.97,1.49,Perfect Stamping Quality
TOYOTA-PR-1856,899.8,21.8,50.2,6.05,1.3,Perfect Stamping Quality
TOYOTA-PR-1857,1286.3,26.6,52.7,5.33,1.2,Perfect Stamping Quality
TOYOTA-PR-1858,1190.6,24.0,52.7,5.48,1.34,Perfect Stamping Quality
TOYOTA-PR-1859,2379.4,30.7,62.1,7.98,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1860,1582.1,27.7,55.5,6.48,1.12,Perfect Stamping Quality
TOYOTA-PR-1861,1570.3,26.2,54.1,6.53,1.41,Perfect Stamping Quality
TOYOTA-PR-1862,1987.2,28.2,56.6,7.32,1.32,Perfect Stamping Quality
TOYOTA-PR-1863,1038.6,22.3,46.7,5.31,1.04,Perfect Stamping Quality
TOYOTA-PR-1864,1831.1,24.4,53.8,6.84,1.69,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1865,2248.2,26.8,55.1,7.12,1.54,Perfect Stamping Quality
TOYOTA-PR-1866,2157.8,24.8,53.7,7.54,1.63,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1867,2262.8,25.4,61.1,7.29,1.33,Perfect Stamping Quality
TOYOTA-PR-1868,1008.1,31.1,47.4,5.94,1.44,Perfect Stamping Quality
TOYOTA-PR-1869,1952.6,14.3,57.5,7.18,1.42,Perfect Stamping Quality
TOYOTA-PR-1870,1035.0,28.7,44.7,5.76,1.36,Perfect Stamping Quality
TOYOTA-PR-1871,1332.7,14.5,53.8,6.15,1.14,Perfect Stamping Quality
TOYOTA-PR-1872,1242.8,16.9,51.9,5.94,0.94,Perfect Stamping Quality
TOYOTA-PR-1873,975.1,28.9,51.4,5.58,1.37,Perfect Stamping Quality
TOYOTA-PR-1874,2330.0,15.2,63.0,8.43,1.68,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1875,960.1,26.7,51.1,6.05,1.36,Perfect Stamping Quality
TOYOTA-PR-1876,1139.7,32.0,48.2,6.33,0.92,Perfect Stamping Quality
TOYOTA-PR-1877,869.7,18.8,43.0,6.37,1.24,Perfect Stamping Quality
TOYOTA-PR-1878,1587.8,23.6,57.2,6.78,1.38,Perfect Stamping Quality
TOYOTA-PR-1879,814.3,21.4,48.9,5.22,1.16,Perfect Stamping Quality
TOYOTA-PR-1880,2043.0,28.8,51.3,7.42,1.65,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1881,1215.9,16.7,45.7,6.04,1.21,Perfect Stamping Quality
TOYOTA-PR-1882,2249.8,16.1,62.0,7.88,1.58,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1883,1314.5,16.0,52.3,5.91,1.09,Perfect Stamping Quality
TOYOTA-PR-1884,2182.4,23.5,62.4,8.51,1.51,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1885,2092.9,21.5,62.4,7.97,1.49,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1886,1925.3,23.1,56.9,7.53,1.34,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1887,2174.0,27.2,58.3,8.28,1.31,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1888,957.0,30.1,49.5,5.63,1.41,Perfect Stamping Quality
TOYOTA-PR-1889,1573.5,16.7,51.5,6.48,1.71,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1890,923.9,19.3,47.4,5.37,1.19,Perfect Stamping Quality
TOYOTA-PR-1891,2334.9,22.3,64.3,8.18,1.37,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1892,1244.8,15.3,50.9,6.19,1.3,Perfect Stamping Quality
TOYOTA-PR-1893,2214.5,21.8,59.3,7.3,1.48,Perfect Stamping Quality
TOYOTA-PR-1894,1552.7,23.6,55.4,6.72,1.53,Perfect Stamping Quality
TOYOTA-PR-1895,2145.1,27.9,50.3,7.59,1.61,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1896,1224.2,29.8,49.7,5.49,1.02,Perfect Stamping Quality
TOYOTA-PR-1897,1492.7,16.2,51.0,6.36,1.47,Perfect Stamping Quality
TOYOTA-PR-1898,1562.1,15.1,51.9,7.11,1.18,Perfect Stamping Quality
TOYOTA-PR-1899,2274.6,23.6,56.9,7.79,1.33,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1900,1524.9,23.5,53.8,6.42,1.14,Perfect Stamping Quality
TOYOTA-PR-1901,1563.5,15.3,55.1,7.84,1.17,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1902,1492.8,29.0,53.2,6.69,1.12,Perfect Stamping Quality
TOYOTA-PR-1903,1519.0,29.4,51.2,6.9,1.15,Perfect Stamping Quality
TOYOTA-PR-1904,1835.1,25.0,55.1,7.7,1.3,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1905,2377.3,20.1,53.7,7.54,1.5,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1906,1491.7,18.2,52.6,6.66,1.34,Perfect Stamping Quality
TOYOTA-PR-1907,1589.2,23.3,51.7,6.54,1.25,Perfect Stamping Quality
TOYOTA-PR-1908,1925.0,14.0,54.4,7.88,1.38,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1909,2143.1,20.6,54.8,7.92,1.68,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1910,2031.4,24.3,59.7,6.91,1.37,Perfect Stamping Quality
TOYOTA-PR-1911,909.9,25.1,45.9,5.55,1.27,Perfect Stamping Quality
TOYOTA-PR-1912,2199.2,23.2,56.9,7.01,1.37,Perfect Stamping Quality
TOYOTA-PR-1913,2199.8,17.9,62.1,7.47,1.34,Perfect Stamping Quality
TOYOTA-PR-1914,1920.3,21.5,54.7,7.34,1.12,Perfect Stamping Quality
TOYOTA-PR-1915,842.6,27.4,46.7,5.26,1.2,Perfect Stamping Quality
TOYOTA-PR-1916,1008.7,23.5,48.6,5.51,1.37,Perfect Stamping Quality
TOYOTA-PR-1917,1890.2,29.1,53.7,7.28,1.3,Perfect Stamping Quality
TOYOTA-PR-1918,1549.0,27.2,49.1,7.01,1.25,Perfect Stamping Quality
TOYOTA-PR-1919,1246.5,18.0,50.4,6.15,1.4,Perfect Stamping Quality
TOYOTA-PR-1920,1309.0,23.3,46.4,6.78,1.22,Perfect Stamping Quality
TOYOTA-PR-1921,1471.3,21.1,51.7,6.23,1.14,Perfect Stamping Quality
TOYOTA-PR-1922,1454.6,23.3,55.0,6.64,1.39,Perfect Stamping Quality
TOYOTA-PR-1923,1978.3,30.7,53.6,6.92,1.1,Perfect Stamping Quality
TOYOTA-PR-1924,2357.9,15.4,61.5,8.32,1.61,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1925,1223.7,14.6,54.8,6.09,1.06,Perfect Stamping Quality
TOYOTA-PR-1926,1665.0,21.6,50.4,6.3,1.31,Perfect Stamping Quality
TOYOTA-PR-1927,1749.2,26.6,57.5,7.51,1.12,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1928,2244.5,20.9,52.8,7.86,1.54,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1929,1832.2,23.3,52.3,7.65,1.29,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1930,2028.1,30.8,57.9,7.29,1.47,Perfect Stamping Quality
TOYOTA-PR-1931,2000.1,22.6,60.3,8.18,1.47,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1932,1802.6,25.7,52.0,6.96,1.52,Perfect Stamping Quality
TOYOTA-PR-1933,1441.8,30.6,49.3,6.45,1.14,Perfect Stamping Quality
TOYOTA-PR-1934,1011.1,23.2,46.9,5.28,1.14,Perfect Stamping Quality
TOYOTA-PR-1935,1776.8,24.7,54.0,6.96,1.45,Perfect Stamping Quality
TOYOTA-PR-1936,2175.1,26.8,61.3,7.83,1.4,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1937,2381.7,31.1,55.5,7.84,1.48,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1938,2200.9,14.2,55.7,7.5,1.37,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1939,2216.1,23.9,56.7,7.81,1.58,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1940,1278.5,19.3,49.3,7.46,1.49,Perfect Stamping Quality
TOYOTA-PR-1941,1984.8,31.5,57.2,7.38,1.2,Perfect Stamping Quality
TOYOTA-PR-1942,2027.4,16.0,61.4,7.54,1.08,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1943,2253.4,18.0,62.3,7.75,1.25,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1944,2309.7,14.8,57.0,7.42,1.29,Perfect Stamping Quality
TOYOTA-PR-1945,1716.7,31.8,55.0,7.71,1.3,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1946,2050.8,28.3,57.8,7.98,1.4,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1947,2314.0,17.5,53.2,7.79,1.59,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1948,1219.5,14.1,53.5,6.25,1.28,Perfect Stamping Quality
TOYOTA-PR-1949,1567.7,20.2,53.1,6.6,1.26,Perfect Stamping Quality
TOYOTA-PR-1950,1095.8,17.8,45.9,4.98,1.36,Perfect Stamping Quality
TOYOTA-PR-1951,1893.9,31.7,49.7,7.74,1.33,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1952,1867.3,20.4,55.0,7.23,1.28,Perfect Stamping Quality
TOYOTA-PR-1953,1662.8,14.6,53.8,6.68,1.44,Perfect Stamping Quality
TOYOTA-PR-1954,1094.5,18.3,50.6,5.91,0.95,Perfect Stamping Quality
TOYOTA-PR-1955,1245.3,21.8,54.2,5.18,1.19,Perfect Stamping Quality
TOYOTA-PR-1956,2233.6,14.2,58.0,7.75,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1957,2058.8,31.2,57.9,7.7,1.52,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1958,2009.1,30.7,58.4,7.51,1.29,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1959,1617.9,29.0,56.0,6.92,1.3,Perfect Stamping Quality
TOYOTA-PR-1960,1582.8,21.6,46.6,6.87,1.57,Perfect Stamping Quality
TOYOTA-PR-1961,842.3,14.2,44.7,5.72,1.07,Perfect Stamping Quality
TOYOTA-PR-1962,1281.8,25.8,45.5,5.91,1.28,Perfect Stamping Quality
TOYOTA-PR-1963,2316.5,22.0,55.8,7.34,1.31,Perfect Stamping Quality
TOYOTA-PR-1964,2188.3,26.5,64.1,7.75,1.29,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1965,1352.0,28.1,49.1,6.77,1.53,Perfect Stamping Quality
TOYOTA-PR-1966,1846.4,23.3,53.9,7.22,1.69,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1967,1678.6,25.3,55.9,6.91,1.43,Perfect Stamping Quality
TOYOTA-PR-1968,1578.3,31.2,55.2,6.97,1.4,Perfect Stamping Quality
TOYOTA-PR-1969,909.5,14.0,42.4,5.71,1.54,Perfect Stamping Quality
TOYOTA-PR-1970,809.8,29.3,43.4,5.62,1.26,Perfect Stamping Quality
TOYOTA-PR-1971,878.6,14.3,43.7,5.4,1.23,Perfect Stamping Quality
TOYOTA-PR-1972,1934.6,24.3,60.1,8.44,1.66,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1973,862.1,28.3,43.0,5.52,1.34,Perfect Stamping Quality
TOYOTA-PR-1974,953.0,31.0,45.0,5.96,1.52,Perfect Stamping Quality
TOYOTA-PR-1975,2363.7,26.1,63.3,6.88,1.53,Perfect Stamping Quality
TOYOTA-PR-1976,1101.0,14.5,49.2,5.71,1.13,Perfect Stamping Quality
TOYOTA-PR-1977,2333.6,18.9,62.1,8.31,1.42,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1978,960.3,27.9,44.3,5.15,1.08,Perfect Stamping Quality
TOYOTA-PR-1979,2287.2,17.8,62.0,7.97,1.38,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1980,964.3,14.9,46.0,5.39,1.2,Perfect Stamping Quality
TOYOTA-PR-1981,1853.6,15.9,55.3,8.27,1.45,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1982,1610.1,17.0,49.6,7.13,1.32,Perfect Stamping Quality
TOYOTA-PR-1983,955.5,30.1,48.4,4.9,1.46,Perfect Stamping Quality
TOYOTA-PR-1984,1240.0,17.9,46.2,6.1,1.27,Perfect Stamping Quality
TOYOTA-PR-1985,1569.6,16.5,49.0,6.68,1.17,Perfect Stamping Quality
TOYOTA-PR-1986,2180.6,21.7,57.4,7.44,1.13,Perfect Stamping Quality
TOYOTA-PR-1987,1758.8,31.2,56.0,6.91,1.32,Perfect Stamping Quality
TOYOTA-PR-1988,1919.7,14.5,53.5,7.05,1.13,Perfect Stamping Quality
TOYOTA-PR-1989,1480.9,29.3,52.4,6.1,1.39,Perfect Stamping Quality
TOYOTA-PR-1990,863.2,17.7,43.4,5.73,1.18,Perfect Stamping Quality
TOYOTA-PR-1991,1323.9,15.5,49.4,5.97,1.3,Perfect Stamping Quality
TOYOTA-PR-1992,800.7,18.3,44.5,5.09,1.32,Perfect Stamping Quality
TOYOTA-PR-1993,2335.7,28.2,57.8,8.06,1.37,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1994,824.7,25.7,47.2,5.5,1.32,Perfect Stamping Quality
TOYOTA-PR-1995,1061.1,26.6,46.2,6.51,1.32,Perfect Stamping Quality
TOYOTA-PR-1996,1341.5,21.6,52.6,6.46,1.38,Perfect Stamping Quality
TOYOTA-PR-1997,1213.6,18.3,43.6,6.11,1.27,Perfect Stamping Quality
TOYOTA-PR-1998,2169.9,30.2,57.4,7.99,1.46,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1999,1449.0,30.2,52.8,6.37,1.43,Perfect Stamping Quality
TOYOTA-PR-2000,2091.1,25.0,59.5,6.88,1.3,Perfect Stamping Quality
TOYOTA-PR-2001,973.1,28.1,42.4,5.33,1.43,Perfect Stamping Quality
TOYOTA-PR-2002,1393.8,19.4,55.1,7.07,1.44,Perfect Stamping Quality
TOYOTA-PR-2003,1406.3,18.0,52.3,6.32,1.3,Perfect Stamping Quality
TOYOTA-PR-2004,2353.5,31.8,63.1,7.74,1.35,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2005,2027.1,28.6,57.7,7.44,1.21,Perfect Stamping Quality
TOYOTA-PR-2006,1597.5,16.3,48.5,6.72,1.47,Perfect Stamping Quality
TOYOTA-PR-2007,1163.6,19.2,52.9,6.29,1.29,Perfect Stamping Quality
TOYOTA-PR-2008,2350.0,27.9,53.6,7.56,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2009,1062.4,20.9,49.5,5.11,1.29,Perfect Stamping Quality
TOYOTA-PR-2010,2028.1,16.9,57.9,7.21,1.54,Perfect Stamping Quality
TOYOTA-PR-2011,1304.3,26.9,49.6,6.81,1.4,Perfect Stamping Quality
TOYOTA-PR-2012,1557.4,24.2,54.1,6.89,1.25,Perfect Stamping Quality
TOYOTA-PR-2013,1177.8,19.1,49.8,5.9,1.21,Perfect Stamping Quality
TOYOTA-PR-2014,1204.5,22.9,54.8,6.59,1.5,Perfect Stamping Quality
TOYOTA-PR-2015,1285.7,30.9,49.5,6.1,1.37,Perfect Stamping Quality
TOYOTA-PR-2016,1178.8,20.6,50.0,5.45,1.31,Perfect Stamping Quality
TOYOTA-PR-2017,2022.7,21.5,58.0,7.92,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2018,945.6,17.0,53.3,5.81,1.51,Perfect Stamping Quality
TOYOTA-PR-2019,2066.9,24.5,57.9,7.85,1.4,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2020,1053.0,20.1,46.1,5.4,1.56,Perfect Stamping Quality
TOYOTA-PR-2021,1628.6,21.6,53.8,6.97,1.53,Perfect Stamping Quality
TOYOTA-PR-2022,1415.8,15.6,46.0,6.49,1.27,Perfect Stamping Quality
TOYOTA-PR-2023,896.2,22.7,42.3,5.63,0.81,Perfect Stamping Quality
TOYOTA-PR-2024,1345.8,17.6,52.0,5.93,1.42,Perfect Stamping Quality
TOYOTA-PR-2025,936.9,18.4,45.0,5.84,0.94,Perfect Stamping Quality
TOYOTA-PR-2026,2045.4,26.8,59.6,7.65,1.32,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2027,1923.2,27.4,52.9,7.46,1.4,Perfect Stamping Quality
TOYOTA-PR-2028,1136.6,29.7,47.0,6.39,0.98,Perfect Stamping Quality
TOYOTA-PR-2029,1046.0,26.6,45.7,5.86,1.21,Perfect Stamping Quality
TOYOTA-PR-2030,1970.7,25.8,58.8,7.43,1.3,Perfect Stamping Quality
TOYOTA-PR-2031,2258.0,26.8,58.7,7.77,1.62,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2032,948.5,29.2,46.8,5.87,1.27,Perfect Stamping Quality
TOYOTA-PR-2033,1032.3,26.3,45.6,5.37,1.28,Perfect Stamping Quality
TOYOTA-PR-2034,1481.7,27.4,48.9,6.67,1.23,Perfect Stamping Quality
TOYOTA-PR-2035,1951.5,24.4,55.5,7.42,1.31,Perfect Stamping Quality
TOYOTA-PR-2036,833.9,28.7,46.3,5.8,1.04,Perfect Stamping Quality
TOYOTA-PR-2037,1878.8,19.1,55.0,7.23,1.35,Perfect Stamping Quality
TOYOTA-PR-2038,1354.4,25.8,51.3,6.96,1.42,Perfect Stamping Quality
TOYOTA-PR-2039,1489.4,18.4,53.8,6.86,1.41,Perfect Stamping Quality
TOYOTA-PR-2040,924.8,17.1,47.1,5.65,1.1,Perfect Stamping Quality
TOYOTA-PR-2041,1383.1,17.6,47.4,6.2,1.33,Perfect Stamping Quality
TOYOTA-PR-2042,1713.2,19.8,50.3,7.2,1.4,Perfect Stamping Quality
TOYOTA-PR-2043,2289.9,16.9,63.2,7.78,1.38,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2044,833.1,18.0,45.3,5.79,1.34,Perfect Stamping Quality
TOYOTA-PR-2045,1020.1,25.0,48.0,5.22,1.09,Perfect Stamping Quality
TOYOTA-PR-2046,2124.9,26.3,58.0,7.49,1.58,Perfect Stamping Quality
TOYOTA-PR-2047,2004.3,23.6,55.4,7.39,1.42,Perfect Stamping Quality
TOYOTA-PR-2048,1931.8,15.9,55.9,7.37,1.36,Perfect Stamping Quality
TOYOTA-PR-2049,2002.2,15.9,56.6,6.9,1.13,Perfect Stamping Quality
TOYOTA-PR-2050,1089.1,19.8,48.6,5.81,1.0,Perfect Stamping Quality
TOYOTA-PR-2051,989.6,19.1,46.8,5.63,1.35,Perfect Stamping Quality
TOYOTA-PR-2052,1516.3,29.9,50.2,6.32,1.19,Perfect Stamping Quality
TOYOTA-PR-2053,2015.7,26.1,55.3,7.57,1.16,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2054,1477.1,21.9,52.2,6.63,1.26,Perfect Stamping Quality
TOYOTA-PR-2055,1007.3,29.1,49.4,6.04,1.45,Perfect Stamping Quality
TOYOTA-PR-2056,1465.3,16.2,54.5,6.53,1.24,Perfect Stamping Quality
TOYOTA-PR-2057,2248.3,20.3,60.6,7.82,1.42,Sheet Metal Micro-Tear Risk
TOYOTA-PR-2058,1207.1,30.5,47.5,5.74,1.36,Perfect Stamping Quality
TOYOTA-PR-2059,1303.9,25.3,50.5,6.01,1.46,Perfect Stamping Quality
TOYOTA-PR-2060,1690.3,22.9,55.1,7.42,1.34,Perfect Stamping Quality
