Handover_Event_ID,Driver_Attention_State,Handover_Response_Time_s,Speed_at_Handover_kmh,Adverse_Weather_Flag,Handover_Success
MB-L3-5657,Attentive & Forward,1.46,112.4,Clear Weather,Safe Smooth Handover
MB-L3-5658,Attentive & Forward,1.34,77.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5659,Attentive & Forward,1.36,94.8,Clear Weather,Safe Smooth Handover
MB-L3-5660,Attentive & Forward,1.68,77.9,Construction Zone,Safe Smooth Handover
MB-L3-5661,Attentive & Forward,1.19,85.7,Clear Weather,Safe Smooth Handover
MB-L3-5662,Looking at Passenger,2.37,101.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5663,Attentive & Forward,1.41,74.1,Clear Weather,Safe Smooth Handover
MB-L3-5664,Attentive & Forward,1.58,105.7,Clear Weather,Safe Smooth Handover
MB-L3-5665,Attentive & Forward,1.64,93.8,Clear Weather,Safe Smooth Handover
MB-L3-5666,Drowsy / Eyelid Blink,3.82,74.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5667,Attentive & Forward,1.46,127.6,Clear Weather,Safe Smooth Handover
MB-L3-5668,Attentive & Forward,1.4,98.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5669,Attentive & Forward,1.54,90.9,Construction Zone,Safe Smooth Handover
MB-L3-5670,Smartphone Screen,2.25,83.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5671,Attentive & Forward,1.65,55.5,Clear Weather,Safe Smooth Handover
MB-L3-5672,Attentive & Forward,1.4,76.5,Clear Weather,Safe Smooth Handover
MB-L3-5673,Drowsy / Eyelid Blink,3.87,56.0,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5674,Attentive & Forward,1.49,64.4,Clear Weather,Safe Smooth Handover
MB-L3-5675,Attentive & Forward,1.51,122.7,Construction Zone,Safe Smooth Handover
MB-L3-5676,Attentive & Forward,1.41,104.5,Construction Zone,Safe Smooth Handover
MB-L3-5677,Attentive & Forward,1.32,48.0,Clear Weather,Safe Smooth Handover
MB-L3-5678,Smartphone Screen,2.7,86.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5679,Looking at Passenger,2.65,93.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5680,Drowsy / Eyelid Blink,3.04,108.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5681,Rear Seat Mirror,2.47,62.8,Clear Weather,Safe Smooth Handover
MB-L3-5682,Looking at Passenger,2.64,54.2,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5683,Attentive & Forward,1.32,51.8,Clear Weather,Safe Smooth Handover
MB-L3-5684,Attentive & Forward,1.35,44.3,Clear Weather,Safe Smooth Handover
MB-L3-5685,Looking at Passenger,2.86,97.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5686,Attentive & Forward,1.67,60.3,Clear Weather,Safe Smooth Handover
MB-L3-5687,Attentive & Forward,1.28,86.9,Clear Weather,Safe Smooth Handover
MB-L3-5688,Looking at Passenger,1.74,49.9,Clear Weather,Safe Smooth Handover
MB-L3-5689,Looking at Passenger,2.47,67.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5690,Attentive & Forward,1.68,56.3,Clear Weather,Safe Smooth Handover
MB-L3-5691,Looking at Passenger,3.1,63.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5692,Rear Seat Mirror,2.23,105.9,Construction Zone,Safe Smooth Handover
MB-L3-5693,Attentive & Forward,1.18,89.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5694,Attentive & Forward,1.68,89.9,Construction Zone,Safe Smooth Handover
MB-L3-5695,Attentive & Forward,1.39,41.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5696,Smartphone Screen,2.71,78.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5697,Attentive & Forward,1.41,48.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5698,Attentive & Forward,1.26,53.5,Construction Zone,Safe Smooth Handover
MB-L3-5699,Attentive & Forward,1.56,116.6,Construction Zone,Safe Smooth Handover
MB-L3-5700,Attentive & Forward,1.53,64.8,Clear Weather,Safe Smooth Handover
MB-L3-5701,Smartphone Screen,1.93,128.7,Construction Zone,Safe Smooth Handover
MB-L3-5702,Attentive & Forward,1.49,118.1,Construction Zone,Safe Smooth Handover
MB-L3-5703,Looking at Passenger,1.86,65.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5704,Attentive & Forward,1.72,58.9,Clear Weather,Safe Smooth Handover
MB-L3-5705,Attentive & Forward,1.81,66.5,Clear Weather,Safe Smooth Handover
MB-L3-5706,Smartphone Screen,3.01,125.1,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5707,Drowsy / Eyelid Blink,4.76,74.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5708,Smartphone Screen,2.06,68.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5709,Attentive & Forward,1.15,44.9,Clear Weather,Safe Smooth Handover
MB-L3-5710,Attentive & Forward,1.63,47.5,Clear Weather,Safe Smooth Handover
MB-L3-5711,Smartphone Screen,2.66,41.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5712,Rear Seat Mirror,2.34,124.2,Clear Weather,Safe Smooth Handover
MB-L3-5713,Attentive & Forward,1.31,93.5,Clear Weather,Safe Smooth Handover
MB-L3-5714,Rear Seat Mirror,2.02,120.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5715,Attentive & Forward,1.36,42.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5716,Attentive & Forward,1.02,54.0,Clear Weather,Safe Smooth Handover
MB-L3-5717,Attentive & Forward,1.5,49.1,Clear Weather,Safe Smooth Handover
MB-L3-5718,Attentive & Forward,1.41,120.1,Clear Weather,Safe Smooth Handover
MB-L3-5719,Looking at Passenger,3.45,50.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5720,Attentive & Forward,1.27,98.0,Clear Weather,Safe Smooth Handover
MB-L3-5721,Attentive & Forward,1.29,100.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5722,Attentive & Forward,1.83,48.3,Construction Zone,Safe Smooth Handover
MB-L3-5723,Smartphone Screen,2.4,86.2,Clear Weather,Safe Smooth Handover
MB-L3-5724,Attentive & Forward,1.1,45.7,Construction Zone,Safe Smooth Handover
MB-L3-5725,Smartphone Screen,2.74,50.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5726,Attentive & Forward,1.15,48.3,Clear Weather,Safe Smooth Handover
MB-L3-5727,Attentive & Forward,1.33,92.1,Construction Zone,Safe Smooth Handover
MB-L3-5728,Attentive & Forward,1.06,113.8,Clear Weather,Safe Smooth Handover
MB-L3-5729,Attentive & Forward,1.53,60.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5730,Attentive & Forward,1.42,83.7,Clear Weather,Safe Smooth Handover
MB-L3-5731,Drowsy / Eyelid Blink,4.42,69.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5732,Attentive & Forward,1.41,116.0,Clear Weather,Safe Smooth Handover
MB-L3-5733,Attentive & Forward,1.37,95.8,Clear Weather,Safe Smooth Handover
MB-L3-5734,Smartphone Screen,2.81,102.8,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5735,Attentive & Forward,1.23,41.2,Clear Weather,Safe Smooth Handover
MB-L3-5736,Attentive & Forward,1.68,102.5,Clear Weather,Safe Smooth Handover
MB-L3-5737,Drowsy / Eyelid Blink,4.72,109.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5738,Attentive & Forward,1.31,54.4,Clear Weather,Safe Smooth Handover
MB-L3-5739,Attentive & Forward,1.22,91.6,Construction Zone,Safe Smooth Handover
MB-L3-5740,Drowsy / Eyelid Blink,3.49,118.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5741,Attentive & Forward,1.46,40.3,Clear Weather,Safe Smooth Handover
MB-L3-5742,Drowsy / Eyelid Blink,4.64,79.0,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5743,Attentive & Forward,1.16,78.9,Clear Weather,Safe Smooth Handover
MB-L3-5744,Attentive & Forward,1.58,78.5,Clear Weather,Safe Smooth Handover
MB-L3-5745,Attentive & Forward,1.2,70.5,Clear Weather,Safe Smooth Handover
MB-L3-5746,Attentive & Forward,1.31,114.0,Construction Zone,Safe Smooth Handover
MB-L3-5747,Looking at Passenger,3.19,55.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5748,Attentive & Forward,1.37,109.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5749,Attentive & Forward,1.25,119.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5750,Attentive & Forward,1.43,110.5,Clear Weather,Safe Smooth Handover
MB-L3-5751,Attentive & Forward,1.51,50.0,Construction Zone,Safe Smooth Handover
MB-L3-5752,Smartphone Screen,2.48,73.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5753,Attentive & Forward,1.31,111.2,Clear Weather,Safe Smooth Handover
MB-L3-5754,Looking at Passenger,3.12,82.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5755,Attentive & Forward,1.34,49.9,Clear Weather,Safe Smooth Handover
MB-L3-5756,Smartphone Screen,3.27,69.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5757,Attentive & Forward,1.55,103.1,Clear Weather,Safe Smooth Handover
MB-L3-5758,Attentive & Forward,1.14,71.7,Clear Weather,Safe Smooth Handover
MB-L3-5759,Drowsy / Eyelid Blink,3.82,116.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5760,Attentive & Forward,1.35,54.7,Clear Weather,Safe Smooth Handover
MB-L3-5761,Attentive & Forward,1.28,90.5,Clear Weather,Safe Smooth Handover
MB-L3-5762,Attentive & Forward,1.59,99.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5763,Smartphone Screen,2.22,106.0,Clear Weather,Safe Smooth Handover
MB-L3-5764,Attentive & Forward,1.1,110.1,Clear Weather,Safe Smooth Handover
MB-L3-5765,Smartphone Screen,3.04,77.6,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5766,Attentive & Forward,1.45,80.6,Clear Weather,Safe Smooth Handover
MB-L3-5767,Attentive & Forward,1.56,114.3,Clear Weather,Safe Smooth Handover
MB-L3-5768,Smartphone Screen,2.41,83.2,Clear Weather,Safe Smooth Handover
MB-L3-5769,Attentive & Forward,1.33,124.5,Clear Weather,Safe Smooth Handover
MB-L3-5770,Rear Seat Mirror,2.01,124.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5771,Smartphone Screen,2.78,74.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5772,Looking at Passenger,1.72,89.8,Construction Zone,Safe Smooth Handover
MB-L3-5773,Attentive & Forward,1.66,89.6,Clear Weather,Safe Smooth Handover
MB-L3-5774,Attentive & Forward,1.54,51.0,Clear Weather,Safe Smooth Handover
MB-L3-5775,Attentive & Forward,1.68,64.1,Clear Weather,Safe Smooth Handover
MB-L3-5776,Attentive & Forward,1.32,103.9,Clear Weather,Safe Smooth Handover
MB-L3-5777,Smartphone Screen,2.55,125.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5778,Rear Seat Mirror,2.56,66.9,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5779,Attentive & Forward,1.48,114.8,Clear Weather,Safe Smooth Handover
MB-L3-5780,Looking at Passenger,3.02,123.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5781,Attentive & Forward,1.19,86.2,Clear Weather,Safe Smooth Handover
MB-L3-5782,Attentive & Forward,1.2,114.0,Clear Weather,Safe Smooth Handover
MB-L3-5783,Attentive & Forward,1.34,41.7,Clear Weather,Safe Smooth Handover
MB-L3-5784,Rear Seat Mirror,2.06,121.0,Clear Weather,Safe Smooth Handover
MB-L3-5785,Attentive & Forward,1.52,85.6,Clear Weather,Safe Smooth Handover
MB-L3-5786,Attentive & Forward,1.2,42.3,Clear Weather,Safe Smooth Handover
MB-L3-5787,Attentive & Forward,1.68,73.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5788,Looking at Passenger,2.9,83.0,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5789,Attentive & Forward,1.84,97.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5790,Attentive & Forward,1.29,84.6,Clear Weather,Safe Smooth Handover
MB-L3-5791,Attentive & Forward,1.36,112.8,Clear Weather,Safe Smooth Handover
MB-L3-5792,Attentive & Forward,1.34,117.3,Clear Weather,Safe Smooth Handover
MB-L3-5793,Attentive & Forward,1.64,73.9,Construction Zone,Safe Smooth Handover
MB-L3-5794,Drowsy / Eyelid Blink,4.43,91.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5795,Attentive & Forward,1.24,118.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5796,Attentive & Forward,1.22,105.7,Clear Weather,Safe Smooth Handover
MB-L3-5797,Rear Seat Mirror,2.27,47.5,Clear Weather,Safe Smooth Handover
MB-L3-5798,Attentive & Forward,1.77,58.4,Clear Weather,Safe Smooth Handover
MB-L3-5799,Attentive & Forward,1.45,129.2,Clear Weather,Safe Smooth Handover
MB-L3-5800,Attentive & Forward,1.4,53.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5801,Smartphone Screen,2.7,41.9,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5802,Rear Seat Mirror,2.12,43.6,Clear Weather,Safe Smooth Handover
MB-L3-5803,Attentive & Forward,1.58,101.7,Construction Zone,Safe Smooth Handover
MB-L3-5804,Attentive & Forward,1.38,77.8,Clear Weather,Safe Smooth Handover
MB-L3-5805,Attentive & Forward,1.46,70.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5806,Attentive & Forward,1.5,123.8,Clear Weather,Safe Smooth Handover
MB-L3-5807,Smartphone Screen,2.45,76.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5808,Attentive & Forward,1.58,115.3,Construction Zone,Safe Smooth Handover
MB-L3-5809,Attentive & Forward,1.37,118.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5810,Smartphone Screen,1.94,48.6,Construction Zone,Safe Smooth Handover
MB-L3-5811,Smartphone Screen,2.69,78.9,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5812,Drowsy / Eyelid Blink,4.69,85.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5813,Attentive & Forward,1.65,102.2,Clear Weather,Safe Smooth Handover
MB-L3-5814,Attentive & Forward,1.53,88.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5815,Rear Seat Mirror,2.05,85.9,Clear Weather,Safe Smooth Handover
MB-L3-5816,Attentive & Forward,1.47,43.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5817,Attentive & Forward,1.53,49.1,Clear Weather,Safe Smooth Handover
MB-L3-5818,Attentive & Forward,1.23,77.2,Clear Weather,Safe Smooth Handover
MB-L3-5819,Drowsy / Eyelid Blink,3.4,63.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5820,Attentive & Forward,1.29,50.1,Clear Weather,Safe Smooth Handover
MB-L3-5821,Smartphone Screen,2.78,67.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5822,Attentive & Forward,1.27,83.4,Clear Weather,Safe Smooth Handover
MB-L3-5823,Attentive & Forward,1.3,86.5,Clear Weather,Safe Smooth Handover
MB-L3-5824,Attentive & Forward,1.33,47.8,Clear Weather,Safe Smooth Handover
MB-L3-5825,Drowsy / Eyelid Blink,3.12,94.1,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5826,Attentive & Forward,1.29,103.9,Construction Zone,Safe Smooth Handover
MB-L3-5827,Attentive & Forward,1.34,86.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5828,Smartphone Screen,2.68,55.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5829,Attentive & Forward,1.41,58.4,Clear Weather,Safe Smooth Handover
MB-L3-5830,Attentive & Forward,1.8,118.1,Construction Zone,Safe Smooth Handover
MB-L3-5831,Attentive & Forward,1.37,123.6,Clear Weather,Safe Smooth Handover
MB-L3-5832,Smartphone Screen,2.58,125.3,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5833,Smartphone Screen,2.39,125.6,Clear Weather,Safe Smooth Handover
MB-L3-5834,Smartphone Screen,2.73,104.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5835,Attentive & Forward,1.6,66.2,Clear Weather,Safe Smooth Handover
MB-L3-5836,Attentive & Forward,1.27,76.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5837,Attentive & Forward,1.58,60.8,Clear Weather,Safe Smooth Handover
MB-L3-5838,Attentive & Forward,1.5,93.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5839,Smartphone Screen,2.53,118.7,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5840,Smartphone Screen,2.66,105.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5841,Attentive & Forward,1.24,116.6,Clear Weather,Safe Smooth Handover
MB-L3-5842,Looking at Passenger,2.65,78.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5843,Looking at Passenger,2.57,88.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5844,Attentive & Forward,1.46,57.5,Clear Weather,Safe Smooth Handover
MB-L3-5845,Attentive & Forward,1.66,56.3,Construction Zone,Safe Smooth Handover
MB-L3-5846,Drowsy / Eyelid Blink,4.43,65.3,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5847,Looking at Passenger,3.31,122.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5848,Attentive & Forward,0.86,59.8,Clear Weather,Safe Smooth Handover
MB-L3-5849,Attentive & Forward,1.41,68.6,Clear Weather,Safe Smooth Handover
MB-L3-5850,Drowsy / Eyelid Blink,3.67,99.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5851,Attentive & Forward,1.57,71.5,Clear Weather,Safe Smooth Handover
MB-L3-5852,Smartphone Screen,2.69,74.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5853,Looking at Passenger,2.26,64.2,Clear Weather,Safe Smooth Handover
MB-L3-5854,Drowsy / Eyelid Blink,4.15,124.7,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5855,Attentive & Forward,1.39,118.4,Construction Zone,Safe Smooth Handover
MB-L3-5856,Attentive & Forward,1.41,97.2,Construction Zone,Safe Smooth Handover
MB-L3-5857,Attentive & Forward,1.43,64.3,Clear Weather,Safe Smooth Handover
MB-L3-5858,Attentive & Forward,1.34,45.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5859,Attentive & Forward,1.3,63.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5860,Attentive & Forward,1.6,101.7,Clear Weather,Safe Smooth Handover
MB-L3-5861,Attentive & Forward,1.44,112.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5862,Attentive & Forward,1.34,102.2,Clear Weather,Safe Smooth Handover
MB-L3-5863,Attentive & Forward,1.36,49.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5864,Drowsy / Eyelid Blink,2.98,47.6,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5865,Smartphone Screen,2.67,126.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5866,Attentive & Forward,1.33,112.6,Clear Weather,Safe Smooth Handover
MB-L3-5867,Attentive & Forward,1.4,41.6,Clear Weather,Safe Smooth Handover
MB-L3-5868,Drowsy / Eyelid Blink,3.8,127.5,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5869,Attentive & Forward,1.32,129.5,Clear Weather,Safe Smooth Handover
MB-L3-5870,Attentive & Forward,1.49,101.0,Clear Weather,Safe Smooth Handover
MB-L3-5871,Attentive & Forward,1.31,125.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5872,Attentive & Forward,1.09,85.2,Clear Weather,Safe Smooth Handover
MB-L3-5873,Attentive & Forward,1.26,115.0,Clear Weather,Safe Smooth Handover
MB-L3-5874,Attentive & Forward,1.77,68.5,Clear Weather,Safe Smooth Handover
MB-L3-5875,Attentive & Forward,1.5,55.9,Clear Weather,Safe Smooth Handover
MB-L3-5876,Smartphone Screen,2.7,97.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5877,Attentive & Forward,1.7,99.2,Clear Weather,Safe Smooth Handover
MB-L3-5878,Looking at Passenger,3.05,52.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5879,Attentive & Forward,1.58,84.3,Clear Weather,Safe Smooth Handover
MB-L3-5880,Smartphone Screen,2.47,50.5,Clear Weather,Safe Smooth Handover
MB-L3-5881,Attentive & Forward,1.27,92.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5882,Attentive & Forward,1.52,89.7,Construction Zone,Safe Smooth Handover
MB-L3-5883,Attentive & Forward,1.32,72.3,Clear Weather,Safe Smooth Handover
MB-L3-5884,Drowsy / Eyelid Blink,3.96,55.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5885,Attentive & Forward,1.28,105.5,Construction Zone,Safe Smooth Handover
MB-L3-5886,Attentive & Forward,1.43,127.5,Clear Weather,Safe Smooth Handover
MB-L3-5887,Attentive & Forward,1.34,95.0,Clear Weather,Safe Smooth Handover
MB-L3-5888,Attentive & Forward,1.58,73.9,Clear Weather,Safe Smooth Handover
MB-L3-5889,Smartphone Screen,3.53,122.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5890,Attentive & Forward,1.23,69.7,Clear Weather,Safe Smooth Handover
MB-L3-5891,Smartphone Screen,3.12,92.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5892,Smartphone Screen,2.21,64.5,Construction Zone,Safe Smooth Handover
MB-L3-5893,Attentive & Forward,1.34,113.0,Clear Weather,Safe Smooth Handover
MB-L3-5894,Attentive & Forward,1.46,62.8,Clear Weather,Safe Smooth Handover
MB-L3-5895,Attentive & Forward,1.48,104.1,Construction Zone,Safe Smooth Handover
MB-L3-5896,Attentive & Forward,1.37,67.4,Clear Weather,Safe Smooth Handover
MB-L3-5897,Rear Seat Mirror,2.71,71.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5898,Attentive & Forward,1.4,99.4,Clear Weather,Safe Smooth Handover
MB-L3-5899,Looking at Passenger,3.27,41.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5900,Attentive & Forward,1.13,117.8,Clear Weather,Safe Smooth Handover
MB-L3-5901,Drowsy / Eyelid Blink,4.82,125.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5902,Attentive & Forward,1.64,92.5,Construction Zone,Safe Smooth Handover
MB-L3-5903,Attentive & Forward,1.23,105.2,Clear Weather,Safe Smooth Handover
MB-L3-5904,Looking at Passenger,2.65,107.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5905,Looking at Passenger,2.22,47.8,Clear Weather,Safe Smooth Handover
MB-L3-5906,Smartphone Screen,1.96,85.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5907,Attentive & Forward,1.53,47.0,Clear Weather,Safe Smooth Handover
MB-L3-5908,Attentive & Forward,1.21,91.8,Clear Weather,Safe Smooth Handover
MB-L3-5909,Attentive & Forward,1.67,98.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5910,Attentive & Forward,1.68,100.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5911,Drowsy / Eyelid Blink,3.82,112.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5912,Smartphone Screen,2.32,95.8,Clear Weather,Safe Smooth Handover
MB-L3-5913,Smartphone Screen,2.93,94.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5914,Attentive & Forward,1.25,119.9,Clear Weather,Safe Smooth Handover
MB-L3-5915,Rear Seat Mirror,1.87,90.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5916,Attentive & Forward,1.4,117.0,Clear Weather,Safe Smooth Handover
MB-L3-5917,Attentive & Forward,1.83,68.3,Clear Weather,Safe Smooth Handover
MB-L3-5918,Looking at Passenger,2.12,120.4,Clear Weather,Safe Smooth Handover
MB-L3-5919,Attentive & Forward,1.3,68.9,Construction Zone,Safe Smooth Handover
MB-L3-5920,Attentive & Forward,1.37,50.8,Clear Weather,Safe Smooth Handover
MB-L3-5921,Looking at Passenger,3.08,73.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5922,Attentive & Forward,1.07,103.8,Clear Weather,Safe Smooth Handover
MB-L3-5923,Drowsy / Eyelid Blink,3.63,79.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5924,Attentive & Forward,1.73,52.0,Clear Weather,Safe Smooth Handover
MB-L3-5925,Looking at Passenger,2.57,95.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5926,Smartphone Screen,3.01,60.7,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5927,Looking at Passenger,2.6,73.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5928,Attentive & Forward,1.0,65.8,Clear Weather,Safe Smooth Handover
MB-L3-5929,Attentive & Forward,1.53,119.1,Clear Weather,Safe Smooth Handover
MB-L3-5930,Attentive & Forward,1.3,102.0,Clear Weather,Safe Smooth Handover
MB-L3-5931,Attentive & Forward,1.32,126.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5932,Smartphone Screen,2.14,76.8,Clear Weather,Safe Smooth Handover
MB-L3-5933,Smartphone Screen,2.98,125.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5934,Attentive & Forward,1.06,114.4,Clear Weather,Safe Smooth Handover
MB-L3-5935,Drowsy / Eyelid Blink,4.81,44.1,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5936,Attentive & Forward,1.44,70.0,Clear Weather,Safe Smooth Handover
MB-L3-5937,Smartphone Screen,2.46,99.2,Clear Weather,Safe Smooth Handover
MB-L3-5938,Attentive & Forward,1.5,54.2,Clear Weather,Safe Smooth Handover
MB-L3-5939,Attentive & Forward,1.18,102.5,Clear Weather,Safe Smooth Handover
MB-L3-5940,Rear Seat Mirror,2.06,104.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5941,Looking at Passenger,2.06,42.2,Clear Weather,Safe Smooth Handover
MB-L3-5942,Attentive & Forward,1.17,48.9,Clear Weather,Safe Smooth Handover
MB-L3-5943,Smartphone Screen,2.55,43.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5944,Smartphone Screen,2.71,109.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5945,Attentive & Forward,1.49,48.8,Clear Weather,Safe Smooth Handover
MB-L3-5946,Attentive & Forward,1.51,45.3,Construction Zone,Safe Smooth Handover
MB-L3-5947,Attentive & Forward,1.56,86.1,Clear Weather,Safe Smooth Handover
MB-L3-5948,Attentive & Forward,1.47,115.2,Clear Weather,Safe Smooth Handover
MB-L3-5949,Smartphone Screen,2.15,84.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5950,Attentive & Forward,1.22,123.0,Clear Weather,Safe Smooth Handover
MB-L3-5951,Attentive & Forward,1.53,71.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5952,Attentive & Forward,1.28,77.6,Clear Weather,Safe Smooth Handover
MB-L3-5953,Attentive & Forward,1.3,55.3,Clear Weather,Safe Smooth Handover
MB-L3-5954,Attentive & Forward,1.55,48.0,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5955,Drowsy / Eyelid Blink,4.05,107.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5956,Drowsy / Eyelid Blink,3.2,109.7,Clear Weather,Escalated Visual/Audio Alert
