Charging_Session_ID,Ambient_Temp_C,Fast_Charge_C_Rate,Starting_SoC_pct,Anode_Overvoltage_mV,Charge_Duration_min,Plating_Safety_Status
VW-MEB-1305,23.8,2.28,23.2,-74.6,30.6,High Risk (Lithium Plating)
VW-MEB-1306,17.7,0.84,17.1,-33.5,65.0,High Risk (Lithium Plating)
VW-MEB-1307,24.9,1.98,12.8,-61.5,43.9,High Risk (Lithium Plating)
VW-MEB-1308,-8.8,1.85,6.5,-108.0,51.6,High Risk (Lithium Plating)
VW-MEB-1309,30.1,1.32,13.2,-31.9,63.5,High Risk (Lithium Plating)
VW-MEB-1310,34.0,3.19,13.2,-67.3,22.8,High Risk (Lithium Plating)
VW-MEB-1311,8.4,2.89,24.8,-115.6,24.4,High Risk (Lithium Plating)
VW-MEB-1312,-8.5,2.1,6.6,-118.1,45.4,High Risk (Lithium Plating)
VW-MEB-1313,7.5,1.48,43.5,-90.4,27.9,High Risk (Lithium Plating)
VW-MEB-1314,-7.4,1.55,36.0,-113.9,33.3,High Risk (Lithium Plating)
VW-MEB-1315,16.5,1.27,12.2,-49.9,65.0,High Risk (Lithium Plating)
VW-MEB-1316,7.4,1.8,10.9,-92.1,49.6,High Risk (Lithium Plating)
VW-MEB-1317,23.9,1.58,32.4,-55.3,35.1,High Risk (Lithium Plating)
VW-MEB-1318,14.5,2.74,42.9,-111.5,16.4,High Risk (Lithium Plating)
VW-MEB-1319,2.4,2.24,25.0,-101.9,32.4,High Risk (Lithium Plating)
VW-MEB-1320,0.8,1.52,23.0,-92.2,47.1,High Risk (Lithium Plating)
VW-MEB-1321,4.7,1.21,40.9,-87.5,40.4,High Risk (Lithium Plating)
VW-MEB-1322,1.1,3.1,12.7,-137.3,26.8,High Risk (Lithium Plating)
VW-MEB-1323,-0.0,2.38,35.9,-124.8,23.8,High Risk (Lithium Plating)
VW-MEB-1324,32.7,2.91,29.9,-72.4,20.8,High Risk (Lithium Plating)
VW-MEB-1325,27.2,2.89,25.2,-86.7,19.6,High Risk (Lithium Plating)
VW-MEB-1326,10.3,2.83,36.8,-121.2,21.2,High Risk (Lithium Plating)
VW-MEB-1327,10.5,3.14,13.0,-116.6,25.2,High Risk (Lithium Plating)
VW-MEB-1328,-4.5,1.6,14.2,-97.2,51.6,High Risk (Lithium Plating)
VW-MEB-1329,19.2,1.5,40.5,-62.0,33.8,High Risk (Lithium Plating)
VW-MEB-1330,34.8,1.27,35.2,-28.0,40.3,High Risk (Lithium Plating)
VW-MEB-1331,-3.4,3.02,34.9,-143.1,20.2,High Risk (Lithium Plating)
VW-MEB-1332,21.1,2.88,21.1,-88.8,25.4,High Risk (Lithium Plating)
VW-MEB-1333,31.1,0.84,33.5,-20.8,65.0,High Risk (Lithium Plating)
VW-MEB-1334,26.5,2.53,24.4,-72.6,27.1,High Risk (Lithium Plating)
VW-MEB-1335,28.6,2.2,27.1,-59.6,32.1,High Risk (Lithium Plating)
VW-MEB-1336,17.9,1.92,26.8,-70.0,32.0,High Risk (Lithium Plating)
VW-MEB-1337,7.9,1.01,24.5,-72.0,65.0,High Risk (Lithium Plating)
VW-MEB-1338,0.6,1.97,6.3,-90.6,47.4,High Risk (Lithium Plating)
VW-MEB-1339,33.4,1.63,36.7,-38.0,33.4,High Risk (Lithium Plating)
VW-MEB-1340,3.3,2.42,37.5,-108.3,21.6,High Risk (Lithium Plating)
VW-MEB-1341,6.6,1.69,39.9,-102.1,26.2,High Risk (Lithium Plating)
VW-MEB-1342,-5.2,1.09,11.5,-72.6,65.0,High Risk (Lithium Plating)
VW-MEB-1343,13.8,1.21,30.4,-63.9,52.1,High Risk (Lithium Plating)
VW-MEB-1344,-9.6,1.58,18.1,-101.1,48.7,High Risk (Lithium Plating)
VW-MEB-1345,20.5,2.99,41.0,-108.6,15.3,High Risk (Lithium Plating)
VW-MEB-1346,3.2,0.95,7.4,-62.7,65.0,High Risk (Lithium Plating)
VW-MEB-1347,-7.3,2.56,35.6,-124.7,21.5,High Risk (Lithium Plating)
VW-MEB-1348,17.8,2.58,5.1,-87.5,38.4,High Risk (Lithium Plating)
VW-MEB-1349,17.6,1.55,24.7,-54.5,43.5,High Risk (Lithium Plating)
VW-MEB-1350,12.5,3.04,35.1,-118.7,19.6,High Risk (Lithium Plating)
VW-MEB-1351,12.1,2.0,23.6,-88.7,37.0,High Risk (Lithium Plating)
VW-MEB-1352,9.8,3.11,40.0,-131.2,14.3,High Risk (Lithium Plating)
VW-MEB-1353,-3.1,2.78,21.3,-134.9,27.7,High Risk (Lithium Plating)
VW-MEB-1354,20.0,2.56,21.2,-85.2,28.3,High Risk (Lithium Plating)
VW-MEB-1355,-7.3,1.29,43.2,-105.4,36.7,High Risk (Lithium Plating)
VW-MEB-1356,-9.2,1.89,42.2,-123.4,27.4,High Risk (Lithium Plating)
VW-MEB-1357,32.8,2.19,35.2,-58.6,21.2,High Risk (Lithium Plating)
VW-MEB-1358,-6.9,1.33,13.5,-95.6,63.4,High Risk (Lithium Plating)
VW-MEB-1359,-4.4,2.04,36.1,-121.5,27.7,High Risk (Lithium Plating)
VW-MEB-1360,18.3,0.82,17.1,-34.4,65.0,High Risk (Lithium Plating)
VW-MEB-1361,32.0,2.17,44.2,-59.1,22.0,High Risk (Lithium Plating)
VW-MEB-1362,17.4,3.1,39.7,-110.4,14.1,High Risk (Lithium Plating)
VW-MEB-1363,7.1,3.02,37.0,-128.4,19.6,High Risk (Lithium Plating)
VW-MEB-1364,1.4,2.31,40.0,-115.0,22.1,High Risk (Lithium Plating)
VW-MEB-1365,15.5,3.02,20.3,-102.3,27.6,High Risk (Lithium Plating)
VW-MEB-1366,-9.8,1.27,25.0,-103.5,53.8,High Risk (Lithium Plating)
VW-MEB-1367,21.8,2.93,5.7,-86.6,31.9,High Risk (Lithium Plating)
VW-MEB-1368,11.1,1.88,23.4,-77.8,38.3,High Risk (Lithium Plating)
VW-MEB-1369,-5.6,1.79,21.7,-105.4,40.6,High Risk (Lithium Plating)
VW-MEB-1370,-9.2,0.93,5.8,-75.4,65.0,High Risk (Lithium Plating)
VW-MEB-1371,3.5,1.04,33.7,-71.3,55.1,High Risk (Lithium Plating)
VW-MEB-1372,-1.4,2.03,21.3,-110.0,36.4,High Risk (Lithium Plating)
VW-MEB-1373,16.3,2.71,38.8,-101.6,18.0,High Risk (Lithium Plating)
VW-MEB-1374,15.8,2.55,11.3,-82.9,37.2,High Risk (Lithium Plating)
VW-MEB-1375,6.0,1.93,10.5,-84.9,42.0,High Risk (Lithium Plating)
VW-MEB-1376,18.2,1.24,42.1,-58.4,35.4,High Risk (Lithium Plating)
VW-MEB-1377,22.5,1.09,28.5,-32.1,59.0,High Risk (Lithium Plating)
VW-MEB-1378,-1.8,3.2,5.6,-135.2,25.5,High Risk (Lithium Plating)
VW-MEB-1379,-3.0,2.49,43.3,-132.4,21.2,High Risk (Lithium Plating)
VW-MEB-1380,17.4,3.07,40.5,-115.1,16.2,High Risk (Lithium Plating)
VW-MEB-1381,0.5,1.1,18.9,-87.6,65.0,High Risk (Lithium Plating)
VW-MEB-1382,14.5,1.43,24.8,-60.0,52.5,High Risk (Lithium Plating)
VW-MEB-1383,32.0,1.62,18.0,-30.2,48.3,High Risk (Lithium Plating)
VW-MEB-1384,16.6,1.65,39.5,-67.9,27.6,High Risk (Lithium Plating)
VW-MEB-1385,27.4,2.25,15.9,-59.7,32.3,High Risk (Lithium Plating)
VW-MEB-1386,12.1,0.97,5.8,-52.0,65.0,High Risk (Lithium Plating)
VW-MEB-1387,31.5,2.07,15.0,-47.4,40.4,High Risk (Lithium Plating)
VW-MEB-1388,18.9,1.74,26.8,-64.9,38.6,High Risk (Lithium Plating)
VW-MEB-1389,30.2,1.4,11.3,-26.9,61.2,High Risk (Lithium Plating)
VW-MEB-1390,-9.0,2.06,10.8,-119.5,40.4,High Risk (Lithium Plating)
VW-MEB-1391,17.5,2.87,26.7,-104.2,21.8,High Risk (Lithium Plating)
VW-MEB-1392,12.4,2.02,12.9,-79.1,36.9,High Risk (Lithium Plating)
VW-MEB-1393,22.9,1.7,38.0,-61.6,34.3,High Risk (Lithium Plating)
VW-MEB-1394,27.9,3.04,20.6,-96.9,25.7,High Risk (Lithium Plating)
VW-MEB-1395,-5.5,0.86,41.2,-89.3,58.8,High Risk (Lithium Plating)
VW-MEB-1396,26.2,0.9,24.3,-34.3,65.0,High Risk (Lithium Plating)
VW-MEB-1397,31.5,2.58,31.7,-67.8,26.8,High Risk (Lithium Plating)
VW-MEB-1398,30.8,2.9,35.0,-86.1,17.7,High Risk (Lithium Plating)
VW-MEB-1399,2.8,1.36,17.9,-72.9,58.9,High Risk (Lithium Plating)
VW-MEB-1400,-3.9,2.88,23.0,-122.9,24.5,High Risk (Lithium Plating)
VW-MEB-1401,28.8,3.13,21.8,-82.9,22.5,High Risk (Lithium Plating)
VW-MEB-1402,13.2,1.51,28.6,-66.5,42.7,High Risk (Lithium Plating)
VW-MEB-1403,7.1,2.42,8.2,-102.0,38.6,High Risk (Lithium Plating)
VW-MEB-1404,10.4,1.93,21.1,-90.3,39.1,High Risk (Lithium Plating)
VW-MEB-1405,33.6,1.74,35.6,-51.0,31.4,High Risk (Lithium Plating)
VW-MEB-1406,2.9,1.98,35.6,-107.6,29.4,High Risk (Lithium Plating)
VW-MEB-1407,-6.9,1.27,12.1,-97.3,65.0,High Risk (Lithium Plating)
VW-MEB-1408,13.3,1.48,23.2,-73.3,48.7,High Risk (Lithium Plating)
VW-MEB-1409,29.7,2.46,29.6,-64.0,27.7,High Risk (Lithium Plating)
VW-MEB-1410,19.2,1.08,16.9,-44.1,65.0,High Risk (Lithium Plating)
VW-MEB-1411,16.2,2.33,19.9,-85.0,33.7,High Risk (Lithium Plating)
VW-MEB-1412,34.2,2.02,34.7,-50.8,26.7,High Risk (Lithium Plating)
VW-MEB-1413,-1.4,1.79,43.0,-109.2,25.3,High Risk (Lithium Plating)
VW-MEB-1414,-6.9,1.37,18.8,-97.5,54.0,High Risk (Lithium Plating)
VW-MEB-1415,-6.8,1.8,12.4,-109.9,47.1,High Risk (Lithium Plating)
VW-MEB-1416,20.5,2.89,39.7,-101.2,19.5,High Risk (Lithium Plating)
VW-MEB-1417,-8.2,2.64,6.1,-136.1,38.4,High Risk (Lithium Plating)
VW-MEB-1418,21.5,1.09,25.7,-37.1,59.8,High Risk (Lithium Plating)
VW-MEB-1419,17.4,3.01,35.6,-112.7,19.9,High Risk (Lithium Plating)
VW-MEB-1420,19.3,2.4,10.6,-71.3,39.7,High Risk (Lithium Plating)
VW-MEB-1421,-1.1,3.2,35.6,-149.0,19.1,High Risk (Lithium Plating)
VW-MEB-1422,26.5,1.62,23.7,-51.4,46.2,High Risk (Lithium Plating)
VW-MEB-1423,30.1,1.65,38.8,-38.9,30.7,High Risk (Lithium Plating)
VW-MEB-1424,28.6,2.45,36.4,-64.7,20.4,High Risk (Lithium Plating)
VW-MEB-1425,13.1,1.64,36.6,-78.4,33.8,High Risk (Lithium Plating)
VW-MEB-1426,-3.8,2.22,39.4,-124.4,23.6,High Risk (Lithium Plating)
VW-MEB-1427,30.5,2.99,9.0,-79.4,27.8,High Risk (Lithium Plating)
VW-MEB-1428,-3.2,2.54,7.2,-124.8,37.9,High Risk (Lithium Plating)
VW-MEB-1429,18.4,2.4,41.2,-99.2,18.4,High Risk (Lithium Plating)
VW-MEB-1430,10.0,2.28,33.3,-102.7,23.4,High Risk (Lithium Plating)
VW-MEB-1431,32.2,3.01,15.8,-75.4,26.2,High Risk (Lithium Plating)
VW-MEB-1432,30.7,1.01,5.5,-13.7,65.0,High Risk (Lithium Plating)
VW-MEB-1433,0.1,2.83,15.6,-123.3,28.7,High Risk (Lithium Plating)
VW-MEB-1434,15.1,2.74,20.9,-111.2,25.4,High Risk (Lithium Plating)
VW-MEB-1435,24.1,2.47,20.1,-66.1,25.7,High Risk (Lithium Plating)
VW-MEB-1436,-4.0,2.69,17.0,-133.9,31.7,High Risk (Lithium Plating)
VW-MEB-1437,-5.8,1.29,30.1,-101.5,50.7,High Risk (Lithium Plating)
VW-MEB-1438,3.6,0.8,30.4,-69.2,65.0,High Risk (Lithium Plating)
VW-MEB-1439,21.7,1.11,7.9,-38.0,65.0,High Risk (Lithium Plating)
VW-MEB-1440,31.2,2.42,21.4,-62.7,30.1,High Risk (Lithium Plating)
VW-MEB-1441,-8.1,1.68,16.2,-114.8,46.8,High Risk (Lithium Plating)
VW-MEB-1442,27.3,3.19,43.6,-102.8,15.2,High Risk (Lithium Plating)
VW-MEB-1443,12.5,1.47,37.9,-75.0,36.3,High Risk (Lithium Plating)
VW-MEB-1444,12.0,2.26,38.7,-101.0,23.6,High Risk (Lithium Plating)
VW-MEB-1445,-2.9,2.86,30.4,-139.2,19.6,High Risk (Lithium Plating)
VW-MEB-1446,22.3,1.77,24.4,-60.9,40.2,High Risk (Lithium Plating)
VW-MEB-1447,32.1,2.62,34.2,-72.5,19.6,High Risk (Lithium Plating)
VW-MEB-1448,14.6,0.83,33.4,-54.0,65.0,High Risk (Lithium Plating)
VW-MEB-1449,-0.7,2.61,38.0,-132.2,22.0,High Risk (Lithium Plating)
VW-MEB-1450,22.2,3.11,17.9,-96.7,25.7,High Risk (Lithium Plating)
VW-MEB-1451,18.1,0.94,19.4,-45.7,65.0,High Risk (Lithium Plating)
VW-MEB-1452,22.0,0.82,34.5,-40.1,65.0,High Risk (Lithium Plating)
VW-MEB-1453,10.0,0.99,18.2,-47.6,65.0,High Risk (Lithium Plating)
VW-MEB-1454,13.0,2.85,26.3,-99.1,29.0,High Risk (Lithium Plating)
VW-MEB-1455,28.1,1.51,23.2,-36.8,47.8,High Risk (Lithium Plating)
VW-MEB-1456,0.1,0.85,5.3,-62.6,65.0,High Risk (Lithium Plating)
VW-MEB-1457,30.3,0.86,38.1,-33.9,59.5,High Risk (Lithium Plating)
VW-MEB-1458,14.4,3.1,25.6,-111.8,24.3,High Risk (Lithium Plating)
VW-MEB-1459,-0.4,2.12,42.5,-112.5,23.0,High Risk (Lithium Plating)
VW-MEB-1460,-4.3,2.15,24.8,-108.8,34.3,High Risk (Lithium Plating)
VW-MEB-1461,20.4,3.2,35.9,-103.0,17.2,High Risk (Lithium Plating)
VW-MEB-1462,-2.7,3.16,40.7,-139.5,14.0,High Risk (Lithium Plating)
VW-MEB-1463,26.4,2.4,7.9,-56.6,33.4,High Risk (Lithium Plating)
VW-MEB-1464,9.3,0.92,36.4,-64.4,58.9,High Risk (Lithium Plating)
VW-MEB-1465,26.2,1.36,36.6,-45.3,41.5,High Risk (Lithium Plating)
VW-MEB-1466,20.0,1.37,44.4,-61.5,31.0,High Risk (Lithium Plating)
VW-MEB-1467,13.5,2.81,39.4,-106.2,19.3,High Risk (Lithium Plating)
VW-MEB-1468,26.1,2.1,7.0,-50.2,39.6,High Risk (Lithium Plating)
VW-MEB-1469,19.5,2.16,38.3,-77.9,23.2,High Risk (Lithium Plating)
VW-MEB-1470,12.9,1.81,13.7,-79.9,45.8,High Risk (Lithium Plating)
VW-MEB-1471,28.1,2.91,38.2,-88.0,18.0,High Risk (Lithium Plating)
VW-MEB-1472,17.5,2.79,41.1,-105.6,20.0,High Risk (Lithium Plating)
VW-MEB-1473,-5.1,1.5,24.8,-102.7,47.6,High Risk (Lithium Plating)
VW-MEB-1474,8.8,2.95,15.0,-107.5,27.0,High Risk (Lithium Plating)
VW-MEB-1475,26.6,2.28,21.5,-61.6,32.7,High Risk (Lithium Plating)
VW-MEB-1476,24.1,1.51,36.2,-61.5,39.0,High Risk (Lithium Plating)
VW-MEB-1477,10.4,1.04,13.6,-59.5,65.0,High Risk (Lithium Plating)
VW-MEB-1478,33.6,2.78,30.2,-68.5,23.2,High Risk (Lithium Plating)
VW-MEB-1479,18.2,2.07,30.7,-64.5,29.2,High Risk (Lithium Plating)
VW-MEB-1480,19.1,1.5,33.2,-60.8,39.1,High Risk (Lithium Plating)
VW-MEB-1481,-1.1,2.34,34.7,-120.1,26.4,High Risk (Lithium Plating)
VW-MEB-1482,3.2,1.35,35.7,-86.9,39.6,High Risk (Lithium Plating)
VW-MEB-1483,21.1,2.78,45.0,-103.2,15.7,High Risk (Lithium Plating)
VW-MEB-1484,15.4,1.33,44.4,-64.5,34.7,High Risk (Lithium Plating)
VW-MEB-1485,21.6,2.24,19.2,-76.1,29.5,High Risk (Lithium Plating)
VW-MEB-1486,19.2,2.72,36.0,-96.8,19.2,High Risk (Lithium Plating)
VW-MEB-1487,33.2,2.45,10.7,-54.5,38.8,High Risk (Lithium Plating)
VW-MEB-1488,13.0,1.88,16.2,-82.8,41.2,High Risk (Lithium Plating)
VW-MEB-1489,13.0,1.14,37.1,-60.8,48.7,High Risk (Lithium Plating)
VW-MEB-1490,2.0,2.42,43.9,-118.0,15.9,High Risk (Lithium Plating)
VW-MEB-1491,14.0,1.06,22.7,-46.8,65.0,High Risk (Lithium Plating)
VW-MEB-1492,-4.1,3.18,29.4,-145.8,23.4,High Risk (Lithium Plating)
VW-MEB-1493,20.3,2.88,41.7,-99.0,14.5,High Risk (Lithium Plating)
VW-MEB-1494,13.3,2.68,43.6,-117.8,14.8,High Risk (Lithium Plating)
VW-MEB-1495,32.3,3.14,27.2,-76.0,19.8,High Risk (Lithium Plating)
VW-MEB-1496,12.5,1.54,27.3,-62.3,41.0,High Risk (Lithium Plating)
VW-MEB-1497,30.9,1.5,14.2,-31.4,53.4,High Risk (Lithium Plating)
VW-MEB-1498,1.9,2.77,40.0,-122.8,18.1,High Risk (Lithium Plating)
VW-MEB-1499,16.1,2.39,27.4,-92.9,30.5,High Risk (Lithium Plating)
VW-MEB-1500,2.3,0.85,10.2,-62.1,65.0,High Risk (Lithium Plating)
VW-MEB-1501,13.6,2.48,34.8,-103.5,24.1,High Risk (Lithium Plating)
VW-MEB-1502,22.7,1.94,38.3,-62.4,27.8,High Risk (Lithium Plating)
VW-MEB-1503,20.6,1.32,29.5,-59.1,50.3,High Risk (Lithium Plating)
VW-MEB-1504,31.3,2.46,16.2,-56.9,30.0,High Risk (Lithium Plating)
VW-MEB-1505,-4.3,2.1,27.4,-111.8,29.2,High Risk (Lithium Plating)
VW-MEB-1506,4.8,1.82,10.1,-82.2,50.9,High Risk (Lithium Plating)
VW-MEB-1507,15.3,2.45,22.7,-96.3,31.5,High Risk (Lithium Plating)
VW-MEB-1508,6.3,2.58,12.2,-112.2,31.5,High Risk (Lithium Plating)
VW-MEB-1509,11.1,2.95,19.0,-104.4,29.5,High Risk (Lithium Plating)
VW-MEB-1510,4.8,2.01,39.7,-107.5,24.6,High Risk (Lithium Plating)
VW-MEB-1511,4.1,2.61,23.2,-116.3,27.4,High Risk (Lithium Plating)
VW-MEB-1512,-2.9,1.07,24.3,-78.9,62.9,High Risk (Lithium Plating)
VW-MEB-1513,22.6,2.21,28.6,-70.5,29.6,High Risk (Lithium Plating)
VW-MEB-1514,3.2,1.23,20.5,-86.6,64.0,High Risk (Lithium Plating)
VW-MEB-1515,28.1,2.95,6.4,-67.6,29.6,High Risk (Lithium Plating)
VW-MEB-1516,7.1,2.75,35.1,-121.2,22.6,High Risk (Lithium Plating)
VW-MEB-1517,32.2,3.01,37.9,-89.2,20.1,High Risk (Lithium Plating)
VW-MEB-1518,10.3,0.85,36.3,-54.9,63.7,High Risk (Lithium Plating)
VW-MEB-1519,-0.7,2.69,13.0,-116.5,33.2,High Risk (Lithium Plating)
VW-MEB-1520,20.3,1.22,9.1,-43.7,65.0,High Risk (Lithium Plating)
VW-MEB-1521,18.8,1.42,26.3,-62.2,45.3,High Risk (Lithium Plating)
VW-MEB-1522,3.1,0.87,10.8,-62.5,65.0,High Risk (Lithium Plating)
VW-MEB-1523,7.1,2.45,7.4,-107.0,38.2,High Risk (Lithium Plating)
VW-MEB-1524,-4.2,1.92,14.1,-113.3,40.2,High Risk (Lithium Plating)
VW-MEB-1525,20.2,3.18,16.8,-103.7,23.9,High Risk (Lithium Plating)
VW-MEB-1526,23.9,0.84,41.7,-34.0,54.9,High Risk (Lithium Plating)
VW-MEB-1527,-4.6,1.3,20.1,-88.5,54.8,High Risk (Lithium Plating)
VW-MEB-1528,-8.4,2.72,8.6,-134.3,31.6,High Risk (Lithium Plating)
VW-MEB-1529,-10.0,3.01,19.9,-148.5,25.4,High Risk (Lithium Plating)
VW-MEB-1530,17.6,3.0,44.3,-111.3,16.6,High Risk (Lithium Plating)
VW-MEB-1531,8.7,2.04,5.6,-84.4,47.2,High Risk (Lithium Plating)
VW-MEB-1532,11.1,3.18,34.7,-117.8,19.9,High Risk (Lithium Plating)
VW-MEB-1533,17.1,2.88,36.5,-100.6,18.4,High Risk (Lithium Plating)
VW-MEB-1534,23.3,1.85,20.4,-65.7,40.0,High Risk (Lithium Plating)
VW-MEB-1535,16.1,2.11,6.4,-80.8,42.3,High Risk (Lithium Plating)
VW-MEB-1536,9.5,2.99,5.6,-118.5,32.3,High Risk (Lithium Plating)
VW-MEB-1537,26.3,3.17,44.0,-96.5,15.1,High Risk (Lithium Plating)
VW-MEB-1538,25.7,2.52,19.1,-71.2,32.0,High Risk (Lithium Plating)
VW-MEB-1539,13.2,1.54,34.9,-82.8,33.4,High Risk (Lithium Plating)
VW-MEB-1540,21.5,2.03,10.1,-56.1,42.8,High Risk (Lithium Plating)
VW-MEB-1541,34.8,0.93,25.2,-15.5,65.0,High Risk (Lithium Plating)
VW-MEB-1542,8.8,3.17,12.2,-115.9,24.8,High Risk (Lithium Plating)
VW-MEB-1543,11.3,2.69,6.8,-105.2,33.0,High Risk (Lithium Plating)
VW-MEB-1544,3.4,1.74,10.6,-83.8,52.8,High Risk (Lithium Plating)
VW-MEB-1545,-1.8,1.43,18.0,-87.1,56.2,High Risk (Lithium Plating)
VW-MEB-1546,5.4,2.28,28.4,-98.4,30.4,High Risk (Lithium Plating)
VW-MEB-1547,13.9,2.75,27.9,-102.6,21.5,High Risk (Lithium Plating)
VW-MEB-1548,3.0,2.96,32.9,-135.3,19.0,High Risk (Lithium Plating)
VW-MEB-1549,-6.8,1.34,18.8,-107.0,61.9,High Risk (Lithium Plating)
VW-MEB-1550,-2.7,3.18,21.6,-142.4,24.9,High Risk (Lithium Plating)
VW-MEB-1551,0.5,2.93,13.3,-129.2,31.7,High Risk (Lithium Plating)
VW-MEB-1552,16.9,1.71,23.7,-65.8,39.4,High Risk (Lithium Plating)
VW-MEB-1553,6.6,1.1,38.6,-83.3,48.4,High Risk (Lithium Plating)
VW-MEB-1554,24.2,2.81,6.4,-80.7,31.7,High Risk (Lithium Plating)
VW-MEB-1555,-4.0,0.97,43.6,-95.6,46.6,High Risk (Lithium Plating)
VW-MEB-1556,15.7,1.9,33.0,-81.4,34.5,High Risk (Lithium Plating)
VW-MEB-1557,8.3,2.09,21.1,-93.7,36.0,High Risk (Lithium Plating)
VW-MEB-1558,17.8,3.06,23.5,-95.1,23.6,High Risk (Lithium Plating)
VW-MEB-1559,30.7,1.62,38.4,-60.1,33.6,High Risk (Lithium Plating)
VW-MEB-1560,32.6,1.03,30.3,-31.7,60.1,High Risk (Lithium Plating)
VW-MEB-1561,12.4,1.22,43.7,-67.7,41.7,High Risk (Lithium Plating)
VW-MEB-1562,9.7,1.42,22.9,-74.0,49.4,High Risk (Lithium Plating)
VW-MEB-1563,4.8,1.22,43.6,-78.6,40.0,High Risk (Lithium Plating)
VW-MEB-1564,28.4,1.95,21.0,-54.7,35.7,High Risk (Lithium Plating)
VW-MEB-1565,-2.3,3.17,35.7,-146.2,18.8,High Risk (Lithium Plating)
VW-MEB-1566,-6.6,2.8,26.3,-141.4,24.8,High Risk (Lithium Plating)
VW-MEB-1567,5.2,1.71,35.9,-85.1,36.1,High Risk (Lithium Plating)
VW-MEB-1568,24.3,2.84,41.4,-94.1,19.7,High Risk (Lithium Plating)
VW-MEB-1569,-7.9,3.01,13.7,-142.4,27.9,High Risk (Lithium Plating)
VW-MEB-1570,27.4,1.24,10.1,-31.8,65.0,High Risk (Lithium Plating)
VW-MEB-1571,-9.0,2.31,6.6,-118.9,43.1,High Risk (Lithium Plating)
VW-MEB-1572,-5.7,1.44,17.3,-103.6,52.9,High Risk (Lithium Plating)
VW-MEB-1573,31.0,1.44,6.4,-25.5,63.7,High Risk (Lithium Plating)
VW-MEB-1574,34.8,1.88,41.4,-45.4,25.6,High Risk (Lithium Plating)
VW-MEB-1575,-2.4,2.02,21.4,-106.6,35.5,High Risk (Lithium Plating)
VW-MEB-1576,2.4,2.4,29.5,-119.3,28.2,High Risk (Lithium Plating)
VW-MEB-1577,-9.2,1.86,28.2,-117.6,31.8,High Risk (Lithium Plating)
VW-MEB-1578,29.5,2.87,41.6,-87.9,18.2,High Risk (Lithium Plating)
VW-MEB-1579,-8.7,2.37,21.0,-134.1,30.3,High Risk (Lithium Plating)
VW-MEB-1580,30.3,1.41,37.4,-37.0,40.8,High Risk (Lithium Plating)
VW-MEB-1581,-6.6,1.67,44.9,-117.6,26.8,High Risk (Lithium Plating)
VW-MEB-1582,1.0,2.89,11.6,-126.5,28.4,High Risk (Lithium Plating)
VW-MEB-1583,10.7,0.84,33.4,-60.7,65.0,High Risk (Lithium Plating)
VW-MEB-1584,12.3,2.97,26.1,-105.4,22.6,High Risk (Lithium Plating)
VW-MEB-1585,2.2,2.14,33.1,-108.8,27.4,High Risk (Lithium Plating)
VW-MEB-1586,-9.9,2.48,38.4,-141.9,18.5,High Risk (Lithium Plating)
VW-MEB-1587,5.9,2.74,31.2,-109.2,25.4,High Risk (Lithium Plating)
VW-MEB-1588,33.4,2.49,13.8,-38.6,32.6,High Risk (Lithium Plating)
VW-MEB-1589,-8.8,3.03,5.6,-138.3,29.6,High Risk (Lithium Plating)
VW-MEB-1590,-2.0,3.01,36.4,-141.8,19.1,High Risk (Lithium Plating)
VW-MEB-1591,-8.9,1.02,10.0,-93.8,65.0,High Risk (Lithium Plating)
VW-MEB-1592,-8.6,2.18,10.3,-117.2,39.0,High Risk (Lithium Plating)
VW-MEB-1593,-3.9,1.73,37.0,-114.6,34.0,High Risk (Lithium Plating)
VW-MEB-1594,22.7,2.92,20.0,-91.8,23.5,High Risk (Lithium Plating)
VW-MEB-1595,-7.6,2.78,37.0,-141.4,20.1,High Risk (Lithium Plating)
VW-MEB-1596,8.6,1.22,42.3,-78.1,39.0,High Risk (Lithium Plating)
VW-MEB-1597,23.7,0.88,22.5,-30.1,65.0,High Risk (Lithium Plating)
VW-MEB-1598,-1.1,2.17,21.5,-116.2,34.1,High Risk (Lithium Plating)
VW-MEB-1599,13.1,3.15,22.8,-102.3,23.8,High Risk (Lithium Plating)
VW-MEB-1600,13.1,0.92,11.8,-43.0,65.0,High Risk (Lithium Plating)
VW-MEB-1601,8.5,1.4,23.5,-76.6,48.5,High Risk (Lithium Plating)
VW-MEB-1602,34.4,1.9,21.3,-36.8,37.2,High Risk (Lithium Plating)
VW-MEB-1603,6.4,3.17,8.1,-118.8,29.4,High Risk (Lithium Plating)
VW-MEB-1604,12.7,1.7,24.4,-86.4,42.6,High Risk (Lithium Plating)
VW-MEB-1605,6.9,1.45,30.0,-76.2,40.4,High Risk (Lithium Plating)
VW-MEB-1606,27.4,2.28,37.1,-67.6,24.5,High Risk (Lithium Plating)
VW-MEB-1607,30.1,2.96,21.2,-82.5,26.1,High Risk (Lithium Plating)
VW-MEB-1608,-3.2,1.17,43.5,-108.2,40.8,High Risk (Lithium Plating)
VW-MEB-1609,5.4,2.79,33.4,-126.5,21.3,High Risk (Lithium Plating)
VW-MEB-1610,11.6,1.49,30.1,-75.2,42.1,High Risk (Lithium Plating)
VW-MEB-1611,-5.7,1.94,7.1,-102.3,47.0,High Risk (Lithium Plating)
