Terrain_Run_ID,Wheel_Slip_Ratio_pct,Soil_Shear_Strength_kPa,ATPC_Crawl_Speed_kmh,Wheel_Articulation_Travel_mm,Terrain_Classification
DEFENDER-ATPC-1622,22.2,22.9,1.8,320.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1623,2.8,90.2,8.4,428.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1624,31.1,15.7,1.0,284.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1625,33.4,69.6,4.6,136.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1626,11.1,57.5,4.8,236.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1627,18.0,68.9,5.4,154.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1628,2.9,56.3,5.2,242.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1629,9.0,45.1,4.5,402.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1630,2.6,74.5,6.1,420.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1631,21.9,19.8,1.9,165.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1632,13.6,49.7,4.2,367.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1633,18.2,75.3,6.0,455.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1634,38.0,28.3,1.3,316.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1635,20.6,76.0,5.7,327.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1636,2.4,52.6,5.0,336.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1637,32.5,58.7,3.7,296.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1638,10.1,21.4,2.2,302.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1639,33.8,30.2,1.7,238.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1640,15.0,92.4,7.1,169.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1641,30.4,88.7,5.8,285.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1642,40.2,30.3,1.6,407.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1643,8.3,21.1,3.2,287.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1644,25.1,20.6,1.1,419.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1645,32.9,31.0,2.1,236.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1646,39.0,32.4,1.3,336.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1647,20.4,62.1,4.3,426.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1648,10.9,43.9,3.9,304.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1649,25.6,85.7,5.7,334.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1650,40.6,46.2,2.4,371.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1651,20.7,83.5,6.0,189.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1652,23.8,55.8,4.6,358.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1653,17.1,44.2,4.3,187.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1654,7.9,59.8,5.7,324.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1655,9.2,17.9,2.7,401.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1656,39.2,45.7,3.2,175.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1657,6.6,54.8,5.1,317.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1658,12.5,74.7,6.5,305.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1659,7.4,85.4,7.3,298.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1660,26.5,23.4,1.8,332.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1661,41.6,19.1,1.0,301.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1662,11.9,51.2,4.4,297.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1663,29.0,78.1,5.5,305.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1664,22.1,81.6,6.5,425.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1665,11.3,28.2,2.9,138.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1666,26.1,90.1,6.0,303.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1667,16.1,21.4,2.2,475.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1668,32.6,20.4,1.4,282.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1669,31.4,75.0,4.9,287.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1670,16.2,29.0,2.9,463.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1671,40.7,18.4,1.0,120.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1672,37.8,38.8,2.7,357.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1673,35.4,16.4,1.0,472.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1674,8.5,16.0,2.8,212.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1675,8.9,19.1,2.5,170.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1676,4.5,87.8,7.4,202.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1677,23.0,88.0,6.5,370.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1678,3.9,86.7,7.2,402.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1679,14.5,60.2,4.7,333.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1680,28.0,15.8,1.5,296.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1681,39.3,38.3,2.1,374.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1682,12.1,30.7,2.9,209.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1683,34.5,61.2,3.6,351.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1684,29.6,49.5,3.2,342.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1685,8.2,80.5,7.1,335.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1686,41.5,49.9,3.0,255.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1687,35.0,79.5,5.3,153.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1688,32.5,70.5,4.9,345.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1689,15.7,36.1,3.8,308.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1690,23.9,78.4,6.3,240.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1691,9.9,23.0,2.3,258.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1692,19.9,30.4,2.6,369.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1693,33.9,40.8,2.9,253.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1694,7.6,81.8,6.9,292.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1695,22.1,36.7,2.9,402.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1696,8.9,72.6,6.1,379.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1697,20.0,87.4,6.0,414.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1698,35.6,42.9,2.9,319.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1699,30.8,48.4,3.5,156.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1700,35.9,22.7,1.1,170.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1701,39.2,77.6,4.4,168.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1702,29.6,21.0,1.6,288.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1703,32.4,20.2,1.1,453.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1704,22.7,19.7,2.0,416.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1705,28.8,87.4,6.4,145.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1706,2.8,34.7,3.6,184.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1707,4.0,24.0,3.4,386.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1708,32.4,51.7,3.9,321.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1709,15.0,24.9,2.6,359.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1710,18.6,57.3,4.7,274.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1711,36.9,61.3,3.7,411.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1712,4.6,64.3,6.1,400.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1713,11.4,39.6,3.7,150.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1714,29.2,68.5,4.2,211.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1715,3.3,20.4,2.6,172.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1716,11.2,63.4,5.4,161.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1717,24.7,22.6,1.7,438.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1718,30.8,80.9,5.7,426.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1719,12.5,80.6,6.2,385.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1720,35.1,70.0,5.0,445.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1721,11.2,43.6,3.7,420.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1722,16.8,46.5,3.8,270.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1723,2.1,85.8,7.6,259.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1724,33.1,27.0,1.8,128.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1725,16.3,24.5,2.5,220.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1726,19.2,77.5,5.5,446.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1727,13.3,67.2,5.6,228.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1728,6.1,43.1,3.6,413.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1729,31.4,61.7,4.0,171.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1730,5.0,79.4,7.0,453.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1731,28.4,61.6,4.1,241.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1732,25.5,63.2,4.5,254.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1733,35.1,89.8,6.0,222.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1734,19.9,91.3,6.9,418.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1735,25.6,25.4,1.6,440.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1736,20.7,19.7,2.0,345.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1737,20.9,51.8,3.9,370.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1738,39.9,49.9,3.4,141.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1739,11.5,88.2,7.2,167.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1740,10.6,21.8,3.1,278.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1741,18.9,15.6,1.4,161.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1742,21.0,52.6,4.0,442.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1743,29.6,93.7,6.5,242.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1744,8.6,35.4,3.7,153.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1745,13.5,81.5,6.5,219.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1746,32.0,61.6,3.9,230.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1747,9.8,34.6,3.5,458.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1748,29.0,90.0,6.2,158.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1749,26.1,20.1,1.9,209.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1750,40.0,86.7,5.7,171.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1751,23.5,35.4,3.2,175.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1752,22.4,45.4,3.6,306.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1753,30.2,83.0,5.4,375.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1754,20.6,51.7,4.0,156.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1755,7.0,64.2,5.7,352.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1756,20.7,49.6,4.2,208.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1757,36.8,37.5,2.4,287.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1758,27.7,91.6,6.2,346.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1759,32.5,61.4,3.7,345.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1760,3.1,72.4,7.0,121.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1761,32.6,35.4,2.4,264.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1762,30.1,66.6,4.7,201.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1763,15.4,74.2,5.7,347.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1764,12.9,73.7,6.4,279.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1765,31.8,68.9,4.8,197.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1766,11.8,83.1,6.7,423.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1767,17.4,52.7,3.9,313.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1768,11.3,53.7,5.2,330.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1769,15.1,57.1,4.9,437.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1770,28.2,69.1,4.8,342.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1771,38.3,31.5,1.9,363.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1772,6.3,68.7,5.9,317.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1773,26.2,19.2,1.5,374.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1774,9.7,34.3,3.8,447.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1775,19.9,19.0,1.9,355.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1776,29.6,60.9,4.0,214.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1777,16.1,47.8,4.8,261.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1778,23.3,23.4,2.1,219.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1779,13.8,72.9,6.2,451.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1780,35.8,72.3,4.4,435.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1781,41.9,28.9,1.1,220.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1782,9.0,74.9,5.8,336.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1783,12.7,38.2,3.7,181.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1784,29.7,54.5,3.8,477.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1785,23.1,68.0,5.0,170.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1786,8.8,81.7,6.9,427.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1787,27.0,33.1,2.2,269.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1788,31.8,74.2,5.5,268.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1789,33.5,38.6,2.2,356.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1790,35.3,54.9,3.8,190.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1791,32.8,18.4,1.0,384.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1792,40.2,87.1,5.3,285.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1793,34.3,74.8,5.5,474.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1794,24.9,15.3,1.6,439.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1795,24.7,64.2,5.1,360.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1796,7.1,17.4,2.8,395.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1797,14.3,41.4,3.6,376.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1798,25.1,88.1,6.2,417.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1799,19.8,68.0,4.9,463.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1800,23.6,43.4,3.1,337.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1801,23.8,49.3,3.5,224.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1802,38.3,61.9,4.0,274.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1803,34.4,30.8,2.1,296.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1804,32.9,92.0,5.6,404.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1805,41.5,81.9,5.3,151.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1806,3.8,66.6,6.1,381.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1807,37.1,43.4,3.0,251.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1808,35.9,76.2,4.4,224.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1809,29.1,45.8,3.1,319.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1810,13.1,45.0,4.4,371.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1811,37.8,33.3,2.0,269.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1812,14.0,73.4,5.7,316.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1813,15.5,62.9,4.8,311.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1814,31.3,26.7,1.7,333.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1815,36.0,51.3,3.6,206.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1816,21.6,65.5,5.5,278.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1817,14.7,83.6,7.2,375.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1818,26.2,33.7,2.5,389.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1819,30.1,87.5,5.8,137.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1820,28.2,58.0,4.2,201.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1821,40.0,33.2,2.0,317.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1822,26.0,79.5,6.0,447.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1823,28.2,44.4,3.0,439.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1824,15.8,19.1,2.3,164.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1825,28.2,84.5,5.8,259.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1826,9.7,16.5,2.6,194.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1827,18.1,62.1,5.1,145.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1828,34.6,80.7,5.6,384.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1829,22.7,43.2,3.5,268.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1830,22.9,57.5,4.5,329.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1831,40.0,21.0,1.0,402.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1832,17.7,56.3,4.5,227.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1833,33.5,88.6,6.4,140.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1834,20.4,17.3,1.6,272.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1835,23.4,81.7,6.0,211.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1836,41.0,32.7,1.4,340.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1837,11.4,90.0,6.9,328.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1838,23.6,81.9,5.8,294.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1839,12.4,60.5,5.4,374.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1840,27.3,43.5,3.3,277.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1841,18.8,18.3,2.4,200.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1842,3.5,72.7,6.7,189.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1843,30.0,67.0,4.3,223.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1844,40.7,54.6,3.1,396.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1845,13.8,55.7,5.2,143.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1846,10.7,48.5,4.6,224.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1847,32.9,92.8,6.2,321.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1848,37.1,38.1,1.5,370.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1849,38.6,23.8,1.1,223.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1850,14.3,81.5,6.9,121.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1851,14.2,49.2,4.4,460.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1852,29.5,20.4,1.3,142.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1853,28.2,63.6,4.1,374.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1854,4.0,92.1,7.4,380.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1855,33.9,64.2,4.2,249.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1856,10.2,49.1,4.5,206.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1857,28.0,64.8,4.2,441.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1858,16.5,70.1,6.0,295.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1859,5.7,61.3,5.6,189.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1860,41.2,86.5,5.4,416.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1861,18.5,35.7,3.4,156.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1862,3.9,69.4,6.3,462.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1863,39.8,58.2,3.7,216.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1864,41.6,87.8,4.9,387.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1865,4.3,57.0,5.4,475.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1866,35.6,57.4,3.6,345.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1867,20.1,69.8,5.4,459.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1868,13.2,80.7,6.8,420.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1869,35.6,61.8,4.0,344.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1870,26.1,50.9,3.4,264.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1871,39.2,46.3,2.4,279.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1872,18.9,65.6,5.4,328.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1873,32.0,30.9,2.1,214.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1874,5.4,45.8,4.1,425.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1875,7.4,15.8,3.2,186.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1876,9.9,43.0,3.2,355.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1877,29.3,46.9,2.7,459.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1878,35.9,67.6,4.3,128.5,Optimal Rock Crawl / Grass-Gravel Grip
