Swap_Session_ID,Chassis_Alignment_Error_mm,Bayonet_Lock_Torque_Nm,Total_Swap_Duration_s,Dielectric_Safety_Score,Swap_Quality_Status
NIO-SWAP4-1623,0.16,78.2,169,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1624,0.84,77.2,180,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1625,0.26,72.3,179,99.95,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1626,0.43,82.8,172,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1627,0.05,78.4,156,99.95,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1628,0.1,77.7,159,99.45,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1629,0.74,72.7,172,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1630,0.66,74.8,176,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1631,0.15,74.6,164,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1632,0.7,75.3,164,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1633,0.14,72.9,159,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1634,0.15,70.7,154,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1635,0.26,76.6,166,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1636,0.06,81.3,161,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1637,0.05,74.1,157,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1638,0.45,68.6,172,99.45,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1639,0.16,72.3,167,99.9,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1640,0.84,77.3,173,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1641,0.05,74.7,167,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1642,0.2,78.8,166,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1643,1.5,85.3,187,99.23,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1644,0.25,75.2,157,99.75,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1645,0.05,78.6,155,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1646,0.88,82.6,181,99.81,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1647,0.15,71.1,167,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1648,0.46,73.7,180,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1649,0.35,73.5,178,99.23,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1650,0.39,75.5,158,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1651,1.57,71.1,185,100.0,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1652,1.16,72.6,176,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1653,0.05,75.8,157,99.63,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1654,0.08,77.5,154,99.62,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1655,0.26,75.6,168,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1656,0.41,80.4,173,99.6,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1657,1.37,77.0,183,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1658,0.27,72.3,166,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1659,0.08,74.5,168,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1660,0.16,79.1,167,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1661,2.48,70.6,206,99.87,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1662,0.64,70.6,169,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1663,0.59,73.5,177,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1664,1.13,77.2,180,99.92,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1665,0.09,73.3,162,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1666,0.05,73.6,150,99.5,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1667,0.41,74.3,163,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1668,0.19,75.1,159,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1669,0.19,80.8,173,99.6,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1670,0.49,71.6,166,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1671,0.16,80.6,161,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1672,0.3,73.5,169,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1673,0.09,74.0,155,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1674,0.05,72.7,166,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1675,0.2,77.5,163,99.68,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1676,0.08,75.5,163,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1677,0.1,72.6,162,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1678,0.26,72.2,164,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1679,0.07,72.3,159,99.65,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1680,0.7,72.3,169,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1681,0.72,68.5,179,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1682,0.33,74.5,158,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1683,0.98,78.3,170,99.92,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1684,0.72,82.2,176,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1685,1.18,70.2,182,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1686,0.9,69.6,187,99.64,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1687,0.81,66.6,171,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1688,0.3,81.5,170,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1689,0.34,74.9,172,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1690,0.26,80.6,158,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1691,0.8,75.5,177,99.5,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1692,1.49,72.7,193,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1693,0.06,76.3,165,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1694,1.65,73.3,191,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1695,0.6,80.0,180,99.68,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1696,0.08,73.9,157,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1697,0.06,77.1,155,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1698,0.09,76.0,163,99.9,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1699,1.09,76.6,179,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1700,1.08,73.7,181,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1701,0.59,77.9,163,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1702,0.33,77.6,172,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1703,0.71,76.1,176,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1704,1.66,74.2,200,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1705,0.11,79.0,167,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1706,0.09,80.4,169,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1707,0.77,76.5,179,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1708,0.6,72.1,177,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1709,0.25,76.6,165,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1710,0.4,75.7,163,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1711,0.06,74.9,150,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1712,0.28,71.4,171,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1713,1.12,78.2,188,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1714,0.49,77.1,174,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1715,1.05,66.9,165,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1716,0.05,74.8,160,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1717,1.2,71.4,174,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1718,3.18,75.9,222,99.67,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1719,0.26,77.6,171,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1720,1.51,73.0,184,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1721,0.19,75.5,164,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1722,0.05,69.2,163,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1723,0.24,76.4,171,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1724,0.39,72.1,164,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1725,0.79,81.9,176,99.84,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1726,0.05,78.0,154,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1727,0.14,72.9,164,99.47,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1728,0.05,78.8,165,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1729,0.06,76.0,155,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1730,0.3,73.4,170,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1731,0.21,74.7,169,99.63,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1732,1.62,76.4,189,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1733,1.51,81.7,199,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1734,0.05,74.3,153,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1735,0.49,69.9,159,99.35,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1736,0.47,75.8,166,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1737,0.66,70.9,184,99.91,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1738,0.05,72.4,161,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1739,0.6,73.2,162,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1740,1.42,75.1,197,99.84,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1741,0.41,76.8,172,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1742,0.51,79.0,172,99.3,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1743,0.15,76.4,162,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1744,0.57,68.6,171,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1745,1.02,69.6,172,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1746,0.18,82.6,176,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1747,0.24,78.6,157,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1748,0.54,74.8,169,100.0,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1749,0.13,74.6,159,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1750,0.66,77.4,177,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1751,1.22,73.2,182,99.68,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1752,0.35,74.9,174,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1753,0.47,79.5,170,99.29,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1754,2.52,71.8,215,99.97,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1755,0.69,70.6,182,99.65,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1756,0.05,76.7,161,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1757,0.2,69.5,163,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1758,0.07,80.0,166,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1759,0.09,78.0,161,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1760,0.21,75.6,160,99.95,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1761,0.24,70.8,152,99.38,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1762,0.13,67.8,160,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1763,0.39,71.6,161,100.0,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1764,0.24,77.8,161,99.47,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1765,0.12,78.1,172,99.66,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1766,0.07,79.4,150,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1767,0.68,72.2,176,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1768,1.91,75.1,198,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1769,1.37,73.9,191,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1770,0.28,76.1,165,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1771,0.13,76.0,174,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1772,1.11,73.6,165,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1773,0.83,77.3,184,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1774,0.55,73.6,163,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1775,0.3,72.0,171,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1776,0.82,79.7,174,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1777,0.25,74.6,171,99.63,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1778,0.05,73.7,164,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1779,0.64,75.9,180,99.83,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1780,0.69,75.7,174,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1781,0.34,75.2,162,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1782,1.21,67.2,193,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1783,0.44,69.0,167,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1784,1.43,75.9,193,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1785,0.05,70.6,161,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1786,0.15,85.1,166,99.94,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1787,0.39,69.3,168,99.74,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1788,0.23,77.8,171,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1789,1.31,74.5,171,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1790,0.56,78.1,166,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1791,0.05,70.7,166,99.64,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1792,0.08,70.9,167,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1793,0.19,79.5,160,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1794,0.11,76.5,167,99.94,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1795,0.43,72.8,170,99.29,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1796,1.0,76.7,173,99.5,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1797,0.57,85.5,172,100.0,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1798,2.26,72.5,208,99.25,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1799,2.51,78.4,207,99.43,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1800,0.39,70.5,172,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1801,0.05,72.7,163,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1802,0.74,80.8,172,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1803,0.73,77.9,172,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1804,0.13,81.0,171,100.0,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1805,0.24,77.4,167,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1806,0.1,77.7,164,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1807,0.63,73.5,168,99.2,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1808,0.22,75.0,155,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1809,0.63,71.2,170,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1810,0.42,74.1,170,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1811,0.52,72.3,172,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1812,0.08,72.6,161,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1813,0.5,76.7,173,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1814,0.66,77.5,158,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1815,0.39,72.1,162,99.4,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1816,1.63,74.0,189,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1817,0.2,78.4,167,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1818,0.36,75.2,160,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1819,0.59,77.4,162,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1820,1.98,77.2,199,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1821,0.52,74.7,168,99.85,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1822,0.11,74.2,168,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1823,1.0,77.6,177,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1824,0.31,71.4,165,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1825,0.7,83.6,166,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1826,0.09,74.8,166,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1827,1.07,73.5,176,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1828,0.05,73.8,155,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1829,0.27,73.3,158,99.6,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1830,1.06,72.7,170,99.72,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1831,1.32,74.3,190,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1832,1.21,73.9,175,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1833,0.15,72.1,161,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1834,0.21,72.1,160,99.65,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1835,0.62,76.2,169,99.38,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1836,2.9,72.9,215,99.47,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1837,1.47,75.5,187,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1838,0.05,72.9,160,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1839,0.05,71.9,162,99.64,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1840,0.49,70.9,163,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1841,0.07,72.7,148,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1842,1.92,75.4,197,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1843,1.16,71.5,177,99.65,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1844,1.56,79.2,194,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1845,0.8,71.0,164,99.68,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1846,0.82,75.3,167,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1847,0.71,76.1,178,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1848,0.38,76.1,162,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1849,2.24,75.8,205,99.25,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1850,0.1,73.7,171,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1851,1.48,74.9,187,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1852,0.33,78.4,175,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1853,0.76,74.1,173,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1854,0.37,78.2,160,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1855,0.36,82.9,164,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1856,0.39,77.8,161,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1857,0.17,78.9,156,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1858,0.54,76.0,164,99.45,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1859,0.9,73.0,183,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1860,0.3,79.6,162,99.4,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1861,3.07,76.6,215,99.28,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1862,0.26,79.7,162,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1863,0.79,78.3,184,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1864,0.83,72.6,168,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1865,2.21,68.3,200,99.58,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1866,0.4,76.5,171,99.85,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1867,0.26,79.5,168,99.79,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1868,0.24,75.3,158,99.47,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1869,0.08,77.6,157,99.27,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1870,0.09,71.4,159,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1871,0.3,75.2,170,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1872,0.2,73.0,155,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1873,0.51,78.3,163,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1874,0.52,76.5,169,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1875,0.73,74.1,179,99.94,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1876,1.49,80.5,184,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1877,0.46,71.1,168,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1878,0.4,80.9,174,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1879,0.16,77.7,162,99.2,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1880,0.1,75.6,164,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1881,1.34,75.4,186,99.92,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1882,0.05,71.6,164,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1883,0.35,79.9,163,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1884,0.28,75.4,156,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1885,0.09,78.1,169,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1886,0.05,74.2,164,99.2,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1887,1.61,70.3,188,99.75,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1888,0.27,76.9,175,99.83,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1889,1.45,79.3,188,99.3,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1890,0.21,71.4,163,99.78,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1891,0.48,77.3,178,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1892,0.89,78.7,181,99.65,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1893,1.49,80.2,195,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1894,0.05,71.4,164,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1895,0.05,73.1,157,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1896,0.66,73.7,176,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1897,0.41,68.4,154,99.37,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1898,0.3,71.1,168,99.3,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1899,1.07,83.3,181,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1900,0.64,76.5,184,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1901,0.05,73.0,158,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1902,0.11,73.5,168,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1903,0.11,71.3,165,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1904,0.12,71.3,165,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1905,1.9,76.5,201,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1906,0.88,79.0,170,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1907,0.15,80.1,161,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1908,0.33,73.5,156,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1909,0.52,75.8,177,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1910,0.06,75.6,165,99.62,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1911,1.57,70.6,186,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1912,0.1,77.5,163,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1913,0.36,71.3,161,99.79,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1914,0.69,74.8,173,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1915,0.4,78.2,175,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1916,0.21,77.3,161,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1917,0.2,75.2,172,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1918,0.1,70.3,160,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1919,0.19,80.8,157,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1920,0.05,73.3,156,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1921,0.34,67.2,163,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1922,0.07,77.8,161,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1923,0.05,73.5,173,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1924,1.76,75.2,195,99.81,Sub-3-Minute Automated Swap Completed
