Lap_Telemetry_ID,Apex_Speed_kmh,Battery_State_of_Charge_pct,Battery_Core_Temp_C,Electric_MGU_K_Boost_kW,Sector_Time_Gain_s,Hybrid_Strategy
FERRARI-SF90-1643,162.5,90.9,53.3,146.2,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1644,82.3,94.9,59.1,152.4,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1645,78.6,43.8,45.3,81.5,0.27,Regenerative Harvesting Active
FERRARI-SF90-1646,164.9,53.8,44.1,101.1,0.27,Regenerative Harvesting Active
FERRARI-SF90-1647,127.0,41.4,40.4,90.0,0.32,Regenerative Harvesting Active
FERRARI-SF90-1648,174.2,91.3,61.0,135.9,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1649,79.5,26.0,38.6,45.4,0.1,Regenerative Harvesting Active
FERRARI-SF90-1650,82.0,39.0,42.2,82.6,0.28,Regenerative Harvesting Active
FERRARI-SF90-1651,78.0,61.8,49.8,101.6,0.32,Regenerative Harvesting Active
FERRARI-SF90-1652,93.3,66.4,47.2,128.5,0.43,Regenerative Harvesting Active
FERRARI-SF90-1653,167.6,80.3,51.3,130.8,0.44,Regenerative Harvesting Active
FERRARI-SF90-1654,113.5,41.3,45.8,77.4,0.28,Regenerative Harvesting Active
FERRARI-SF90-1655,115.6,57.2,48.6,103.7,0.4,Regenerative Harvesting Active
FERRARI-SF90-1656,92.0,93.1,56.9,140.5,0.52,Full 160kW Qualify Boost
FERRARI-SF90-1657,152.4,61.7,54.5,93.0,0.32,Regenerative Harvesting Active
FERRARI-SF90-1658,129.6,92.6,56.5,152.6,0.52,Full 160kW Qualify Boost
FERRARI-SF90-1659,133.8,65.6,49.4,111.4,0.32,Regenerative Harvesting Active
FERRARI-SF90-1660,120.0,83.0,53.4,133.9,0.52,Regenerative Harvesting Active
FERRARI-SF90-1661,93.1,42.4,45.5,70.4,0.19,Regenerative Harvesting Active
FERRARI-SF90-1662,91.7,67.5,53.5,108.0,0.34,Regenerative Harvesting Active
FERRARI-SF90-1663,137.8,74.7,48.7,135.1,0.39,Full 160kW Qualify Boost
FERRARI-SF90-1664,86.3,70.2,51.7,124.2,0.43,Regenerative Harvesting Active
FERRARI-SF90-1665,70.8,30.9,41.1,63.4,0.13,Regenerative Harvesting Active
FERRARI-SF90-1666,97.1,68.0,51.3,104.1,0.33,Regenerative Harvesting Active
FERRARI-SF90-1667,172.8,58.8,49.3,109.5,0.37,Regenerative Harvesting Active
FERRARI-SF90-1668,106.5,25.2,44.0,50.9,0.16,Regenerative Harvesting Active
FERRARI-SF90-1669,131.2,91.2,56.0,145.4,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1670,79.1,82.0,57.2,117.4,0.35,Regenerative Harvesting Active
FERRARI-SF90-1671,99.0,94.3,55.6,162.0,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1672,126.5,38.2,38.8,96.7,0.43,Regenerative Harvesting Active
FERRARI-SF90-1673,166.5,42.0,41.6,98.3,0.32,Regenerative Harvesting Active
FERRARI-SF90-1674,110.0,86.4,54.5,142.6,0.52,Full 160kW Qualify Boost
FERRARI-SF90-1675,165.1,32.7,43.3,50.8,0.19,Regenerative Harvesting Active
FERRARI-SF90-1676,106.7,90.8,57.4,133.8,0.44,Regenerative Harvesting Active
FERRARI-SF90-1677,97.5,47.0,42.2,90.3,0.3,Regenerative Harvesting Active
FERRARI-SF90-1678,175.9,59.4,46.1,117.5,0.38,Regenerative Harvesting Active
FERRARI-SF90-1679,120.7,66.7,48.6,113.6,0.41,Regenerative Harvesting Active
FERRARI-SF90-1680,153.6,45.7,45.0,104.8,0.39,Regenerative Harvesting Active
FERRARI-SF90-1681,121.6,83.3,59.8,110.9,0.39,Regenerative Harvesting Active
FERRARI-SF90-1682,157.3,90.3,51.0,143.4,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1683,85.9,76.1,54.7,116.5,0.36,Regenerative Harvesting Active
FERRARI-SF90-1684,139.8,34.2,41.6,75.3,0.16,Regenerative Harvesting Active
FERRARI-SF90-1685,133.2,28.5,39.0,62.7,0.13,Regenerative Harvesting Active
FERRARI-SF90-1686,152.7,29.9,40.2,74.1,0.22,Regenerative Harvesting Active
FERRARI-SF90-1687,160.0,82.8,56.3,128.6,0.44,Regenerative Harvesting Active
FERRARI-SF90-1688,155.7,63.7,49.4,106.1,0.33,Regenerative Harvesting Active
FERRARI-SF90-1689,98.9,61.8,48.8,100.0,0.31,Regenerative Harvesting Active
FERRARI-SF90-1690,109.5,37.4,45.8,78.0,0.29,Regenerative Harvesting Active
FERRARI-SF90-1691,103.9,43.8,43.8,80.3,0.26,Regenerative Harvesting Active
FERRARI-SF90-1692,110.5,51.0,49.6,84.2,0.29,Regenerative Harvesting Active
FERRARI-SF90-1693,148.4,89.9,58.0,146.1,0.57,Full 160kW Qualify Boost
FERRARI-SF90-1694,78.1,71.2,52.0,111.1,0.41,Regenerative Harvesting Active
FERRARI-SF90-1695,127.4,37.5,41.9,76.6,0.24,Regenerative Harvesting Active
FERRARI-SF90-1696,98.7,60.6,52.6,102.2,0.35,Regenerative Harvesting Active
FERRARI-SF90-1697,75.5,92.7,60.2,156.1,0.57,Full 160kW Qualify Boost
FERRARI-SF90-1698,91.1,37.2,42.1,64.7,0.28,Regenerative Harvesting Active
FERRARI-SF90-1699,96.1,94.2,53.7,162.0,0.56,Full 160kW Qualify Boost
FERRARI-SF90-1700,166.3,36.5,43.0,76.2,0.27,Regenerative Harvesting Active
FERRARI-SF90-1701,125.0,29.8,45.0,64.0,0.23,Regenerative Harvesting Active
FERRARI-SF90-1702,87.0,47.0,43.6,96.9,0.33,Regenerative Harvesting Active
FERRARI-SF90-1703,166.9,71.2,49.7,129.0,0.53,Regenerative Harvesting Active
FERRARI-SF90-1704,162.5,90.1,57.3,145.9,0.45,Full 160kW Qualify Boost
FERRARI-SF90-1705,133.5,30.1,40.8,70.9,0.23,Regenerative Harvesting Active
FERRARI-SF90-1706,135.3,80.9,56.0,120.6,0.41,Regenerative Harvesting Active
FERRARI-SF90-1707,133.4,92.5,54.2,157.7,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1708,72.5,52.7,47.4,102.1,0.31,Regenerative Harvesting Active
FERRARI-SF90-1709,147.1,94.7,54.8,151.3,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1710,160.0,81.3,56.0,133.2,0.44,Regenerative Harvesting Active
FERRARI-SF90-1711,175.2,70.2,49.5,124.9,0.34,Regenerative Harvesting Active
FERRARI-SF90-1712,108.5,89.9,51.5,149.2,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1713,104.1,91.7,59.5,140.1,0.46,Full 160kW Qualify Boost
FERRARI-SF90-1714,88.6,41.5,44.3,86.2,0.28,Regenerative Harvesting Active
FERRARI-SF90-1715,113.6,82.2,60.2,120.0,0.42,Regenerative Harvesting Active
FERRARI-SF90-1716,128.0,69.3,54.0,110.6,0.36,Regenerative Harvesting Active
FERRARI-SF90-1717,85.8,91.9,59.0,144.2,0.49,Full 160kW Qualify Boost
FERRARI-SF90-1718,110.8,34.2,40.6,84.6,0.28,Regenerative Harvesting Active
FERRARI-SF90-1719,85.1,28.8,38.3,58.4,0.15,Regenerative Harvesting Active
FERRARI-SF90-1720,87.9,54.1,47.9,98.8,0.34,Regenerative Harvesting Active
FERRARI-SF90-1721,138.7,49.0,46.5,92.3,0.31,Regenerative Harvesting Active
FERRARI-SF90-1722,84.3,79.3,58.1,115.2,0.39,Regenerative Harvesting Active
FERRARI-SF90-1723,71.6,69.5,54.3,111.5,0.37,Regenerative Harvesting Active
FERRARI-SF90-1724,139.2,93.9,56.5,144.3,0.37,Full 160kW Qualify Boost
FERRARI-SF90-1725,113.7,50.0,50.3,79.1,0.28,Regenerative Harvesting Active
FERRARI-SF90-1726,169.3,63.7,52.1,94.1,0.33,Regenerative Harvesting Active
FERRARI-SF90-1727,89.5,50.8,45.3,97.8,0.38,Regenerative Harvesting Active
FERRARI-SF90-1728,82.2,54.8,47.3,100.7,0.38,Regenerative Harvesting Active
FERRARI-SF90-1729,101.1,43.5,46.2,79.4,0.23,Regenerative Harvesting Active
FERRARI-SF90-1730,88.0,80.8,55.0,145.4,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1731,138.7,63.9,52.0,94.3,0.3,Regenerative Harvesting Active
FERRARI-SF90-1732,103.4,59.6,49.0,100.5,0.31,Regenerative Harvesting Active
FERRARI-SF90-1733,150.9,88.3,57.2,128.1,0.51,Regenerative Harvesting Active
FERRARI-SF90-1734,151.2,88.5,55.8,139.5,0.45,Full 160kW Qualify Boost
FERRARI-SF90-1735,117.3,54.3,43.7,97.6,0.35,Regenerative Harvesting Active
FERRARI-SF90-1736,134.0,30.0,39.0,62.5,0.23,Regenerative Harvesting Active
FERRARI-SF90-1737,170.6,39.1,39.8,86.2,0.26,Regenerative Harvesting Active
FERRARI-SF90-1738,108.4,64.2,51.6,102.7,0.34,Regenerative Harvesting Active
FERRARI-SF90-1739,176.3,33.5,40.8,46.6,0.17,Regenerative Harvesting Active
FERRARI-SF90-1740,136.6,67.8,51.4,106.2,0.29,Regenerative Harvesting Active
FERRARI-SF90-1741,111.6,94.8,55.9,155.6,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1742,115.5,46.1,47.1,69.9,0.29,Regenerative Harvesting Active
FERRARI-SF90-1743,138.0,25.7,38.6,55.3,0.2,Regenerative Harvesting Active
FERRARI-SF90-1744,145.0,81.2,51.9,152.6,0.56,Full 160kW Qualify Boost
FERRARI-SF90-1745,93.5,32.3,39.2,63.3,0.23,Regenerative Harvesting Active
FERRARI-SF90-1746,92.8,76.6,50.2,126.1,0.45,Regenerative Harvesting Active
FERRARI-SF90-1747,71.3,55.1,46.9,104.4,0.32,Regenerative Harvesting Active
FERRARI-SF90-1748,172.0,65.9,51.1,95.6,0.29,Regenerative Harvesting Active
FERRARI-SF90-1749,169.8,56.1,45.9,101.5,0.43,Regenerative Harvesting Active
FERRARI-SF90-1750,94.8,69.4,49.6,120.7,0.42,Regenerative Harvesting Active
FERRARI-SF90-1751,141.9,46.2,43.4,88.3,0.32,Regenerative Harvesting Active
FERRARI-SF90-1752,166.9,91.1,61.9,117.9,0.4,Regenerative Harvesting Active
FERRARI-SF90-1753,151.9,57.3,49.8,105.2,0.34,Regenerative Harvesting Active
FERRARI-SF90-1754,178.7,94.1,60.7,130.0,0.46,Regenerative Harvesting Active
FERRARI-SF90-1755,128.7,79.4,56.7,102.7,0.39,Regenerative Harvesting Active
FERRARI-SF90-1756,125.3,84.7,51.3,145.9,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1757,160.6,84.7,55.2,130.1,0.47,Regenerative Harvesting Active
FERRARI-SF90-1758,78.6,91.7,58.8,146.5,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1759,143.2,61.3,44.8,112.6,0.37,Regenerative Harvesting Active
FERRARI-SF90-1760,85.0,68.5,53.0,106.0,0.36,Regenerative Harvesting Active
FERRARI-SF90-1761,107.6,74.1,48.7,118.7,0.37,Regenerative Harvesting Active
FERRARI-SF90-1762,92.9,87.9,56.2,138.0,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1763,133.7,77.6,51.7,116.9,0.42,Regenerative Harvesting Active
FERRARI-SF90-1764,120.1,26.2,41.6,56.7,0.12,Regenerative Harvesting Active
FERRARI-SF90-1765,139.5,88.5,56.7,135.0,0.49,Full 160kW Qualify Boost
FERRARI-SF90-1766,161.6,42.7,45.3,85.0,0.31,Regenerative Harvesting Active
FERRARI-SF90-1767,124.1,32.7,35.5,86.2,0.35,Regenerative Harvesting Active
FERRARI-SF90-1768,178.3,65.5,47.9,118.9,0.41,Regenerative Harvesting Active
FERRARI-SF90-1769,155.4,54.4,46.4,91.3,0.37,Regenerative Harvesting Active
FERRARI-SF90-1770,146.9,75.6,51.0,125.0,0.38,Regenerative Harvesting Active
FERRARI-SF90-1771,130.2,51.8,45.4,86.6,0.26,Regenerative Harvesting Active
FERRARI-SF90-1772,85.5,63.0,54.0,92.5,0.23,Regenerative Harvesting Active
FERRARI-SF90-1773,72.9,47.9,41.5,91.6,0.27,Regenerative Harvesting Active
FERRARI-SF90-1774,75.5,93.3,58.4,138.5,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1775,81.4,60.5,49.3,104.8,0.36,Regenerative Harvesting Active
FERRARI-SF90-1776,138.7,87.0,52.2,150.4,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1777,145.8,30.6,41.5,59.4,0.24,Regenerative Harvesting Active
FERRARI-SF90-1778,107.5,35.2,41.3,69.7,0.2,Regenerative Harvesting Active
FERRARI-SF90-1779,86.7,29.4,44.1,64.6,0.2,Regenerative Harvesting Active
FERRARI-SF90-1780,174.2,91.6,54.4,141.3,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1781,141.1,87.8,56.6,129.9,0.49,Regenerative Harvesting Active
FERRARI-SF90-1782,142.7,56.6,45.3,100.2,0.35,Regenerative Harvesting Active
FERRARI-SF90-1783,170.4,51.0,45.8,98.0,0.36,Regenerative Harvesting Active
FERRARI-SF90-1784,170.0,39.3,39.1,91.3,0.29,Regenerative Harvesting Active
FERRARI-SF90-1785,79.2,50.0,47.4,85.4,0.31,Regenerative Harvesting Active
FERRARI-SF90-1786,157.1,64.0,45.2,99.2,0.36,Regenerative Harvesting Active
FERRARI-SF90-1787,123.2,33.1,40.5,72.9,0.3,Regenerative Harvesting Active
FERRARI-SF90-1788,172.9,32.0,46.9,56.2,0.2,Regenerative Harvesting Active
FERRARI-SF90-1789,154.2,94.4,58.6,147.8,0.6,Full 160kW Qualify Boost
FERRARI-SF90-1790,175.6,31.3,38.5,73.2,0.22,Regenerative Harvesting Active
FERRARI-SF90-1791,87.2,91.5,61.8,136.0,0.46,Full 160kW Qualify Boost
FERRARI-SF90-1792,90.4,25.2,35.9,72.1,0.26,Regenerative Harvesting Active
FERRARI-SF90-1793,102.7,57.7,44.5,116.2,0.38,Regenerative Harvesting Active
FERRARI-SF90-1794,125.9,94.2,59.4,141.1,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1795,147.8,68.8,45.7,119.7,0.46,Regenerative Harvesting Active
FERRARI-SF90-1796,101.3,81.2,52.6,137.1,0.58,Full 160kW Qualify Boost
FERRARI-SF90-1797,123.8,48.7,44.8,81.0,0.31,Regenerative Harvesting Active
FERRARI-SF90-1798,86.6,71.9,52.1,122.9,0.35,Regenerative Harvesting Active
FERRARI-SF90-1799,175.4,47.0,49.0,83.9,0.32,Regenerative Harvesting Active
FERRARI-SF90-1800,132.8,25.8,35.4,71.2,0.28,Regenerative Harvesting Active
FERRARI-SF90-1801,136.6,70.1,51.6,126.6,0.44,Regenerative Harvesting Active
FERRARI-SF90-1802,109.2,41.4,42.8,66.9,0.23,Regenerative Harvesting Active
FERRARI-SF90-1803,156.0,44.0,43.2,80.0,0.29,Regenerative Harvesting Active
FERRARI-SF90-1804,146.2,88.0,58.6,126.8,0.4,Regenerative Harvesting Active
FERRARI-SF90-1805,164.6,38.4,40.8,83.8,0.33,Regenerative Harvesting Active
FERRARI-SF90-1806,88.4,26.5,38.7,56.9,0.23,Regenerative Harvesting Active
FERRARI-SF90-1807,160.0,47.4,47.3,81.7,0.38,Regenerative Harvesting Active
FERRARI-SF90-1808,157.0,63.1,47.1,110.5,0.37,Regenerative Harvesting Active
FERRARI-SF90-1809,120.4,75.4,53.2,142.4,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1810,116.8,71.7,49.9,117.3,0.45,Regenerative Harvesting Active
FERRARI-SF90-1811,128.3,46.3,45.5,83.6,0.25,Regenerative Harvesting Active
FERRARI-SF90-1812,78.2,59.0,49.5,110.7,0.41,Regenerative Harvesting Active
FERRARI-SF90-1813,77.0,38.5,46.6,60.7,0.18,Regenerative Harvesting Active
FERRARI-SF90-1814,125.2,66.1,53.2,109.5,0.4,Regenerative Harvesting Active
FERRARI-SF90-1815,119.3,50.5,43.7,91.7,0.32,Regenerative Harvesting Active
FERRARI-SF90-1816,102.5,71.5,50.2,106.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1817,137.7,53.0,46.3,100.9,0.38,Regenerative Harvesting Active
FERRARI-SF90-1818,150.1,81.1,54.3,133.2,0.47,Regenerative Harvesting Active
FERRARI-SF90-1819,125.0,65.9,55.9,98.0,0.35,Regenerative Harvesting Active
FERRARI-SF90-1820,128.5,69.6,46.2,107.3,0.42,Regenerative Harvesting Active
FERRARI-SF90-1821,107.7,86.4,59.4,128.2,0.48,Regenerative Harvesting Active
FERRARI-SF90-1822,173.2,76.3,54.5,134.9,0.45,Regenerative Harvesting Active
FERRARI-SF90-1823,74.6,67.0,52.8,123.2,0.43,Regenerative Harvesting Active
FERRARI-SF90-1824,114.5,91.9,57.4,140.6,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1825,162.9,82.3,55.8,132.3,0.45,Regenerative Harvesting Active
FERRARI-SF90-1826,77.0,36.3,47.2,71.7,0.11,Regenerative Harvesting Active
FERRARI-SF90-1827,74.6,67.2,50.9,106.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1828,148.5,89.6,53.0,143.3,0.43,Full 160kW Qualify Boost
FERRARI-SF90-1829,96.7,45.2,42.2,75.9,0.26,Regenerative Harvesting Active
FERRARI-SF90-1830,146.1,36.0,42.4,67.9,0.17,Regenerative Harvesting Active
FERRARI-SF90-1831,103.0,31.4,37.6,68.7,0.23,Regenerative Harvesting Active
FERRARI-SF90-1832,152.0,89.4,55.5,138.2,0.46,Full 160kW Qualify Boost
FERRARI-SF90-1833,123.6,55.5,48.5,97.5,0.36,Regenerative Harvesting Active
FERRARI-SF90-1834,138.1,90.3,61.5,134.3,0.5,Regenerative Harvesting Active
FERRARI-SF90-1835,168.9,84.0,49.5,136.5,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1836,88.3,76.6,49.0,131.6,0.41,Regenerative Harvesting Active
FERRARI-SF90-1837,83.4,94.4,55.7,153.5,0.49,Full 160kW Qualify Boost
FERRARI-SF90-1838,120.5,77.7,54.6,118.6,0.43,Regenerative Harvesting Active
FERRARI-SF90-1839,127.7,94.9,57.7,145.8,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1840,100.0,48.7,43.4,88.9,0.32,Regenerative Harvesting Active
FERRARI-SF90-1841,85.7,42.8,42.3,78.5,0.25,Regenerative Harvesting Active
FERRARI-SF90-1842,143.3,40.8,41.9,83.0,0.31,Regenerative Harvesting Active
FERRARI-SF90-1843,145.6,49.0,42.3,97.0,0.25,Regenerative Harvesting Active
FERRARI-SF90-1844,78.0,60.0,46.1,107.9,0.38,Regenerative Harvesting Active
FERRARI-SF90-1845,73.6,91.4,61.0,141.5,0.49,Full 160kW Qualify Boost
FERRARI-SF90-1846,119.2,27.1,41.7,61.7,0.2,Regenerative Harvesting Active
FERRARI-SF90-1847,173.7,45.9,45.7,80.5,0.3,Regenerative Harvesting Active
FERRARI-SF90-1848,109.6,52.6,47.6,88.5,0.31,Regenerative Harvesting Active
FERRARI-SF90-1849,121.7,86.0,60.4,122.1,0.42,Regenerative Harvesting Active
FERRARI-SF90-1850,120.0,61.8,50.6,98.6,0.34,Regenerative Harvesting Active
FERRARI-SF90-1851,101.6,27.6,43.3,50.6,0.15,Regenerative Harvesting Active
FERRARI-SF90-1852,73.8,32.1,39.9,60.5,0.22,Regenerative Harvesting Active
FERRARI-SF90-1853,146.8,50.2,45.1,100.0,0.37,Regenerative Harvesting Active
FERRARI-SF90-1854,117.9,29.3,44.1,48.9,0.23,Regenerative Harvesting Active
FERRARI-SF90-1855,95.2,35.6,41.2,81.0,0.26,Regenerative Harvesting Active
FERRARI-SF90-1856,162.0,67.1,52.1,104.0,0.36,Regenerative Harvesting Active
FERRARI-SF90-1857,174.1,59.9,49.3,111.1,0.38,Regenerative Harvesting Active
FERRARI-SF90-1858,82.2,59.7,49.3,101.1,0.34,Regenerative Harvesting Active
FERRARI-SF90-1859,118.2,38.2,40.5,81.0,0.3,Regenerative Harvesting Active
FERRARI-SF90-1860,178.3,33.4,39.9,48.6,0.16,Regenerative Harvesting Active
FERRARI-SF90-1861,94.3,46.8,44.3,82.7,0.3,Regenerative Harvesting Active
FERRARI-SF90-1862,171.1,77.9,50.0,137.1,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1863,118.7,31.6,36.6,74.3,0.23,Regenerative Harvesting Active
FERRARI-SF90-1864,82.3,32.2,34.8,84.6,0.27,Regenerative Harvesting Active
FERRARI-SF90-1865,119.7,31.7,44.5,65.3,0.23,Regenerative Harvesting Active
FERRARI-SF90-1866,165.0,45.4,40.8,89.0,0.3,Regenerative Harvesting Active
FERRARI-SF90-1867,160.6,72.8,54.5,121.2,0.44,Regenerative Harvesting Active
FERRARI-SF90-1868,96.0,38.2,44.9,77.4,0.33,Regenerative Harvesting Active
FERRARI-SF90-1869,157.9,66.1,47.4,115.6,0.41,Regenerative Harvesting Active
FERRARI-SF90-1870,138.1,55.4,46.7,92.5,0.29,Regenerative Harvesting Active
FERRARI-SF90-1871,154.6,81.0,52.5,143.5,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1872,177.2,59.9,45.8,116.1,0.47,Regenerative Harvesting Active
FERRARI-SF90-1873,85.5,31.7,39.9,65.2,0.22,Regenerative Harvesting Active
FERRARI-SF90-1874,175.3,87.0,52.9,144.3,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1875,76.5,34.2,44.6,60.3,0.28,Regenerative Harvesting Active
FERRARI-SF90-1876,94.2,78.7,50.2,132.8,0.49,Regenerative Harvesting Active
FERRARI-SF90-1877,156.4,54.5,43.5,118.0,0.43,Regenerative Harvesting Active
FERRARI-SF90-1878,126.3,76.8,52.0,122.2,0.43,Regenerative Harvesting Active
FERRARI-SF90-1879,142.5,61.8,50.6,104.3,0.32,Regenerative Harvesting Active
FERRARI-SF90-1880,96.9,78.5,53.8,117.7,0.34,Regenerative Harvesting Active
FERRARI-SF90-1881,136.7,71.2,49.5,129.6,0.43,Regenerative Harvesting Active
FERRARI-SF90-1882,167.1,38.8,42.1,70.1,0.27,Regenerative Harvesting Active
FERRARI-SF90-1883,157.7,85.0,56.0,133.9,0.51,Regenerative Harvesting Active
FERRARI-SF90-1884,170.5,42.3,45.9,88.5,0.28,Regenerative Harvesting Active
FERRARI-SF90-1885,104.3,67.6,54.2,104.8,0.32,Regenerative Harvesting Active
FERRARI-SF90-1886,96.7,34.5,43.3,72.9,0.26,Regenerative Harvesting Active
FERRARI-SF90-1887,103.2,78.0,53.7,110.9,0.39,Regenerative Harvesting Active
FERRARI-SF90-1888,174.9,38.6,39.6,92.3,0.38,Regenerative Harvesting Active
FERRARI-SF90-1889,85.3,65.7,49.9,94.4,0.33,Regenerative Harvesting Active
FERRARI-SF90-1890,163.5,36.8,44.6,80.2,0.21,Regenerative Harvesting Active
FERRARI-SF90-1891,147.7,74.1,54.0,114.9,0.36,Regenerative Harvesting Active
FERRARI-SF90-1892,89.9,88.8,55.1,144.5,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1893,118.2,45.0,48.1,80.0,0.24,Regenerative Harvesting Active
FERRARI-SF90-1894,79.5,75.4,54.6,128.7,0.4,Regenerative Harvesting Active
FERRARI-SF90-1895,142.6,88.1,53.3,137.3,0.45,Full 160kW Qualify Boost
FERRARI-SF90-1896,77.6,30.5,38.1,76.0,0.32,Regenerative Harvesting Active
FERRARI-SF90-1897,82.0,47.1,42.8,80.1,0.19,Regenerative Harvesting Active
FERRARI-SF90-1898,169.0,75.4,47.6,126.4,0.41,Regenerative Harvesting Active
FERRARI-SF90-1899,149.4,42.2,39.5,87.0,0.25,Regenerative Harvesting Active
FERRARI-SF90-1900,128.4,34.3,43.4,65.2,0.15,Regenerative Harvesting Active
FERRARI-SF90-1901,130.7,25.4,36.8,42.9,0.09,Regenerative Harvesting Active
FERRARI-SF90-1902,94.5,75.1,48.8,136.7,0.52,Full 160kW Qualify Boost
FERRARI-SF90-1903,121.1,74.6,52.0,132.8,0.45,Regenerative Harvesting Active
FERRARI-SF90-1904,159.6,27.2,37.3,63.2,0.13,Regenerative Harvesting Active
FERRARI-SF90-1905,113.3,50.9,42.8,88.0,0.27,Regenerative Harvesting Active
FERRARI-SF90-1906,164.8,58.4,47.6,103.8,0.35,Regenerative Harvesting Active
FERRARI-SF90-1907,93.8,80.3,54.3,126.4,0.43,Regenerative Harvesting Active
FERRARI-SF90-1908,155.5,89.9,52.3,151.7,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1909,136.2,71.0,51.1,104.1,0.32,Regenerative Harvesting Active
FERRARI-SF90-1910,86.3,91.3,55.3,147.4,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1911,158.7,61.9,53.3,95.7,0.35,Regenerative Harvesting Active
FERRARI-SF90-1912,71.3,40.4,41.6,72.5,0.27,Regenerative Harvesting Active
FERRARI-SF90-1913,142.1,72.0,52.5,118.0,0.45,Regenerative Harvesting Active
FERRARI-SF90-1914,105.5,46.2,42.8,78.6,0.2,Regenerative Harvesting Active
FERRARI-SF90-1915,158.9,41.6,39.2,94.3,0.29,Regenerative Harvesting Active
FERRARI-SF90-1916,141.7,36.8,38.7,74.3,0.27,Regenerative Harvesting Active
FERRARI-SF90-1917,172.3,92.8,52.9,157.4,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1918,164.5,70.4,48.5,106.2,0.36,Regenerative Harvesting Active
FERRARI-SF90-1919,90.6,72.2,50.8,123.9,0.43,Regenerative Harvesting Active
FERRARI-SF90-1920,76.2,49.7,43.3,97.8,0.35,Regenerative Harvesting Active
FERRARI-SF90-1921,174.0,63.7,48.2,101.1,0.32,Regenerative Harvesting Active
FERRARI-SF90-1922,128.6,56.5,49.3,94.9,0.26,Regenerative Harvesting Active
FERRARI-SF90-1923,125.5,78.8,50.4,145.2,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1924,117.3,71.0,50.4,122.9,0.5,Regenerative Harvesting Active
FERRARI-SF90-1925,98.8,87.5,54.7,132.7,0.44,Regenerative Harvesting Active
FERRARI-SF90-1926,151.5,34.0,47.5,65.8,0.18,Regenerative Harvesting Active
FERRARI-SF90-1927,102.8,27.6,39.0,59.7,0.15,Regenerative Harvesting Active
FERRARI-SF90-1928,100.4,44.4,44.2,80.5,0.35,Regenerative Harvesting Active
FERRARI-SF90-1929,96.9,83.3,52.4,144.6,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1930,115.1,34.4,41.0,74.5,0.23,Regenerative Harvesting Active
FERRARI-SF90-1931,170.2,68.5,47.6,124.4,0.43,Regenerative Harvesting Active
FERRARI-SF90-1932,108.1,84.0,54.7,144.5,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1933,82.5,90.4,52.0,159.3,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1934,103.3,40.9,42.0,72.9,0.26,Regenerative Harvesting Active
FERRARI-SF90-1935,95.1,85.1,56.8,122.5,0.41,Regenerative Harvesting Active
FERRARI-SF90-1936,101.2,80.5,56.3,120.5,0.33,Regenerative Harvesting Active
FERRARI-SF90-1937,157.5,59.3,46.3,110.9,0.39,Regenerative Harvesting Active
FERRARI-SF90-1938,156.5,88.1,53.6,130.3,0.4,Regenerative Harvesting Active
FERRARI-SF90-1939,113.7,89.6,55.9,132.3,0.42,Regenerative Harvesting Active
FERRARI-SF90-1940,101.9,62.2,48.5,117.6,0.36,Regenerative Harvesting Active
FERRARI-SF90-1941,154.5,77.3,54.8,132.5,0.43,Regenerative Harvesting Active
FERRARI-SF90-1942,73.3,51.1,47.3,81.5,0.26,Regenerative Harvesting Active
FERRARI-SF90-1943,138.6,91.8,60.6,143.6,0.54,Full 160kW Qualify Boost
