Fleet_Event_ID,Vehicle_Speed_mph,Sun_Glare_Angle_deg,Road_Curvature_deg,Camera_Inference_Latency_ms,Human_AI_Disparity_deg,Autonomy_Alignment
TESLA-SHADOW-1648,35.3,71.3,16.3,23.1,6.53,Shadow Disengagement Triggered
TESLA-SHADOW-1649,46.6,1.1,8.9,24.7,0.64,Seamless Autonomous Alignment
TESLA-SHADOW-1650,54.7,32.0,6.0,24.1,0.46,Seamless Autonomous Alignment
TESLA-SHADOW-1651,42.1,81.0,34.4,24.9,1.53,Seamless Autonomous Alignment
TESLA-SHADOW-1652,37.7,72.5,30.7,30.5,2.82,Shadow Disengagement Triggered
TESLA-SHADOW-1653,53.1,33.1,19.4,22.5,0.86,Seamless Autonomous Alignment
TESLA-SHADOW-1654,36.4,36.6,25.0,29.4,1.21,Seamless Autonomous Alignment
TESLA-SHADOW-1655,38.2,27.0,34.5,22.8,2.64,Seamless Autonomous Alignment
TESLA-SHADOW-1656,55.7,34.9,34.6,24.4,0.27,Seamless Autonomous Alignment
TESLA-SHADOW-1657,47.8,11.3,18.3,27.2,0.48,Seamless Autonomous Alignment
TESLA-SHADOW-1658,70.9,47.9,19.1,24.3,0.41,Seamless Autonomous Alignment
TESLA-SHADOW-1659,58.4,12.3,24.0,22.2,1.26,Seamless Autonomous Alignment
TESLA-SHADOW-1660,50.0,44.2,25.5,29.1,3.1,Seamless Autonomous Alignment
TESLA-SHADOW-1661,64.2,33.1,21.2,23.1,0.79,Seamless Autonomous Alignment
TESLA-SHADOW-1662,57.2,13.7,25.6,22.8,1.27,Seamless Autonomous Alignment
TESLA-SHADOW-1663,45.0,87.7,19.5,27.1,1.39,Seamless Autonomous Alignment
TESLA-SHADOW-1664,62.0,89.5,10.8,25.7,4.73,Shadow Disengagement Triggered
TESLA-SHADOW-1665,48.4,64.2,1.6,26.2,0.65,Seamless Autonomous Alignment
TESLA-SHADOW-1666,27.3,38.6,5.9,22.3,0.27,Seamless Autonomous Alignment
TESLA-SHADOW-1667,50.3,34.1,11.6,22.2,0.87,Seamless Autonomous Alignment
TESLA-SHADOW-1668,33.7,18.5,31.4,22.8,3.0,Seamless Autonomous Alignment
TESLA-SHADOW-1669,53.7,9.6,34.4,25.5,3.33,Seamless Autonomous Alignment
TESLA-SHADOW-1670,65.3,49.2,26.1,23.6,2.83,Seamless Autonomous Alignment
TESLA-SHADOW-1671,42.2,6.0,24.3,22.1,5.34,Shadow Disengagement Triggered
TESLA-SHADOW-1672,40.0,71.6,13.2,28.3,1.49,Seamless Autonomous Alignment
TESLA-SHADOW-1673,25.6,69.6,22.4,26.0,0.55,Seamless Autonomous Alignment
TESLA-SHADOW-1674,51.4,0.8,14.5,24.0,0.59,Seamless Autonomous Alignment
TESLA-SHADOW-1675,26.0,83.0,20.5,24.0,5.41,Shadow Disengagement Triggered
TESLA-SHADOW-1676,74.8,64.8,20.9,23.9,1.7,Seamless Autonomous Alignment
TESLA-SHADOW-1677,43.6,57.1,30.6,25.7,2.45,Seamless Autonomous Alignment
TESLA-SHADOW-1678,71.7,83.4,27.0,23.6,3.23,Seamless Autonomous Alignment
TESLA-SHADOW-1679,50.6,60.3,12.7,24.9,1.06,Seamless Autonomous Alignment
TESLA-SHADOW-1680,66.1,52.1,19.0,24.0,2.32,Seamless Autonomous Alignment
TESLA-SHADOW-1681,52.3,21.2,34.1,24.1,2.1,Seamless Autonomous Alignment
TESLA-SHADOW-1682,55.6,70.9,2.4,31.0,0.98,Shadow Disengagement Triggered
TESLA-SHADOW-1683,69.1,62.2,25.6,27.5,3.17,Seamless Autonomous Alignment
TESLA-SHADOW-1684,62.5,3.8,0.2,23.0,2.98,Seamless Autonomous Alignment
TESLA-SHADOW-1685,49.5,13.3,13.4,30.0,0.52,Seamless Autonomous Alignment
TESLA-SHADOW-1686,34.1,18.1,23.3,22.9,0.17,Seamless Autonomous Alignment
TESLA-SHADOW-1687,28.4,31.9,21.7,22.8,4.02,Seamless Autonomous Alignment
TESLA-SHADOW-1688,71.2,5.9,15.0,23.9,0.04,Seamless Autonomous Alignment
TESLA-SHADOW-1689,52.8,25.4,8.0,27.7,0.78,Seamless Autonomous Alignment
TESLA-SHADOW-1690,61.8,29.9,34.2,32.0,1.47,Seamless Autonomous Alignment
TESLA-SHADOW-1691,61.2,10.4,8.8,28.4,1.68,Seamless Autonomous Alignment
TESLA-SHADOW-1692,71.5,6.3,25.1,22.5,2.37,Seamless Autonomous Alignment
TESLA-SHADOW-1693,67.5,53.0,6.3,23.4,2.36,Seamless Autonomous Alignment
TESLA-SHADOW-1694,72.5,23.5,18.8,24.0,0.22,Seamless Autonomous Alignment
TESLA-SHADOW-1695,25.7,76.3,8.3,23.8,0.68,Seamless Autonomous Alignment
TESLA-SHADOW-1696,66.1,69.8,28.6,22.8,1.99,Seamless Autonomous Alignment
TESLA-SHADOW-1697,49.1,40.5,29.6,23.0,0.85,Seamless Autonomous Alignment
TESLA-SHADOW-1698,55.6,45.1,35.0,30.5,2.47,Seamless Autonomous Alignment
TESLA-SHADOW-1699,73.0,54.3,27.4,22.3,4.11,Seamless Autonomous Alignment
TESLA-SHADOW-1700,59.0,69.9,15.8,22.8,1.76,Seamless Autonomous Alignment
TESLA-SHADOW-1701,30.0,23.3,0.8,22.5,1.5,Seamless Autonomous Alignment
TESLA-SHADOW-1702,70.2,40.3,12.7,29.3,0.11,Seamless Autonomous Alignment
TESLA-SHADOW-1703,29.4,47.2,3.0,25.5,6.23,Shadow Disengagement Triggered
TESLA-SHADOW-1704,51.6,67.2,7.2,32.3,2.62,Seamless Autonomous Alignment
TESLA-SHADOW-1705,39.2,17.7,22.4,32.1,0.48,Seamless Autonomous Alignment
TESLA-SHADOW-1706,68.5,3.3,24.7,28.2,1.05,Seamless Autonomous Alignment
TESLA-SHADOW-1707,52.5,82.3,3.3,23.2,4.72,Shadow Disengagement Triggered
TESLA-SHADOW-1708,54.0,63.5,22.4,22.7,4.54,Shadow Disengagement Triggered
TESLA-SHADOW-1709,27.7,4.3,26.0,35.2,0.54,Seamless Autonomous Alignment
TESLA-SHADOW-1710,50.8,38.1,17.4,23.7,1.47,Seamless Autonomous Alignment
TESLA-SHADOW-1711,25.3,19.6,19.7,27.9,0.31,Seamless Autonomous Alignment
TESLA-SHADOW-1712,48.8,16.8,14.0,22.2,1.15,Seamless Autonomous Alignment
TESLA-SHADOW-1713,67.8,48.4,20.9,24.1,2.36,Seamless Autonomous Alignment
TESLA-SHADOW-1714,26.8,51.5,31.5,23.9,4.24,Seamless Autonomous Alignment
TESLA-SHADOW-1715,45.4,33.2,34.2,28.2,2.5,Seamless Autonomous Alignment
TESLA-SHADOW-1716,35.6,35.8,4.0,24.8,0.18,Seamless Autonomous Alignment
TESLA-SHADOW-1717,68.7,2.8,23.7,23.8,2.35,Seamless Autonomous Alignment
TESLA-SHADOW-1718,34.6,41.4,8.7,22.8,1.75,Seamless Autonomous Alignment
TESLA-SHADOW-1719,60.1,76.1,31.3,24.4,1.89,Seamless Autonomous Alignment
TESLA-SHADOW-1720,70.6,63.8,22.6,23.0,3.15,Seamless Autonomous Alignment
TESLA-SHADOW-1721,59.9,59.4,25.0,29.3,2.61,Seamless Autonomous Alignment
TESLA-SHADOW-1722,47.3,70.3,5.8,37.7,1.11,Shadow Disengagement Triggered
TESLA-SHADOW-1723,67.5,54.7,31.1,23.2,0.33,Seamless Autonomous Alignment
TESLA-SHADOW-1724,41.9,53.2,16.1,22.8,1.83,Seamless Autonomous Alignment
TESLA-SHADOW-1725,28.3,13.5,0.1,23.9,5.5,Shadow Disengagement Triggered
TESLA-SHADOW-1726,48.0,51.3,10.2,22.4,0.97,Seamless Autonomous Alignment
TESLA-SHADOW-1727,61.7,68.3,5.7,38.2,2.36,Seamless Autonomous Alignment
TESLA-SHADOW-1728,42.1,10.2,32.6,23.2,2.74,Seamless Autonomous Alignment
TESLA-SHADOW-1729,57.1,52.8,29.6,23.0,5.01,Shadow Disengagement Triggered
TESLA-SHADOW-1730,35.0,36.1,8.0,22.9,2.13,Seamless Autonomous Alignment
TESLA-SHADOW-1731,54.6,83.1,23.5,29.4,0.37,Seamless Autonomous Alignment
TESLA-SHADOW-1732,43.5,61.0,31.5,33.3,4.8,Shadow Disengagement Triggered
TESLA-SHADOW-1733,33.7,14.4,0.9,26.8,0.54,Seamless Autonomous Alignment
TESLA-SHADOW-1734,25.0,1.7,34.3,25.0,1.21,Seamless Autonomous Alignment
TESLA-SHADOW-1735,70.4,84.1,12.2,22.2,1.12,Seamless Autonomous Alignment
TESLA-SHADOW-1736,49.6,20.7,8.1,28.9,0.19,Seamless Autonomous Alignment
TESLA-SHADOW-1737,74.1,73.4,13.9,26.2,2.85,Seamless Autonomous Alignment
TESLA-SHADOW-1738,25.2,8.6,7.0,24.4,2.48,Seamless Autonomous Alignment
TESLA-SHADOW-1739,69.5,87.8,29.6,23.0,1.21,Seamless Autonomous Alignment
TESLA-SHADOW-1740,56.6,23.4,26.9,29.5,1.18,Seamless Autonomous Alignment
TESLA-SHADOW-1741,68.6,69.3,30.5,22.7,3.99,Seamless Autonomous Alignment
TESLA-SHADOW-1742,52.2,81.3,14.2,27.4,4.34,Seamless Autonomous Alignment
TESLA-SHADOW-1743,27.7,77.1,19.7,23.5,3.64,Seamless Autonomous Alignment
TESLA-SHADOW-1744,42.5,71.0,18.9,26.3,3.66,Seamless Autonomous Alignment
TESLA-SHADOW-1745,63.1,77.4,15.9,25.2,2.13,Seamless Autonomous Alignment
TESLA-SHADOW-1746,41.9,35.8,22.2,24.8,2.0,Seamless Autonomous Alignment
TESLA-SHADOW-1747,64.1,65.9,26.9,40.3,0.22,Seamless Autonomous Alignment
TESLA-SHADOW-1748,71.2,29.4,7.1,23.5,3.33,Seamless Autonomous Alignment
TESLA-SHADOW-1749,27.7,55.9,0.2,22.9,0.96,Seamless Autonomous Alignment
TESLA-SHADOW-1750,38.9,14.1,1.9,27.8,1.92,Seamless Autonomous Alignment
TESLA-SHADOW-1751,68.6,54.7,24.0,23.2,3.91,Seamless Autonomous Alignment
TESLA-SHADOW-1752,69.1,5.9,29.0,28.5,2.41,Seamless Autonomous Alignment
TESLA-SHADOW-1753,26.5,68.8,17.6,30.7,1.73,Seamless Autonomous Alignment
TESLA-SHADOW-1754,46.9,2.2,7.0,22.6,4.27,Seamless Autonomous Alignment
TESLA-SHADOW-1755,50.0,24.8,0.1,23.4,3.51,Seamless Autonomous Alignment
TESLA-SHADOW-1756,58.4,71.5,35.0,27.1,4.1,Seamless Autonomous Alignment
TESLA-SHADOW-1757,25.5,74.2,23.5,28.0,5.1,Shadow Disengagement Triggered
TESLA-SHADOW-1758,51.2,40.3,12.4,22.4,0.16,Seamless Autonomous Alignment
TESLA-SHADOW-1759,63.3,5.4,7.2,26.1,0.18,Seamless Autonomous Alignment
TESLA-SHADOW-1760,44.2,25.3,22.0,24.3,2.0,Seamless Autonomous Alignment
TESLA-SHADOW-1761,69.8,2.3,29.5,25.0,1.12,Seamless Autonomous Alignment
TESLA-SHADOW-1762,27.9,54.3,13.3,24.6,2.38,Seamless Autonomous Alignment
TESLA-SHADOW-1763,38.8,45.0,7.0,29.2,0.53,Seamless Autonomous Alignment
TESLA-SHADOW-1764,73.3,41.6,6.8,36.8,0.73,Seamless Autonomous Alignment
TESLA-SHADOW-1765,39.2,42.1,29.6,22.9,0.51,Seamless Autonomous Alignment
TESLA-SHADOW-1766,40.9,64.5,25.8,23.2,1.44,Seamless Autonomous Alignment
TESLA-SHADOW-1767,41.2,81.3,17.0,26.5,5.09,Shadow Disengagement Triggered
TESLA-SHADOW-1768,41.9,37.7,6.8,25.4,1.05,Seamless Autonomous Alignment
TESLA-SHADOW-1769,63.8,79.3,28.8,25.1,3.08,Seamless Autonomous Alignment
TESLA-SHADOW-1770,63.8,5.2,17.5,26.1,0.28,Seamless Autonomous Alignment
TESLA-SHADOW-1771,62.1,30.2,9.9,23.6,1.45,Seamless Autonomous Alignment
TESLA-SHADOW-1772,47.4,77.9,18.8,29.2,1.12,Seamless Autonomous Alignment
TESLA-SHADOW-1773,33.5,12.0,10.9,22.5,1.06,Seamless Autonomous Alignment
TESLA-SHADOW-1774,25.8,88.2,9.9,25.6,0.08,Seamless Autonomous Alignment
TESLA-SHADOW-1775,37.1,71.2,20.5,23.0,0.7,Seamless Autonomous Alignment
TESLA-SHADOW-1776,29.7,62.9,12.7,28.7,3.19,Seamless Autonomous Alignment
TESLA-SHADOW-1777,57.2,60.6,29.2,24.7,2.37,Seamless Autonomous Alignment
TESLA-SHADOW-1778,43.9,23.7,19.4,24.5,3.7,Seamless Autonomous Alignment
TESLA-SHADOW-1779,73.5,1.8,13.3,30.4,1.67,Seamless Autonomous Alignment
TESLA-SHADOW-1780,56.8,54.0,32.1,22.2,0.43,Seamless Autonomous Alignment
TESLA-SHADOW-1781,49.6,86.2,28.0,22.8,3.84,Seamless Autonomous Alignment
TESLA-SHADOW-1782,34.5,15.3,31.0,23.7,4.1,Seamless Autonomous Alignment
TESLA-SHADOW-1783,74.0,63.6,32.8,24.4,0.4,Seamless Autonomous Alignment
TESLA-SHADOW-1784,63.0,61.6,22.8,22.4,0.76,Seamless Autonomous Alignment
TESLA-SHADOW-1785,73.4,52.7,2.1,27.9,0.14,Seamless Autonomous Alignment
TESLA-SHADOW-1786,47.0,88.0,9.2,31.6,3.69,Shadow Disengagement Triggered
TESLA-SHADOW-1787,46.2,32.6,5.6,22.4,2.31,Seamless Autonomous Alignment
TESLA-SHADOW-1788,34.4,47.3,4.8,27.3,0.67,Seamless Autonomous Alignment
TESLA-SHADOW-1789,42.1,63.3,6.1,22.7,1.01,Seamless Autonomous Alignment
TESLA-SHADOW-1790,62.7,28.6,9.3,24.2,0.82,Seamless Autonomous Alignment
TESLA-SHADOW-1791,43.6,48.3,3.0,23.8,1.75,Seamless Autonomous Alignment
TESLA-SHADOW-1792,34.4,71.8,5.8,26.4,0.16,Seamless Autonomous Alignment
TESLA-SHADOW-1793,40.7,85.3,33.7,23.5,4.51,Shadow Disengagement Triggered
TESLA-SHADOW-1794,62.7,5.6,16.9,31.0,1.39,Seamless Autonomous Alignment
TESLA-SHADOW-1795,39.1,48.8,32.5,25.5,3.57,Seamless Autonomous Alignment
TESLA-SHADOW-1796,72.5,41.3,21.5,22.2,0.72,Seamless Autonomous Alignment
TESLA-SHADOW-1797,67.4,9.3,26.8,23.0,2.64,Seamless Autonomous Alignment
TESLA-SHADOW-1798,50.7,76.0,3.2,22.6,1.92,Seamless Autonomous Alignment
TESLA-SHADOW-1799,59.0,44.7,1.0,22.2,3.58,Seamless Autonomous Alignment
TESLA-SHADOW-1800,57.1,48.7,22.4,23.5,0.69,Seamless Autonomous Alignment
TESLA-SHADOW-1801,35.7,22.9,6.3,23.9,4.14,Seamless Autonomous Alignment
TESLA-SHADOW-1802,54.9,29.9,21.1,24.7,3.61,Seamless Autonomous Alignment
TESLA-SHADOW-1803,44.5,53.2,15.1,22.8,5.42,Shadow Disengagement Triggered
TESLA-SHADOW-1804,59.3,51.9,8.5,24.5,2.05,Seamless Autonomous Alignment
TESLA-SHADOW-1805,71.1,82.5,3.7,22.6,2.23,Seamless Autonomous Alignment
TESLA-SHADOW-1806,69.2,75.8,4.6,22.1,4.4,Seamless Autonomous Alignment
TESLA-SHADOW-1807,33.9,42.8,21.3,26.6,0.4,Seamless Autonomous Alignment
TESLA-SHADOW-1808,68.4,2.6,24.7,25.6,0.42,Seamless Autonomous Alignment
TESLA-SHADOW-1809,71.5,29.3,18.2,22.0,1.23,Seamless Autonomous Alignment
TESLA-SHADOW-1810,72.3,88.6,34.4,24.8,3.77,Seamless Autonomous Alignment
TESLA-SHADOW-1811,72.4,9.5,28.0,22.3,2.77,Seamless Autonomous Alignment
TESLA-SHADOW-1812,49.5,19.5,2.3,22.1,3.98,Seamless Autonomous Alignment
TESLA-SHADOW-1813,55.1,79.8,11.9,22.8,2.98,Seamless Autonomous Alignment
TESLA-SHADOW-1814,35.5,5.7,15.5,32.1,0.17,Seamless Autonomous Alignment
TESLA-SHADOW-1815,74.0,28.9,14.4,22.7,0.62,Seamless Autonomous Alignment
TESLA-SHADOW-1816,37.9,63.5,0.3,22.7,0.56,Seamless Autonomous Alignment
TESLA-SHADOW-1817,49.5,1.0,11.5,25.5,0.67,Seamless Autonomous Alignment
TESLA-SHADOW-1818,48.4,63.7,7.7,24.6,1.5,Seamless Autonomous Alignment
TESLA-SHADOW-1819,45.4,74.0,27.8,28.8,2.74,Seamless Autonomous Alignment
TESLA-SHADOW-1820,37.0,34.4,17.0,22.2,0.8,Seamless Autonomous Alignment
TESLA-SHADOW-1821,72.4,10.9,33.8,32.9,4.43,Seamless Autonomous Alignment
TESLA-SHADOW-1822,56.6,50.2,5.4,23.4,1.74,Seamless Autonomous Alignment
TESLA-SHADOW-1823,34.4,79.0,12.2,22.5,1.9,Seamless Autonomous Alignment
TESLA-SHADOW-1824,25.2,66.0,15.8,24.8,2.8,Seamless Autonomous Alignment
TESLA-SHADOW-1825,62.0,21.6,16.7,23.1,1.92,Seamless Autonomous Alignment
TESLA-SHADOW-1826,70.8,70.1,30.8,24.8,3.55,Seamless Autonomous Alignment
TESLA-SHADOW-1827,25.9,71.2,18.8,35.6,6.23,Shadow Disengagement Triggered
TESLA-SHADOW-1828,69.6,80.5,27.4,24.9,0.83,Seamless Autonomous Alignment
TESLA-SHADOW-1829,66.4,34.4,22.5,34.9,0.76,Seamless Autonomous Alignment
TESLA-SHADOW-1830,47.8,13.1,23.8,33.1,1.17,Seamless Autonomous Alignment
TESLA-SHADOW-1831,54.4,10.5,15.2,25.7,0.61,Seamless Autonomous Alignment
TESLA-SHADOW-1832,41.3,83.4,17.7,27.1,0.58,Seamless Autonomous Alignment
TESLA-SHADOW-1833,32.1,62.3,3.8,24.3,1.44,Seamless Autonomous Alignment
TESLA-SHADOW-1834,74.9,85.7,27.4,22.5,3.76,Seamless Autonomous Alignment
TESLA-SHADOW-1835,43.0,41.5,25.1,22.2,3.29,Seamless Autonomous Alignment
TESLA-SHADOW-1836,28.0,69.6,18.9,22.8,2.04,Seamless Autonomous Alignment
TESLA-SHADOW-1837,40.0,80.8,32.5,31.0,2.88,Shadow Disengagement Triggered
TESLA-SHADOW-1838,45.0,49.8,16.8,24.2,5.59,Shadow Disengagement Triggered
TESLA-SHADOW-1839,41.1,85.2,9.7,24.2,2.07,Seamless Autonomous Alignment
TESLA-SHADOW-1840,43.0,32.5,24.6,23.1,3.44,Seamless Autonomous Alignment
TESLA-SHADOW-1841,44.9,11.0,24.1,24.5,1.62,Seamless Autonomous Alignment
TESLA-SHADOW-1842,64.9,11.6,10.3,24.6,1.07,Seamless Autonomous Alignment
TESLA-SHADOW-1843,43.7,50.1,11.7,28.0,4.74,Shadow Disengagement Triggered
TESLA-SHADOW-1844,26.1,10.9,19.4,23.0,0.52,Seamless Autonomous Alignment
TESLA-SHADOW-1845,50.9,23.4,14.6,22.2,3.58,Seamless Autonomous Alignment
TESLA-SHADOW-1846,65.7,79.4,26.7,25.9,4.17,Seamless Autonomous Alignment
TESLA-SHADOW-1847,47.3,71.8,0.6,24.0,3.71,Seamless Autonomous Alignment
TESLA-SHADOW-1848,58.4,56.6,22.7,23.1,8.18,Shadow Disengagement Triggered
TESLA-SHADOW-1849,42.2,52.4,28.4,26.6,0.07,Seamless Autonomous Alignment
TESLA-SHADOW-1850,36.3,77.0,26.0,29.6,3.98,Seamless Autonomous Alignment
TESLA-SHADOW-1851,69.6,28.3,1.3,24.6,0.75,Seamless Autonomous Alignment
TESLA-SHADOW-1852,54.8,47.4,12.1,22.3,2.13,Seamless Autonomous Alignment
TESLA-SHADOW-1853,32.4,57.6,8.9,27.7,0.6,Seamless Autonomous Alignment
TESLA-SHADOW-1854,71.8,89.3,27.3,25.9,5.29,Shadow Disengagement Triggered
TESLA-SHADOW-1855,34.3,11.5,19.4,22.5,1.4,Seamless Autonomous Alignment
TESLA-SHADOW-1856,34.1,22.6,20.3,26.4,4.56,Shadow Disengagement Triggered
TESLA-SHADOW-1857,67.1,71.7,25.4,29.8,4.92,Shadow Disengagement Triggered
TESLA-SHADOW-1858,38.0,82.8,15.5,29.5,0.32,Seamless Autonomous Alignment
TESLA-SHADOW-1859,44.9,55.1,3.1,32.3,0.34,Seamless Autonomous Alignment
TESLA-SHADOW-1860,36.1,81.7,31.9,23.7,3.16,Seamless Autonomous Alignment
TESLA-SHADOW-1861,44.9,37.7,13.7,24.8,3.67,Seamless Autonomous Alignment
TESLA-SHADOW-1862,46.1,37.0,19.5,23.7,2.86,Seamless Autonomous Alignment
TESLA-SHADOW-1863,28.4,8.4,29.7,25.0,1.85,Seamless Autonomous Alignment
TESLA-SHADOW-1864,45.7,36.1,6.5,37.8,0.2,Seamless Autonomous Alignment
TESLA-SHADOW-1865,60.8,80.8,14.7,27.6,1.06,Seamless Autonomous Alignment
TESLA-SHADOW-1866,61.0,6.9,14.7,22.9,0.56,Seamless Autonomous Alignment
TESLA-SHADOW-1867,62.7,36.5,31.9,22.5,2.96,Seamless Autonomous Alignment
TESLA-SHADOW-1868,60.0,62.4,16.2,22.5,3.59,Seamless Autonomous Alignment
TESLA-SHADOW-1869,30.7,42.9,7.1,22.1,0.46,Seamless Autonomous Alignment
TESLA-SHADOW-1870,54.3,82.7,10.8,37.3,2.89,Shadow Disengagement Triggered
TESLA-SHADOW-1871,63.9,47.4,14.7,22.7,1.74,Seamless Autonomous Alignment
TESLA-SHADOW-1872,48.8,40.1,29.9,23.5,1.93,Seamless Autonomous Alignment
TESLA-SHADOW-1873,52.4,59.7,15.5,23.3,1.99,Seamless Autonomous Alignment
TESLA-SHADOW-1874,42.5,65.7,5.8,29.2,2.47,Seamless Autonomous Alignment
TESLA-SHADOW-1875,31.3,9.1,11.4,25.6,0.99,Seamless Autonomous Alignment
TESLA-SHADOW-1876,36.6,75.0,34.2,24.6,2.9,Seamless Autonomous Alignment
TESLA-SHADOW-1877,65.4,1.4,19.4,22.4,3.44,Seamless Autonomous Alignment
TESLA-SHADOW-1878,70.7,8.7,6.3,22.1,0.73,Seamless Autonomous Alignment
TESLA-SHADOW-1879,70.4,45.4,0.5,26.2,1.05,Seamless Autonomous Alignment
TESLA-SHADOW-1880,27.8,85.2,14.8,23.0,6.08,Shadow Disengagement Triggered
TESLA-SHADOW-1881,37.1,68.3,6.3,24.1,3.38,Seamless Autonomous Alignment
TESLA-SHADOW-1882,59.2,39.9,34.9,26.3,1.25,Seamless Autonomous Alignment
TESLA-SHADOW-1883,31.6,26.2,19.0,24.1,0.36,Seamless Autonomous Alignment
TESLA-SHADOW-1884,31.5,49.8,9.2,25.3,2.36,Seamless Autonomous Alignment
TESLA-SHADOW-1885,32.0,13.8,26.0,22.2,1.66,Seamless Autonomous Alignment
TESLA-SHADOW-1886,39.1,14.4,18.0,22.1,0.28,Seamless Autonomous Alignment
TESLA-SHADOW-1887,61.8,5.8,6.5,22.1,1.31,Seamless Autonomous Alignment
TESLA-SHADOW-1888,53.5,9.1,33.4,36.6,1.45,Seamless Autonomous Alignment
TESLA-SHADOW-1889,53.1,53.5,5.3,24.8,1.7,Seamless Autonomous Alignment
TESLA-SHADOW-1890,70.1,5.5,34.6,22.8,3.21,Seamless Autonomous Alignment
TESLA-SHADOW-1891,41.4,17.8,25.0,22.0,0.51,Seamless Autonomous Alignment
TESLA-SHADOW-1892,67.6,33.2,14.8,24.1,1.14,Seamless Autonomous Alignment
TESLA-SHADOW-1893,36.7,74.4,19.2,27.1,0.74,Seamless Autonomous Alignment
TESLA-SHADOW-1894,59.0,81.8,30.8,23.7,5.89,Shadow Disengagement Triggered
TESLA-SHADOW-1895,67.4,21.1,8.1,22.0,1.0,Seamless Autonomous Alignment
TESLA-SHADOW-1896,32.7,13.3,14.3,38.1,1.11,Seamless Autonomous Alignment
TESLA-SHADOW-1897,36.8,85.5,20.1,31.7,0.5,Shadow Disengagement Triggered
TESLA-SHADOW-1898,39.1,52.5,22.4,38.3,3.24,Seamless Autonomous Alignment
TESLA-SHADOW-1899,64.2,79.9,3.3,28.9,1.83,Seamless Autonomous Alignment
TESLA-SHADOW-1900,61.3,37.8,25.9,23.1,0.85,Seamless Autonomous Alignment
TESLA-SHADOW-1901,61.8,85.6,8.3,29.8,2.72,Seamless Autonomous Alignment
TESLA-SHADOW-1902,26.0,33.1,32.1,22.8,4.87,Shadow Disengagement Triggered
TESLA-SHADOW-1903,70.1,64.6,18.8,27.3,5.23,Shadow Disengagement Triggered
TESLA-SHADOW-1904,38.0,33.3,1.2,25.2,3.4,Seamless Autonomous Alignment
TESLA-SHADOW-1905,65.7,3.3,3.1,22.2,0.69,Seamless Autonomous Alignment
TESLA-SHADOW-1906,25.7,37.7,29.6,25.3,0.44,Seamless Autonomous Alignment
TESLA-SHADOW-1907,51.5,18.0,15.1,28.4,0.53,Seamless Autonomous Alignment
TESLA-SHADOW-1908,61.3,65.8,14.9,27.6,1.67,Seamless Autonomous Alignment
TESLA-SHADOW-1909,29.0,33.2,11.8,25.2,2.18,Seamless Autonomous Alignment
TESLA-SHADOW-1910,45.8,20.5,24.0,22.1,2.46,Seamless Autonomous Alignment
TESLA-SHADOW-1911,52.6,1.7,1.4,23.6,2.31,Seamless Autonomous Alignment
TESLA-SHADOW-1912,35.2,48.5,33.4,23.1,1.57,Seamless Autonomous Alignment
TESLA-SHADOW-1913,38.6,83.2,9.6,22.6,4.48,Seamless Autonomous Alignment
TESLA-SHADOW-1914,38.9,65.2,33.0,23.3,4.09,Seamless Autonomous Alignment
TESLA-SHADOW-1915,67.7,0.3,25.3,22.4,0.28,Seamless Autonomous Alignment
TESLA-SHADOW-1916,28.6,52.4,25.4,26.2,5.42,Shadow Disengagement Triggered
TESLA-SHADOW-1917,59.4,23.9,29.7,31.9,2.56,Seamless Autonomous Alignment
TESLA-SHADOW-1918,36.5,59.1,6.7,27.9,0.05,Seamless Autonomous Alignment
TESLA-SHADOW-1919,52.8,44.8,4.9,25.0,1.1,Seamless Autonomous Alignment
TESLA-SHADOW-1920,31.3,75.6,25.6,25.4,3.34,Seamless Autonomous Alignment
TESLA-SHADOW-1921,68.5,73.0,4.9,30.9,0.36,Shadow Disengagement Triggered
TESLA-SHADOW-1922,55.4,81.3,25.5,24.8,2.31,Seamless Autonomous Alignment
TESLA-SHADOW-1923,63.0,28.8,4.6,30.8,1.7,Seamless Autonomous Alignment
TESLA-SHADOW-1924,71.8,82.4,1.7,26.4,0.84,Seamless Autonomous Alignment
TESLA-SHADOW-1925,35.1,42.6,11.1,26.7,4.83,Shadow Disengagement Triggered
TESLA-SHADOW-1926,28.2,51.8,4.5,32.2,0.25,Seamless Autonomous Alignment
TESLA-SHADOW-1927,53.8,52.6,7.6,29.6,2.1,Seamless Autonomous Alignment
TESLA-SHADOW-1928,57.6,52.1,28.3,29.5,1.47,Seamless Autonomous Alignment
TESLA-SHADOW-1929,43.0,49.1,3.3,25.5,4.14,Seamless Autonomous Alignment
TESLA-SHADOW-1930,34.6,16.0,19.6,37.1,3.88,Seamless Autonomous Alignment
TESLA-SHADOW-1931,47.5,19.5,14.6,22.6,2.86,Seamless Autonomous Alignment
TESLA-SHADOW-1932,59.1,60.0,20.0,25.1,1.74,Seamless Autonomous Alignment
TESLA-SHADOW-1933,46.7,26.0,10.8,28.0,1.49,Seamless Autonomous Alignment
TESLA-SHADOW-1934,59.3,80.8,13.3,24.4,2.33,Seamless Autonomous Alignment
TESLA-SHADOW-1935,63.4,28.6,15.9,22.7,1.0,Seamless Autonomous Alignment
TESLA-SHADOW-1936,53.7,24.4,30.7,23.9,3.26,Seamless Autonomous Alignment
