Inspection_ID,Vehicle_Zone,Defect_Type,Camera_Confidence,Box_Accuracy,Line_Speed_m_min
INSP-20387,Hood,No Defect (Pass),0.968,0.0,3.99
INSP-20388,Door Left Front,No Defect (Pass),0.969,0.0,3.66
INSP-20389,Hood,No Defect (Pass),0.989,0.0,3.94
INSP-20390,Hood,No Defect (Pass),0.95,0.0,4.93
INSP-20391,Roof Pillar,Panel Gap Misalignment,0.791,0.67,4.06
INSP-20392,Trunk Lid,Panel Gap Misalignment,0.942,0.87,3.43
INSP-20393,Door Left Front,No Defect (Pass),0.905,0.0,3.65
INSP-20394,Hood,No Defect (Pass),0.64,0.0,4.36
INSP-20395,Door Left Front,No Defect (Pass),0.936,0.0,4.07
INSP-20396,Quarter Panel Right,Clear-coat Orange Peel,0.933,0.77,4.52
INSP-20397,Door Left Front,No Defect (Pass),0.906,0.0,4.22
INSP-20398,Trunk Lid,No Defect (Pass),0.967,0.0,3.95
INSP-20399,Trunk Lid,No Defect (Pass),0.902,0.0,3.61
INSP-20400,Trunk Lid,No Defect (Pass),0.987,0.0,4.33
INSP-20401,Roof Pillar,No Defect (Pass),0.977,0.0,3.97
INSP-20402,Quarter Panel Right,No Defect (Pass),0.949,0.0,4.32
INSP-20403,Quarter Panel Right,No Defect (Pass),0.94,0.0,4.25
INSP-20404,Hood,No Defect (Pass),0.895,0.0,4.16
INSP-20405,Roof Pillar,No Defect (Pass),0.944,0.0,4.41
INSP-20406,Hood,No Defect (Pass),0.881,0.0,4.01
INSP-20407,Trunk Lid,Panel Gap Misalignment,0.717,0.88,4.3
INSP-20408,Roof Pillar,No Defect (Pass),0.87,0.0,4.2
INSP-20409,Quarter Panel Right,No Defect (Pass),0.997,0.0,3.87
INSP-20410,Roof Pillar,No Defect (Pass),0.881,0.0,3.92
INSP-20411,Hood,No Defect (Pass),0.977,0.0,3.78
INSP-20412,Door Left Front,No Defect (Pass),0.854,0.0,3.97
INSP-20413,Trunk Lid,No Defect (Pass),0.976,0.0,4.53
INSP-20414,Hood,No Defect (Pass),0.922,0.0,4.29
INSP-20415,Door Left Front,No Defect (Pass),0.839,0.0,4.25
INSP-20416,Door Left Front,No Defect (Pass),0.95,0.0,3.68
INSP-20417,Hood,No Defect (Pass),0.603,0.0,4.52
INSP-20418,Roof Pillar,No Defect (Pass),0.822,0.0,4.78
INSP-20419,Roof Pillar,No Defect (Pass),0.975,0.0,4.76
INSP-20420,Roof Pillar,No Defect (Pass),0.89,0.0,4.87
INSP-20421,Door Left Front,Paint Scratch / Blemish,0.707,0.83,4.65
INSP-20422,Door Left Front,No Defect (Pass),0.971,0.0,4.42
INSP-20423,Trunk Lid,No Defect (Pass),0.904,0.0,3.81
INSP-20424,Roof Pillar,No Defect (Pass),0.88,0.0,4.59
INSP-20425,Hood,Panel Gap Misalignment,0.702,0.9,4.17
INSP-20426,Quarter Panel Right,No Defect (Pass),0.685,0.0,4.04
INSP-20427,Door Left Front,No Defect (Pass),0.974,0.0,4.12
INSP-20428,Quarter Panel Right,No Defect (Pass),0.948,0.0,3.87
INSP-20429,Quarter Panel Right,No Defect (Pass),0.95,0.0,3.7
INSP-20430,Door Left Front,Paint Scratch / Blemish,0.773,0.68,3.86
INSP-20431,Roof Pillar,No Defect (Pass),0.847,0.0,4.43
INSP-20432,Door Left Front,No Defect (Pass),0.977,0.0,4.32
INSP-20433,Hood,No Defect (Pass),0.912,0.0,4.19
INSP-20434,Door Left Front,No Defect (Pass),0.976,0.0,4.18
INSP-20435,Quarter Panel Right,No Defect (Pass),0.964,0.0,4.07
INSP-20436,Roof Pillar,No Defect (Pass),0.771,0.0,3.88
INSP-20437,Trunk Lid,Clear-coat Orange Peel,0.885,0.75,4.28
INSP-20438,Roof Pillar,No Defect (Pass),0.967,0.0,4.37
INSP-20439,Quarter Panel Right,No Defect (Pass),0.996,0.0,4.51
INSP-20440,Door Left Front,No Defect (Pass),0.817,0.0,4.42
INSP-20441,Hood,No Defect (Pass),0.913,0.0,3.98
INSP-20442,Roof Pillar,No Defect (Pass),0.855,0.0,3.99
INSP-20443,Trunk Lid,No Defect (Pass),0.929,0.0,4.18
INSP-20444,Trunk Lid,No Defect (Pass),0.888,0.0,4.5
INSP-20445,Door Left Front,No Defect (Pass),0.975,0.0,3.74
INSP-20446,Hood,No Defect (Pass),0.8,0.0,3.89
INSP-20447,Trunk Lid,No Defect (Pass),0.967,0.0,3.58
INSP-20448,Trunk Lid,No Defect (Pass),0.989,0.0,4.27
INSP-20449,Trunk Lid,No Defect (Pass),0.958,0.0,4.45
INSP-20450,Quarter Panel Right,No Defect (Pass),0.884,0.0,4.3
INSP-20451,Hood,No Defect (Pass),0.935,0.0,4.03
INSP-20452,Hood,No Defect (Pass),0.901,0.0,4.05
INSP-20453,Hood,No Defect (Pass),0.838,0.0,3.92
INSP-20454,Quarter Panel Right,No Defect (Pass),0.988,0.0,3.76
INSP-20455,Quarter Panel Right,No Defect (Pass),0.759,0.0,3.71
INSP-20456,Door Left Front,No Defect (Pass),0.97,0.0,4.54
INSP-20457,Door Left Front,No Defect (Pass),0.963,0.0,4.19
INSP-20458,Hood,No Defect (Pass),0.884,0.0,4.01
INSP-20459,Roof Pillar,No Defect (Pass),0.934,0.0,4.06
INSP-20460,Trunk Lid,Clear-coat Orange Peel,0.851,0.91,4.28
INSP-20461,Door Left Front,No Defect (Pass),0.962,0.0,3.68
INSP-20462,Roof Pillar,No Defect (Pass),0.973,0.0,4.21
INSP-20463,Door Left Front,No Defect (Pass),0.995,0.0,4.36
INSP-20464,Roof Pillar,No Defect (Pass),0.928,0.0,4.37
INSP-20465,Door Left Front,No Defect (Pass),0.951,0.0,3.88
INSP-20466,Trunk Lid,Panel Gap Misalignment,0.919,0.82,4.16
INSP-20467,Trunk Lid,No Defect (Pass),0.974,0.0,4.11
INSP-20468,Hood,No Defect (Pass),0.802,0.0,4.12
INSP-20469,Roof Pillar,No Defect (Pass),0.902,0.0,3.8
INSP-20470,Quarter Panel Right,No Defect (Pass),0.955,0.0,4.19
INSP-20471,Trunk Lid,No Defect (Pass),0.84,0.0,3.21
INSP-20472,Hood,Panel Gap Misalignment,0.971,0.78,3.79
INSP-20473,Trunk Lid,No Defect (Pass),0.992,0.0,4.01
INSP-20474,Trunk Lid,No Defect (Pass),0.885,0.0,4.28
INSP-20475,Roof Pillar,No Defect (Pass),0.857,0.0,4.22
INSP-20476,Roof Pillar,No Defect (Pass),0.92,0.0,4.09
INSP-20477,Roof Pillar,No Defect (Pass),0.894,0.0,4.19
INSP-20478,Quarter Panel Right,No Defect (Pass),0.958,0.0,4.57
INSP-20479,Trunk Lid,Panel Gap Misalignment,0.421,0.76,4.28
INSP-20480,Door Left Front,No Defect (Pass),0.687,0.0,4.04
INSP-20481,Roof Pillar,No Defect (Pass),0.946,0.0,4.16
INSP-20482,Quarter Panel Right,No Defect (Pass),0.71,0.0,4.3
INSP-20483,Hood,No Defect (Pass),0.979,0.0,3.95
INSP-20484,Door Left Front,Welding Porosity,0.658,0.66,4.11
INSP-20485,Door Left Front,No Defect (Pass),0.81,0.0,4.25
INSP-20486,Door Left Front,No Defect (Pass),0.996,0.0,4.16
INSP-20487,Roof Pillar,Paint Scratch / Blemish,0.747,0.93,4.18
INSP-20488,Quarter Panel Right,No Defect (Pass),0.873,0.0,4.12
INSP-20489,Hood,No Defect (Pass),0.723,0.0,4.44
INSP-20490,Trunk Lid,Panel Gap Misalignment,0.916,0.76,4.44
INSP-20491,Quarter Panel Right,No Defect (Pass),0.958,0.0,3.45
INSP-20492,Roof Pillar,No Defect (Pass),0.935,0.0,4.86
INSP-20493,Door Left Front,No Defect (Pass),0.956,0.0,4.24
INSP-20494,Hood,No Defect (Pass),0.908,0.0,4.21
INSP-20495,Quarter Panel Right,No Defect (Pass),0.955,0.0,4.28
INSP-20496,Hood,No Defect (Pass),0.963,0.0,3.63
INSP-20497,Roof Pillar,No Defect (Pass),0.979,0.0,4.57
INSP-20498,Roof Pillar,No Defect (Pass),0.997,0.0,4.4
INSP-20499,Quarter Panel Right,No Defect (Pass),0.954,0.0,3.86
INSP-20500,Door Left Front,No Defect (Pass),0.929,0.0,3.93
INSP-20501,Trunk Lid,No Defect (Pass),0.821,0.0,4.4
INSP-20502,Trunk Lid,No Defect (Pass),0.958,0.0,4.35
INSP-20503,Door Left Front,No Defect (Pass),0.931,0.0,4.34
INSP-20504,Door Left Front,Paint Scratch / Blemish,0.755,0.68,3.89
INSP-20505,Roof Pillar,Clear-coat Orange Peel,0.579,0.74,4.15
INSP-20506,Trunk Lid,No Defect (Pass),0.852,0.0,4.38
INSP-20507,Hood,No Defect (Pass),0.928,0.0,4.46
INSP-20508,Door Left Front,Welding Porosity,0.805,0.92,3.92
INSP-20509,Door Left Front,No Defect (Pass),0.808,0.0,4.1
INSP-20510,Hood,No Defect (Pass),0.928,0.0,3.97
INSP-20511,Roof Pillar,Clear-coat Orange Peel,0.747,0.7,3.94
INSP-20512,Hood,No Defect (Pass),0.988,0.0,4.14
INSP-20513,Quarter Panel Right,Panel Gap Misalignment,0.86,0.88,4.13
INSP-20514,Quarter Panel Right,Paint Scratch / Blemish,0.959,0.94,3.67
INSP-20515,Trunk Lid,No Defect (Pass),0.731,0.0,4.51
INSP-20516,Hood,No Defect (Pass),0.739,0.0,3.6
INSP-20517,Hood,No Defect (Pass),0.971,0.0,4.32
INSP-20518,Trunk Lid,No Defect (Pass),0.992,0.0,4.42
INSP-20519,Hood,No Defect (Pass),0.943,0.0,4.25
INSP-20520,Quarter Panel Right,No Defect (Pass),0.954,0.0,4.06
INSP-20521,Roof Pillar,No Defect (Pass),0.955,0.0,3.96
INSP-20522,Roof Pillar,No Defect (Pass),0.974,0.0,3.87
INSP-20523,Hood,No Defect (Pass),0.907,0.0,3.84
INSP-20524,Roof Pillar,Panel Gap Misalignment,0.606,0.88,4.32
INSP-20525,Trunk Lid,No Defect (Pass),0.824,0.0,4.77
INSP-20526,Trunk Lid,No Defect (Pass),0.898,0.0,4.23
INSP-20527,Trunk Lid,Paint Scratch / Blemish,0.736,0.66,4.64
INSP-20528,Trunk Lid,No Defect (Pass),0.925,0.0,4.54
INSP-20529,Quarter Panel Right,No Defect (Pass),0.841,0.0,3.92
INSP-20530,Trunk Lid,No Defect (Pass),0.909,0.0,4.26
INSP-20531,Roof Pillar,No Defect (Pass),0.872,0.0,4.35
INSP-20532,Hood,Paint Scratch / Blemish,0.85,0.7,4.67
INSP-20533,Hood,No Defect (Pass),0.894,0.0,3.63
INSP-20534,Door Left Front,No Defect (Pass),0.975,0.0,4.48
INSP-20535,Door Left Front,No Defect (Pass),0.909,0.0,4.46
INSP-20536,Quarter Panel Right,No Defect (Pass),0.976,0.0,3.83
INSP-20537,Trunk Lid,No Defect (Pass),0.928,0.0,4.07
INSP-20538,Door Left Front,No Defect (Pass),0.89,0.0,3.9
INSP-20539,Hood,No Defect (Pass),0.935,0.0,3.97
INSP-20540,Roof Pillar,No Defect (Pass),0.885,0.0,4.42
INSP-20541,Trunk Lid,No Defect (Pass),0.986,0.0,3.7
INSP-20542,Quarter Panel Right,No Defect (Pass),0.976,0.0,3.93
INSP-20543,Quarter Panel Right,No Defect (Pass),0.991,0.0,4.26
INSP-20544,Hood,No Defect (Pass),0.877,0.0,4.12
INSP-20545,Quarter Panel Right,No Defect (Pass),0.965,0.0,4.45
INSP-20546,Trunk Lid,No Defect (Pass),0.962,0.0,4.17
INSP-20547,Quarter Panel Right,No Defect (Pass),0.895,0.0,3.76
INSP-20548,Hood,No Defect (Pass),0.858,0.0,4.35
INSP-20549,Trunk Lid,No Defect (Pass),0.932,0.0,4.58
INSP-20550,Hood,No Defect (Pass),0.932,0.0,3.97
INSP-20551,Trunk Lid,No Defect (Pass),1.0,0.0,4.4
INSP-20552,Hood,No Defect (Pass),1.0,0.0,4.39
INSP-20553,Roof Pillar,No Defect (Pass),0.971,0.0,3.77
INSP-20554,Hood,No Defect (Pass),0.823,0.0,4.32
INSP-20555,Trunk Lid,No Defect (Pass),0.86,0.0,4.31
INSP-20556,Door Left Front,No Defect (Pass),0.98,0.0,4.55
INSP-20557,Door Left Front,No Defect (Pass),0.973,0.0,4.5
INSP-20558,Quarter Panel Right,No Defect (Pass),0.962,0.0,4.28
INSP-20559,Trunk Lid,Paint Scratch / Blemish,0.795,0.69,3.95
INSP-20560,Roof Pillar,No Defect (Pass),0.995,0.0,4.25
INSP-20561,Trunk Lid,Welding Porosity,0.919,0.87,4.08
INSP-20562,Roof Pillar,No Defect (Pass),0.938,0.0,3.71
INSP-20563,Quarter Panel Right,No Defect (Pass),0.92,0.0,4.35
INSP-20564,Quarter Panel Right,No Defect (Pass),0.968,0.0,4.31
INSP-20565,Trunk Lid,No Defect (Pass),0.874,0.0,4.19
INSP-20566,Roof Pillar,No Defect (Pass),0.769,0.0,4.61
INSP-20567,Quarter Panel Right,No Defect (Pass),0.899,0.0,3.54
INSP-20568,Roof Pillar,No Defect (Pass),0.915,0.0,4.28
INSP-20569,Trunk Lid,No Defect (Pass),0.848,0.0,4.23
INSP-20570,Trunk Lid,No Defect (Pass),0.987,0.0,3.88
INSP-20571,Hood,No Defect (Pass),0.843,0.0,4.18
INSP-20572,Trunk Lid,No Defect (Pass),0.753,0.0,4.47
INSP-20573,Quarter Panel Right,No Defect (Pass),0.94,0.0,4.6
INSP-20574,Quarter Panel Right,No Defect (Pass),0.898,0.0,3.8
INSP-20575,Roof Pillar,No Defect (Pass),0.95,0.0,3.87
INSP-20576,Hood,No Defect (Pass),0.972,0.0,4.65
INSP-20577,Roof Pillar,No Defect (Pass),0.999,0.0,3.76
INSP-20578,Door Left Front,No Defect (Pass),0.989,0.0,4.11
INSP-20579,Trunk Lid,No Defect (Pass),0.868,0.0,4.19
INSP-20580,Hood,No Defect (Pass),0.89,0.0,4.12
INSP-20581,Quarter Panel Right,No Defect (Pass),0.993,0.0,4.88
INSP-20582,Roof Pillar,No Defect (Pass),0.967,0.0,4.03
INSP-20583,Hood,Paint Scratch / Blemish,0.874,0.77,4.4
INSP-20584,Door Left Front,No Defect (Pass),0.924,0.0,4.41
INSP-20585,Roof Pillar,No Defect (Pass),0.933,0.0,4.16
INSP-20586,Quarter Panel Right,No Defect (Pass),0.847,0.0,3.99
INSP-20587,Door Left Front,No Defect (Pass),0.983,0.0,4.76
INSP-20588,Door Left Front,No Defect (Pass),0.835,0.0,4.12
INSP-20589,Quarter Panel Right,No Defect (Pass),0.911,0.0,4.31
INSP-20590,Trunk Lid,No Defect (Pass),0.956,0.0,3.93
INSP-20591,Roof Pillar,No Defect (Pass),0.986,0.0,4.1
INSP-20592,Hood,Paint Scratch / Blemish,0.916,0.82,3.69
INSP-20593,Hood,No Defect (Pass),0.869,0.0,4.11
INSP-20594,Hood,No Defect (Pass),0.966,0.0,4.77
INSP-20595,Quarter Panel Right,No Defect (Pass),0.98,0.0,4.31
INSP-20596,Door Left Front,No Defect (Pass),0.826,0.0,4.87
INSP-20597,Roof Pillar,No Defect (Pass),0.972,0.0,4.4
INSP-20598,Roof Pillar,No Defect (Pass),0.701,0.0,4.06
INSP-20599,Roof Pillar,Paint Scratch / Blemish,0.818,0.77,4.08
INSP-20600,Hood,Welding Porosity,0.88,0.84,4.34
INSP-20601,Trunk Lid,No Defect (Pass),0.992,0.0,4.12
INSP-20602,Roof Pillar,No Defect (Pass),0.854,0.0,4.39
INSP-20603,Trunk Lid,No Defect (Pass),0.942,0.0,3.97
INSP-20604,Door Left Front,No Defect (Pass),0.81,0.0,4.21
INSP-20605,Trunk Lid,No Defect (Pass),0.97,0.0,3.79
INSP-20606,Quarter Panel Right,No Defect (Pass),0.958,0.0,4.36
INSP-20607,Hood,Clear-coat Orange Peel,0.633,0.75,4.06
INSP-20608,Trunk Lid,No Defect (Pass),0.925,0.0,4.29
INSP-20609,Quarter Panel Right,No Defect (Pass),0.849,0.0,4.38
INSP-20610,Hood,Panel Gap Misalignment,0.848,0.88,4.3
INSP-20611,Hood,No Defect (Pass),0.923,0.0,3.4
INSP-20612,Quarter Panel Right,No Defect (Pass),0.876,0.0,4.4
INSP-20613,Quarter Panel Right,Panel Gap Misalignment,0.704,0.67,4.48
INSP-20614,Hood,No Defect (Pass),0.552,0.0,4.71
INSP-20615,Roof Pillar,No Defect (Pass),0.99,0.0,4.62
INSP-20616,Door Left Front,Clear-coat Orange Peel,0.912,0.89,4.01
INSP-20617,Hood,No Defect (Pass),0.987,0.0,4.64
INSP-20618,Trunk Lid,No Defect (Pass),0.863,0.0,4.39
INSP-20619,Hood,No Defect (Pass),0.851,0.0,4.31
INSP-20620,Door Left Front,No Defect (Pass),0.926,0.0,4.7
INSP-20621,Door Left Front,No Defect (Pass),0.98,0.0,4.24
INSP-20622,Quarter Panel Right,No Defect (Pass),0.968,0.0,4.24
INSP-20623,Hood,No Defect (Pass),0.95,0.0,3.68
INSP-20624,Door Left Front,No Defect (Pass),0.929,0.0,3.9
INSP-20625,Quarter Panel Right,No Defect (Pass),0.82,0.0,4.02
INSP-20626,Hood,No Defect (Pass),0.806,0.0,4.14
INSP-20627,Roof Pillar,No Defect (Pass),0.848,0.0,3.72
INSP-20628,Quarter Panel Right,No Defect (Pass),0.977,0.0,4.18
INSP-20629,Door Left Front,No Defect (Pass),0.926,0.0,4.02
INSP-20630,Door Left Front,No Defect (Pass),0.968,0.0,4.45
INSP-20631,Trunk Lid,No Defect (Pass),0.754,0.0,4.29
INSP-20632,Hood,No Defect (Pass),0.978,0.0,4.1
INSP-20633,Door Left Front,No Defect (Pass),0.927,0.0,3.97
INSP-20634,Trunk Lid,No Defect (Pass),0.876,0.0,4.91
INSP-20635,Quarter Panel Right,No Defect (Pass),0.812,0.0,3.8
INSP-20636,Hood,No Defect (Pass),0.656,0.0,3.89
INSP-20637,Quarter Panel Right,No Defect (Pass),0.912,0.0,4.46
INSP-20638,Trunk Lid,No Defect (Pass),0.956,0.0,3.63
INSP-20639,Door Left Front,No Defect (Pass),0.717,0.0,4.15
INSP-20640,Door Left Front,No Defect (Pass),0.885,0.0,3.76
INSP-20641,Trunk Lid,No Defect (Pass),0.908,0.0,4.07
INSP-20642,Hood,No Defect (Pass),0.985,0.0,4.65
INSP-20643,Quarter Panel Right,No Defect (Pass),0.978,0.0,3.8
INSP-20644,Door Left Front,No Defect (Pass),0.953,0.0,4.22
INSP-20645,Quarter Panel Right,No Defect (Pass),0.903,0.0,4.33
INSP-20646,Hood,No Defect (Pass),0.889,0.0,4.21
INSP-20647,Trunk Lid,No Defect (Pass),0.977,0.0,4.31
INSP-20648,Quarter Panel Right,No Defect (Pass),0.922,0.0,4.0
INSP-20649,Trunk Lid,No Defect (Pass),0.765,0.0,3.61
INSP-20650,Door Left Front,No Defect (Pass),0.948,0.0,4.45
INSP-20651,Hood,No Defect (Pass),0.847,0.0,4.16
INSP-20652,Door Left Front,No Defect (Pass),0.93,0.0,4.22
INSP-20653,Roof Pillar,Panel Gap Misalignment,0.745,0.81,4.7
INSP-20654,Quarter Panel Right,No Defect (Pass),0.994,0.0,4.44
INSP-20655,Roof Pillar,No Defect (Pass),0.977,0.0,4.16
INSP-20656,Quarter Panel Right,No Defect (Pass),0.919,0.0,4.05
INSP-20657,Quarter Panel Right,No Defect (Pass),0.973,0.0,4.52
INSP-20658,Door Left Front,No Defect (Pass),0.873,0.0,4.05
INSP-20659,Hood,Paint Scratch / Blemish,0.826,0.93,4.26
INSP-20660,Hood,No Defect (Pass),0.954,0.0,4.38
INSP-20661,Door Left Front,No Defect (Pass),0.762,0.0,4.7
INSP-20662,Hood,No Defect (Pass),0.926,0.0,3.69
INSP-20663,Door Left Front,No Defect (Pass),0.942,0.0,4.55
INSP-20664,Door Left Front,No Defect (Pass),0.876,0.0,3.93
INSP-20665,Hood,No Defect (Pass),0.887,0.0,3.89
INSP-20666,Door Left Front,No Defect (Pass),0.661,0.0,3.88
INSP-20667,Roof Pillar,No Defect (Pass),0.884,0.0,4.46
INSP-20668,Quarter Panel Right,No Defect (Pass),0.872,0.0,4.47
INSP-20669,Quarter Panel Right,No Defect (Pass),0.888,0.0,4.21
INSP-20670,Roof Pillar,No Defect (Pass),0.876,0.0,4.29
INSP-20671,Door Left Front,No Defect (Pass),0.8,0.0,4.08
INSP-20672,Quarter Panel Right,No Defect (Pass),0.882,0.0,4.3
INSP-20673,Door Left Front,No Defect (Pass),0.956,0.0,4.05
INSP-20674,Hood,No Defect (Pass),0.925,0.0,3.79
INSP-20675,Hood,Welding Porosity,0.98,0.74,4.5
INSP-20676,Trunk Lid,No Defect (Pass),0.795,0.0,3.94
INSP-20677,Hood,No Defect (Pass),0.984,0.0,4.31
INSP-20678,Hood,No Defect (Pass),0.913,0.0,4.13
INSP-20679,Quarter Panel Right,No Defect (Pass),0.899,0.0,3.96
INSP-20680,Roof Pillar,No Defect (Pass),0.942,0.0,4.03
INSP-20681,Roof Pillar,No Defect (Pass),0.862,0.0,4.54
INSP-20682,Door Left Front,No Defect (Pass),0.627,0.0,4.86
INSP-20683,Trunk Lid,No Defect (Pass),0.926,0.0,4.6
INSP-20684,Quarter Panel Right,No Defect (Pass),0.591,0.0,4.42
INSP-20685,Trunk Lid,No Defect (Pass),0.717,0.0,4.8
INSP-20686,Quarter Panel Right,No Defect (Pass),0.913,0.0,4.06
INSP-20687,Hood,No Defect (Pass),0.968,0.0,4.18
INSP-20688,Trunk Lid,No Defect (Pass),0.939,0.0,3.9
INSP-20689,Trunk Lid,Clear-coat Orange Peel,0.728,0.93,4.02
INSP-20690,Roof Pillar,No Defect (Pass),0.915,0.0,4.21
INSP-20691,Roof Pillar,No Defect (Pass),0.926,0.0,3.87
INSP-20692,Roof Pillar,No Defect (Pass),0.977,0.0,3.88
INSP-20693,Hood,No Defect (Pass),0.962,0.0,4.18
INSP-20694,Roof Pillar,No Defect (Pass),0.849,0.0,4.26
INSP-20695,Hood,No Defect (Pass),0.936,0.0,4.26
INSP-20696,Roof Pillar,No Defect (Pass),0.798,0.0,4.55
INSP-20697,Trunk Lid,No Defect (Pass),0.997,0.0,3.99
INSP-20698,Roof Pillar,No Defect (Pass),0.89,0.0,4.18
INSP-20699,Roof Pillar,No Defect (Pass),0.948,0.0,4.11
INSP-20700,Door Left Front,No Defect (Pass),0.957,0.0,4.55
INSP-20701,Hood,No Defect (Pass),0.84,0.0,4.01
INSP-20702,Quarter Panel Right,No Defect (Pass),0.982,0.0,3.87
INSP-20703,Trunk Lid,No Defect (Pass),0.984,0.0,3.99
INSP-20704,Roof Pillar,No Defect (Pass),0.863,0.0,4.07
INSP-20705,Trunk Lid,No Defect (Pass),0.969,0.0,4.07
INSP-20706,Roof Pillar,No Defect (Pass),0.982,0.0,4.15
INSP-20707,Quarter Panel Right,No Defect (Pass),0.815,0.0,3.97
INSP-20708,Trunk Lid,No Defect (Pass),0.853,0.0,3.94
INSP-20709,Door Left Front,No Defect (Pass),0.841,0.0,4.01
INSP-20710,Hood,Welding Porosity,0.894,0.78,4.07
INSP-20711,Door Left Front,No Defect (Pass),0.969,0.0,3.96
INSP-20712,Quarter Panel Right,No Defect (Pass),0.884,0.0,4.36
INSP-20713,Trunk Lid,No Defect (Pass),0.893,0.0,3.79
INSP-20714,Trunk Lid,No Defect (Pass),0.735,0.0,4.09
INSP-20715,Quarter Panel Right,No Defect (Pass),0.939,0.0,4.03
INSP-20716,Quarter Panel Right,No Defect (Pass),0.53,0.0,4.69
INSP-20717,Hood,No Defect (Pass),0.948,0.0,3.78
INSP-20718,Door Left Front,No Defect (Pass),0.961,0.0,4.28
INSP-20719,Door Left Front,No Defect (Pass),0.951,0.0,4.3
INSP-20720,Trunk Lid,No Defect (Pass),0.945,0.0,3.8
INSP-20721,Quarter Panel Right,No Defect (Pass),1.0,0.0,3.85
INSP-20722,Hood,Paint Scratch / Blemish,0.896,0.86,4.13
INSP-20723,Trunk Lid,No Defect (Pass),0.978,0.0,4.58
INSP-20724,Trunk Lid,No Defect (Pass),0.939,0.0,4.06
INSP-20725,Door Left Front,Panel Gap Misalignment,0.874,0.77,4.0
INSP-20726,Hood,No Defect (Pass),0.938,0.0,4.23
INSP-20727,Door Left Front,No Defect (Pass),0.997,0.0,4.06
INSP-20728,Hood,No Defect (Pass),0.952,0.0,3.57
INSP-20729,Hood,No Defect (Pass),0.914,0.0,3.85
INSP-20730,Hood,No Defect (Pass),0.926,0.0,4.45
INSP-20731,Hood,No Defect (Pass),0.889,0.0,4.35
INSP-20732,Roof Pillar,No Defect (Pass),0.98,0.0,3.85
INSP-20733,Door Left Front,No Defect (Pass),0.887,0.0,3.56
INSP-20734,Quarter Panel Right,No Defect (Pass),1.0,0.0,4.46
INSP-20735,Quarter Panel Right,No Defect (Pass),0.963,0.0,3.91
INSP-20736,Quarter Panel Right,No Defect (Pass),0.805,0.0,4.65
INSP-20737,Hood,No Defect (Pass),0.957,0.0,3.74
INSP-20738,Hood,No Defect (Pass),0.812,0.0,4.18
INSP-20739,Hood,No Defect (Pass),0.723,0.0,4.26
INSP-20740,Hood,No Defect (Pass),0.971,0.0,4.16
INSP-20741,Door Left Front,No Defect (Pass),0.879,0.0,3.88
INSP-20742,Hood,No Defect (Pass),0.712,0.0,3.97
INSP-20743,Roof Pillar,No Defect (Pass),0.656,0.0,4.46
INSP-20744,Quarter Panel Right,No Defect (Pass),0.939,0.0,4.19
INSP-20745,Door Left Front,No Defect (Pass),0.925,0.0,4.21
INSP-20746,Quarter Panel Right,No Defect (Pass),0.952,0.0,4.4
INSP-20747,Trunk Lid,No Defect (Pass),0.87,0.0,4.5
INSP-20748,Hood,No Defect (Pass),0.949,0.0,3.7
INSP-20749,Quarter Panel Right,No Defect (Pass),0.746,0.0,4.22
INSP-20750,Trunk Lid,No Defect (Pass),0.955,0.0,3.87
INSP-20751,Hood,No Defect (Pass),0.997,0.0,3.97
INSP-20752,Quarter Panel Right,No Defect (Pass),0.924,0.0,4.29
INSP-20753,Roof Pillar,No Defect (Pass),0.818,0.0,4.19
INSP-20754,Hood,Panel Gap Misalignment,0.637,0.94,4.11
INSP-20755,Trunk Lid,No Defect (Pass),0.747,0.0,4.78
INSP-20756,Door Left Front,No Defect (Pass),0.967,0.0,4.26
INSP-20757,Roof Pillar,Paint Scratch / Blemish,0.839,0.84,4.12
INSP-20758,Roof Pillar,No Defect (Pass),0.945,0.0,3.94
INSP-20759,Door Left Front,No Defect (Pass),0.971,0.0,4.12
INSP-20760,Roof Pillar,No Defect (Pass),0.971,0.0,3.69
INSP-20761,Door Left Front,No Defect (Pass),0.901,0.0,3.96
INSP-20762,Door Left Front,No Defect (Pass),0.887,0.0,4.04
INSP-20763,Trunk Lid,No Defect (Pass),0.951,0.0,4.56
INSP-20764,Trunk Lid,No Defect (Pass),0.972,0.0,4.26
INSP-20765,Roof Pillar,No Defect (Pass),0.936,0.0,4.18
INSP-20766,Door Left Front,No Defect (Pass),0.954,0.0,3.89
INSP-20767,Roof Pillar,No Defect (Pass),0.958,0.0,3.82
INSP-20768,Roof Pillar,No Defect (Pass),0.91,0.0,4.23
INSP-20769,Quarter Panel Right,No Defect (Pass),0.88,0.0,4.43
INSP-20770,Hood,No Defect (Pass),0.9,0.0,4.12
INSP-20771,Quarter Panel Right,Paint Scratch / Blemish,0.687,0.74,4.12
INSP-20772,Door Left Front,No Defect (Pass),0.947,0.0,4.01
INSP-20773,Trunk Lid,No Defect (Pass),0.969,0.0,4.3
INSP-20774,Trunk Lid,No Defect (Pass),0.755,0.0,3.83
INSP-20775,Quarter Panel Right,No Defect (Pass),0.531,0.0,3.8
INSP-20776,Hood,No Defect (Pass),0.975,0.0,4.0
INSP-20777,Quarter Panel Right,No Defect (Pass),0.857,0.0,4.2
