Sensor_Pulse_ID,Tire_Slip_Angle_deg,In_Tread_Piezo_Accel_G,Estimated_Road_Friction_Mu,Contact_Patch_Length_mm,Tire_Grip_Status
PIRELLI-CYBER-1640,4.15,323.8,1.02,165.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1641,3.16,250.8,1.01,173.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1642,7.31,439.4,0.83,147.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1643,3.83,293.9,0.93,159.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1644,7.1,442.1,0.82,145.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1645,6.01,373.1,0.76,161.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1646,3.66,290.3,1.01,164.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1647,5.8,399.0,0.88,152.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1648,4.15,307.1,0.96,164.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1649,3.89,293.8,0.92,168.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1650,8.56,511.8,0.68,143.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1651,8.29,485.6,0.76,144.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1652,6.75,454.6,0.88,145.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1653,2.99,233.5,1.03,166.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1654,7.63,461.2,0.73,146.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1655,2.55,233.2,0.99,167.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1656,5.94,372.6,0.84,155.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1657,5.2,356.3,0.86,157.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1658,5.29,339.8,0.86,157.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1659,7.21,453.4,0.77,150.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1660,8.63,510.5,0.71,139.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1661,8.43,499.2,0.68,135.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1662,8.21,495.7,0.68,139.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1663,4.37,327.9,0.99,162.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1664,6.96,424.4,0.72,150.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1665,8.96,531.7,0.7,140.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1666,2.12,218.3,1.02,177.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1667,2.62,237.2,1.0,173.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1668,3.38,280.8,0.95,167.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1669,6.9,431.2,0.88,151.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1670,7.99,480.8,0.74,144.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1671,3.52,298.8,1.0,167.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1672,8.0,484.1,0.72,143.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1673,5.84,386.0,0.9,154.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1674,4.26,310.7,0.91,158.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1675,5.12,362.5,0.86,165.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1676,6.62,406.9,0.83,151.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1677,1.74,204.3,1.07,175.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1678,0.73,171.1,1.14,182.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1679,7.69,465.0,0.81,142.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1680,0.53,109.6,1.12,185.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1681,2.75,257.4,1.02,168.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1682,1.68,195.1,1.11,180.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1683,1.16,161.1,1.14,176.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1684,5.95,364.6,0.9,152.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1685,5.49,375.0,0.91,158.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1686,3.78,298.5,1.05,161.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1687,7.68,458.2,0.76,148.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1688,7.24,457.8,0.87,143.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1689,3.24,248.8,0.99,162.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1690,3.95,299.0,0.92,163.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1691,8.81,532.6,0.65,139.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1692,1.24,162.8,1.06,179.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1693,5.55,371.3,0.84,156.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1694,3.05,267.6,1.0,170.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1695,2.0,231.9,1.04,173.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1696,2.0,213.8,1.07,179.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1697,8.94,525.9,0.75,140.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1698,2.51,270.6,1.03,173.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1699,8.23,483.1,0.75,142.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1700,3.7,276.2,0.93,163.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1701,7.0,433.5,0.81,147.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1702,7.96,476.0,0.8,143.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1703,1.39,169.6,1.12,178.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1704,7.2,425.1,0.78,150.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1705,0.81,152.8,1.11,181.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1706,2.6,232.9,1.03,171.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1707,8.83,523.8,0.7,137.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1708,4.22,304.6,1.0,158.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1709,7.46,453.9,0.78,146.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1710,5.11,364.7,0.9,153.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1711,4.61,331.2,0.85,159.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1712,6.85,415.6,0.79,151.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1713,8.31,487.4,0.78,142.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1714,1.64,202.7,1.08,180.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1715,7.01,406.8,0.71,147.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1716,2.78,222.8,1.04,171.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1717,7.09,440.2,0.84,146.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1718,7.89,463.8,0.69,142.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1719,3.09,269.2,1.04,167.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1720,7.23,459.3,0.82,147.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1721,7.16,437.2,0.79,147.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1722,7.8,475.1,0.79,143.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1723,5.1,366.4,0.92,156.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1724,8.46,511.4,0.72,144.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1725,5.42,355.5,0.92,160.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1726,5.72,386.0,0.84,150.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1727,2.16,187.7,0.96,176.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1728,0.82,166.3,1.18,184.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1729,1.06,153.4,1.06,182.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1730,4.21,294.6,0.92,160.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1731,2.11,216.2,0.99,178.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1732,2.6,261.7,1.04,173.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1733,4.91,327.3,0.94,160.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1734,0.53,158.1,1.05,180.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1735,0.68,165.5,1.1,179.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1736,4.8,354.9,0.95,159.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1737,8.69,514.2,0.68,142.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1738,6.38,429.8,0.89,154.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1739,5.18,341.8,0.92,158.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1740,0.76,176.3,1.1,178.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1741,2.78,241.7,1.03,170.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1742,2.93,256.9,0.99,163.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1743,6.13,389.7,0.88,157.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1744,0.97,171.5,1.15,176.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1745,3.42,278.4,1.02,171.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1746,8.57,504.0,0.73,139.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1747,7.78,470.8,0.76,146.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1748,1.16,188.1,1.08,176.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1749,0.99,166.0,1.07,180.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1750,7.03,441.3,0.77,146.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1751,3.24,272.6,0.95,164.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1752,6.61,414.2,0.83,150.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1753,1.05,180.7,1.1,184.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1754,1.87,197.9,1.09,176.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1755,3.54,276.3,0.92,168.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1756,3.71,304.9,1.01,167.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1757,5.71,383.0,0.84,153.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1758,6.5,429.6,0.83,149.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1759,3.96,269.9,0.96,163.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1760,5.91,373.8,0.82,151.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1761,2.7,250.8,0.98,176.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1762,2.88,243.3,0.97,166.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1763,6.31,409.6,0.91,150.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1764,3.59,274.8,0.99,170.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1765,5.92,389.8,0.87,151.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1766,6.78,431.6,0.78,150.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1767,8.19,467.8,0.81,141.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1768,7.92,465.4,0.81,140.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1769,7.51,483.1,0.81,145.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1770,5.66,350.3,0.9,156.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1771,7.53,461.9,0.78,144.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1772,6.73,424.0,0.8,151.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1773,3.27,293.4,0.94,166.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1774,7.25,441.7,0.74,144.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1775,7.79,475.3,0.73,147.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1776,2.47,212.0,0.98,171.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1777,8.0,460.1,0.79,147.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1778,7.13,446.7,0.8,152.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1779,1.27,150.8,1.14,174.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1780,7.23,432.3,0.78,148.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1781,8.68,483.6,0.65,141.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1782,0.85,132.8,1.04,179.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1783,1.37,203.9,1.14,176.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1784,1.73,198.7,1.02,175.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1785,4.9,312.7,0.86,157.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1786,4.04,294.6,0.92,162.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1787,8.62,482.5,0.68,140.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1788,1.07,161.5,1.11,183.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1789,5.09,350.2,0.94,162.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1790,5.22,361.4,0.95,156.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1791,7.57,438.3,0.78,151.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1792,5.71,359.1,0.89,156.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1793,6.04,383.3,0.8,151.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1794,1.2,166.2,1.09,177.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1795,8.54,496.6,0.74,142.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1796,2.99,221.2,0.99,173.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1797,1.0,156.3,1.11,177.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1798,4.42,343.9,0.98,161.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1799,8.69,542.2,0.75,144.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1800,0.59,152.9,1.09,181.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1801,4.38,307.4,0.85,164.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1802,8.32,493.4,0.71,137.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1803,0.95,128.3,1.02,177.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1804,8.78,520.2,0.72,140.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1805,1.86,188.1,1.04,180.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1806,1.95,198.9,1.07,172.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1807,8.25,507.6,0.73,139.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1808,6.77,413.3,0.84,152.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1809,8.57,499.1,0.64,145.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1810,8.14,487.1,0.71,148.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1811,6.96,443.4,0.79,150.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1812,7.99,463.2,0.72,151.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1813,5.45,352.2,0.86,160.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1814,1.62,233.8,1.03,172.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1815,7.0,437.8,0.78,151.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1816,0.87,154.8,1.1,179.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1817,0.71,156.3,1.09,180.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1818,7.65,455.8,0.79,143.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1819,4.76,337.6,0.89,157.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1820,8.6,509.3,0.74,143.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1821,3.76,279.7,0.87,166.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1822,0.83,174.1,1.05,182.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1823,4.82,329.0,0.83,158.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1824,3.49,272.2,0.91,169.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1825,8.7,484.3,0.71,138.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1826,2.23,213.0,1.06,174.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1827,1.05,206.3,1.08,177.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1828,7.67,458.8,0.77,143.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1829,7.17,435.8,0.79,144.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1830,0.9,178.4,1.07,180.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1831,5.65,347.7,0.86,158.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1832,6.02,378.9,0.9,156.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1833,0.55,154.1,1.08,184.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1834,7.34,455.0,0.81,143.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1835,5.5,389.3,0.82,157.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1836,2.95,252.2,1.05,169.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1837,8.58,523.1,0.75,143.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1838,6.51,384.8,0.87,148.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1839,3.39,265.7,0.89,168.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1840,8.89,519.4,0.7,141.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1841,2.96,257.1,0.94,166.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1842,8.99,527.3,0.76,135.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1843,6.36,428.9,0.77,153.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1844,8.79,507.1,0.7,141.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1845,1.48,180.6,1.1,180.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1846,4.98,324.5,0.9,158.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1847,6.39,400.6,0.9,148.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1848,6.92,422.7,0.79,152.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1849,5.06,326.1,0.92,159.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1850,3.42,287.7,0.98,166.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1851,5.95,422.2,0.79,151.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1852,0.87,157.9,1.12,186.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1853,0.53,155.9,1.15,180.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1854,9.0,540.8,0.67,143.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1855,3.85,286.9,0.91,161.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1856,7.96,470.9,0.66,143.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1857,3.05,283.5,1.02,167.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1858,7.86,472.9,0.8,145.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1859,4.82,350.8,0.91,163.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1860,6.35,393.3,0.82,156.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1861,8.81,478.3,0.71,137.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1862,3.91,283.0,0.94,165.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1863,1.28,158.6,1.1,176.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1864,2.08,212.9,0.99,174.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1865,4.01,308.8,0.91,167.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1866,4.39,335.3,0.91,161.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1867,4.63,335.4,0.88,160.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1868,4.52,342.8,0.92,158.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1869,3.81,316.5,0.91,159.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1870,1.55,170.3,1.1,181.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1871,6.01,394.1,0.85,155.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1872,1.08,157.9,1.09,178.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1873,4.24,300.0,0.96,165.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1874,8.52,513.1,0.7,140.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1875,1.18,168.1,1.13,176.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1876,7.84,464.4,0.73,141.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1877,1.97,201.5,1.1,174.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1878,8.36,503.5,0.7,141.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1879,5.17,347.0,0.91,155.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1880,5.15,329.2,0.94,156.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1881,3.65,276.3,0.91,168.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1882,6.0,395.3,0.91,149.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1883,8.71,517.4,0.72,140.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1884,7.1,449.8,0.87,149.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1885,7.66,482.1,0.74,148.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1886,7.67,462.9,0.75,142.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1887,7.54,457.4,0.76,146.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1888,1.17,168.2,1.13,182.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1889,1.26,194.6,1.06,174.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1890,8.43,501.9,0.73,140.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1891,2.09,236.7,1.0,173.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1892,3.76,298.0,0.92,164.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1893,0.99,153.8,1.07,182.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1894,2.31,217.0,1.1,171.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1895,5.54,355.6,0.88,152.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1896,4.46,326.2,0.97,161.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1897,8.19,488.9,0.79,139.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1898,5.23,349.9,0.89,157.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1899,7.25,424.5,0.77,143.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1900,4.5,323.3,0.93,160.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1901,1.33,164.8,1.06,175.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1902,5.94,408.6,0.92,160.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1903,7.98,469.1,0.72,145.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1904,1.21,143.5,1.1,178.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1905,4.59,351.1,0.9,159.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1906,2.94,252.4,0.96,175.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1907,0.53,156.1,1.1,187.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1908,5.54,370.8,0.88,156.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1909,6.99,424.5,0.77,142.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1910,1.66,208.0,1.08,178.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1911,6.46,394.0,0.83,151.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1912,5.28,387.6,0.86,159.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1913,5.68,378.7,0.88,158.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1914,1.74,206.3,1.02,170.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1915,5.83,388.6,0.94,155.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1916,7.65,461.6,0.79,147.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1917,6.26,381.9,0.83,152.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1918,8.35,496.0,0.73,139.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1919,3.47,266.9,0.98,166.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1920,0.51,182.7,1.13,185.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1921,4.89,344.2,0.93,162.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1922,2.33,234.7,1.07,178.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1923,3.29,258.5,0.99,171.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1924,5.18,321.3,0.83,154.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1925,5.13,359.8,0.85,159.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1926,4.78,349.3,0.89,163.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1927,6.81,441.1,0.85,151.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1928,1.89,184.6,1.04,175.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1929,7.02,441.9,0.72,148.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1930,7.58,441.0,0.82,147.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1931,0.93,133.6,1.04,183.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1932,4.03,322.1,0.98,157.3,Optimal Elastic Grip Domain
