Detection_Event_ID,Road_User_Type,Distance_to_Vehicle_m,Crossing_Speed_m_s,Time_to_Collision_s,Safety_Intervention
VOLVO-VRU-1682,Cyclist Fast,6.6,7.4,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1683,Pedestrian Running,25.5,1.1,2.47,Warning Prompt in Driver Display
VOLVO-VRU-1684,E-Scooter Commuter,28.8,2.8,2.36,Warning Prompt in Driver Display
VOLVO-VRU-1685,E-Scooter Commuter,44.2,2.1,4.5,Warning Prompt in Driver Display
VOLVO-VRU-1686,Cyclist Fast,20.3,5.4,1.21,Automatic Emergency Braking (AEB)
VOLVO-VRU-1687,Pedestrian Walking,26.8,1.9,2.62,Warning Prompt in Driver Display
VOLVO-VRU-1688,Pedestrian Running,22.7,2.0,2.19,Warning Prompt in Driver Display
VOLVO-VRU-1689,Pedestrian Walking,28.9,2.0,2.59,Warning Prompt in Driver Display
VOLVO-VRU-1690,Child Crossing,41.5,5.2,3.01,Warning Prompt in Driver Display
VOLVO-VRU-1691,Child Crossing,5.2,5.4,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1692,Cyclist Fast,28.7,7.4,2.17,Warning Prompt in Driver Display
VOLVO-VRU-1693,Child Crossing,17.3,6.8,0.82,Automatic Emergency Braking (AEB)
VOLVO-VRU-1694,Pedestrian Walking,33.5,1.5,3.54,Warning Prompt in Driver Display
VOLVO-VRU-1695,Pedestrian Walking,9.9,6.7,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1696,Cyclist Fast,20.9,5.7,1.73,Automatic Emergency Braking (AEB)
VOLVO-VRU-1697,Pedestrian Running,7.9,3.8,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1698,Pedestrian Running,38.8,3.2,3.24,Warning Prompt in Driver Display
VOLVO-VRU-1699,Pedestrian Walking,13.6,1.2,1.54,Automatic Emergency Braking (AEB)
VOLVO-VRU-1700,E-Scooter Commuter,30.2,6.8,1.84,Warning Prompt in Driver Display
VOLVO-VRU-1701,Pedestrian Walking,41.6,5.3,3.15,Warning Prompt in Driver Display
VOLVO-VRU-1702,Pedestrian Walking,6.1,3.7,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1703,Pedestrian Walking,20.3,4.2,1.94,Warning Prompt in Driver Display
VOLVO-VRU-1704,Cyclist Fast,34.8,2.5,3.43,Warning Prompt in Driver Display
VOLVO-VRU-1705,Cyclist Fast,42.2,5.2,3.31,Warning Prompt in Driver Display
VOLVO-VRU-1706,Pedestrian Walking,19.4,6.9,1.16,Automatic Emergency Braking (AEB)
VOLVO-VRU-1707,Child Crossing,40.5,4.4,3.5,Warning Prompt in Driver Display
VOLVO-VRU-1708,Pedestrian Walking,11.6,5.6,0.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1709,Pedestrian Walking,17.7,3.0,1.46,Automatic Emergency Braking (AEB)
VOLVO-VRU-1710,Pedestrian Walking,34.6,5.1,2.6,Warning Prompt in Driver Display
VOLVO-VRU-1711,Child Crossing,37.4,5.9,2.4,Warning Prompt in Driver Display
VOLVO-VRU-1712,Pedestrian Walking,22.2,3.0,1.95,Warning Prompt in Driver Display
VOLVO-VRU-1713,E-Scooter Commuter,14.1,5.0,0.98,Automatic Emergency Braking (AEB)
VOLVO-VRU-1714,Pedestrian Walking,10.5,3.4,1.06,Automatic Emergency Braking (AEB)
VOLVO-VRU-1715,Pedestrian Walking,8.3,3.4,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1716,Cyclist Fast,37.3,2.5,3.21,Warning Prompt in Driver Display
VOLVO-VRU-1717,Pedestrian Walking,37.8,2.5,3.54,Warning Prompt in Driver Display
VOLVO-VRU-1718,Pedestrian Walking,19.6,4.2,1.92,Warning Prompt in Driver Display
VOLVO-VRU-1719,Pedestrian Walking,40.6,5.8,2.59,Warning Prompt in Driver Display
VOLVO-VRU-1720,Pedestrian Running,36.4,5.9,2.19,Warning Prompt in Driver Display
VOLVO-VRU-1721,Pedestrian Walking,41.8,2.0,4.08,Warning Prompt in Driver Display
VOLVO-VRU-1722,Pedestrian Walking,33.7,2.8,3.0,Warning Prompt in Driver Display
VOLVO-VRU-1723,Pedestrian Walking,31.1,7.4,2.16,Warning Prompt in Driver Display
VOLVO-VRU-1724,Cyclist Fast,16.4,6.5,1.27,Automatic Emergency Braking (AEB)
VOLVO-VRU-1725,Pedestrian Walking,37.5,7.4,2.1,Warning Prompt in Driver Display
VOLVO-VRU-1726,Pedestrian Walking,23.2,2.8,2.0,Warning Prompt in Driver Display
VOLVO-VRU-1727,Pedestrian Walking,23.9,4.8,1.71,Automatic Emergency Braking (AEB)
VOLVO-VRU-1728,Pedestrian Walking,38.3,3.8,3.19,Warning Prompt in Driver Display
VOLVO-VRU-1729,Pedestrian Walking,42.2,5.4,3.09,Warning Prompt in Driver Display
VOLVO-VRU-1730,Cyclist Fast,25.9,1.5,2.51,Warning Prompt in Driver Display
VOLVO-VRU-1731,Pedestrian Running,34.5,5.9,2.68,Warning Prompt in Driver Display
VOLVO-VRU-1732,Cyclist Fast,20.6,4.9,1.39,Automatic Emergency Braking (AEB)
VOLVO-VRU-1733,Pedestrian Walking,32.2,7.0,2.05,Warning Prompt in Driver Display
VOLVO-VRU-1734,E-Scooter Commuter,22.4,2.2,1.99,Warning Prompt in Driver Display
VOLVO-VRU-1735,Cyclist Fast,35.7,1.8,3.74,Warning Prompt in Driver Display
VOLVO-VRU-1736,Pedestrian Walking,16.2,5.4,0.95,Automatic Emergency Braking (AEB)
VOLVO-VRU-1737,E-Scooter Commuter,22.2,1.1,2.67,Warning Prompt in Driver Display
VOLVO-VRU-1738,E-Scooter Commuter,42.2,5.0,3.42,Warning Prompt in Driver Display
VOLVO-VRU-1739,Cyclist Fast,35.8,2.4,3.42,Warning Prompt in Driver Display
VOLVO-VRU-1740,Pedestrian Running,10.5,4.2,1.05,Automatic Emergency Braking (AEB)
VOLVO-VRU-1741,Pedestrian Walking,15.4,6.4,0.72,Automatic Emergency Braking (AEB)
VOLVO-VRU-1742,Pedestrian Walking,42.6,1.8,3.91,Warning Prompt in Driver Display
VOLVO-VRU-1743,Cyclist Fast,16.0,4.7,1.2,Automatic Emergency Braking (AEB)
VOLVO-VRU-1744,Cyclist Fast,11.6,4.5,0.81,Automatic Emergency Braking (AEB)
VOLVO-VRU-1745,Pedestrian Running,43.8,6.7,2.99,Warning Prompt in Driver Display
VOLVO-VRU-1746,Pedestrian Running,31.4,3.3,2.55,Warning Prompt in Driver Display
VOLVO-VRU-1747,Cyclist Fast,11.6,3.1,1.02,Automatic Emergency Braking (AEB)
VOLVO-VRU-1748,Cyclist Fast,41.4,7.5,2.37,Warning Prompt in Driver Display
VOLVO-VRU-1749,Pedestrian Walking,18.3,3.6,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1750,Pedestrian Walking,11.6,6.1,0.83,Automatic Emergency Braking (AEB)
VOLVO-VRU-1751,Pedestrian Walking,38.3,2.9,3.07,Warning Prompt in Driver Display
VOLVO-VRU-1752,Pedestrian Walking,33.1,5.9,2.1,Warning Prompt in Driver Display
VOLVO-VRU-1753,Pedestrian Running,11.6,2.8,1.19,Automatic Emergency Braking (AEB)
VOLVO-VRU-1754,Cyclist Fast,11.4,6.0,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1755,Pedestrian Walking,44.4,1.8,4.5,Warning Prompt in Driver Display
VOLVO-VRU-1756,Pedestrian Running,8.6,6.9,0.73,Automatic Emergency Braking (AEB)
VOLVO-VRU-1757,Pedestrian Walking,26.9,4.1,2.42,Warning Prompt in Driver Display
VOLVO-VRU-1758,Cyclist Fast,28.3,7.3,2.14,Warning Prompt in Driver Display
VOLVO-VRU-1759,Cyclist Fast,23.1,5.0,1.47,Automatic Emergency Braking (AEB)
VOLVO-VRU-1760,Pedestrian Walking,44.7,7.0,2.7,Warning Prompt in Driver Display
VOLVO-VRU-1761,Pedestrian Walking,29.4,4.1,2.5,Warning Prompt in Driver Display
VOLVO-VRU-1762,E-Scooter Commuter,30.1,3.2,2.28,Warning Prompt in Driver Display
VOLVO-VRU-1763,Pedestrian Running,40.0,4.5,3.29,Warning Prompt in Driver Display
VOLVO-VRU-1764,Pedestrian Running,35.4,1.5,3.92,Warning Prompt in Driver Display
VOLVO-VRU-1765,Pedestrian Walking,33.5,5.2,2.56,Warning Prompt in Driver Display
VOLVO-VRU-1766,Pedestrian Running,11.2,5.7,0.83,Automatic Emergency Braking (AEB)
VOLVO-VRU-1767,Pedestrian Walking,45.0,1.6,4.34,Warning Prompt in Driver Display
VOLVO-VRU-1768,Pedestrian Walking,27.8,4.6,2.18,Warning Prompt in Driver Display
VOLVO-VRU-1769,Pedestrian Walking,17.4,2.1,1.65,Automatic Emergency Braking (AEB)
VOLVO-VRU-1770,Pedestrian Walking,28.8,3.1,2.49,Warning Prompt in Driver Display
VOLVO-VRU-1771,Pedestrian Walking,41.3,4.7,3.27,Warning Prompt in Driver Display
VOLVO-VRU-1772,Pedestrian Walking,6.4,1.9,1.01,Automatic Emergency Braking (AEB)
VOLVO-VRU-1773,Pedestrian Walking,38.4,3.3,3.05,Warning Prompt in Driver Display
VOLVO-VRU-1774,Pedestrian Walking,18.2,1.4,1.92,Warning Prompt in Driver Display
VOLVO-VRU-1775,Cyclist Fast,22.2,4.8,1.58,Automatic Emergency Braking (AEB)
VOLVO-VRU-1776,E-Scooter Commuter,24.8,5.6,1.72,Automatic Emergency Braking (AEB)
VOLVO-VRU-1777,Cyclist Fast,40.0,2.6,3.65,Warning Prompt in Driver Display
VOLVO-VRU-1778,Pedestrian Walking,35.2,6.4,2.02,Warning Prompt in Driver Display
VOLVO-VRU-1779,Pedestrian Walking,10.7,3.0,0.89,Automatic Emergency Braking (AEB)
VOLVO-VRU-1780,Pedestrian Walking,34.1,2.2,2.93,Warning Prompt in Driver Display
VOLVO-VRU-1781,Pedestrian Walking,14.6,6.2,0.91,Automatic Emergency Braking (AEB)
VOLVO-VRU-1782,Pedestrian Walking,19.9,6.3,1.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1783,Pedestrian Running,13.1,6.2,0.84,Automatic Emergency Braking (AEB)
VOLVO-VRU-1784,Cyclist Fast,42.7,3.4,3.6,Warning Prompt in Driver Display
VOLVO-VRU-1785,Pedestrian Walking,42.6,7.3,2.92,Warning Prompt in Driver Display
VOLVO-VRU-1786,Pedestrian Walking,44.2,7.1,2.39,Warning Prompt in Driver Display
VOLVO-VRU-1787,E-Scooter Commuter,12.6,1.5,1.26,Automatic Emergency Braking (AEB)
VOLVO-VRU-1788,Pedestrian Running,19.2,3.7,1.77,Automatic Emergency Braking (AEB)
VOLVO-VRU-1789,Pedestrian Walking,17.8,1.7,2.05,Warning Prompt in Driver Display
VOLVO-VRU-1790,Pedestrian Running,43.3,1.9,4.16,Warning Prompt in Driver Display
VOLVO-VRU-1791,E-Scooter Commuter,30.2,4.7,2.48,Warning Prompt in Driver Display
VOLVO-VRU-1792,Cyclist Fast,44.5,6.9,3.0,Warning Prompt in Driver Display
VOLVO-VRU-1793,Pedestrian Running,42.9,2.3,3.99,Warning Prompt in Driver Display
VOLVO-VRU-1794,Cyclist Fast,16.2,1.9,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1795,Cyclist Fast,32.9,3.4,2.79,Warning Prompt in Driver Display
VOLVO-VRU-1796,Pedestrian Walking,40.6,6.5,2.72,Warning Prompt in Driver Display
VOLVO-VRU-1797,Pedestrian Walking,33.2,2.6,3.11,Warning Prompt in Driver Display
VOLVO-VRU-1798,Pedestrian Running,15.4,3.7,1.21,Automatic Emergency Braking (AEB)
VOLVO-VRU-1799,Cyclist Fast,20.2,7.4,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1800,Child Crossing,43.7,3.8,3.44,Warning Prompt in Driver Display
VOLVO-VRU-1801,Cyclist Fast,16.2,5.9,0.95,Automatic Emergency Braking (AEB)
VOLVO-VRU-1802,Pedestrian Walking,6.4,5.0,0.78,Automatic Emergency Braking (AEB)
VOLVO-VRU-1803,Pedestrian Walking,23.3,2.5,2.04,Warning Prompt in Driver Display
VOLVO-VRU-1804,E-Scooter Commuter,27.9,6.2,1.62,Automatic Emergency Braking (AEB)
VOLVO-VRU-1805,Pedestrian Walking,13.4,7.3,0.84,Automatic Emergency Braking (AEB)
VOLVO-VRU-1806,Pedestrian Walking,14.6,4.7,0.92,Automatic Emergency Braking (AEB)
VOLVO-VRU-1807,Pedestrian Running,11.4,3.9,0.88,Automatic Emergency Braking (AEB)
VOLVO-VRU-1808,Cyclist Fast,6.4,3.7,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1809,Pedestrian Walking,29.5,4.6,2.24,Warning Prompt in Driver Display
VOLVO-VRU-1810,Pedestrian Running,36.8,4.3,3.33,Warning Prompt in Driver Display
VOLVO-VRU-1811,Cyclist Fast,37.5,6.1,2.55,Warning Prompt in Driver Display
VOLVO-VRU-1812,E-Scooter Commuter,37.8,7.4,2.55,Warning Prompt in Driver Display
VOLVO-VRU-1813,Pedestrian Walking,8.3,2.1,0.86,Automatic Emergency Braking (AEB)
VOLVO-VRU-1814,Cyclist Fast,39.4,2.2,3.93,Warning Prompt in Driver Display
VOLVO-VRU-1815,E-Scooter Commuter,27.0,5.2,2.09,Warning Prompt in Driver Display
VOLVO-VRU-1816,Pedestrian Walking,37.4,2.1,3.65,Warning Prompt in Driver Display
VOLVO-VRU-1817,E-Scooter Commuter,30.6,4.2,2.56,Warning Prompt in Driver Display
VOLVO-VRU-1818,E-Scooter Commuter,19.3,2.8,2.01,Warning Prompt in Driver Display
VOLVO-VRU-1819,Cyclist Fast,14.8,6.1,1.0,Automatic Emergency Braking (AEB)
VOLVO-VRU-1820,Cyclist Fast,11.9,5.7,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1821,Pedestrian Walking,38.3,2.3,3.56,Warning Prompt in Driver Display
VOLVO-VRU-1822,Cyclist Fast,5.5,5.5,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1823,Pedestrian Running,6.9,3.6,0.63,Automatic Emergency Braking (AEB)
VOLVO-VRU-1824,E-Scooter Commuter,31.8,6.7,2.15,Warning Prompt in Driver Display
VOLVO-VRU-1825,Pedestrian Running,18.9,3.1,1.36,Automatic Emergency Braking (AEB)
VOLVO-VRU-1826,Pedestrian Walking,37.2,6.1,2.38,Warning Prompt in Driver Display
VOLVO-VRU-1827,Cyclist Fast,31.8,6.9,2.14,Warning Prompt in Driver Display
VOLVO-VRU-1828,Pedestrian Running,16.3,1.4,1.83,Warning Prompt in Driver Display
VOLVO-VRU-1829,Pedestrian Running,8.0,6.5,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1830,Pedestrian Running,42.0,3.7,3.42,Warning Prompt in Driver Display
VOLVO-VRU-1831,Pedestrian Walking,18.3,6.3,1.23,Automatic Emergency Braking (AEB)
VOLVO-VRU-1832,Pedestrian Walking,39.7,5.4,3.12,Warning Prompt in Driver Display
VOLVO-VRU-1833,Pedestrian Running,29.4,7.5,1.57,Automatic Emergency Braking (AEB)
VOLVO-VRU-1834,Pedestrian Walking,41.5,6.5,2.49,Warning Prompt in Driver Display
VOLVO-VRU-1835,Pedestrian Walking,20.6,2.5,1.52,Automatic Emergency Braking (AEB)
VOLVO-VRU-1836,E-Scooter Commuter,9.1,6.6,0.69,Automatic Emergency Braking (AEB)
VOLVO-VRU-1837,Pedestrian Walking,42.4,2.0,3.88,Warning Prompt in Driver Display
VOLVO-VRU-1838,Pedestrian Walking,44.9,3.7,3.67,Warning Prompt in Driver Display
VOLVO-VRU-1839,Pedestrian Walking,21.5,5.9,1.52,Automatic Emergency Braking (AEB)
VOLVO-VRU-1840,Pedestrian Walking,32.8,5.1,2.33,Warning Prompt in Driver Display
VOLVO-VRU-1841,Cyclist Fast,40.7,4.7,2.98,Warning Prompt in Driver Display
VOLVO-VRU-1842,Child Crossing,10.8,3.3,0.84,Automatic Emergency Braking (AEB)
VOLVO-VRU-1843,Pedestrian Walking,17.3,1.8,1.86,Warning Prompt in Driver Display
VOLVO-VRU-1844,Pedestrian Walking,25.8,4.6,2.06,Warning Prompt in Driver Display
VOLVO-VRU-1845,Pedestrian Walking,39.4,6.6,2.41,Warning Prompt in Driver Display
VOLVO-VRU-1846,E-Scooter Commuter,6.5,1.8,0.63,Automatic Emergency Braking (AEB)
VOLVO-VRU-1847,Cyclist Fast,19.9,4.7,1.88,Warning Prompt in Driver Display
VOLVO-VRU-1848,Pedestrian Walking,43.7,1.2,4.5,Warning Prompt in Driver Display
VOLVO-VRU-1849,Pedestrian Running,23.0,6.1,1.79,Automatic Emergency Braking (AEB)
VOLVO-VRU-1850,Pedestrian Running,36.0,6.3,2.17,Warning Prompt in Driver Display
VOLVO-VRU-1851,Pedestrian Running,37.2,4.2,3.17,Warning Prompt in Driver Display
VOLVO-VRU-1852,Pedestrian Walking,15.7,3.6,1.46,Automatic Emergency Braking (AEB)
VOLVO-VRU-1853,Cyclist Fast,34.4,1.7,3.51,Warning Prompt in Driver Display
VOLVO-VRU-1854,Pedestrian Running,7.0,6.8,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1855,Pedestrian Walking,14.0,2.5,1.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1856,Pedestrian Walking,31.1,4.2,2.41,Warning Prompt in Driver Display
VOLVO-VRU-1857,Pedestrian Walking,20.2,6.5,1.42,Automatic Emergency Braking (AEB)
VOLVO-VRU-1858,Pedestrian Running,15.7,2.4,1.53,Automatic Emergency Braking (AEB)
VOLVO-VRU-1859,Pedestrian Running,40.4,3.6,3.4,Warning Prompt in Driver Display
VOLVO-VRU-1860,Pedestrian Walking,10.8,1.8,1.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1861,Pedestrian Walking,39.0,2.8,3.2,Warning Prompt in Driver Display
VOLVO-VRU-1862,Pedestrian Running,43.3,4.5,3.18,Warning Prompt in Driver Display
VOLVO-VRU-1863,Pedestrian Walking,12.9,4.1,1.09,Automatic Emergency Braking (AEB)
VOLVO-VRU-1864,Pedestrian Walking,38.9,2.4,3.9,Warning Prompt in Driver Display
VOLVO-VRU-1865,Pedestrian Walking,39.4,1.4,3.79,Warning Prompt in Driver Display
VOLVO-VRU-1866,Pedestrian Walking,5.2,2.0,0.62,Automatic Emergency Braking (AEB)
VOLVO-VRU-1867,Child Crossing,16.8,4.0,1.34,Automatic Emergency Braking (AEB)
VOLVO-VRU-1868,Pedestrian Walking,20.7,3.5,1.72,Automatic Emergency Braking (AEB)
VOLVO-VRU-1869,Pedestrian Walking,42.0,4.5,2.85,Warning Prompt in Driver Display
VOLVO-VRU-1870,Pedestrian Walking,5.5,4.1,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1871,Cyclist Fast,32.2,6.4,2.41,Warning Prompt in Driver Display
VOLVO-VRU-1872,E-Scooter Commuter,9.6,6.9,0.68,Automatic Emergency Braking (AEB)
VOLVO-VRU-1873,Cyclist Fast,33.8,3.0,2.96,Warning Prompt in Driver Display
VOLVO-VRU-1874,Pedestrian Walking,35.6,5.9,2.65,Warning Prompt in Driver Display
VOLVO-VRU-1875,Pedestrian Walking,7.2,2.5,0.75,Automatic Emergency Braking (AEB)
VOLVO-VRU-1876,Pedestrian Walking,27.1,4.5,2.13,Warning Prompt in Driver Display
VOLVO-VRU-1877,Cyclist Fast,29.7,3.2,2.83,Warning Prompt in Driver Display
VOLVO-VRU-1878,E-Scooter Commuter,32.1,6.6,2.15,Warning Prompt in Driver Display
VOLVO-VRU-1879,Cyclist Fast,21.4,2.3,1.88,Warning Prompt in Driver Display
VOLVO-VRU-1880,Pedestrian Running,9.8,7.0,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1881,Pedestrian Walking,17.5,5.5,1.42,Automatic Emergency Braking (AEB)
VOLVO-VRU-1882,Pedestrian Walking,28.7,2.2,2.39,Warning Prompt in Driver Display
VOLVO-VRU-1883,Pedestrian Walking,33.4,3.4,2.43,Warning Prompt in Driver Display
VOLVO-VRU-1884,Pedestrian Running,34.1,2.4,3.04,Warning Prompt in Driver Display
VOLVO-VRU-1885,Pedestrian Running,42.8,3.1,3.66,Warning Prompt in Driver Display
VOLVO-VRU-1886,Pedestrian Running,14.5,6.0,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1887,Pedestrian Walking,28.0,2.2,2.72,Warning Prompt in Driver Display
VOLVO-VRU-1888,Pedestrian Walking,26.4,6.9,1.54,Automatic Emergency Braking (AEB)
VOLVO-VRU-1889,Pedestrian Walking,23.2,1.4,2.53,Warning Prompt in Driver Display
VOLVO-VRU-1890,Pedestrian Walking,39.7,1.8,3.83,Warning Prompt in Driver Display
VOLVO-VRU-1891,Pedestrian Running,18.9,5.9,1.49,Automatic Emergency Braking (AEB)
VOLVO-VRU-1892,Pedestrian Running,37.6,6.3,2.06,Warning Prompt in Driver Display
VOLVO-VRU-1893,Pedestrian Walking,21.1,1.7,2.33,Warning Prompt in Driver Display
VOLVO-VRU-1894,Pedestrian Walking,9.7,2.3,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1895,Pedestrian Walking,13.5,7.2,0.93,Automatic Emergency Braking (AEB)
VOLVO-VRU-1896,Cyclist Fast,37.4,4.6,3.0,Warning Prompt in Driver Display
VOLVO-VRU-1897,Pedestrian Running,20.4,7.0,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1898,Pedestrian Walking,7.7,4.4,0.62,Automatic Emergency Braking (AEB)
VOLVO-VRU-1899,Pedestrian Walking,12.0,2.2,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1900,Pedestrian Walking,31.3,6.1,2.05,Warning Prompt in Driver Display
VOLVO-VRU-1901,Pedestrian Running,43.4,4.3,3.28,Warning Prompt in Driver Display
VOLVO-VRU-1902,Cyclist Fast,26.1,3.9,2.27,Warning Prompt in Driver Display
VOLVO-VRU-1903,Pedestrian Running,20.2,3.4,1.74,Automatic Emergency Braking (AEB)
VOLVO-VRU-1904,Pedestrian Running,13.2,5.8,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1905,Child Crossing,11.7,7.4,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1906,Child Crossing,12.7,7.3,0.71,Automatic Emergency Braking (AEB)
VOLVO-VRU-1907,Pedestrian Walking,37.3,2.6,3.75,Warning Prompt in Driver Display
VOLVO-VRU-1908,Pedestrian Walking,22.0,3.3,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1909,Pedestrian Running,30.6,3.8,2.5,Warning Prompt in Driver Display
VOLVO-VRU-1910,Pedestrian Walking,42.6,3.0,3.99,Warning Prompt in Driver Display
VOLVO-VRU-1911,E-Scooter Commuter,16.6,3.8,1.34,Automatic Emergency Braking (AEB)
VOLVO-VRU-1912,Cyclist Fast,7.8,2.0,0.65,Automatic Emergency Braking (AEB)
VOLVO-VRU-1913,Pedestrian Walking,14.4,3.6,1.07,Automatic Emergency Braking (AEB)
VOLVO-VRU-1914,Pedestrian Walking,14.5,2.2,1.4,Automatic Emergency Braking (AEB)
VOLVO-VRU-1915,Pedestrian Walking,43.6,5.7,3.31,Warning Prompt in Driver Display
VOLVO-VRU-1916,Pedestrian Walking,15.0,6.3,1.22,Automatic Emergency Braking (AEB)
VOLVO-VRU-1917,Pedestrian Walking,26.8,5.0,2.03,Warning Prompt in Driver Display
VOLVO-VRU-1918,Pedestrian Walking,31.3,5.1,2.44,Warning Prompt in Driver Display
VOLVO-VRU-1919,Pedestrian Running,40.7,3.3,3.72,Warning Prompt in Driver Display
VOLVO-VRU-1920,Pedestrian Walking,19.1,3.2,1.54,Automatic Emergency Braking (AEB)
VOLVO-VRU-1921,Pedestrian Running,7.6,2.2,0.89,Automatic Emergency Braking (AEB)
VOLVO-VRU-1922,Pedestrian Walking,23.3,1.6,2.37,Warning Prompt in Driver Display
VOLVO-VRU-1923,Pedestrian Running,23.2,3.8,1.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1924,Pedestrian Walking,31.7,2.7,3.18,Warning Prompt in Driver Display
VOLVO-VRU-1925,Pedestrian Walking,27.9,1.4,2.79,Warning Prompt in Driver Display
VOLVO-VRU-1926,Pedestrian Walking,7.1,6.5,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1927,Cyclist Fast,7.4,5.0,1.07,Automatic Emergency Braking (AEB)
VOLVO-VRU-1928,Pedestrian Walking,19.1,2.0,1.94,Warning Prompt in Driver Display
VOLVO-VRU-1929,Cyclist Fast,40.0,2.2,3.53,Warning Prompt in Driver Display
VOLVO-VRU-1930,Pedestrian Walking,25.4,2.3,2.54,Warning Prompt in Driver Display
VOLVO-VRU-1931,Pedestrian Walking,38.2,2.4,3.58,Warning Prompt in Driver Display
VOLVO-VRU-1932,Cyclist Fast,26.8,4.9,1.67,Automatic Emergency Braking (AEB)
VOLVO-VRU-1933,Pedestrian Walking,36.2,2.3,3.3,Warning Prompt in Driver Display
VOLVO-VRU-1934,Pedestrian Walking,26.2,3.4,1.89,Warning Prompt in Driver Display
VOLVO-VRU-1935,Pedestrian Walking,12.0,7.4,0.87,Automatic Emergency Braking (AEB)
VOLVO-VRU-1936,Pedestrian Walking,41.9,7.1,2.46,Warning Prompt in Driver Display
VOLVO-VRU-1937,Pedestrian Walking,17.5,5.5,1.02,Automatic Emergency Braking (AEB)
VOLVO-VRU-1938,Pedestrian Running,15.3,4.0,1.07,Automatic Emergency Braking (AEB)
VOLVO-VRU-1939,Pedestrian Walking,14.2,6.0,0.94,Automatic Emergency Braking (AEB)
VOLVO-VRU-1940,Pedestrian Walking,17.0,7.1,1.33,Automatic Emergency Braking (AEB)
VOLVO-VRU-1941,Cyclist Fast,20.5,2.7,2.19,Warning Prompt in Driver Display
VOLVO-VRU-1942,Pedestrian Walking,37.8,1.2,3.59,Warning Prompt in Driver Display
VOLVO-VRU-1943,Cyclist Fast,22.7,6.0,2.03,Warning Prompt in Driver Display
VOLVO-VRU-1944,Pedestrian Walking,31.2,1.4,2.83,Warning Prompt in Driver Display
VOLVO-VRU-1945,Pedestrian Walking,17.3,2.7,1.57,Automatic Emergency Braking (AEB)
VOLVO-VRU-1946,Cyclist Fast,13.3,6.9,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1947,Child Crossing,6.0,2.9,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1948,Pedestrian Walking,6.6,4.6,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1949,Child Crossing,41.1,7.2,2.43,Warning Prompt in Driver Display
VOLVO-VRU-1950,Child Crossing,12.1,1.1,1.71,Automatic Emergency Braking (AEB)
VOLVO-VRU-1951,Pedestrian Walking,5.4,2.1,0.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1952,Pedestrian Walking,38.1,5.4,2.88,Warning Prompt in Driver Display
VOLVO-VRU-1953,Cyclist Fast,33.4,4.6,2.78,Warning Prompt in Driver Display
VOLVO-VRU-1954,Pedestrian Walking,13.7,4.8,1.05,Automatic Emergency Braking (AEB)
VOLVO-VRU-1955,Cyclist Fast,7.3,6.9,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1956,Pedestrian Walking,27.4,2.8,2.17,Warning Prompt in Driver Display
VOLVO-VRU-1957,Cyclist Fast,6.9,3.3,1.07,Automatic Emergency Braking (AEB)
VOLVO-VRU-1958,Pedestrian Running,16.4,1.8,1.51,Automatic Emergency Braking (AEB)
VOLVO-VRU-1959,Cyclist Fast,44.6,6.4,2.99,Warning Prompt in Driver Display
VOLVO-VRU-1960,Pedestrian Walking,25.0,7.2,1.93,Warning Prompt in Driver Display
