Aero_Run_ID,Speed_kmh,Lateral_Acceleration_G,ALA_Flap_State,Total_Downforce_kg,Inner_Wheel_Yaw_Load_pct
LAMBO-ALA-1326,298.4,0.71,High Downforce (Flaps Closed),392.1,61.4
LAMBO-ALA-1327,157.0,0.53,Aero-Vectoring Right,80.7,57.0
LAMBO-ALA-1328,129.7,0.85,Low Drag (Flaps Open),16.2,60.6
LAMBO-ALA-1329,130.0,0.63,High Downforce (Flaps Closed),59.6,57.9
LAMBO-ALA-1330,238.7,-0.43,High Downforce (Flaps Closed),247.3,48.2
LAMBO-ALA-1331,150.3,-0.64,Low Drag (Flaps Open),37.0,39.3
LAMBO-ALA-1332,161.9,-0.83,Aero-Vectoring Left,87.0,37.5
LAMBO-ALA-1333,208.9,-1.25,Aero-Vectoring Left,131.9,34.3
LAMBO-ALA-1334,261.8,0.64,Low Drag (Flaps Open),92.2,57.8
LAMBO-ALA-1335,210.5,1.03,Aero-Vectoring Left,128.4,63.8
LAMBO-ALA-1336,252.4,-0.26,Low Drag (Flaps Open),79.5,45.9
LAMBO-ALA-1337,162.7,0.33,Aero-Vectoring Right,92.4,53.2
LAMBO-ALA-1338,178.3,-1.19,High Downforce (Flaps Closed),147.6,34.2
LAMBO-ALA-1339,308.2,-0.1,Low Drag (Flaps Open),138.9,51.0
LAMBO-ALA-1340,146.2,1.23,Low Drag (Flaps Open),26.1,67.1
LAMBO-ALA-1341,128.2,0.17,Low Drag (Flaps Open),23.9,52.9
LAMBO-ALA-1342,122.4,0.71,Low Drag (Flaps Open),31.4,59.1
LAMBO-ALA-1343,305.1,-0.98,High Downforce (Flaps Closed),437.9,35.9
LAMBO-ALA-1344,181.6,-0.92,Aero-Vectoring Right,105.1,36.3
LAMBO-ALA-1345,209.6,-0.88,Aero-Vectoring Left,146.5,33.0
LAMBO-ALA-1346,329.0,-0.47,Aero-Vectoring Left,336.3,43.8
LAMBO-ALA-1347,289.4,0.79,Aero-Vectoring Left,279.7,63.3
LAMBO-ALA-1348,153.5,-0.98,Aero-Vectoring Right,76.9,37.3
LAMBO-ALA-1349,170.9,1.37,High Downforce (Flaps Closed),141.2,66.8
LAMBO-ALA-1350,211.0,-0.13,Low Drag (Flaps Open),68.0,49.6
LAMBO-ALA-1351,147.8,-1.43,High Downforce (Flaps Closed),79.2,32.1
LAMBO-ALA-1352,284.9,0.07,High Downforce (Flaps Closed),366.5,50.1
LAMBO-ALA-1353,255.3,0.95,High Downforce (Flaps Closed),287.2,63.7
LAMBO-ALA-1354,136.2,-0.72,High Downforce (Flaps Closed),77.3,43.8
LAMBO-ALA-1355,306.4,-0.2,Low Drag (Flaps Open),133.6,44.2
LAMBO-ALA-1356,286.3,0.03,Aero-Vectoring Left,248.2,53.2
LAMBO-ALA-1357,311.9,0.82,Aero-Vectoring Left,312.1,60.6
LAMBO-ALA-1358,263.1,0.96,Low Drag (Flaps Open),102.0,63.6
LAMBO-ALA-1359,155.8,-0.4,High Downforce (Flaps Closed),116.7,42.7
LAMBO-ALA-1360,139.1,0.85,High Downforce (Flaps Closed),94.6,62.6
LAMBO-ALA-1361,337.7,-0.03,Aero-Vectoring Left,367.2,50.2
LAMBO-ALA-1362,233.3,-0.3,Aero-Vectoring Right,174.8,45.1
LAMBO-ALA-1363,182.8,-0.93,High Downforce (Flaps Closed),157.3,36.5
LAMBO-ALA-1364,266.8,0.52,High Downforce (Flaps Closed),336.3,56.5
LAMBO-ALA-1365,138.6,-0.41,Aero-Vectoring Right,68.5,47.5
LAMBO-ALA-1366,276.4,1.03,Aero-Vectoring Right,258.8,65.1
LAMBO-ALA-1367,275.5,-0.61,Aero-Vectoring Right,244.5,42.8
LAMBO-ALA-1368,169.9,-0.78,High Downforce (Flaps Closed),136.0,41.9
LAMBO-ALA-1369,203.5,0.5,Low Drag (Flaps Open),65.8,54.2
LAMBO-ALA-1370,189.9,-0.82,High Downforce (Flaps Closed),145.6,36.5
LAMBO-ALA-1371,228.7,-0.43,Low Drag (Flaps Open),70.0,46.8
LAMBO-ALA-1372,130.0,-1.41,Aero-Vectoring Right,46.7,34.9
LAMBO-ALA-1373,156.0,-0.33,High Downforce (Flaps Closed),103.0,46.2
LAMBO-ALA-1374,156.6,0.51,Low Drag (Flaps Open),35.7,57.8
LAMBO-ALA-1375,160.1,-1.35,Low Drag (Flaps Open),33.3,28.2
LAMBO-ALA-1376,158.9,-0.18,High Downforce (Flaps Closed),116.0,46.6
LAMBO-ALA-1377,149.7,0.7,Aero-Vectoring Left,76.6,59.0
LAMBO-ALA-1378,314.0,0.15,Aero-Vectoring Right,325.0,50.1
LAMBO-ALA-1379,292.5,1.2,Aero-Vectoring Right,273.7,71.1
LAMBO-ALA-1380,244.3,-1.35,High Downforce (Flaps Closed),281.2,33.3
LAMBO-ALA-1381,220.4,1.11,High Downforce (Flaps Closed),214.7,64.8
LAMBO-ALA-1382,172.9,-0.17,Low Drag (Flaps Open),42.5,44.1
LAMBO-ALA-1383,236.0,1.14,High Downforce (Flaps Closed),253.2,62.5
LAMBO-ALA-1384,280.8,1.25,Aero-Vectoring Right,255.7,66.2
LAMBO-ALA-1385,221.3,-1.32,Aero-Vectoring Right,155.8,31.6
LAMBO-ALA-1386,157.6,1.25,Aero-Vectoring Left,60.7,69.1
LAMBO-ALA-1387,318.8,-0.66,High Downforce (Flaps Closed),462.9,40.4
LAMBO-ALA-1388,310.7,-0.29,Low Drag (Flaps Open),133.8,46.6
LAMBO-ALA-1389,144.0,-1.41,Low Drag (Flaps Open),32.4,28.3
LAMBO-ALA-1390,131.3,-0.29,Aero-Vectoring Right,55.0,47.1
LAMBO-ALA-1391,305.4,-1.13,High Downforce (Flaps Closed),417.0,34.5
LAMBO-ALA-1392,330.5,0.19,High Downforce (Flaps Closed),486.8,50.2
LAMBO-ALA-1393,135.9,-0.8,High Downforce (Flaps Closed),84.9,39.5
LAMBO-ALA-1394,196.6,-0.58,Aero-Vectoring Right,130.6,44.0
LAMBO-ALA-1395,260.0,0.14,Aero-Vectoring Right,219.5,51.3
LAMBO-ALA-1396,275.8,-0.71,Aero-Vectoring Left,247.1,36.6
LAMBO-ALA-1397,192.4,0.12,Aero-Vectoring Left,113.6,51.2
LAMBO-ALA-1398,184.6,-0.14,Aero-Vectoring Left,111.9,46.9
LAMBO-ALA-1399,144.0,0.11,Aero-Vectoring Left,71.7,51.3
LAMBO-ALA-1400,127.1,0.95,Aero-Vectoring Right,45.4,64.2
LAMBO-ALA-1401,223.6,-1.44,High Downforce (Flaps Closed),238.2,31.0
LAMBO-ALA-1402,132.9,0.62,High Downforce (Flaps Closed),63.0,58.6
LAMBO-ALA-1403,143.2,-1.18,Aero-Vectoring Right,79.8,34.0
LAMBO-ALA-1404,226.6,-0.1,Aero-Vectoring Right,154.9,51.1
LAMBO-ALA-1405,216.6,1.23,Low Drag (Flaps Open),71.6,70.2
LAMBO-ALA-1406,216.4,0.01,High Downforce (Flaps Closed),211.4,49.7
LAMBO-ALA-1407,261.2,-1.06,Aero-Vectoring Left,231.5,31.3
LAMBO-ALA-1408,176.0,0.63,High Downforce (Flaps Closed),136.9,55.8
LAMBO-ALA-1409,251.2,0.34,High Downforce (Flaps Closed),290.6,55.5
LAMBO-ALA-1410,269.5,0.92,Aero-Vectoring Right,232.4,61.3
LAMBO-ALA-1411,288.4,0.65,Low Drag (Flaps Open),123.6,58.1
LAMBO-ALA-1412,155.1,-0.92,Aero-Vectoring Left,76.6,36.9
LAMBO-ALA-1413,227.3,-0.11,High Downforce (Flaps Closed),220.8,48.2
LAMBO-ALA-1414,211.5,-0.3,High Downforce (Flaps Closed),209.1,48.6
LAMBO-ALA-1415,277.9,1.01,Aero-Vectoring Left,241.2,62.1
LAMBO-ALA-1416,284.0,0.92,High Downforce (Flaps Closed),360.5,65.3
LAMBO-ALA-1417,325.5,-0.43,Low Drag (Flaps Open),146.8,45.0
LAMBO-ALA-1418,264.3,-0.15,Low Drag (Flaps Open),100.7,46.3
LAMBO-ALA-1419,163.0,-0.87,Aero-Vectoring Left,89.7,39.4
LAMBO-ALA-1420,293.4,-0.22,Aero-Vectoring Left,276.7,43.4
LAMBO-ALA-1421,187.7,1.16,Aero-Vectoring Right,97.5,66.9
LAMBO-ALA-1422,144.8,0.59,Aero-Vectoring Left,65.9,60.6
LAMBO-ALA-1423,187.3,1.01,High Downforce (Flaps Closed),157.0,64.1
LAMBO-ALA-1424,190.7,-1.23,High Downforce (Flaps Closed),160.0,31.5
LAMBO-ALA-1425,301.7,1.34,Low Drag (Flaps Open),144.9,70.7
LAMBO-ALA-1426,196.6,0.83,Aero-Vectoring Right,122.5,63.0
LAMBO-ALA-1427,158.1,0.3,High Downforce (Flaps Closed),101.3,53.2
LAMBO-ALA-1428,214.1,-0.36,High Downforce (Flaps Closed),203.4,44.0
LAMBO-ALA-1429,339.1,-0.99,Aero-Vectoring Right,365.1,37.0
LAMBO-ALA-1430,166.6,0.05,Aero-Vectoring Left,80.5,49.5
LAMBO-ALA-1431,121.1,-0.86,Aero-Vectoring Left,57.7,38.8
LAMBO-ALA-1432,190.3,-0.43,Aero-Vectoring Right,117.6,45.0
LAMBO-ALA-1433,183.2,1.38,Aero-Vectoring Right,116.1,70.4
LAMBO-ALA-1434,128.3,-1.3,High Downforce (Flaps Closed),55.5,29.5
LAMBO-ALA-1435,338.6,-0.69,High Downforce (Flaps Closed),522.3,42.6
LAMBO-ALA-1436,266.0,-0.54,Aero-Vectoring Right,225.8,44.2
LAMBO-ALA-1437,323.5,0.2,High Downforce (Flaps Closed),481.0,53.3
LAMBO-ALA-1438,236.6,-0.12,High Downforce (Flaps Closed),261.6,48.8
LAMBO-ALA-1439,279.5,-1.15,Aero-Vectoring Left,252.4,35.0
LAMBO-ALA-1440,275.8,0.37,High Downforce (Flaps Closed),351.0,54.3
LAMBO-ALA-1441,183.4,-0.15,High Downforce (Flaps Closed),163.6,51.7
LAMBO-ALA-1442,203.4,1.43,Aero-Vectoring Left,141.4,72.0
LAMBO-ALA-1443,312.6,0.99,Low Drag (Flaps Open),132.1,60.0
LAMBO-ALA-1444,223.8,1.32,Aero-Vectoring Left,155.6,72.0
LAMBO-ALA-1445,159.1,0.9,Low Drag (Flaps Open),31.3,63.9
LAMBO-ALA-1446,267.4,-0.06,High Downforce (Flaps Closed),314.2,49.0
LAMBO-ALA-1447,232.6,0.77,Aero-Vectoring Right,173.6,63.2
LAMBO-ALA-1448,189.8,-0.1,Low Drag (Flaps Open),45.5,48.2
LAMBO-ALA-1449,261.0,0.63,High Downforce (Flaps Closed),322.1,61.3
LAMBO-ALA-1450,300.1,0.68,High Downforce (Flaps Closed),408.4,56.0
LAMBO-ALA-1451,313.0,-0.97,Aero-Vectoring Left,311.7,35.2
LAMBO-ALA-1452,138.3,-0.01,High Downforce (Flaps Closed),72.1,48.5
LAMBO-ALA-1453,329.2,0.6,High Downforce (Flaps Closed),472.0,58.2
LAMBO-ALA-1454,306.7,0.6,Aero-Vectoring Left,295.7,57.5
LAMBO-ALA-1455,203.8,-0.05,Aero-Vectoring Right,135.8,45.9
LAMBO-ALA-1456,182.5,-0.61,Aero-Vectoring Right,113.0,40.9
LAMBO-ALA-1457,248.3,0.52,Aero-Vectoring Left,197.7,57.9
LAMBO-ALA-1458,194.3,-0.29,Low Drag (Flaps Open),61.6,46.4
LAMBO-ALA-1459,294.6,1.23,Aero-Vectoring Right,267.5,69.1
LAMBO-ALA-1460,241.4,-1.45,Aero-Vectoring Left,176.3,28.1
LAMBO-ALA-1461,142.6,-0.07,Low Drag (Flaps Open),27.1,45.8
LAMBO-ALA-1462,339.0,-1.0,High Downforce (Flaps Closed),517.8,34.6
LAMBO-ALA-1463,281.1,1.47,High Downforce (Flaps Closed),348.9,71.5
LAMBO-ALA-1464,194.4,1.09,High Downforce (Flaps Closed),163.2,63.7
LAMBO-ALA-1465,270.3,-0.17,High Downforce (Flaps Closed),346.5,43.3
LAMBO-ALA-1466,280.4,-0.43,High Downforce (Flaps Closed),354.1,45.9
LAMBO-ALA-1467,339.7,-0.67,High Downforce (Flaps Closed),528.7,37.1
LAMBO-ALA-1468,328.0,0.33,Aero-Vectoring Right,347.5,51.7
LAMBO-ALA-1469,214.1,-0.25,Aero-Vectoring Left,144.4,45.9
LAMBO-ALA-1470,285.1,0.94,Low Drag (Flaps Open),108.9,64.0
LAMBO-ALA-1471,209.3,-0.25,Aero-Vectoring Left,145.0,46.5
LAMBO-ALA-1472,311.3,-1.45,Aero-Vectoring Right,311.8,30.2
LAMBO-ALA-1473,274.4,-0.82,High Downforce (Flaps Closed),336.6,34.9
LAMBO-ALA-1474,289.2,-0.23,Low Drag (Flaps Open),118.5,49.3
LAMBO-ALA-1475,247.3,0.89,High Downforce (Flaps Closed),261.8,62.9
LAMBO-ALA-1476,250.0,-0.61,High Downforce (Flaps Closed),282.0,39.6
LAMBO-ALA-1477,238.2,-0.53,Aero-Vectoring Right,177.5,42.0
LAMBO-ALA-1478,219.0,0.02,Low Drag (Flaps Open),75.6,52.3
LAMBO-ALA-1479,257.6,-0.37,Aero-Vectoring Right,207.5,39.5
LAMBO-ALA-1480,227.0,-0.37,Aero-Vectoring Left,165.6,45.1
LAMBO-ALA-1481,270.6,-1.37,High Downforce (Flaps Closed),325.1,32.8
LAMBO-ALA-1482,175.3,1.13,Aero-Vectoring Right,116.0,65.9
LAMBO-ALA-1483,161.8,1.08,Aero-Vectoring Right,70.0,66.2
LAMBO-ALA-1484,300.3,0.84,Aero-Vectoring Right,300.7,63.8
LAMBO-ALA-1485,267.6,-0.24,Aero-Vectoring Right,239.7,45.7
LAMBO-ALA-1486,267.4,0.27,Aero-Vectoring Right,233.0,55.1
LAMBO-ALA-1487,328.0,0.39,Aero-Vectoring Left,351.2,53.3
LAMBO-ALA-1488,209.0,-1.14,High Downforce (Flaps Closed),181.0,33.4
LAMBO-ALA-1489,122.3,0.12,High Downforce (Flaps Closed),77.3,53.1
LAMBO-ALA-1490,214.5,-0.36,Aero-Vectoring Left,133.7,44.5
LAMBO-ALA-1491,138.3,-0.83,High Downforce (Flaps Closed),92.6,38.9
LAMBO-ALA-1492,137.0,-1.26,High Downforce (Flaps Closed),88.0,32.6
LAMBO-ALA-1493,248.0,-1.25,High Downforce (Flaps Closed),296.4,32.3
LAMBO-ALA-1494,277.4,0.79,High Downforce (Flaps Closed),330.2,64.2
LAMBO-ALA-1495,195.5,-1.02,High Downforce (Flaps Closed),174.0,34.5
LAMBO-ALA-1496,129.4,0.33,High Downforce (Flaps Closed),74.6,55.2
LAMBO-ALA-1497,151.1,-0.31,High Downforce (Flaps Closed),108.5,45.5
LAMBO-ALA-1498,189.4,0.06,Low Drag (Flaps Open),43.8,53.7
LAMBO-ALA-1499,274.5,0.97,High Downforce (Flaps Closed),369.2,65.2
LAMBO-ALA-1500,191.8,-0.72,High Downforce (Flaps Closed),163.6,42.0
LAMBO-ALA-1501,165.1,0.61,Aero-Vectoring Right,91.0,58.7
LAMBO-ALA-1502,157.5,1.33,Aero-Vectoring Right,74.3,64.4
LAMBO-ALA-1503,191.5,-1.36,High Downforce (Flaps Closed),173.8,31.2
LAMBO-ALA-1504,246.6,-0.7,Aero-Vectoring Left,195.3,40.4
LAMBO-ALA-1505,232.3,1.36,High Downforce (Flaps Closed),253.6,68.6
LAMBO-ALA-1506,136.0,-1.21,Low Drag (Flaps Open),25.0,35.9
LAMBO-ALA-1507,231.3,0.85,High Downforce (Flaps Closed),261.3,61.5
LAMBO-ALA-1508,278.8,1.39,Low Drag (Flaps Open),108.0,70.1
LAMBO-ALA-1509,151.5,0.79,Aero-Vectoring Left,85.0,61.2
LAMBO-ALA-1510,264.7,0.05,High Downforce (Flaps Closed),339.7,50.7
LAMBO-ALA-1511,149.6,-1.06,Aero-Vectoring Right,65.0,34.9
LAMBO-ALA-1512,185.8,0.24,High Downforce (Flaps Closed),169.9,54.3
LAMBO-ALA-1513,223.9,0.15,High Downforce (Flaps Closed),212.2,50.4
LAMBO-ALA-1514,219.8,0.87,High Downforce (Flaps Closed),217.9,64.0
LAMBO-ALA-1515,121.8,0.58,High Downforce (Flaps Closed),64.7,57.5
LAMBO-ALA-1516,191.8,0.96,High Downforce (Flaps Closed),162.5,62.3
LAMBO-ALA-1517,292.4,0.82,High Downforce (Flaps Closed),379.3,63.0
LAMBO-ALA-1518,291.3,1.46,Low Drag (Flaps Open),115.9,70.8
LAMBO-ALA-1519,315.6,-0.53,High Downforce (Flaps Closed),433.7,42.1
LAMBO-ALA-1520,238.1,1.32,High Downforce (Flaps Closed),259.4,70.1
LAMBO-ALA-1521,260.3,-0.02,Aero-Vectoring Right,226.5,50.0
LAMBO-ALA-1522,324.3,0.14,High Downforce (Flaps Closed),480.3,48.2
LAMBO-ALA-1523,235.4,0.25,Low Drag (Flaps Open),69.2,53.2
LAMBO-ALA-1524,191.2,-1.3,Low Drag (Flaps Open),51.8,28.0
LAMBO-ALA-1525,292.0,0.91,Aero-Vectoring Left,281.1,63.2
LAMBO-ALA-1526,298.4,-1.06,Aero-Vectoring Left,275.4,34.5
LAMBO-ALA-1527,214.1,1.23,High Downforce (Flaps Closed),206.7,68.4
LAMBO-ALA-1528,177.8,1.26,Low Drag (Flaps Open),50.6,68.9
LAMBO-ALA-1529,296.3,1.44,Aero-Vectoring Right,288.6,69.8
LAMBO-ALA-1530,274.6,-0.68,Low Drag (Flaps Open),96.0,40.3
LAMBO-ALA-1531,171.7,-0.26,Aero-Vectoring Left,101.3,47.3
LAMBO-ALA-1532,159.0,-0.62,Low Drag (Flaps Open),32.1,39.4
LAMBO-ALA-1533,190.1,0.16,High Downforce (Flaps Closed),155.1,49.3
LAMBO-ALA-1534,259.1,0.36,High Downforce (Flaps Closed),289.0,52.0
LAMBO-ALA-1535,273.3,-1.17,Low Drag (Flaps Open),108.4,34.4
LAMBO-ALA-1536,199.4,-1.01,Low Drag (Flaps Open),68.2,35.6
LAMBO-ALA-1537,196.9,-0.81,Low Drag (Flaps Open),50.3,34.6
LAMBO-ALA-1538,167.9,0.41,Aero-Vectoring Left,85.9,58.0
LAMBO-ALA-1539,127.1,0.06,Low Drag (Flaps Open),26.1,52.3
LAMBO-ALA-1540,208.3,-0.33,High Downforce (Flaps Closed),193.6,49.0
LAMBO-ALA-1541,136.2,-0.11,Low Drag (Flaps Open),19.7,45.5
LAMBO-ALA-1542,208.1,-1.23,Low Drag (Flaps Open),55.6,31.9
LAMBO-ALA-1543,177.5,-1.49,High Downforce (Flaps Closed),135.8,28.0
LAMBO-ALA-1544,262.5,-0.3,High Downforce (Flaps Closed),293.9,43.6
LAMBO-ALA-1545,322.1,0.9,High Downforce (Flaps Closed),467.9,59.4
LAMBO-ALA-1546,225.4,-1.34,Low Drag (Flaps Open),69.7,31.5
LAMBO-ALA-1547,275.4,-0.53,Low Drag (Flaps Open),105.3,42.2
LAMBO-ALA-1548,186.7,0.3,Aero-Vectoring Right,105.5,54.5
LAMBO-ALA-1549,250.6,0.23,Aero-Vectoring Right,207.1,53.3
LAMBO-ALA-1550,226.7,-1.41,High Downforce (Flaps Closed),234.6,29.6
LAMBO-ALA-1551,184.7,0.06,Aero-Vectoring Right,120.1,49.7
LAMBO-ALA-1552,191.4,0.26,High Downforce (Flaps Closed),149.9,48.6
LAMBO-ALA-1553,214.2,0.95,Aero-Vectoring Left,145.1,58.5
LAMBO-ALA-1554,180.6,-0.47,Low Drag (Flaps Open),49.0,45.5
LAMBO-ALA-1555,305.3,0.94,High Downforce (Flaps Closed),410.3,64.3
LAMBO-ALA-1556,194.0,-0.37,Low Drag (Flaps Open),54.4,45.0
LAMBO-ALA-1557,220.9,0.68,High Downforce (Flaps Closed),232.9,57.5
LAMBO-ALA-1558,283.0,1.23,Aero-Vectoring Left,259.4,67.1
LAMBO-ALA-1559,334.5,-1.08,Low Drag (Flaps Open),161.7,34.6
LAMBO-ALA-1560,139.6,-1.34,Aero-Vectoring Left,58.4,31.6
LAMBO-ALA-1561,147.9,0.68,High Downforce (Flaps Closed),115.3,60.2
LAMBO-ALA-1562,179.2,-0.66,Aero-Vectoring Left,110.3,40.9
LAMBO-ALA-1563,184.0,0.79,Low Drag (Flaps Open),52.4,58.8
LAMBO-ALA-1564,275.3,-0.92,Low Drag (Flaps Open),107.4,37.5
LAMBO-ALA-1565,281.8,-1.41,High Downforce (Flaps Closed),353.3,32.0
LAMBO-ALA-1566,219.9,-0.2,High Downforce (Flaps Closed),227.9,49.4
LAMBO-ALA-1567,257.3,-0.77,Aero-Vectoring Left,209.5,36.8
LAMBO-ALA-1568,328.1,1.31,High Downforce (Flaps Closed),491.5,66.6
LAMBO-ALA-1569,217.4,1.1,High Downforce (Flaps Closed),228.0,65.0
LAMBO-ALA-1570,273.2,0.89,Aero-Vectoring Left,246.5,64.3
LAMBO-ALA-1571,266.4,0.66,High Downforce (Flaps Closed),334.4,56.3
LAMBO-ALA-1572,258.8,0.76,Aero-Vectoring Right,199.6,61.1
LAMBO-ALA-1573,165.9,0.51,High Downforce (Flaps Closed),139.8,59.0
LAMBO-ALA-1574,156.4,0.86,Low Drag (Flaps Open),31.3,60.2
LAMBO-ALA-1575,173.2,0.11,Aero-Vectoring Left,91.1,52.0
LAMBO-ALA-1576,163.0,-0.52,Aero-Vectoring Right,93.3,38.4
LAMBO-ALA-1577,173.9,0.54,Low Drag (Flaps Open),57.9,54.8
LAMBO-ALA-1578,308.6,0.34,Aero-Vectoring Left,318.5,55.3
LAMBO-ALA-1579,170.9,0.24,Low Drag (Flaps Open),34.0,52.2
LAMBO-ALA-1580,207.2,-0.72,High Downforce (Flaps Closed),198.9,39.2
LAMBO-ALA-1581,128.1,-0.56,High Downforce (Flaps Closed),83.2,43.3
LAMBO-ALA-1582,191.9,0.58,High Downforce (Flaps Closed),161.9,56.6
LAMBO-ALA-1583,123.0,-0.46,High Downforce (Flaps Closed),62.0,44.2
LAMBO-ALA-1584,328.7,-0.8,High Downforce (Flaps Closed),480.8,40.7
LAMBO-ALA-1585,158.7,-0.37,High Downforce (Flaps Closed),99.4,43.0
LAMBO-ALA-1586,121.9,-1.3,High Downforce (Flaps Closed),86.4,32.3
LAMBO-ALA-1587,195.5,0.18,High Downforce (Flaps Closed),159.2,51.3
LAMBO-ALA-1588,313.4,0.71,Aero-Vectoring Left,323.4,61.0
LAMBO-ALA-1589,158.5,0.91,Aero-Vectoring Left,80.9,64.9
LAMBO-ALA-1590,267.7,1.19,High Downforce (Flaps Closed),328.8,65.5
LAMBO-ALA-1591,144.5,-0.07,Aero-Vectoring Right,64.1,50.8
LAMBO-ALA-1592,297.7,0.07,Aero-Vectoring Right,286.0,47.8
LAMBO-ALA-1593,268.7,-1.06,High Downforce (Flaps Closed),316.3,37.9
LAMBO-ALA-1594,169.4,0.67,High Downforce (Flaps Closed),125.2,60.5
LAMBO-ALA-1595,228.9,-0.07,Aero-Vectoring Right,166.0,49.1
LAMBO-ALA-1596,293.0,0.54,Aero-Vectoring Left,290.1,55.4
LAMBO-ALA-1597,214.5,-1.34,Aero-Vectoring Left,134.6,32.2
LAMBO-ALA-1598,134.3,-1.21,Aero-Vectoring Left,55.1,34.4
LAMBO-ALA-1599,139.5,-0.21,High Downforce (Flaps Closed),86.1,48.6
LAMBO-ALA-1600,284.5,1.45,High Downforce (Flaps Closed),357.8,69.0
LAMBO-ALA-1601,239.7,-0.86,Low Drag (Flaps Open),84.3,38.1
LAMBO-ALA-1602,157.6,0.6,Aero-Vectoring Right,71.2,53.3
LAMBO-ALA-1603,304.3,0.78,High Downforce (Flaps Closed),421.1,60.6
LAMBO-ALA-1604,172.2,0.47,Aero-Vectoring Right,89.6,58.1
LAMBO-ALA-1605,181.8,0.67,Aero-Vectoring Right,93.8,54.5
LAMBO-ALA-1606,176.0,0.11,High Downforce (Flaps Closed),149.3,53.8
LAMBO-ALA-1607,137.2,-1.5,Aero-Vectoring Left,49.8,30.3
LAMBO-ALA-1608,189.0,-1.01,Low Drag (Flaps Open),49.6,36.1
LAMBO-ALA-1609,321.7,-0.12,High Downforce (Flaps Closed),446.1,49.7
LAMBO-ALA-1610,166.4,0.66,High Downforce (Flaps Closed),132.3,56.7
LAMBO-ALA-1611,154.7,0.46,Aero-Vectoring Right,93.1,57.7
LAMBO-ALA-1612,141.6,1.38,Aero-Vectoring Left,75.9,68.6
LAMBO-ALA-1613,243.9,-0.59,Low Drag (Flaps Open),78.1,40.7
LAMBO-ALA-1614,154.7,-1.01,Aero-Vectoring Left,88.8,38.7
LAMBO-ALA-1615,212.6,0.5,High Downforce (Flaps Closed),189.1,54.5
LAMBO-ALA-1616,209.9,0.33,Low Drag (Flaps Open),56.4,56.0
LAMBO-ALA-1617,315.5,0.94,Low Drag (Flaps Open),143.9,62.7
LAMBO-ALA-1618,253.2,0.14,High Downforce (Flaps Closed),284.6,50.5
LAMBO-ALA-1619,196.8,0.27,High Downforce (Flaps Closed),177.2,52.7
LAMBO-ALA-1620,154.4,-1.26,Low Drag (Flaps Open),37.7,33.7
LAMBO-ALA-1621,321.7,0.91,Low Drag (Flaps Open),143.8,59.9
LAMBO-ALA-1622,123.1,-0.47,Aero-Vectoring Left,50.9,42.9
LAMBO-ALA-1623,202.1,0.19,High Downforce (Flaps Closed),170.1,50.5
LAMBO-ALA-1624,327.1,1.08,Aero-Vectoring Right,345.0,58.8
LAMBO-ALA-1625,334.4,0.01,Low Drag (Flaps Open),154.9,51.3
LAMBO-ALA-1626,197.1,1.37,High Downforce (Flaps Closed),159.9,69.0
LAMBO-ALA-1627,250.5,-1.32,Aero-Vectoring Right,196.4,31.9
LAMBO-ALA-1628,147.7,1.22,Aero-Vectoring Right,64.2,67.1
LAMBO-ALA-1629,271.9,1.4,High Downforce (Flaps Closed),336.0,70.0
LAMBO-ALA-1630,285.8,0.01,High Downforce (Flaps Closed),364.4,50.4
LAMBO-ALA-1631,199.1,-0.51,Aero-Vectoring Right,120.5,40.8
LAMBO-ALA-1632,256.4,-0.55,High Downforce (Flaps Closed),282.1,44.0
LAMBO-ALA-1633,310.0,0.88,Low Drag (Flaps Open),132.3,61.2
LAMBO-ALA-1634,249.9,0.87,Aero-Vectoring Right,212.8,61.4
LAMBO-ALA-1635,228.5,-1.25,Aero-Vectoring Left,175.7,32.6
LAMBO-ALA-1636,207.8,-0.78,Low Drag (Flaps Open),69.2,37.1
LAMBO-ALA-1637,205.2,1.04,High Downforce (Flaps Closed),178.7,63.7
LAMBO-ALA-1638,237.6,1.23,Aero-Vectoring Right,172.4,68.1
LAMBO-ALA-1639,283.8,-0.85,High Downforce (Flaps Closed),348.7,38.0
LAMBO-ALA-1640,314.4,-1.35,Aero-Vectoring Right,310.8,34.6
LAMBO-ALA-1641,262.6,-1.11,Low Drag (Flaps Open),105.2,32.8
LAMBO-ALA-1642,337.8,0.72,High Downforce (Flaps Closed),522.1,59.2
LAMBO-ALA-1643,260.3,0.27,Aero-Vectoring Right,212.2,56.2
LAMBO-ALA-1644,260.0,-0.17,High Downforce (Flaps Closed),280.7,50.8
LAMBO-ALA-1645,281.7,0.8,Low Drag (Flaps Open),101.1,59.0
LAMBO-ALA-1646,243.1,1.07,Low Drag (Flaps Open),80.0,65.0
LAMBO-ALA-1647,223.2,-1.22,Aero-Vectoring Right,155.3,36.4
LAMBO-ALA-1648,292.9,0.16,Aero-Vectoring Left,285.0,50.2
LAMBO-ALA-1649,321.4,0.51,High Downforce (Flaps Closed),466.4,56.6
LAMBO-ALA-1650,191.3,0.98,Aero-Vectoring Left,117.6,64.9
LAMBO-ALA-1651,121.7,-0.08,Low Drag (Flaps Open),23.3,49.3
LAMBO-ALA-1652,274.8,0.99,High Downforce (Flaps Closed),348.9,64.1
