Combustion_Cycle_ID,Engine_Speed_RPM,Twin_Turbo_Boost_Bar,Pre_Chamber_Temp_C,Turbulent_Jet_Velocity_m_s,Knock_Sensor_Volts,Combustion_State
MASERATI-MC20-1733,2038,1.62,753.0,71.9,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1734,4109,2.15,783.5,81.6,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1735,7558,2.97,866.5,102.9,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1736,7335,2.93,887.5,93.8,0.94,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1737,4125,2.21,806.9,84.7,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1738,2592,1.96,792.7,81.4,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1739,3819,2.16,815.1,81.6,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1740,7428,3.01,871.1,102.7,0.97,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1741,2921,2.21,815.9,86.3,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1742,3487,2.21,825.5,93.3,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1743,4380,2.51,846.6,86.8,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1744,3026,1.79,792.6,77.8,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1745,4898,2.32,814.6,89.4,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1746,4117,2.08,805.2,84.4,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1747,3202,2.19,794.9,91.1,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1748,4140,2.1,796.4,83.5,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1749,3000,2.01,781.5,83.2,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1750,4278,2.16,827.2,80.5,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1751,3741,2.16,779.2,83.1,0.96,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1752,4851,2.29,783.8,86.7,0.87,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1753,3177,1.83,805.9,76.6,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1754,6400,2.78,859.3,91.8,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1755,4999,2.4,831.0,89.8,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1756,3928,2.31,821.6,90.1,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1757,7540,2.95,856.7,100.5,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1758,5328,2.21,789.6,81.2,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1759,5690,2.38,802.3,81.4,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1760,7081,3.02,911.8,99.1,1.08,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1761,2543,1.57,796.9,75.8,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1762,2873,1.74,785.3,73.7,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1763,4005,2.28,795.3,91.3,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1764,5292,2.33,810.0,90.4,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1765,5115,2.48,846.3,80.4,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1766,2284,1.61,729.6,73.0,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1767,6084,2.45,817.1,88.7,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1768,2247,1.61,795.6,77.9,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1769,3718,2.11,820.6,86.4,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1770,2041,1.84,823.2,88.8,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1771,2667,1.86,774.9,75.7,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1772,2978,1.89,794.2,81.9,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1773,6310,2.65,849.5,90.4,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1774,6020,2.54,847.5,86.5,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1775,4450,1.99,827.3,81.0,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1776,2757,2.2,811.9,90.7,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1777,3323,1.98,807.5,83.2,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1778,2657,1.66,759.7,72.0,0.61,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1779,5325,2.25,791.9,77.8,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1780,4235,2.24,790.8,82.6,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1781,4634,2.09,826.7,78.4,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1782,3710,2.02,821.0,77.1,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1783,4868,2.42,866.7,85.0,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1784,5771,2.53,792.9,87.1,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1785,2875,1.92,783.4,78.8,0.58,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1786,7768,3.16,886.3,102.1,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1787,6062,2.3,831.3,79.0,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1788,2045,1.55,759.5,64.8,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1789,5447,2.47,856.3,90.0,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1790,3956,2.04,812.9,82.1,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1791,4449,2.21,809.2,77.7,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1792,6535,2.45,822.0,86.5,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1793,4090,1.96,791.9,79.3,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1794,3609,2.1,793.4,85.7,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1795,7792,3.05,921.1,102.9,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1796,5668,2.6,825.0,91.9,0.94,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1797,4764,2.7,881.4,91.6,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1798,4664,2.14,825.0,81.0,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1799,6884,2.78,890.6,84.5,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1800,4391,2.04,805.6,83.1,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1801,6686,2.37,829.6,89.6,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1802,7218,2.78,881.0,87.3,1.03,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1803,2959,1.62,797.3,72.7,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1804,3175,1.92,792.9,86.3,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1805,3602,2.34,782.8,91.6,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1806,5707,2.46,805.5,82.5,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1807,3508,1.99,763.1,84.7,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1808,6407,2.42,868.3,86.7,0.61,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1809,3650,2.06,783.9,84.4,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1810,7652,3.07,867.7,98.8,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1811,4911,2.4,810.2,88.0,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1812,4322,2.1,818.5,82.6,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1813,4750,1.92,796.2,78.5,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1814,4128,2.3,805.1,85.7,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1815,2143,1.51,770.9,72.5,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1816,3478,1.97,793.3,87.2,0.63,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1817,2004,1.59,760.9,76.2,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1818,4423,2.17,811.5,84.9,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1819,4848,2.2,795.5,81.9,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1820,4463,2.28,830.7,93.1,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1821,5930,2.57,825.1,96.9,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1822,4586,2.1,823.1,86.8,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1823,4266,2.13,800.7,87.5,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1824,5951,2.54,851.9,91.1,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1825,4684,2.32,867.0,83.2,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1826,3648,1.94,771.9,84.9,0.59,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1827,4241,2.01,769.7,77.1,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1828,3692,2.07,813.2,88.2,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1829,3385,1.84,764.0,78.1,0.62,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1830,5073,2.31,809.4,90.9,0.58,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1831,2370,1.84,776.1,78.7,0.61,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1832,4639,2.4,828.7,89.6,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1833,6047,2.64,875.8,90.4,0.96,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1834,7029,2.85,851.7,101.8,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1835,3377,2.02,798.7,85.0,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1836,7640,2.83,874.0,105.3,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1837,7232,2.83,830.9,96.7,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1838,3395,1.76,745.1,74.6,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1839,3933,2.01,786.8,89.1,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1840,7263,2.78,835.0,96.9,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1841,3565,2.16,809.6,85.8,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1842,3691,1.92,806.6,78.6,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1843,7648,2.95,855.1,95.0,0.94,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1844,6113,2.65,866.5,85.9,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1845,5291,2.44,804.1,91.0,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1846,5643,2.6,845.2,94.7,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1847,4837,2.13,812.2,85.3,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1848,2025,1.66,757.1,82.1,0.6,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1849,6842,2.68,855.7,96.4,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1850,2794,1.83,788.6,79.3,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1851,3405,1.97,781.6,78.7,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1852,6232,2.75,835.5,86.5,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1853,7000,2.76,833.9,97.7,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1854,6541,2.64,808.5,94.8,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1855,2179,1.93,789.5,74.9,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1856,6345,2.57,868.4,96.2,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1857,6627,2.72,868.9,91.8,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1858,6912,2.64,845.4,95.9,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1859,5538,2.42,829.6,95.5,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1860,4159,2.08,781.0,81.6,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1861,7254,2.91,870.8,97.0,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1862,4088,2.15,802.9,89.9,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1863,5173,2.43,844.4,92.0,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1864,3642,2.03,808.4,80.1,0.62,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1865,3575,1.96,797.8,84.8,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1866,5977,2.65,843.3,85.7,0.97,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1867,4880,2.03,771.0,81.2,0.58,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1868,6806,2.5,826.0,96.7,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1869,5306,2.38,808.5,92.2,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1870,5113,2.51,853.3,90.7,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1871,2320,1.69,786.4,80.2,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1872,5891,2.73,823.1,92.2,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1873,6033,2.54,839.1,89.0,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1874,7092,2.67,821.6,90.2,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1875,2378,1.83,759.1,79.2,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1876,5201,2.41,829.4,85.5,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1877,3169,1.92,806.0,82.3,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1878,7096,2.96,861.1,100.5,1.14,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1879,7709,2.78,834.7,93.2,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1880,5185,2.32,827.0,88.4,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1881,5322,2.56,860.3,90.0,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1882,4048,2.35,816.6,86.9,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1883,4958,1.99,779.0,75.5,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1884,2775,2.01,797.6,78.6,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1885,5766,2.41,803.7,89.5,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1886,3074,1.85,782.4,78.4,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1887,7138,2.82,845.4,100.6,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1888,7226,2.91,855.9,97.1,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1889,2370,1.63,776.6,75.6,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1890,6168,2.54,810.8,89.1,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1891,2295,1.54,772.8,69.5,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1892,3449,2.01,801.9,83.6,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1893,7428,2.97,878.8,90.1,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1894,7294,3.0,874.0,97.2,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1895,7766,2.77,857.9,95.0,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1896,6584,2.79,865.4,94.8,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1897,2791,1.78,826.8,79.9,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1898,6802,2.64,824.9,95.4,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1899,3486,2.12,769.8,81.2,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1900,3843,1.84,820.4,74.5,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1901,7686,3.11,900.2,103.3,0.96,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1902,2871,2.02,774.8,82.9,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1903,5782,2.23,807.1,88.1,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1904,6349,2.68,886.3,94.3,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1905,2906,2.04,785.5,78.4,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1906,6893,2.78,860.8,91.7,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1907,4018,2.58,876.0,90.6,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1908,4601,2.21,789.9,87.5,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1909,2841,1.79,762.7,73.7,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1910,3489,1.95,775.1,79.9,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1911,6755,2.81,862.9,98.9,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1912,2436,1.75,779.9,71.1,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1913,6098,2.76,868.4,96.5,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1914,5808,2.86,906.8,93.8,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1915,2541,1.79,764.4,70.0,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1916,7097,3.04,901.3,95.4,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1917,3350,2.09,813.9,81.1,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1918,4668,2.44,838.2,86.4,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1919,2429,1.86,786.3,74.6,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1920,7000,2.97,874.9,99.8,0.96,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1921,7331,2.83,876.9,92.1,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1922,3191,2.09,805.8,83.7,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1923,4975,2.22,821.8,87.8,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1924,2173,1.82,784.1,84.7,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1925,3148,1.91,781.6,77.4,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1926,6506,2.97,867.0,89.8,1.01,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1927,6163,2.54,847.8,92.2,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1928,7704,2.79,845.3,87.7,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1929,3702,2.23,826.3,88.8,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1930,4275,2.12,781.9,77.2,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1931,2737,1.83,795.2,80.1,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1932,6191,2.42,831.5,89.6,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1933,7226,3.01,895.8,96.2,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1934,2739,1.84,796.9,76.4,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1935,7657,3.13,871.1,98.3,0.99,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1936,7037,3.0,878.1,95.8,1.01,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1937,4704,1.92,782.0,85.5,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1938,3885,2.24,807.0,79.1,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1939,7073,2.68,878.8,96.6,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1940,2433,1.75,769.7,78.5,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1941,7175,2.76,854.4,93.7,0.87,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1942,3542,2.07,778.9,88.8,0.63,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1943,4312,2.41,798.5,86.1,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1944,2800,1.75,780.7,82.7,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1945,7525,2.83,852.1,98.0,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1946,3435,1.87,824.3,70.0,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1947,7221,2.6,827.1,99.8,1.03,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1948,2762,1.62,792.6,72.4,0.58,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1949,3536,1.98,805.1,80.6,0.54,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1950,3929,1.98,781.3,75.8,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1951,6760,2.61,837.4,84.2,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1952,2271,1.73,816.4,77.4,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1953,6229,2.79,809.8,95.2,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1954,3321,2.06,817.2,75.2,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1955,7533,3.02,906.5,95.0,1.0,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1956,5117,2.19,795.9,80.8,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1957,7160,2.79,915.0,101.7,1.0,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1958,5750,2.42,857.6,96.8,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1959,4680,2.43,824.2,88.8,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1960,4249,2.18,835.1,74.5,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1961,6865,2.74,854.0,101.6,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1962,7791,2.77,819.4,96.3,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1963,5296,2.45,855.5,91.4,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1964,3882,1.94,799.8,78.5,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1965,3333,2.11,832.9,88.1,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1966,4850,2.37,844.3,91.5,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1967,5012,2.32,807.0,92.7,0.94,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1968,4608,2.22,757.0,81.2,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1969,7295,2.79,840.0,102.2,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1970,3233,1.95,766.6,77.4,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1971,3733,2.27,794.7,91.3,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1972,6065,2.67,859.6,92.9,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1973,3831,2.32,802.9,81.3,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1974,5801,2.79,835.1,92.8,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1975,7566,2.89,845.6,97.8,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1976,5379,2.55,851.5,86.7,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1977,3119,1.78,782.5,71.4,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1978,5028,2.51,809.2,94.2,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1979,5353,2.47,842.2,86.5,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1980,3705,2.03,795.6,87.1,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1981,6827,2.92,858.1,89.9,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1982,2477,1.55,750.6,72.4,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1983,3701,2.27,800.3,86.6,0.87,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1984,2023,1.79,785.7,76.2,0.61,Stable Pre-Chamber Turbulent Jet Ignition
