Claim_ID,Dealership_ID,Replaced_Component,Claim_Amount_USD,Labor_Hours_Billed,Parts_Quantity,Vehicle_Age_Months,True_Fraud_Flag,Anomaly_Flag,Audit_Status
CLAIM-80733,Dealership-D026,Infotainment Head Unit,877.3,9.1,2,28,0,1,Approved Standard Claim
CLAIM-80734,Dealership-D011,Turbocharger Assembly,2394.27,25.1,2,16,0,1,Approved Standard Claim
CLAIM-80735,Dealership-D026,Brake Caliper Kit,2718.17,28.4,3,36,0,1,Approved Standard Claim
CLAIM-80736,Dealership-D038,Inverter ECU,1328.47,11.3,3,17,0,1,Approved Standard Claim
CLAIM-80737,Dealership-D020,Turbocharger Assembly,1406.76,11.7,3,45,0,1,Approved Standard Claim
CLAIM-80738,Dealership-D006,Infotainment Head Unit,2752.74,30.4,1,11,0,1,Approved Standard Claim
CLAIM-80739,Dealership-D028,Brake Caliper Kit,2213.64,21.3,3,47,0,1,Approved Standard Claim
CLAIM-80740,Dealership-D014,Turbocharger Assembly,625.54,5.1,3,7,0,1,Approved Standard Claim
CLAIM-80741,Dealership-D034,Turbocharger Assembly,3737.92,33.5,2,29,0,1,Approved Standard Claim
CLAIM-80742,Dealership-D007,Turbocharger Assembly,5378.32,57.2,2,21,0,-1,High-Risk (Flagged for Audit)
CLAIM-80743,Dealership-D014,Infotainment Head Unit,2683.13,22.8,2,8,0,1,Approved Standard Claim
CLAIM-80744,Dealership-D015,Inverter ECU,583.6,4.7,4,15,0,1,Approved Standard Claim
CLAIM-80745,Dealership-D036,Inverter ECU,1444.88,12.3,3,43,0,1,Approved Standard Claim
CLAIM-80746,Dealership-D043,Infotainment Head Unit,767.18,7.9,4,28,0,1,Approved Standard Claim
CLAIM-80747,Dealership-D039,Inverter ECU,1250.82,11.5,1,36,0,1,Approved Standard Claim
CLAIM-80748,Dealership-D024,Brake Caliper Kit,1880.04,14.6,3,25,0,1,Approved Standard Claim
CLAIM-80749,Dealership-D024,Turbocharger Assembly,1669.01,14.3,3,29,0,1,Approved Standard Claim
CLAIM-80750,Dealership-D001,Infotainment Head Unit,2775.15,22.8,2,6,0,1,Approved Standard Claim
CLAIM-80751,Dealership-D018,Turbocharger Assembly,4915.77,45.7,3,46,0,-1,High-Risk (Flagged for Audit)
CLAIM-80752,Dealership-D037,Inverter ECU,2548.79,18.3,2,47,0,1,Approved Standard Claim
CLAIM-80753,Dealership-D017,Transmission Valve Body,2004.79,15.7,7,30,0,1,Approved Standard Claim
CLAIM-80754,Dealership-D035,Transmission Valve Body,426.13,4.2,5,31,0,1,Approved Standard Claim
CLAIM-80755,Dealership-D043,Inverter ECU,2242.52,20.9,2,46,0,1,Approved Standard Claim
CLAIM-80756,Dealership-D033,Inverter ECU,2576.94,26.2,6,15,0,1,Approved Standard Claim
CLAIM-80757,Dealership-D037,Infotainment Head Unit,2232.55,18.3,4,44,0,1,Approved Standard Claim
CLAIM-80758,Dealership-D014,Turbocharger Assembly,2846.35,23.8,3,36,0,1,Approved Standard Claim
CLAIM-80759,Dealership-D007,Battery Module,1075.79,9.2,3,41,0,1,Approved Standard Claim
CLAIM-80760,Dealership-D019,Transmission Valve Body,6331.95,52.1,8,11,1,-1,High-Risk (Flagged for Audit)
CLAIM-80761,Dealership-D030,Transmission Valve Body,773.67,8.0,1,36,0,1,Approved Standard Claim
CLAIM-80762,Dealership-D008,Inverter ECU,462.36,4.2,2,9,0,1,Approved Standard Claim
CLAIM-80763,Dealership-D036,Inverter ECU,537.8,4.5,5,21,0,1,Approved Standard Claim
CLAIM-80764,Dealership-D018,Battery Module,1930.05,17.3,2,17,0,1,Approved Standard Claim
CLAIM-80765,Dealership-D024,Turbocharger Assembly,5101.62,41.7,2,43,0,-1,High-Risk (Flagged for Audit)
CLAIM-80766,Dealership-D033,Transmission Valve Body,1109.19,10.8,1,24,0,1,Approved Standard Claim
CLAIM-80767,Dealership-D023,Inverter ECU,944.97,9.7,6,47,0,1,Approved Standard Claim
CLAIM-80768,Dealership-D026,Brake Caliper Kit,1547.51,13.2,3,26,0,1,Approved Standard Claim
CLAIM-80769,Dealership-D003,Transmission Valve Body,1425.47,12.4,4,12,0,1,Approved Standard Claim
CLAIM-80770,Dealership-D007,Turbocharger Assembly,10539.87,62.9,8,29,1,-1,High-Risk (Flagged for Audit)
CLAIM-80771,Dealership-D043,Inverter ECU,2376.2,21.9,3,34,0,1,Approved Standard Claim
CLAIM-80772,Dealership-D007,Inverter ECU,2501.57,23.1,4,29,1,1,Approved Standard Claim
CLAIM-80773,Dealership-D018,Transmission Valve Body,3995.85,36.0,4,27,0,1,Approved Standard Claim
CLAIM-80774,Dealership-D027,Battery Module,3219.19,29.4,5,13,0,1,Approved Standard Claim
CLAIM-80775,Dealership-D039,Turbocharger Assembly,1103.61,11.0,1,12,0,1,Approved Standard Claim
CLAIM-80776,Dealership-D042,Battery Module,1300.9,13.8,3,32,0,1,Approved Standard Claim
CLAIM-80777,Dealership-D001,Transmission Valve Body,1811.29,14.7,2,14,0,1,Approved Standard Claim
CLAIM-80778,Dealership-D021,Transmission Valve Body,1946.85,16.9,2,27,0,1,Approved Standard Claim
CLAIM-80779,Dealership-D037,Battery Module,1335.69,11.9,2,12,0,1,Approved Standard Claim
CLAIM-80780,Dealership-D032,Turbocharger Assembly,1710.21,17.0,3,45,0,1,Approved Standard Claim
CLAIM-80781,Dealership-D018,Brake Caliper Kit,917.8,8.6,5,44,0,1,Approved Standard Claim
CLAIM-80782,Dealership-D042,Transmission Valve Body,1066.47,8.7,3,33,0,1,Approved Standard Claim
CLAIM-80783,Dealership-D009,Battery Module,2170.85,21.8,2,36,0,1,Approved Standard Claim
CLAIM-80784,Dealership-D006,Infotainment Head Unit,3035.34,28.1,3,31,0,1,Approved Standard Claim
CLAIM-80785,Dealership-D028,Brake Caliper Kit,1123.32,9.1,2,8,0,1,Approved Standard Claim
CLAIM-80786,Dealership-D034,Inverter ECU,2235.36,9.8,5,8,1,1,Approved Standard Claim
CLAIM-80787,Dealership-D001,Battery Module,564.76,5.1,1,31,0,1,Approved Standard Claim
CLAIM-80788,Dealership-D015,Inverter ECU,3138.88,30.0,3,36,0,1,Approved Standard Claim
CLAIM-80789,Dealership-D021,Transmission Valve Body,1054.26,11.3,3,24,0,1,Approved Standard Claim
CLAIM-80790,Dealership-D012,Infotainment Head Unit,885.6,8.6,4,29,0,1,Approved Standard Claim
CLAIM-80791,Dealership-D028,Turbocharger Assembly,926.18,9.2,2,13,0,1,Approved Standard Claim
CLAIM-80792,Dealership-D010,Battery Module,1018.16,10.7,5,31,0,1,Approved Standard Claim
CLAIM-80793,Dealership-D009,Transmission Valve Body,1468.69,13.5,3,7,0,1,Approved Standard Claim
CLAIM-80794,Dealership-D005,Transmission Valve Body,1653.18,15.7,3,36,0,1,Approved Standard Claim
CLAIM-80795,Dealership-D017,Infotainment Head Unit,1766.74,15.1,4,46,0,1,Approved Standard Claim
CLAIM-80796,Dealership-D005,Inverter ECU,417.29,4.4,4,15,0,1,Approved Standard Claim
CLAIM-80797,Dealership-D042,Brake Caliper Kit,1346.28,10.6,1,9,0,1,Approved Standard Claim
CLAIM-80798,Dealership-D018,Inverter ECU,4961.04,45.8,3,24,0,-1,High-Risk (Flagged for Audit)
CLAIM-80799,Dealership-D023,Infotainment Head Unit,761.66,6.8,1,13,0,1,Approved Standard Claim
CLAIM-80800,Dealership-D028,Turbocharger Assembly,1491.9,11.0,3,32,0,1,Approved Standard Claim
CLAIM-80801,Dealership-D021,Brake Caliper Kit,1328.43,9.7,5,21,0,1,Approved Standard Claim
CLAIM-80802,Dealership-D012,Battery Module,712.83,5.9,2,29,0,1,Approved Standard Claim
CLAIM-80803,Dealership-D008,Infotainment Head Unit,425.91,3.1,3,7,0,1,Approved Standard Claim
CLAIM-80804,Dealership-D029,Inverter ECU,2418.77,26.8,1,13,0,1,Approved Standard Claim
CLAIM-80805,Dealership-D020,Infotainment Head Unit,758.65,6.3,3,33,0,1,Approved Standard Claim
CLAIM-80806,Dealership-D003,Infotainment Head Unit,4219.26,43.0,3,34,0,1,Approved Standard Claim
CLAIM-80807,Dealership-D002,Battery Module,842.7,8.3,2,20,0,1,Approved Standard Claim
CLAIM-80808,Dealership-D003,Inverter ECU,1464.63,12.3,4,40,0,1,Approved Standard Claim
CLAIM-80809,Dealership-D027,Turbocharger Assembly,669.17,5.9,3,9,0,1,Approved Standard Claim
CLAIM-80810,Dealership-D019,Turbocharger Assembly,948.48,9.6,3,17,0,1,Approved Standard Claim
CLAIM-80811,Dealership-D023,Brake Caliper Kit,839.14,8.0,4,39,0,1,Approved Standard Claim
CLAIM-80812,Dealership-D028,Infotainment Head Unit,1175.57,12.1,4,47,0,1,Approved Standard Claim
CLAIM-80813,Dealership-D022,Turbocharger Assembly,740.39,6.8,4,23,0,1,Approved Standard Claim
CLAIM-80814,Dealership-D010,Inverter ECU,1895.82,17.3,4,10,0,1,Approved Standard Claim
CLAIM-80815,Dealership-D040,Inverter ECU,2685.07,25.1,6,41,0,1,Approved Standard Claim
CLAIM-80816,Dealership-D014,Transmission Valve Body,1289.97,9.8,2,30,0,1,Approved Standard Claim
CLAIM-80817,Dealership-D026,Inverter ECU,2284.79,17.6,6,42,0,1,Approved Standard Claim
CLAIM-80818,Dealership-D043,Infotainment Head Unit,2875.32,30.0,2,16,0,1,Approved Standard Claim
CLAIM-80819,Dealership-D020,Brake Caliper Kit,802.23,7.6,2,21,0,1,Approved Standard Claim
CLAIM-80820,Dealership-D035,Inverter ECU,545.55,5.0,5,9,0,1,Approved Standard Claim
CLAIM-80821,Dealership-D024,Infotainment Head Unit,1164.69,9.6,2,37,0,1,Approved Standard Claim
CLAIM-80822,Dealership-D004,Inverter ECU,1504.44,12.2,3,17,0,1,Approved Standard Claim
CLAIM-80823,Dealership-D013,Battery Module,693.85,6.6,4,31,0,1,Approved Standard Claim
CLAIM-80824,Dealership-D003,Turbocharger Assembly,425.46,3.9,4,43,0,1,Approved Standard Claim
CLAIM-80825,Dealership-D011,Infotainment Head Unit,2101.65,21.5,2,20,0,1,Approved Standard Claim
CLAIM-80826,Dealership-D042,Brake Caliper Kit,5651.92,48.5,4,33,0,-1,High-Risk (Flagged for Audit)
CLAIM-80827,Dealership-D037,Infotainment Head Unit,1523.89,11.0,6,28,0,1,Approved Standard Claim
CLAIM-80828,Dealership-D044,Inverter ECU,990.67,7.3,2,25,0,1,Approved Standard Claim
CLAIM-80829,Dealership-D042,Transmission Valve Body,565.42,4.3,4,6,0,1,Approved Standard Claim
CLAIM-80830,Dealership-D016,Turbocharger Assembly,791.38,7.2,4,27,0,1,Approved Standard Claim
CLAIM-80831,Dealership-D008,Turbocharger Assembly,652.42,7.0,3,8,0,1,Approved Standard Claim
CLAIM-80832,Dealership-D016,Inverter ECU,4147.78,32.7,2,19,0,1,Approved Standard Claim
CLAIM-80833,Dealership-D028,Battery Module,1303.87,10.8,3,16,0,1,Approved Standard Claim
CLAIM-80834,Dealership-D037,Turbocharger Assembly,3441.44,33.9,2,17,0,1,Approved Standard Claim
CLAIM-80835,Dealership-D011,Turbocharger Assembly,4691.65,47.9,4,34,0,-1,High-Risk (Flagged for Audit)
CLAIM-80836,Dealership-D017,Brake Caliper Kit,3006.52,23.6,5,30,0,1,Approved Standard Claim
CLAIM-80837,Dealership-D024,Turbocharger Assembly,836.46,9.0,4,7,0,1,Approved Standard Claim
CLAIM-80838,Dealership-D020,Transmission Valve Body,810.43,7.5,6,21,0,1,Approved Standard Claim
CLAIM-80839,Dealership-D023,Turbocharger Assembly,1290.41,10.7,2,29,0,1,Approved Standard Claim
CLAIM-80840,Dealership-D002,Turbocharger Assembly,678.95,5.7,2,18,0,1,Approved Standard Claim
CLAIM-80841,Dealership-D008,Transmission Valve Body,1068.64,10.2,3,31,0,1,Approved Standard Claim
CLAIM-80842,Dealership-D030,Inverter ECU,412.21,3.2,2,14,0,1,Approved Standard Claim
CLAIM-80843,Dealership-D035,Brake Caliper Kit,2526.69,19.7,3,44,0,1,Approved Standard Claim
CLAIM-80844,Dealership-D006,Transmission Valve Body,1555.82,16.1,3,22,0,1,Approved Standard Claim
CLAIM-80845,Dealership-D039,Infotainment Head Unit,682.52,7.6,3,10,0,1,Approved Standard Claim
CLAIM-80846,Dealership-D034,Brake Caliper Kit,1370.61,10.7,3,10,0,1,Approved Standard Claim
CLAIM-80847,Dealership-D008,Infotainment Head Unit,745.78,7.9,2,35,0,1,Approved Standard Claim
CLAIM-80848,Dealership-D016,Brake Caliper Kit,1804.75,18.8,6,45,0,1,Approved Standard Claim
CLAIM-80849,Dealership-D038,Battery Module,2387.66,20.1,1,26,0,1,Approved Standard Claim
CLAIM-80850,Dealership-D038,Brake Caliper Kit,2319.11,18.6,3,21,0,1,Approved Standard Claim
CLAIM-80851,Dealership-D008,Turbocharger Assembly,678.37,5.0,2,31,0,1,Approved Standard Claim
CLAIM-80852,Dealership-D015,Battery Module,1122.31,11.2,3,18,0,1,Approved Standard Claim
CLAIM-80853,Dealership-D038,Turbocharger Assembly,3354.56,31.2,3,17,0,1,Approved Standard Claim
CLAIM-80854,Dealership-D031,Turbocharger Assembly,5963.68,46.6,4,20,0,-1,High-Risk (Flagged for Audit)
CLAIM-80855,Dealership-D044,Brake Caliper Kit,2135.39,19.0,4,26,0,1,Approved Standard Claim
CLAIM-80856,Dealership-D003,Transmission Valve Body,1223.15,9.4,6,37,0,1,Approved Standard Claim
CLAIM-80857,Dealership-D022,Transmission Valve Body,476.1,4.5,2,17,0,1,Approved Standard Claim
CLAIM-80858,Dealership-D017,Inverter ECU,5109.18,50.5,4,43,0,-1,High-Risk (Flagged for Audit)
CLAIM-80859,Dealership-D032,Brake Caliper Kit,3273.24,33.9,3,47,0,1,Approved Standard Claim
CLAIM-80860,Dealership-D031,Turbocharger Assembly,769.53,7.2,7,24,0,1,Approved Standard Claim
CLAIM-80861,Dealership-D001,Turbocharger Assembly,626.36,4.6,3,21,0,1,Approved Standard Claim
CLAIM-80862,Dealership-D040,Turbocharger Assembly,969.35,10.0,3,25,0,1,Approved Standard Claim
CLAIM-80863,Dealership-D002,Brake Caliper Kit,4408.81,37.6,1,44,0,-1,High-Risk (Flagged for Audit)
CLAIM-80864,Dealership-D010,Transmission Valve Body,472.16,4.0,2,44,0,1,Approved Standard Claim
CLAIM-80865,Dealership-D037,Battery Module,1765.87,12.9,2,37,0,1,Approved Standard Claim
CLAIM-80866,Dealership-D031,Turbocharger Assembly,1983.96,19.0,1,24,0,1,Approved Standard Claim
CLAIM-80867,Dealership-D016,Transmission Valve Body,1296.62,10.0,2,8,0,1,Approved Standard Claim
CLAIM-80868,Dealership-D031,Battery Module,448.59,4.2,3,16,0,1,Approved Standard Claim
CLAIM-80869,Dealership-D019,Brake Caliper Kit,1277.69,11.2,7,27,1,1,Approved Standard Claim
CLAIM-80870,Dealership-D014,Inverter ECU,831.81,8.1,5,18,0,1,Approved Standard Claim
CLAIM-80871,Dealership-D042,Turbocharger Assembly,469.23,3.4,7,26,0,1,Approved Standard Claim
CLAIM-80872,Dealership-D009,Infotainment Head Unit,2179.45,17.4,5,19,0,1,Approved Standard Claim
CLAIM-80873,Dealership-D044,Battery Module,460.93,4.3,5,44,0,1,Approved Standard Claim
CLAIM-80874,Dealership-D021,Inverter ECU,1268.65,9.5,2,19,0,1,Approved Standard Claim
CLAIM-80875,Dealership-D014,Inverter ECU,1106.61,10.1,1,9,0,1,Approved Standard Claim
CLAIM-80876,Dealership-D016,Transmission Valve Body,712.08,5.3,4,12,0,1,Approved Standard Claim
CLAIM-80877,Dealership-D014,Transmission Valve Body,1857.59,17.1,7,28,0,1,Approved Standard Claim
CLAIM-80878,Dealership-D029,Infotainment Head Unit,2906.32,26.6,3,19,0,1,Approved Standard Claim
CLAIM-80879,Dealership-D005,Brake Caliper Kit,1187.46,11.3,3,47,0,1,Approved Standard Claim
CLAIM-80880,Dealership-D042,Transmission Valve Body,1495.92,10.8,2,29,0,1,Approved Standard Claim
CLAIM-80881,Dealership-D026,Brake Caliper Kit,2349.98,23.4,5,26,0,1,Approved Standard Claim
CLAIM-80882,Dealership-D018,Brake Caliper Kit,2255.63,17.4,2,40,0,1,Approved Standard Claim
CLAIM-80883,Dealership-D030,Inverter ECU,2099.63,16.7,5,11,0,1,Approved Standard Claim
CLAIM-80884,Dealership-D030,Transmission Valve Body,4193.69,40.3,5,9,0,-1,High-Risk (Flagged for Audit)
CLAIM-80885,Dealership-D014,Brake Caliper Kit,878.22,6.8,2,30,0,1,Approved Standard Claim
CLAIM-80886,Dealership-D017,Battery Module,6043.84,55.9,2,17,0,-1,High-Risk (Flagged for Audit)
CLAIM-80887,Dealership-D024,Infotainment Head Unit,3107.97,26.5,2,23,0,1,Approved Standard Claim
CLAIM-80888,Dealership-D041,Inverter ECU,1276.77,11.8,3,42,0,1,Approved Standard Claim
CLAIM-80889,Dealership-D021,Transmission Valve Body,2457.61,21.9,1,39,0,1,Approved Standard Claim
CLAIM-80890,Dealership-D020,Inverter ECU,1376.51,13.3,4,19,0,1,Approved Standard Claim
CLAIM-80891,Dealership-D033,Infotainment Head Unit,2243.41,18.6,5,47,0,1,Approved Standard Claim
CLAIM-80892,Dealership-D038,Turbocharger Assembly,1845.0,20.1,3,20,0,1,Approved Standard Claim
CLAIM-80893,Dealership-D038,Brake Caliper Kit,485.86,4.4,4,19,0,1,Approved Standard Claim
CLAIM-80894,Dealership-D037,Brake Caliper Kit,1892.15,14.3,2,25,0,1,Approved Standard Claim
CLAIM-80895,Dealership-D037,Inverter ECU,1221.74,10.0,2,46,0,1,Approved Standard Claim
CLAIM-80896,Dealership-D028,Brake Caliper Kit,1605.73,15.8,5,46,0,1,Approved Standard Claim
CLAIM-80897,Dealership-D005,Turbocharger Assembly,2412.35,19.0,2,45,0,1,Approved Standard Claim
CLAIM-80898,Dealership-D041,Brake Caliper Kit,424.02,3.5,7,42,0,-1,High-Risk (Flagged for Audit)
CLAIM-80899,Dealership-D022,Infotainment Head Unit,665.23,5.0,3,11,0,1,Approved Standard Claim
CLAIM-80900,Dealership-D035,Turbocharger Assembly,2852.46,29.9,3,36,0,1,Approved Standard Claim
CLAIM-80901,Dealership-D044,Brake Caliper Kit,1744.99,18.2,2,38,0,1,Approved Standard Claim
CLAIM-80902,Dealership-D009,Battery Module,750.29,8.1,1,44,0,1,Approved Standard Claim
CLAIM-80903,Dealership-D010,Battery Module,1781.01,13.8,6,23,0,1,Approved Standard Claim
CLAIM-80904,Dealership-D015,Inverter ECU,2552.9,24.4,2,44,0,1,Approved Standard Claim
CLAIM-80905,Dealership-D033,Transmission Valve Body,766.26,7.0,3,13,0,1,Approved Standard Claim
CLAIM-80906,Dealership-D013,Brake Caliper Kit,1897.95,18.6,2,47,0,1,Approved Standard Claim
CLAIM-80907,Dealership-D037,Transmission Valve Body,1387.62,11.2,2,7,0,1,Approved Standard Claim
CLAIM-80908,Dealership-D004,Infotainment Head Unit,552.75,4.3,4,45,0,1,Approved Standard Claim
CLAIM-80909,Dealership-D006,Inverter ECU,596.04,6.2,8,46,0,-1,High-Risk (Flagged for Audit)
CLAIM-80910,Dealership-D006,Inverter ECU,3272.37,27.7,3,18,0,1,Approved Standard Claim
CLAIM-80911,Dealership-D031,Infotainment Head Unit,849.82,8.8,1,32,0,1,Approved Standard Claim
CLAIM-80912,Dealership-D015,Infotainment Head Unit,3694.48,32.8,6,25,0,1,Approved Standard Claim
CLAIM-80913,Dealership-D010,Inverter ECU,1020.14,8.3,1,40,0,1,Approved Standard Claim
CLAIM-80914,Dealership-D012,Turbocharger Assembly,793.8,7.6,7,40,0,1,Approved Standard Claim
CLAIM-80915,Dealership-D043,Turbocharger Assembly,1851.56,15.3,3,16,0,1,Approved Standard Claim
CLAIM-80916,Dealership-D002,Inverter ECU,2325.2,25.6,2,16,0,1,Approved Standard Claim
CLAIM-80917,Dealership-D023,Turbocharger Assembly,1583.92,15.0,2,39,0,1,Approved Standard Claim
CLAIM-80918,Dealership-D006,Infotainment Head Unit,1313.92,12.3,4,7,0,1,Approved Standard Claim
CLAIM-80919,Dealership-D035,Transmission Valve Body,2461.93,21.9,3,30,0,1,Approved Standard Claim
CLAIM-80920,Dealership-D039,Inverter ECU,6204.91,58.1,2,9,0,-1,High-Risk (Flagged for Audit)
CLAIM-80921,Dealership-D008,Turbocharger Assembly,2259.99,18.0,3,16,0,1,Approved Standard Claim
CLAIM-80922,Dealership-D040,Brake Caliper Kit,2895.98,24.9,1,18,0,1,Approved Standard Claim
CLAIM-80923,Dealership-D025,Brake Caliper Kit,1893.57,14.3,7,16,0,1,Approved Standard Claim
CLAIM-80924,Dealership-D024,Brake Caliper Kit,2045.3,21.9,5,43,0,1,Approved Standard Claim
CLAIM-80925,Dealership-D017,Brake Caliper Kit,553.55,4.0,3,33,0,1,Approved Standard Claim
CLAIM-80926,Dealership-D042,Turbocharger Assembly,3102.83,26.8,3,19,0,1,Approved Standard Claim
CLAIM-80927,Dealership-D032,Inverter ECU,2701.76,26.9,5,18,0,1,Approved Standard Claim
CLAIM-80928,Dealership-D002,Turbocharger Assembly,634.68,5.3,2,37,0,1,Approved Standard Claim
CLAIM-80929,Dealership-D027,Infotainment Head Unit,3758.35,34.3,4,43,0,1,Approved Standard Claim
CLAIM-80930,Dealership-D034,Inverter ECU,2437.72,10.6,5,42,1,1,Approved Standard Claim
CLAIM-80931,Dealership-D015,Brake Caliper Kit,3056.15,23.4,3,29,0,1,Approved Standard Claim
CLAIM-80932,Dealership-D039,Battery Module,2051.36,15.3,2,10,0,1,Approved Standard Claim
CLAIM-80933,Dealership-D035,Transmission Valve Body,4067.1,31.0,2,34,0,1,Approved Standard Claim
CLAIM-80934,Dealership-D037,Infotainment Head Unit,915.68,6.7,4,20,0,1,Approved Standard Claim
CLAIM-80935,Dealership-D042,Turbocharger Assembly,2585.99,26.0,2,7,0,1,Approved Standard Claim
CLAIM-80936,Dealership-D011,Infotainment Head Unit,2146.08,17.5,2,45,0,1,Approved Standard Claim
CLAIM-80937,Dealership-D022,Battery Module,577.23,4.2,1,19,0,1,Approved Standard Claim
CLAIM-80938,Dealership-D010,Turbocharger Assembly,4354.65,35.3,4,44,0,1,Approved Standard Claim
CLAIM-80939,Dealership-D018,Infotainment Head Unit,1270.44,12.0,5,38,0,1,Approved Standard Claim
CLAIM-80940,Dealership-D007,Inverter ECU,6027.02,47.4,3,27,1,-1,High-Risk (Flagged for Audit)
CLAIM-80941,Dealership-D012,Battery Module,1995.55,20.7,1,12,0,1,Approved Standard Claim
CLAIM-80942,Dealership-D019,Brake Caliper Kit,2561.46,28.9,9,46,1,-1,High-Risk (Flagged for Audit)
CLAIM-80943,Dealership-D001,Turbocharger Assembly,454.97,3.8,4,33,0,1,Approved Standard Claim
CLAIM-80944,Dealership-D008,Infotainment Head Unit,803.8,7.1,3,39,0,1,Approved Standard Claim
CLAIM-80945,Dealership-D043,Transmission Valve Body,3339.75,30.3,2,24,0,1,Approved Standard Claim
CLAIM-80946,Dealership-D027,Inverter ECU,1878.58,13.8,2,43,0,1,Approved Standard Claim
CLAIM-80947,Dealership-D038,Brake Caliper Kit,8400.21,65.1,4,33,0,-1,High-Risk (Flagged for Audit)
CLAIM-80948,Dealership-D017,Infotainment Head Unit,2444.13,21.8,2,6,0,1,Approved Standard Claim
CLAIM-80949,Dealership-D022,Brake Caliper Kit,880.82,8.4,5,34,0,1,Approved Standard Claim
CLAIM-80950,Dealership-D016,Transmission Valve Body,2376.48,17.5,1,15,0,1,Approved Standard Claim
CLAIM-80951,Dealership-D008,Battery Module,977.07,8.0,5,33,0,1,Approved Standard Claim
CLAIM-80952,Dealership-D003,Inverter ECU,892.66,6.6,5,39,0,1,Approved Standard Claim
CLAIM-80953,Dealership-D005,Inverter ECU,1263.98,11.9,2,11,0,1,Approved Standard Claim
CLAIM-80954,Dealership-D021,Transmission Valve Body,1453.82,14.4,2,8,0,1,Approved Standard Claim
CLAIM-80955,Dealership-D037,Battery Module,2460.85,19.7,4,42,0,1,Approved Standard Claim
CLAIM-80956,Dealership-D019,Turbocharger Assembly,410.59,3.0,3,12,0,1,Approved Standard Claim
CLAIM-80957,Dealership-D020,Inverter ECU,4199.91,45.7,4,13,0,-1,High-Risk (Flagged for Audit)
CLAIM-80958,Dealership-D024,Brake Caliper Kit,4469.03,38.6,4,40,0,1,Approved Standard Claim
CLAIM-80959,Dealership-D038,Battery Module,769.97,6.2,3,25,0,1,Approved Standard Claim
CLAIM-80960,Dealership-D015,Turbocharger Assembly,586.02,5.0,2,27,0,1,Approved Standard Claim
CLAIM-80961,Dealership-D011,Inverter ECU,1536.41,13.6,1,40,0,1,Approved Standard Claim
CLAIM-80962,Dealership-D036,Turbocharger Assembly,2831.02,24.0,1,15,0,1,Approved Standard Claim
CLAIM-80963,Dealership-D004,Brake Caliper Kit,545.74,4.6,3,36,0,1,Approved Standard Claim
CLAIM-80964,Dealership-D033,Transmission Valve Body,535.81,4.4,3,10,0,1,Approved Standard Claim
CLAIM-80965,Dealership-D018,Inverter ECU,463.06,3.4,3,11,0,1,Approved Standard Claim
CLAIM-80966,Dealership-D024,Turbocharger Assembly,1474.6,14.5,2,6,0,1,Approved Standard Claim
CLAIM-80967,Dealership-D017,Inverter ECU,698.43,6.3,3,39,0,1,Approved Standard Claim
CLAIM-80968,Dealership-D003,Brake Caliper Kit,2876.6,24.9,1,9,0,1,Approved Standard Claim
CLAIM-80969,Dealership-D043,Turbocharger Assembly,2716.25,20.4,5,17,0,1,Approved Standard Claim
CLAIM-80970,Dealership-D033,Turbocharger Assembly,3756.17,39.0,3,41,0,1,Approved Standard Claim
CLAIM-80971,Dealership-D033,Brake Caliper Kit,452.81,4.2,4,28,0,1,Approved Standard Claim
CLAIM-80972,Dealership-D014,Transmission Valve Body,2204.59,21.5,3,37,0,1,Approved Standard Claim
CLAIM-80973,Dealership-D035,Infotainment Head Unit,1241.18,12.0,2,32,0,1,Approved Standard Claim
CLAIM-80974,Dealership-D036,Inverter ECU,1067.97,9.2,2,18,0,1,Approved Standard Claim
CLAIM-80975,Dealership-D040,Brake Caliper Kit,2953.66,26.3,2,24,0,1,Approved Standard Claim
CLAIM-80976,Dealership-D032,Infotainment Head Unit,692.69,7.3,2,41,0,1,Approved Standard Claim
CLAIM-80977,Dealership-D031,Brake Caliper Kit,1016.82,7.7,1,8,0,1,Approved Standard Claim
CLAIM-80978,Dealership-D034,Turbocharger Assembly,12860.12,56.6,4,47,1,-1,High-Risk (Flagged for Audit)
CLAIM-80979,Dealership-D038,Brake Caliper Kit,514.39,4.4,3,23,0,1,Approved Standard Claim
CLAIM-80980,Dealership-D026,Turbocharger Assembly,892.26,6.8,7,11,0,1,Approved Standard Claim
CLAIM-80981,Dealership-D003,Inverter ECU,748.44,6.5,1,15,0,1,Approved Standard Claim
CLAIM-80982,Dealership-D023,Brake Caliper Kit,2353.46,19.5,1,28,0,1,Approved Standard Claim
CLAIM-80983,Dealership-D023,Inverter ECU,801.98,7.7,2,10,0,1,Approved Standard Claim
CLAIM-80984,Dealership-D017,Battery Module,825.55,7.7,3,37,0,1,Approved Standard Claim
CLAIM-80985,Dealership-D025,Brake Caliper Kit,678.12,6.5,3,46,0,1,Approved Standard Claim
CLAIM-80986,Dealership-D043,Transmission Valve Body,1536.57,16.5,4,8,0,1,Approved Standard Claim
CLAIM-80987,Dealership-D041,Inverter ECU,1303.21,13.5,3,44,0,1,Approved Standard Claim
CLAIM-80988,Dealership-D027,Battery Module,1029.8,8.2,2,27,0,1,Approved Standard Claim
CLAIM-80989,Dealership-D005,Infotainment Head Unit,758.63,6.1,1,25,0,1,Approved Standard Claim
