Telemetry_Timestamp_ms,Speed_kmh,Lateral_Acceleration_G,Longitudinal_Accel_G,Active_Wing_Angle_deg,Aerodynamic_Downforce_kg,Tire_Tread_Temp_C
49300,115.5,0.13,0.03,5.9,56.8,78.2
49400,226.3,0.36,-0.01,10.8,323.6,77.6
49500,194.2,0.48,1.09,9.0,211.2,99.6
49600,241.6,0.12,0.33,11.9,396.4,75.9
49700,178.0,-0.58,-1.18,9.4,181.5,96.0
49800,145.3,-0.38,0.23,7.3,102.6,75.0
49900,268.2,-1.21,-1.0,14.7,574.2,110.3
50000,80.9,1.45,0.04,6.9,30.8,101.7
50100,71.3,0.57,0.13,2.6,14.8,79.5
50200,286.7,0.04,0.34,12.0,561.6,78.1
50300,276.1,1.08,-0.61,13.1,556.9,94.5
50400,94.2,-0.25,0.63,2.4,24.9,77.2
50500,91.6,-0.2,-0.21,4.7,31.6,76.4
50600,62.6,-1.65,0.27,3.0,12.1,116.7
50700,130.7,0.21,-0.2,5.7,71.6,73.8
50800,111.0,-1.24,0.29,7.1,58.8,103.1
50900,86.3,0.13,-0.37,5.7,31.3,80.6
51000,160.2,0.82,0.58,7.5,127.3,89.2
51100,137.3,0.11,0.2,4.5,69.2,74.9
51200,204.8,-0.59,-0.02,7.8,213.3,79.6
51300,265.0,-0.99,0.41,13.9,536.9,89.5
51400,107.1,-0.32,1.03,5.2,45.6,84.8
51500,99.0,-0.49,-0.42,3.5,32.0,80.3
51600,232.9,-0.72,0.71,11.9,368.8,89.3
51700,249.1,0.19,0.22,13.4,461.7,74.5
51800,80.6,-0.92,-0.59,2.5,18.5,93.5
51900,115.5,-0.67,-1.08,7.9,68.1,97.8
52000,249.8,0.44,-0.56,10.3,381.1,81.1
52100,110.8,-0.4,-0.07,6.6,56.0,81.0
52200,81.8,1.01,0.13,4.5,24.6,89.8
52300,112.0,0.88,0.05,5.0,48.7,88.6
52400,139.0,0.78,0.18,5.8,81.7,83.2
52500,88.5,-0.56,-0.16,5.0,30.6,77.9
52600,231.7,0.1,0.09,9.4,307.8,77.9
52700,287.8,-0.0,-0.23,15.0,670.1,72.1
52800,265.6,-0.46,-0.66,11.8,476.7,85.4
52900,261.8,-2.13,0.45,14.2,533.3,138.7
53000,205.3,0.96,0.71,10.1,254.0,94.3
53100,235.9,-0.95,0.0,9.0,310.6,85.8
53200,279.0,-0.72,-0.08,12.9,562.1,84.5
53300,112.1,-0.83,1.18,4.1,44.0,108.8
53400,114.1,0.92,0.75,4.8,49.4,93.5
53500,188.6,-0.13,0.26,10.6,222.2,80.1
53600,184.2,0.97,-0.52,9.1,191.0,91.3
53700,272.3,0.11,-0.66,13.9,566.0,80.3
53800,230.4,-0.4,-0.69,11.9,361.6,86.2
53900,279.0,-0.45,-0.19,13.4,579.0,83.0
54000,174.4,-0.65,0.07,10.3,186.7,83.5
54100,236.4,0.94,0.36,11.0,358.5,91.8
54200,97.0,0.89,-0.88,4.5,34.7,95.1
54300,148.5,0.15,-0.76,6.9,103.4,83.1
54400,103.3,1.5,0.0,5.8,45.3,111.2
54500,269.3,0.67,0.68,11.3,473.7,85.8
54600,108.2,-0.51,-0.72,4.9,45.1,85.4
54700,104.6,-0.01,-0.38,6.1,47.9,79.3
54800,276.7,0.05,0.32,14.2,596.1,72.8
54900,99.4,-1.09,-0.26,3.9,34.1,93.4
55000,158.5,-0.84,-0.16,7.7,126.7,89.9
55100,120.6,0.64,0.61,5.2,58.0,85.2
55200,216.9,1.31,-0.13,10.7,296.4,103.1
55300,93.6,0.1,0.67,5.6,36.2,82.7
55400,131.0,-0.02,-0.98,7.1,82.2,83.3
55500,278.3,0.59,-0.07,15.3,636.8,78.5
55600,132.7,0.26,-0.05,6.7,81.0,78.5
55700,238.0,-0.62,-0.01,11.6,377.7,75.9
55800,221.0,0.26,0.12,8.8,267.5,76.5
55900,176.2,-0.93,-0.69,7.2,150.1,90.8
56000,93.9,0.12,0.66,3.5,28.8,83.4
56100,204.7,0.78,0.27,11.2,273.3,87.1
56200,127.6,0.73,-0.75,5.7,68.0,89.0
56300,83.8,-0.28,0.65,5.6,29.1,78.7
56400,97.5,0.55,0.9,4.4,34.7,90.2
56500,200.8,0.75,1.42,10.0,241.5,108.7
56600,242.8,-0.53,0.56,10.8,373.8,79.8
56700,142.5,-0.4,-0.71,5.3,81.9,84.8
56800,108.2,-0.11,-0.2,5.6,48.4,77.6
56900,272.2,-0.41,-0.68,13.1,540.3,80.1
57000,249.6,-0.43,-0.44,13.0,452.8,79.3
57100,88.2,-0.62,-0.32,3.7,26.0,79.2
57200,178.5,0.76,-0.53,7.5,157.7,85.6
57300,109.5,-1.47,0.73,4.7,45.4,118.4
57400,119.6,0.22,-0.1,5.6,59.2,74.8
57500,242.7,-0.2,-0.7,11.9,399.6,86.1
57600,276.7,-1.33,-0.77,13.3,566.4,107.0
57700,130.8,0.13,-0.46,4.5,63.3,79.9
57800,122.1,-1.09,0.36,7.4,73.0,97.1
57900,234.9,0.2,1.09,12.4,386.3,91.8
58000,125.5,0.11,-0.39,6.5,71.5,74.0
58100,283.9,-0.66,0.43,10.3,494.3,81.2
58200,204.2,-0.12,0.48,9.7,245.8,76.8
58300,143.2,1.38,0.21,6.9,96.6,104.2
58400,191.3,-0.24,0.54,8.7,199.8,80.2
58500,196.3,-1.14,-0.14,6.8,179.1,89.5
58600,281.6,0.46,-0.21,13.8,603.4,77.4
58700,282.4,-0.46,-0.52,12.6,565.5,79.3
58800,176.3,-1.46,-0.13,6.1,134.9,109.2
58900,86.4,-0.31,0.24,4.5,27.6,76.7
59000,185.8,0.2,0.31,7.0,163.1,76.8
59100,76.9,-0.27,-0.16,5.8,24.9,75.7
59200,250.5,-0.35,-0.03,11.7,422.0,75.8
59300,143.7,-1.15,0.03,8.5,111.2,95.0
59400,145.4,-0.44,0.33,7.1,101.5,76.2
59500,114.8,-0.81,0.28,6.0,57.0,84.1
59600,141.7,0.21,0.34,6.7,92.3,78.9
59700,211.0,-0.9,-0.16,10.2,271.6,83.4
59800,278.0,-0.3,0.21,13.8,587.1,79.3
59900,229.3,0.73,0.15,9.7,309.8,84.9
60000,216.8,0.4,0.13,11.0,302.2,78.9
60100,251.0,1.19,0.09,12.2,435.5,95.5
60200,189.7,0.96,-0.11,9.0,200.0,89.7
60300,106.3,-0.88,-0.89,4.9,43.8,94.5
60400,236.6,1.45,-0.46,12.0,382.6,110.5
60500,92.8,0.37,0.7,6.0,37.1,84.9
60600,162.5,-0.89,0.4,6.2,116.3,85.2
60700,199.0,0.06,1.01,11.1,255.0,91.7
60800,157.8,-0.56,-0.16,6.1,108.5,82.0
60900,139.2,-0.4,0.73,8.2,101.7,87.2
61000,115.1,0.28,-0.08,3.8,44.7,78.4
61100,266.6,-1.28,0.25,13.0,515.9,97.9
61200,153.3,0.16,0.49,9.6,137.4,81.4
61300,118.6,-0.26,-0.17,6.0,60.7,78.7
61400,281.1,-0.76,0.39,11.8,535.2,84.3
61500,113.8,-0.81,0.1,4.9,49.9,82.7
61600,116.0,0.54,0.17,3.7,45.2,80.5
61700,70.5,0.78,-0.56,5.0,19.3,88.8
61800,220.3,-0.46,-0.32,9.0,270.1,73.3
61900,253.7,-0.4,-0.07,13.6,482.8,79.4
62000,111.5,-0.13,0.62,3.0,37.8,76.3
62100,66.7,-1.1,0.96,4.3,16.0,99.6
62200,232.9,0.12,0.13,9.9,323.6,72.3
62300,76.8,0.49,-0.11,3.0,18.0,84.4
62400,121.1,-0.62,0.68,5.5,60.5,86.3
62500,248.2,-0.83,-0.09,12.3,429.4,87.0
62600,79.2,-0.78,0.54,2.0,16.5,87.0
62700,110.7,0.08,0.39,4.3,44.2,74.2
62800,167.4,-0.6,-0.78,7.5,138.4,85.2
62900,204.2,1.01,0.67,10.1,252.0,97.0
63000,124.8,-0.48,0.27,4.6,58.1,78.6
63100,90.5,-0.37,0.31,5.6,33.9,80.1
63200,242.3,-1.01,-0.51,13.3,433.8,95.6
63300,271.8,-0.61,-0.35,12.2,511.4,82.7
63400,202.9,0.7,-0.3,7.3,200.4,84.6
63500,252.8,0.35,0.65,13.4,475.2,81.8
63600,101.9,0.24,-1.46,4.2,36.9,103.9
63700,195.0,0.17,-0.17,8.2,199.3,75.4
63800,194.6,-0.72,0.01,9.7,222.0,77.0
63900,213.0,1.13,1.09,8.0,233.6,109.2
64000,71.2,0.23,0.33,2.0,13.4,77.5
64100,77.0,-0.46,0.16,3.6,19.7,76.7
64200,259.7,-1.02,-0.06,13.0,489.6,95.6
64300,235.7,1.35,-1.22,8.6,299.9,122.5
64400,200.2,0.76,1.46,10.9,256.2,112.0
64500,94.0,-0.26,0.2,5.5,36.4,77.3
64600,245.9,-0.6,-0.27,12.0,412.6,76.5
64700,286.2,0.39,-0.75,13.0,595.6,86.3
64800,90.8,0.11,-1.07,2.6,23.7,90.4
64900,278.6,-0.83,0.64,13.8,590.2,91.4
65000,63.7,1.3,0.01,2.5,11.6,99.2
65100,258.8,1.16,-1.05,14.1,518.1,109.3
65200,281.0,-0.28,0.26,15.1,643.6,77.4
65300,273.9,0.42,0.7,12.6,532.3,83.6
65400,183.1,0.35,-0.24,10.6,209.6,78.2
65500,205.9,0.17,-0.35,12.3,295.3,72.6
65600,276.3,-0.78,-0.96,13.2,561.6,97.3
65700,185.8,0.41,-0.92,10.0,207.4,90.1
65800,212.9,-0.63,0.36,9.7,266.8,83.6
65900,111.2,0.07,-0.63,5.4,50.5,80.2
66000,169.0,-0.83,0.76,10.6,179.1,97.5
66100,129.2,0.2,-1.45,6.5,75.3,104.1
66200,196.0,0.28,-0.57,9.8,227.0,79.2
66300,74.5,0.87,0.34,3.6,18.4,89.4
66400,271.9,-0.12,-0.27,11.2,481.2,75.5
66500,153.6,-0.66,0.17,7.5,116.9,80.8
66600,267.3,-0.73,-0.4,8.7,390.1,84.9
66700,233.9,0.31,-1.2,14.4,429.1,96.9
66800,77.0,0.2,-0.6,4.7,22.3,79.4
66900,87.6,-0.53,0.2,5.2,30.5,78.5
67000,263.7,0.06,0.49,11.9,472.0,79.2
67100,78.1,-0.64,-0.1,4.5,22.4,80.0
67200,264.5,0.11,-0.69,13.4,520.9,81.3
67300,109.2,-0.18,-0.81,5.7,50.1,84.8
67400,119.5,-0.73,0.17,5.1,56.3,79.9
67500,100.2,-0.68,0.25,5.2,40.0,78.6
67600,280.9,-0.8,-0.5,14.3,615.2,88.1
67700,115.5,0.43,-0.98,5.5,54.9,89.2
67800,139.4,0.3,0.66,8.8,106.9,81.7
67900,111.6,0.39,-0.38,6.0,53.6,77.3
68000,71.6,1.04,0.84,0.8,10.9,97.0
68100,69.5,0.94,0.65,3.0,14.9,94.4
68200,89.0,-0.34,-0.72,1.3,18.5,88.9
68300,256.6,0.43,-0.16,12.3,459.1,76.8
68400,118.5,-0.57,0.07,4.4,51.0,80.5
68500,278.5,-0.35,-0.11,13.7,587.5,72.8
68600,192.6,-0.04,0.49,8.0,191.0,76.4
68700,166.6,0.66,0.06,9.9,165.9,79.6
68800,169.3,-0.12,0.67,7.7,144.0,80.6
68900,187.5,0.21,-0.24,9.5,203.8,76.5
69000,100.6,0.12,-0.56,4.9,38.8,82.6
69100,258.9,0.01,0.13,12.5,472.3,76.1
69200,112.6,1.39,-0.36,6.3,56.2,108.5
69300,237.7,0.66,0.39,10.9,361.3,80.0
69400,128.5,-0.13,0.52,7.4,80.7,80.2
69500,63.0,1.05,-0.21,3.4,12.8,89.3
69600,108.4,-0.07,0.08,6.5,53.3,72.5
69700,225.1,-1.01,-0.21,9.0,282.0,88.1
69800,260.5,-0.12,0.18,14.4,531.1,78.4
69900,73.2,-0.13,-0.56,2.6,15.6,80.7
70000,279.9,0.69,-0.66,13.5,585.7,90.3
70100,101.3,0.24,0.17,5.8,43.5,79.3
70200,120.5,-0.31,-0.37,5.3,58.4,74.0
70300,210.9,-0.16,-0.08,11.0,286.0,77.7
70400,236.8,0.2,-1.71,12.5,394.8,118.8
70500,134.8,0.07,0.97,6.2,79.7,88.1
70600,284.5,0.62,1.33,13.2,595.8,102.9
70700,124.6,0.56,-0.2,4.9,60.1,75.9
70800,157.6,-0.24,0.25,7.1,119.3,74.8
70900,113.3,-0.3,0.33,6.2,56.8,81.3
71000,210.9,-0.9,0.0,9.8,262.3,83.4
71100,262.3,-0.21,-1.0,14.5,544.0,91.7
71200,182.7,-0.45,-0.63,9.6,194.4,86.6
71300,69.6,0.04,0.26,3.9,16.7,73.9
71400,209.9,-0.19,0.62,10.5,274.2,82.7
71500,248.7,-0.73,0.41,13.3,456.6,84.2
71600,185.0,-0.74,-0.83,8.8,188.4,87.7
71700,213.4,-1.2,0.3,8.5,245.2,98.8
71800,172.6,0.34,0.29,7.3,144.7,75.9
71900,134.8,1.17,-0.45,6.5,82.6,95.0
72000,202.3,1.63,0.38,10.8,260.0,110.1
72100,259.9,-0.99,0.22,12.4,472.6,88.5
72200,232.4,-1.13,-0.76,11.1,348.9,101.6
72300,151.8,0.76,-0.16,7.3,112.0,79.0
72400,241.4,0.28,0.3,12.6,412.8,79.3
72500,248.6,-0.37,-0.15,10.8,390.4,76.7
72600,198.9,0.71,-0.62,8.8,218.2,91.5
72700,122.4,1.49,-0.4,6.6,68.6,106.6
72800,110.8,-0.12,0.55,7.3,59.9,81.2
72900,99.3,0.81,-1.11,3.8,33.5,103.5
73000,200.7,0.35,0.96,8.6,218.8,85.5
73100,198.5,-0.1,-0.14,7.6,195.9,76.5
73200,239.3,-0.59,-0.11,15.0,463.6,80.1
73300,264.9,-0.75,0.68,14.0,539.1,89.2
73400,267.1,0.75,-0.34,13.6,535.6,84.4
73500,129.2,0.19,-0.05,6.3,74.4,75.3
73600,210.5,0.79,0.71,9.7,261.1,92.2
73700,166.8,-0.62,0.73,5.3,112.1,83.5
73800,238.1,1.13,-0.28,10.6,353.8,94.9
73900,212.4,-0.3,-0.1,10.9,287.8,75.0
74000,256.0,-0.49,1.39,13.9,500.3,102.1
74100,188.6,0.82,-0.68,6.4,159.5,89.7
74200,69.5,-0.15,0.05,2.8,14.4,71.4
74300,154.9,-0.09,-0.77,6.2,105.2,84.8
74400,196.6,0.44,-0.69,9.0,215.1,87.5
74500,78.3,0.05,0.2,5.3,24.6,75.2
74600,147.8,-0.07,0.07,9.8,128.9,73.4
74700,96.8,0.46,-0.62,3.7,31.5,84.9
74800,129.6,-0.06,0.92,6.0,72.3,87.2
74900,214.5,0.38,0.36,12.2,318.5,82.3
75000,87.7,-0.18,0.19,3.9,26.5,79.5
75100,210.5,-0.4,-0.37,9.4,254.8,78.5
75200,185.1,0.44,0.1,9.5,197.8,77.9
75300,65.5,-0.08,0.05,2.2,11.7,71.0
75400,78.0,-0.44,-0.11,3.5,19.8,82.8
75500,196.9,-0.61,0.91,11.2,252.2,94.1
75600,257.1,1.36,-0.35,13.1,481.7,102.5
75700,181.5,0.04,-0.35,8.6,179.0,73.2
75800,200.6,0.98,-0.58,9.2,228.6,92.4
75900,252.2,-0.23,-0.76,11.8,428.4,79.9
76000,119.7,-0.28,0.34,4.2,51.3,79.4
76100,223.0,0.79,-0.36,11.1,320.9,89.0
76200,63.8,-0.72,0.22,2.3,11.2,86.6
76300,100.2,1.08,-1.02,6.2,44.2,108.2
76400,75.5,-0.05,-0.51,5.0,22.2,83.3
76500,133.3,-0.33,-0.62,6.1,77.5,80.1
76600,229.4,-0.49,0.23,11.9,357.2,78.4
76700,257.4,-0.11,-0.4,12.3,460.4,75.5
76800,91.3,-0.89,0.1,3.0,25.5,84.1
76900,76.8,-0.69,0.58,4.1,20.8,85.3
77000,265.2,0.27,-0.17,12.1,485.3,80.6
77100,87.1,0.36,-0.21,4.8,28.9,79.1
77200,76.5,2.13,0.43,2.9,17.6,140.7
77300,73.4,0.48,0.16,3.3,17.1,80.1
77400,201.3,-1.09,-0.46,11.3,265.5,94.9
77500,205.7,0.01,0.39,8.4,225.0,78.3
77600,262.5,-0.45,0.62,10.7,435.0,83.0
77700,269.1,-1.2,1.22,13.8,551.1,116.8
77800,69.4,0.68,0.74,1.1,10.9,87.7
77900,242.3,-0.08,-0.71,10.8,370.8,84.7
78000,75.6,-0.05,0.82,2.8,17.0,90.3
78100,102.7,0.06,-0.63,4.9,40.8,74.1
78200,125.8,0.06,1.21,4.5,58.7,95.4
78300,82.4,0.59,0.45,3.9,23.4,83.1
78400,188.3,-0.86,0.19,10.0,213.3,87.1
78500,81.7,-1.0,-1.0,4.2,23.8,102.4
78600,286.5,0.0,-1.74,13.9,628.5,111.6
78700,233.8,-0.45,0.7,11.8,369.6,82.3
78800,140.9,-0.26,0.27,5.8,83.9,76.4
78900,262.3,0.71,-0.8,12.6,487.4,89.9
79000,232.0,0.05,-0.43,9.8,319.0,79.3
79100,243.8,-1.13,-1.21,12.4,416.6,113.4
79200,80.4,-0.4,0.04,1.4,15.3,73.0
79300,171.8,0.76,0.03,8.5,158.2,86.9
79400,108.7,-0.21,0.94,5.8,50.1,87.7
79500,248.5,0.79,0.05,11.6,411.2,82.7
79600,121.3,-0.64,-0.32,7.0,70.0,82.8
79700,180.4,0.15,-0.05,9.2,184.3,75.9
79800,121.5,0.7,0.18,4.7,55.9,86.3
79900,144.3,0.35,-0.2,6.6,95.1,76.0
80000,269.5,-0.67,0.29,13.7,548.9,80.8
80100,251.5,1.75,-0.29,12.6,448.4,120.4
80200,187.8,0.31,-0.42,8.5,189.8,77.1
80300,283.5,-1.07,-0.48,13.7,607.4,89.0
80400,230.0,-0.2,0.52,11.2,344.6,82.2
80500,178.0,-0.72,-0.16,8.1,165.3,84.5
80600,252.8,-0.49,0.22,14.8,511.4,77.4
80700,214.1,0.16,-0.71,9.4,262.5,82.4
80800,263.6,-0.4,-0.27,11.8,469.5,76.3
80900,129.3,-0.46,-0.49,6.8,77.9,81.8
81000,64.4,-0.74,-0.4,2.1,11.1,84.2
81100,69.2,-0.36,-0.21,2.9,14.4,77.2
81200,273.9,0.24,0.41,14.8,600.8,78.3
81300,230.4,-0.66,0.25,11.7,355.4,81.8
81400,126.2,-0.45,-0.25,6.4,71.2,76.1
81500,169.4,0.24,-1.14,9.2,162.3,91.9
81600,240.1,-0.3,-1.19,12.7,411.7,92.5
81700,239.5,-0.52,-0.69,11.5,380.0,86.8
81800,233.6,-0.36,-0.5,10.7,344.1,79.5
81900,166.4,-0.16,0.44,7.1,132.9,81.9
82000,98.1,0.03,0.85,3.6,31.9,86.0
82100,62.6,-0.61,-1.05,0.9,8.5,96.1
82200,171.8,0.67,0.89,8.4,157.2,88.8
82300,173.7,0.06,0.27,9.4,174.0,74.2
82400,207.7,0.69,0.36,10.5,267.9,82.5
82500,105.8,-0.49,-0.39,8.2,58.9,81.6
82600,228.7,-0.26,-0.85,11.6,350.1,86.8
82700,173.5,-0.15,-0.12,8.2,157.7,73.9
82800,267.9,-0.03,-0.92,13.2,527.8,87.3
82900,148.4,-0.34,-0.19,6.8,102.2,79.5
83000,163.6,0.1,-0.67,9.3,152.9,78.3
83100,132.8,-0.02,0.39,5.6,73.2,78.2
83200,255.8,0.43,0.71,13.5,488.0,85.9
83300,137.4,0.66,-0.66,5.6,78.5,82.3
83400,233.5,-1.02,0.3,11.9,370.5,93.2
83500,87.9,0.17,0.96,2.1,20.9,86.1
83600,237.5,0.89,1.05,12.8,405.7,99.2
83700,245.5,-0.64,0.35,12.9,435.4,77.4
83800,216.0,0.17,0.78,11.5,308.9,84.8
83900,272.7,-0.86,0.0,12.8,533.9,87.8
84000,258.0,-0.9,0.58,12.7,474.1,92.0
84100,105.4,-0.14,-0.68,4.7,42.0,82.4
84200,147.2,0.22,0.08,6.3,96.1,78.0
84300,260.9,-1.02,0.13,14.8,545.1,93.2
84400,115.4,-0.02,0.01,4.3,47.8,74.5
84500,140.5,0.23,-0.29,4.6,73.9,76.0
84600,263.5,0.33,0.3,12.6,493.1,76.2
84700,178.1,-0.27,-0.84,9.4,182.8,83.9
84800,106.8,-0.58,-0.26,6.4,51.0,81.9
84900,204.6,0.31,0.9,7.5,207.8,86.7
85000,159.4,-0.02,-0.19,8.0,130.9,74.9
85100,140.8,0.89,0.36,5.0,77.0,86.3
85200,239.9,0.04,-0.79,11.9,391.4,83.3
85300,192.4,-0.11,0.32,10.1,224.1,77.1
85400,73.4,0.84,-0.46,4.3,19.4,90.8
85500,81.6,-1.07,-0.53,5.4,27.1,94.9
85600,213.5,-0.72,-0.03,11.0,292.6,83.6
85700,154.5,0.48,0.25,7.7,120.2,80.0
85800,289.1,-0.29,-0.28,18.0,782.3,79.4
85900,227.9,0.35,0.23,12.2,359.3,72.8
86000,209.8,-0.42,-0.13,10.5,273.3,77.8
86100,89.3,-1.77,-0.66,4.5,29.4,125.0
86200,77.3,0.25,0.2,3.9,20.7,78.6
86300,106.7,-0.29,0.29,5.0,44.6,72.7
86400,135.7,1.0,0.62,4.6,69.0,95.7
86500,247.6,-0.73,0.3,12.6,435.0,87.1
86600,244.5,-0.01,-0.63,11.1,386.5,80.0
86700,229.5,-1.28,0.06,11.2,342.2,97.3
86800,100.4,0.14,-0.87,5.8,42.6,86.1
86900,94.6,1.0,-1.19,3.6,29.8,112.2
87000,271.6,-1.34,-0.34,12.1,508.6,99.2
87100,107.3,-0.14,0.87,3.3,36.9,84.7
87200,153.1,-1.34,0.23,9.1,132.3,101.5
87300,94.4,0.22,-0.05,5.4,36.1,80.0
87400,145.8,-0.82,0.42,6.5,95.9,86.6
87500,220.2,-0.21,-0.42,10.0,290.2,82.2
87600,101.8,0.65,0.26,3.8,35.3,78.4
87700,110.1,0.5,-0.28,2.4,34.1,76.6
87800,256.3,0.92,-0.56,12.1,451.6,96.0
87900,65.8,0.64,-0.35,3.8,14.7,82.8
88000,215.9,0.21,-1.08,10.5,289.2,93.9
88100,187.5,-1.25,-0.37,10.6,219.7,98.6
88200,84.8,0.65,0.56,4.7,27.0,83.7
88300,289.0,-0.62,1.32,12.6,592.3,106.3
88400,270.6,-0.55,0.05,14.5,577.0,76.2
88500,118.4,0.56,0.63,6.3,62.1,85.6
88600,222.2,0.04,-0.18,10.1,297.4,79.7
88700,186.7,-0.07,-1.0,9.7,204.9,86.6
88800,108.4,-0.46,0.19,5.4,48.0,77.8
88900,95.7,-0.05,-0.46,5.8,38.7,75.6
89000,206.4,-0.06,0.7,10.4,262.0,81.2
89100,149.7,-0.69,0.16,9.6,130.3,79.4
89200,224.8,0.98,0.17,11.3,331.5,92.4
89300,282.7,0.4,1.02,11.6,532.6,90.5
89400,273.1,-0.22,-0.29,13.3,550.8,75.4
89500,83.9,-0.9,-0.82,5.7,29.5,94.3
89600,285.6,-0.06,-1.02,15.6,681.5,92.3
89700,266.8,0.36,-0.02,13.6,533.9,75.5
89800,145.7,-0.25,-0.09,6.8,99.2,74.9
89900,147.5,-0.45,-0.74,4.9,84.3,84.0
90000,127.6,-0.43,0.02,5.4,66.5,79.3
90100,122.6,0.51,0.47,6.4,67.4,80.7
90200,268.5,-0.31,0.29,13.7,544.3,77.4
90300,175.1,1.0,-0.41,6.5,138.8,97.3
90400,165.4,0.92,0.35,7.9,140.1,91.3
90500,207.0,0.71,-0.36,9.4,245.8,82.8
90600,174.9,0.37,-0.12,8.1,159.8,75.4
90700,145.8,0.4,0.52,8.1,110.4,80.5
90800,159.7,-0.98,0.09,8.0,131.6,90.3
90900,168.3,-0.63,0.58,8.1,147.3,85.6
91000,178.5,0.53,0.35,7.8,161.6,83.4
91100,139.8,0.58,0.06,5.9,83.4,80.3
91200,61.6,0.73,0.91,1.5,9.1,92.4
91300,213.3,-0.27,-0.34,8.2,239.1,77.1
91400,112.1,-0.65,0.3,6.0,54.4,84.0
91500,142.8,-0.5,-0.33,6.0,87.7,82.5
91600,150.5,-0.06,-0.54,9.7,132.9,75.4
91700,128.2,1.06,-0.12,6.7,75.6,87.3
91800,91.1,0.3,-0.85,4.6,30.9,85.4
91900,233.6,-0.47,-0.84,9.4,314.2,90.1
92000,283.5,0.88,0.55,14.6,638.9,90.1
92100,128.2,0.67,-0.46,6.7,76.0,83.2
92200,159.2,0.43,-0.08,8.1,131.8,77.2
92300,282.7,0.33,0.05,14.8,639.7,77.2
92400,75.0,-0.26,0.56,4.7,21.3,76.5
92500,237.6,-0.08,-0.59,10.2,343.6,82.7
92600,247.6,-0.37,-0.13,12.6,435.1,76.1
92700,267.1,0.62,0.17,14.3,556.0,82.3
92800,106.1,0.17,0.28,7.4,55.4,76.2
92900,260.0,0.2,0.44,13.0,491.3,82.3
93000,257.0,-0.29,-0.79,12.6,468.8,84.1
93100,63.1,-0.06,0.39,4.0,13.8,77.4
93200,141.4,-0.44,0.52,4.9,77.0,76.5
93300,215.7,-0.06,0.46,9.9,276.5,77.5
93400,224.2,-0.26,-0.19,12.6,355.9,78.5
93500,164.4,-0.02,-0.57,8.1,140.4,77.3
93600,175.7,-0.1,-0.05,11.0,198.3,78.7
93700,121.8,-0.37,0.01,4.8,56.3,78.8
93800,215.2,0.17,-0.8,9.5,268.1,81.0
93900,191.8,-0.02,0.54,9.0,205.1,78.8
94000,167.5,-0.42,-0.09,9.9,166.7,77.2
94100,217.0,0.03,-0.46,9.4,271.5,79.6
94200,204.4,-0.27,0.73,9.4,239.8,86.0
94300,248.1,-0.99,-0.85,12.9,445.1,101.3
94400,236.1,-0.71,0.49,11.2,361.5,86.1
94500,107.0,-0.1,-0.32,6.6,52.2,78.6
94600,217.7,-0.34,-0.2,12.0,324.6,78.5
94700,77.8,-1.01,0.58,6.5,27.4,85.7
94800,224.2,-0.72,-0.79,12.2,347.5,89.4
94900,222.8,-0.75,-0.71,11.2,323.5,89.8
95000,72.1,0.97,0.21,3.6,17.2,91.8
95100,114.6,0.87,-0.46,5.0,51.1,85.1
95200,145.9,1.09,-0.25,5.1,83.6,95.2
95300,268.0,0.29,-0.49,13.2,526.8,83.1
95400,83.4,-0.72,0.24,0.4,13.7,85.8
95500,225.6,0.78,-0.17,11.0,327.7,85.7
95600,63.7,0.25,-0.12,4.2,14.5,74.8
95700,192.2,-0.57,0.17,10.5,229.8,76.7
95800,252.6,0.74,0.7,12.6,453.5,90.3
95900,264.0,0.74,0.08,11.7,468.3,82.6
96000,286.1,-0.2,-0.89,13.0,595.8,86.9
96100,244.2,0.54,0.15,12.8,428.0,74.0
96200,198.6,0.91,-0.02,11.9,268.7,86.7
96300,76.7,0.91,-0.8,3.9,20.2,98.2
96400,185.5,0.02,-0.17,9.4,197.8,74.2
96500,101.7,0.19,-0.45,3.9,35.6,79.8
96600,221.7,0.36,-0.41,11.6,327.3,81.4
96700,272.8,0.1,-0.89,11.7,499.5,88.4
96800,103.7,-0.61,-0.09,5.3,43.5,77.8
96900,117.4,0.15,0.7,3.9,47.2,79.8
97000,85.2,0.86,0.88,2.5,20.7,98.4
97100,186.6,-0.33,-0.15,8.1,181.8,79.5
97200,117.5,-0.29,0.03,3.8,46.7,76.6
97300,97.2,-0.12,0.27,6.1,41.1,75.0
97400,200.8,-0.32,0.84,9.1,227.5,85.3
97500,274.4,-0.13,0.27,13.8,572.6,77.6
97600,256.7,0.42,-0.2,14.3,514.2,76.8
97700,73.7,0.51,-0.36,4.6,20.4,80.5
97800,164.6,0.47,-0.15,6.9,127.7,74.3
97900,267.1,0.38,-0.03,12.7,509.2,78.1
98000,287.0,0.05,1.03,15.5,686.1,87.8
98100,216.2,-0.16,0.4,12.9,336.7,77.9
98200,255.1,0.41,-0.08,13.8,493.6,76.4
98300,255.9,0.15,-0.85,10.8,414.6,87.1
98400,286.2,-0.3,0.02,14.5,645.4,75.9
98500,100.0,0.95,0.41,4.5,37.1,88.4
98600,223.0,-0.7,-0.12,7.9,253.8,81.3
98700,73.8,1.08,-0.4,4.0,19.0,94.2
98800,173.9,-0.13,1.16,11.9,206.0,95.8
