Nevera_Run_ID,Vehicle_Speed_kmh,Lateral_Acceleration_G,Vehicle_Yaw_Rate_deg_s,Left_Right_Torque_Delta_Nm,Inverter_Response_Latency_us,Vectoring_Status
RIMAC-RAWTV-1721,196.4,0.39,6.0,302.2,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1722,165.6,-0.46,-7.8,-439.5,145,Balanced All-Wheel Traction
RIMAC-RAWTV-1723,232.8,1.38,19.6,1144.9,164,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1724,180.6,1.5,22.1,1242.9,172,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1725,142.3,0.12,2.1,139.5,114,Balanced All-Wheel Traction
RIMAC-RAWTV-1726,297.9,1.2,16.5,948.9,162,Balanced All-Wheel Traction
RIMAC-RAWTV-1727,274.2,0.08,-0.6,57.7,117,Balanced All-Wheel Traction
RIMAC-RAWTV-1728,222.3,1.44,22.0,1278.9,167,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1729,302.9,1.02,16.0,865.2,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1730,295.4,-0.3,-3.1,-221.0,119,Balanced All-Wheel Traction
RIMAC-RAWTV-1731,282.5,-0.21,-2.9,-249.7,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1732,60.7,1.3,18.8,1112.9,179,Balanced All-Wheel Traction
RIMAC-RAWTV-1733,296.0,-0.75,-10.2,-641.4,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1734,73.6,1.33,19.9,1123.2,165,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1735,167.6,-0.13,-0.6,-215.8,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1736,190.9,1.29,18.4,1116.2,184,Balanced All-Wheel Traction
RIMAC-RAWTV-1737,284.1,-1.57,-22.7,-1333.2,171,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1738,113.9,-0.65,-10.2,-593.8,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1739,85.7,-0.35,-6.7,-290.4,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1740,311.9,-1.28,-21.1,-1083.0,169,Balanced All-Wheel Traction
RIMAC-RAWTV-1741,86.8,0.34,0.9,248.9,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1742,147.5,1.17,16.4,1064.5,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1743,237.2,-0.68,-10.0,-495.7,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1744,290.6,-1.44,-19.2,-1285.7,147,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1745,282.2,0.98,15.3,807.8,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1746,141.4,0.83,10.5,688.2,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1747,305.8,-1.03,-13.7,-847.3,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1748,132.1,0.74,8.9,662.5,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1749,91.7,0.91,11.2,775.8,163,Balanced All-Wheel Traction
RIMAC-RAWTV-1750,209.4,1.01,11.7,854.7,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1751,265.3,0.09,1.1,114.7,136,Balanced All-Wheel Traction
RIMAC-RAWTV-1752,97.1,-1.27,-19.4,-1036.4,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1753,80.5,-1.0,-12.3,-846.5,132,Balanced All-Wheel Traction
RIMAC-RAWTV-1754,157.6,0.11,3.1,94.1,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1755,301.3,1.31,19.1,1128.3,157,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1756,232.2,-0.64,-9.0,-493.1,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1757,94.4,-1.53,-21.2,-1312.8,169,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1758,154.6,-0.84,-11.0,-738.2,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1759,145.6,1.4,21.4,1245.1,164,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1760,143.5,0.27,5.1,192.7,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1761,93.2,0.85,11.0,773.8,166,Balanced All-Wheel Traction
RIMAC-RAWTV-1762,181.5,0.74,10.6,577.0,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1763,151.7,-1.05,-14.9,-971.3,162,Balanced All-Wheel Traction
RIMAC-RAWTV-1764,125.8,0.57,9.7,537.4,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1765,206.9,1.44,22.4,1248.3,164,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1766,228.6,0.11,1.1,137.7,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1767,66.4,-1.31,-18.9,-1111.6,181,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1768,117.1,-0.45,-5.5,-362.3,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1769,226.5,-0.09,0.2,-22.0,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1770,263.4,-0.61,-10.2,-518.3,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1771,153.6,-0.15,-2.6,-95.9,112,Balanced All-Wheel Traction
RIMAC-RAWTV-1772,231.9,-1.16,-17.2,-1065.0,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1773,149.8,-1.38,-20.4,-1202.8,162,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1774,140.3,0.19,2.8,196.1,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1775,170.6,-1.23,-17.5,-1085.7,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1776,231.3,-1.26,-16.9,-1067.3,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1777,281.3,-0.75,-9.5,-614.7,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1778,163.6,1.56,23.5,1322.8,203,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1779,316.8,-0.73,-9.9,-662.7,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1780,270.0,0.34,3.7,264.8,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1781,200.8,-0.71,-8.0,-636.1,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1782,239.4,0.75,12.2,663.4,165,Balanced All-Wheel Traction
RIMAC-RAWTV-1783,185.0,0.13,0.3,107.0,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1784,177.1,-0.58,-7.1,-552.2,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1785,154.4,1.33,20.5,1157.3,175,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1786,65.4,0.36,4.5,366.2,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1787,66.3,0.11,1.5,94.5,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1788,267.8,-1.15,-18.2,-930.0,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1789,237.6,-0.3,-6.5,-212.5,132,Balanced All-Wheel Traction
RIMAC-RAWTV-1790,247.9,-0.83,-12.9,-688.3,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1791,233.7,1.01,13.6,932.6,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1792,154.1,1.49,22.3,1327.9,163,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1793,138.6,-0.66,-11.0,-568.7,168,Balanced All-Wheel Traction
RIMAC-RAWTV-1794,113.1,-0.03,-1.1,-5.6,114,Balanced All-Wheel Traction
RIMAC-RAWTV-1795,225.7,-0.15,-3.3,-130.9,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1796,295.2,1.22,17.4,988.5,175,Balanced All-Wheel Traction
RIMAC-RAWTV-1797,140.2,0.41,5.2,330.0,115,Balanced All-Wheel Traction
RIMAC-RAWTV-1798,210.1,1.37,18.0,1185.7,179,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1799,164.2,1.19,19.2,1010.7,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1800,206.8,0.32,5.2,206.3,136,Balanced All-Wheel Traction
RIMAC-RAWTV-1801,186.1,-0.98,-15.8,-774.1,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1802,170.8,0.46,6.6,334.4,145,Balanced All-Wheel Traction
RIMAC-RAWTV-1803,248.2,1.47,20.6,1253.7,187,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1804,276.7,-0.36,-6.4,-357.7,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1805,73.5,-0.51,-8.4,-350.5,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1806,167.0,0.61,8.7,519.7,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1807,108.5,-0.65,-10.2,-565.6,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1808,116.9,-0.71,-8.7,-646.4,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1809,201.0,-0.48,-7.4,-393.6,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1810,117.3,-0.39,-5.0,-294.2,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1811,284.7,1.28,18.2,1032.6,168,Balanced All-Wheel Traction
RIMAC-RAWTV-1812,89.6,0.74,11.2,674.3,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1813,238.2,-0.05,-1.5,-44.2,113,Balanced All-Wheel Traction
RIMAC-RAWTV-1814,158.4,0.75,9.9,617.1,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1815,126.6,0.77,9.9,714.4,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1816,152.2,-0.43,-4.2,-345.9,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1817,133.3,-1.41,-21.5,-1114.7,187,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1818,259.1,1.28,19.8,1057.7,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1819,118.8,-1.46,-21.6,-1180.8,183,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1820,76.7,-1.03,-16.8,-857.3,169,Balanced All-Wheel Traction
RIMAC-RAWTV-1821,296.8,1.26,17.6,1134.4,188,Balanced All-Wheel Traction
RIMAC-RAWTV-1822,190.3,-1.06,-15.9,-924.7,165,Balanced All-Wheel Traction
RIMAC-RAWTV-1823,115.7,1.38,20.6,1124.0,167,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1824,233.3,-0.78,-11.6,-651.3,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1825,304.6,-0.35,-5.9,-315.1,121,Balanced All-Wheel Traction
RIMAC-RAWTV-1826,224.5,-0.89,-13.1,-710.2,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1827,250.6,-1.16,-17.0,-895.8,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1828,190.9,-0.86,-13.8,-674.2,163,Balanced All-Wheel Traction
RIMAC-RAWTV-1829,118.6,0.65,9.4,556.6,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1830,67.5,-1.14,-17.3,-1037.9,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1831,153.2,1.09,15.1,918.5,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1832,200.8,-0.63,-11.5,-547.0,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1833,235.6,1.07,15.3,897.4,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1834,256.8,1.5,21.9,1330.1,161,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1835,180.7,1.18,17.2,963.0,177,Balanced All-Wheel Traction
RIMAC-RAWTV-1836,266.7,1.32,20.0,1113.9,160,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1837,308.8,-1.04,-13.2,-892.4,171,Balanced All-Wheel Traction
RIMAC-RAWTV-1838,262.0,0.84,10.8,718.0,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1839,176.1,-0.65,-11.1,-579.2,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1840,276.0,-1.2,-18.8,-1032.2,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1841,127.0,1.39,21.5,1241.9,173,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1842,208.1,-0.61,-6.7,-444.0,166,Balanced All-Wheel Traction
RIMAC-RAWTV-1843,215.6,1.01,15.0,799.3,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1844,70.5,-0.94,-12.5,-795.4,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1845,208.2,0.57,9.6,569.8,134,Balanced All-Wheel Traction
RIMAC-RAWTV-1846,151.3,-0.53,-7.4,-415.3,134,Balanced All-Wheel Traction
RIMAC-RAWTV-1847,105.7,0.89,14.4,751.9,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1848,270.9,1.53,23.0,1283.1,178,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1849,308.5,-0.25,-3.4,-216.2,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1850,161.7,1.4,19.1,1209.7,174,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1851,117.0,-1.54,-20.6,-1346.1,174,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1852,82.5,-1.59,-22.3,-1316.2,176,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1853,304.1,0.39,7.8,317.5,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1854,258.5,-1.15,-15.5,-894.0,157,Balanced All-Wheel Traction
RIMAC-RAWTV-1855,157.6,0.9,15.2,785.2,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1856,142.9,-0.28,-3.6,-200.0,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1857,61.9,0.65,7.4,606.9,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1858,75.0,-0.31,-4.7,-288.2,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1859,318.0,0.0,-0.1,21.1,112,Balanced All-Wheel Traction
RIMAC-RAWTV-1860,134.1,-0.54,-7.1,-493.6,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1861,291.3,0.06,1.0,100.3,116,Balanced All-Wheel Traction
RIMAC-RAWTV-1862,125.9,-0.81,-11.9,-665.5,147,Balanced All-Wheel Traction
RIMAC-RAWTV-1863,289.3,-0.49,-6.4,-417.0,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1864,173.9,1.0,15.5,887.9,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1865,318.1,1.17,15.9,1010.0,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1866,125.9,1.17,18.0,917.6,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1867,259.4,-0.88,-14.0,-732.6,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1868,277.0,0.16,2.1,155.4,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1869,243.3,1.0,14.6,847.1,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1870,81.7,0.16,0.7,65.0,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1871,114.5,0.36,3.1,335.2,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1872,258.0,0.15,1.2,101.3,99,Balanced All-Wheel Traction
RIMAC-RAWTV-1873,76.2,-1.3,-20.6,-1156.0,175,Balanced All-Wheel Traction
RIMAC-RAWTV-1874,70.8,1.17,19.4,1032.4,178,Balanced All-Wheel Traction
RIMAC-RAWTV-1875,289.7,-0.94,-16.0,-731.8,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1876,216.4,0.94,11.9,769.3,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1877,296.2,-1.49,-19.9,-1229.6,168,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1878,276.9,-1.01,-16.9,-899.5,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1879,144.8,-0.83,-11.1,-696.7,165,Balanced All-Wheel Traction
RIMAC-RAWTV-1880,110.6,-1.0,-13.0,-941.5,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1881,171.2,1.44,20.9,1206.6,138,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1882,149.1,1.11,17.7,962.9,132,Balanced All-Wheel Traction
RIMAC-RAWTV-1883,303.7,-0.74,-11.0,-714.0,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1884,211.4,-0.79,-10.0,-632.7,125,Balanced All-Wheel Traction
RIMAC-RAWTV-1885,281.0,-0.54,-8.6,-527.2,145,Balanced All-Wheel Traction
RIMAC-RAWTV-1886,144.1,-0.82,-11.4,-775.1,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1887,168.6,0.5,7.4,479.6,145,Balanced All-Wheel Traction
RIMAC-RAWTV-1888,288.5,-0.26,-3.3,-244.9,125,Balanced All-Wheel Traction
RIMAC-RAWTV-1889,100.1,0.07,2.1,49.6,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1890,241.7,1.02,14.9,864.0,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1891,138.5,-0.6,-7.7,-456.8,152,Balanced All-Wheel Traction
RIMAC-RAWTV-1892,135.8,0.39,7.2,431.2,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1893,291.4,-0.45,-6.5,-473.1,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1894,256.5,-0.0,-0.3,57.2,114,Balanced All-Wheel Traction
RIMAC-RAWTV-1895,64.4,0.34,4.9,361.4,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1896,69.1,-0.65,-9.3,-608.7,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1897,169.9,-0.74,-11.2,-641.1,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1898,279.1,1.4,19.3,1206.1,176,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1899,263.8,0.86,11.9,687.5,145,Balanced All-Wheel Traction
RIMAC-RAWTV-1900,78.3,-1.44,-21.2,-1252.1,180,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1901,60.5,-0.66,-8.6,-580.4,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1902,119.8,-0.35,-4.9,-283.7,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1903,311.5,1.42,19.7,1219.9,169,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1904,82.4,-0.76,-11.2,-628.0,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1905,159.0,-0.14,-0.9,-112.6,119,Balanced All-Wheel Traction
RIMAC-RAWTV-1906,310.6,1.08,16.2,938.1,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1907,271.2,-0.44,-6.1,-385.1,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1908,250.6,0.83,11.6,626.1,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1909,89.1,-1.4,-19.5,-1221.7,156,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1910,108.5,1.27,18.5,1152.7,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1911,180.8,0.21,4.3,139.4,116,Balanced All-Wheel Traction
RIMAC-RAWTV-1912,73.6,1.34,18.3,1112.2,174,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1913,274.4,1.25,16.9,1123.2,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1914,213.6,-1.53,-19.9,-1238.1,177,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1915,304.4,-0.23,-0.7,-263.7,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1916,280.1,-0.85,-12.7,-740.5,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1917,253.7,0.37,5.7,397.7,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1918,65.2,0.67,10.4,541.4,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1919,207.2,1.56,21.2,1400.0,169,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1920,107.4,0.38,3.6,284.8,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1921,242.2,0.35,6.3,271.3,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1922,195.7,-0.83,-11.6,-690.9,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1923,209.7,-0.27,-3.1,-192.0,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1924,310.5,-1.12,-16.0,-956.7,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1925,257.5,-0.03,2.0,-15.8,117,Balanced All-Wheel Traction
RIMAC-RAWTV-1926,311.6,0.62,8.0,516.5,133,Balanced All-Wheel Traction
RIMAC-RAWTV-1927,307.3,1.2,18.9,1025.1,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1928,136.0,-1.27,-20.5,-1001.9,172,Balanced All-Wheel Traction
RIMAC-RAWTV-1929,257.4,-1.27,-19.1,-1087.5,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1930,293.4,0.8,11.4,687.4,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1931,126.3,-0.63,-8.6,-575.4,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1932,131.7,-0.29,-4.3,-239.8,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1933,286.2,-1.53,-21.7,-1376.2,174,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1934,74.1,0.3,5.1,202.5,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1935,66.7,1.42,20.5,1140.4,165,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1936,131.5,1.12,17.9,1007.3,169,Balanced All-Wheel Traction
RIMAC-RAWTV-1937,88.4,-0.31,-3.4,-225.8,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1938,267.6,-0.14,-3.5,-111.0,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1939,300.7,-1.33,-20.5,-1107.7,167,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1940,108.0,0.13,2.7,88.6,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1941,301.5,-0.34,-5.2,-254.3,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1942,87.7,-0.66,-8.9,-447.9,134,Balanced All-Wheel Traction
RIMAC-RAWTV-1943,284.1,1.12,15.4,930.8,166,Balanced All-Wheel Traction
RIMAC-RAWTV-1944,277.8,0.73,10.2,639.8,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1945,63.2,-0.78,-10.6,-682.8,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1946,257.4,-0.48,-8.6,-428.1,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1947,198.5,0.5,8.4,410.9,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1948,261.0,0.41,5.9,294.2,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1949,166.5,0.45,7.9,378.6,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1950,229.4,-1.41,-19.6,-1277.6,182,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1951,167.0,0.37,5.5,378.1,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1952,240.4,-1.1,-14.2,-939.4,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1953,224.1,-1.25,-17.5,-1031.7,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1954,217.2,-1.59,-21.3,-1393.8,190,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1955,289.7,-1.24,-16.8,-1083.8,177,Balanced All-Wheel Traction
RIMAC-RAWTV-1956,171.0,1.52,23.4,1332.5,173,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1957,122.7,-0.78,-12.8,-608.3,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1958,262.7,-1.26,-16.8,-1087.3,165,Balanced All-Wheel Traction
RIMAC-RAWTV-1959,147.3,1.16,19.4,1038.8,171,Balanced All-Wheel Traction
RIMAC-RAWTV-1960,218.5,-0.44,-6.3,-389.2,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1961,103.5,-0.76,-10.7,-639.6,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1962,189.1,-1.25,-18.6,-1070.3,170,Balanced All-Wheel Traction
RIMAC-RAWTV-1963,61.4,-0.91,-12.8,-792.2,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1964,259.9,-0.68,-11.0,-521.7,131,Balanced All-Wheel Traction
RIMAC-RAWTV-1965,263.2,-0.44,-7.2,-362.6,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1966,290.7,-1.33,-21.4,-1131.7,175,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1967,111.4,0.49,5.3,438.2,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1968,168.8,-1.44,-21.4,-1138.5,158,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1969,93.3,-1.4,-17.7,-1182.4,159,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1970,309.4,0.22,3.8,193.5,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1971,302.7,-0.4,-3.7,-328.2,147,Balanced All-Wheel Traction
RIMAC-RAWTV-1972,177.1,0.23,5.2,222.6,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1973,60.1,-1.47,-19.1,-1281.9,162,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1974,136.0,-0.97,-14.1,-746.8,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1975,304.5,-1.16,-17.3,-1002.9,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1976,222.3,1.29,17.0,1129.0,172,Balanced All-Wheel Traction
RIMAC-RAWTV-1977,137.6,0.48,5.5,391.1,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1978,72.7,1.33,19.1,1151.4,167,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1979,171.8,0.29,4.3,194.3,134,Balanced All-Wheel Traction
RIMAC-RAWTV-1980,120.0,-1.47,-22.2,-1357.8,177,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1981,150.6,-1.25,-19.3,-1078.6,164,Balanced All-Wheel Traction
RIMAC-RAWTV-1982,105.0,-0.52,-7.9,-449.9,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1983,127.8,0.74,11.4,619.3,157,Balanced All-Wheel Traction
RIMAC-RAWTV-1984,279.5,0.99,15.2,807.5,163,Balanced All-Wheel Traction
RIMAC-RAWTV-1985,160.2,0.61,6.2,476.0,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1986,164.5,0.86,13.5,745.5,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1987,155.8,-0.99,-14.9,-927.2,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1988,222.1,1.54,20.8,1285.0,189,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1989,169.4,0.43,7.0,355.1,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1990,68.5,0.24,4.2,180.3,115,Balanced All-Wheel Traction
RIMAC-RAWTV-1991,234.8,-1.55,-21.2,-1302.8,168,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1992,148.2,-0.62,-8.4,-511.1,134,Balanced All-Wheel Traction
RIMAC-RAWTV-1993,156.6,-0.34,-3.8,-241.1,131,Balanced All-Wheel Traction
RIMAC-RAWTV-1994,219.6,-1.17,-18.0,-999.8,175,Balanced All-Wheel Traction
RIMAC-RAWTV-1995,130.3,-0.46,-6.0,-412.1,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1996,129.5,-0.42,-8.0,-376.4,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1997,270.7,0.9,12.6,746.4,148,Balanced All-Wheel Traction
